Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,4.30,4.40,4.10,4.21,401300,4.21
2015-07-16,4.39,4.47,4.07,4.29,932100,4.29
2015-07-15,4.23,4.26,3.96,4.26,694400,4.26
2015-07-14,4.11,4.19,4.06,4.06,1259400,4.06
2015-07-13,4.58,4.59,4.27,4.27,1932700,4.27
2015-07-10,4.79,4.86,4.41,4.49,2540300,4.49
2015-07-09,4.64,4.64,4.43,4.64,2867700,4.64
2015-07-08,4.00,4.42,4.00,4.42,4251200,4.42
2015-07-07,4.21,4.21,4.21,4.21,112100,4.21
2015-07-06,4.43,4.60,4.43,4.43,2390000,4.43
2015-07-03,4.66,4.66,4.66,4.66,26100,4.66
2015-07-02,4.90,4.90,4.90,4.90,59500,4.90
2015-07-01,5.15,5.15,5.15,5.15,50000,5.15
2015-06-30,5.42,5.42,5.42,5.42,357500,5.42
2015-06-29,5.70,5.70,5.70,5.70,45300,5.70
2015-06-26,5.99,5.99,5.99,5.99,41800,5.99
2015-06-25,6.80,6.80,6.30,6.30,4536400,6.30
2015-06-24,6.63,6.63,6.63,6.63,1156500,6.63
2015-06-23,6.32,6.32,6.32,6.32,1191100,6.32
2015-06-22,6.00,6.02,5.82,6.02,4275400,6.02
2015-06-19,5.74,5.74,5.74,5.74,1068100,5.74
2015-06-18,5.39,5.47,5.36,5.47,3271300,5.47
2015-06-17,5.15,5.21,5.15,5.21,1097500,5.21
2015-06-16,4.95,4.97,4.80,4.97,3307900,4.97
2015-06-15,4.58,4.74,4.55,4.74,2233300,4.74
2015-06-12,4.25,4.57,4.21,4.52,4886500,4.52
2015-06-11,4.39,4.43,4.13,4.41,10619800,4.41
2015-06-10,4.06,4.22,4.06,4.22,2251700,4.22
2015-06-09,4.02,4.02,3.70,4.02,8636000,4.02
2015-06-08,3.83,3.83,3.83,3.83,632600,3.83
2015-06-05,3.62,3.65,3.52,3.65,1571300,3.65
2015-06-04,3.38,3.48,3.30,3.48,3709600,3.48
2015-06-03,3.32,3.32,3.02,3.32,10188500,3.32
2015-06-02,3.17,3.17,3.17,3.17,529200,3.17
2015-06-01,3.02,3.02,3.02,3.02,208300,3.02
2015-05-29,2.88,2.88,2.88,2.88,305800,2.88
2015-05-28,2.75,2.75,2.75,2.75,904500,2.75
2015-05-27,2.62,2.62,2.62,2.62,57900,2.62
2015-05-26,2.50,2.50,2.50,2.50,41200,2.50
2015-05-25,2.24,2.39,2.18,2.39,3827400,2.39
2015-05-22,2.34,2.43,2.28,2.28,13414400,2.28
2015-05-21,2.46,2.48,2.39,2.39,6470200,2.39
2015-05-20,2.69,2.69,2.51,2.51,5348100,2.51
2015-05-19,2.81,2.83,2.64,2.64,7464300,2.64
2015-05-18,2.94,3.04,2.76,2.77,18298000,2.77
2015-05-15,3.15,3.15,2.89,2.90,9507000,2.90
2015-05-14,3.55,3.55,3.16,3.21,7631500,3.21
2015-05-13,3.80,3.95,3.46,3.46,10628800,3.46
2015-05-12,4.75,4.84,3.84,3.84,4319300,3.84
2015-05-11,5.06,5.24,4.65,4.80,2604900,4.80
2015-05-08,5.41,5.57,4.96,5.01,2223300,5.01
2015-05-07,5.77,5.80,5.28,5.34,1704500,5.34
2015-05-06,6.00,6.02,5.60,5.74,1405400,5.74
2015-05-05,6.22,6.30,5.90,6.04,1133700,6.04
2015-05-04,6.02,7.24,6.02,6.24,3728200,6.24
2015-05-01,6.04,6.04,6.04,6.04,000,6.04
2015-04-30,6.24,6.24,5.95,6.04,629600,6.04
2015-04-29,6.30,6.35,6.10,6.14,270400,6.14
2015-04-28,6.42,6.55,6.20,6.30,802300,6.30
2015-04-27,6.60,6.77,6.20,6.37,309900,6.37
2015-04-24,6.83,6.95,6.53,6.57,206700,6.57
2015-04-23,6.82,7.18,6.80,6.86,347800,6.86
2015-04-22,6.85,7.05,6.80,6.84,213400,6.84
2015-04-21,7.03,7.07,6.80,6.86,146400,6.86
2015-04-20,7.02,7.18,6.70,6.89,443300,6.89
2015-04-17,7.30,7.36,7.13,7.18,376500,7.18
2015-04-16,7.55,7.67,7.22,7.37,594600,7.37
2015-04-15,7.32,7.88,7.32,7.53,1052900,7.53
2015-04-14,7.39,7.39,7.39,7.39,000,7.39
2015-04-13,7.69,8.18,7.20,7.39,2289100,7.39
2015-04-10,7.51,7.95,7.47,7.69,1792500,7.69
2015-04-09,7.20,7.50,6.95,7.34,810200,7.34
2015-04-08,7.15,7.34,7.05,7.08,664400,7.08
2015-04-07,7.00,7.28,7.00,7.08,890300,7.08
2015-04-06,6.20,7.10,6.20,6.88,1262900,6.88
2015-04-03,6.20,6.20,6.20,6.20,000,6.20
2015-04-02,6.20,6.20,6.20,6.20,000,6.20
2015-04-01,5.90,6.28,5.81,6.20,656600,6.20
2015-03-31,6.00,6.09,5.70,5.85,579000,5.85
2015-03-30,5.66,5.93,5.62,5.79,671500,5.79
2015-03-27,5.95,6.10,5.50,5.69,1730900,5.69
2015-03-26,6.30,6.30,5.85,5.96,682500,5.96
2015-03-25,6.02,6.25,5.82,6.04,491200,6.04
2015-03-24,6.50,6.60,6.06,6.16,601700,6.16
2015-03-23,6.90,7.03,6.40,6.46,611400,6.46
2015-03-20,7.05,7.10,6.75,6.81,425000,6.81
2015-03-19,7.20,7.20,7.01,7.07,235800,7.07
2015-03-18,7.40,7.50,7.10,7.16,314000,7.16
2015-03-17,7.39,7.45,7.12,7.17,265300,7.17
2015-03-16,7.50,7.57,7.16,7.22,330600,7.22
2015-03-13,7.69,7.70,7.36,7.41,501100,7.41
2015-03-12,7.55,7.72,7.53,7.61,329500,7.61
2015-03-11,7.80,7.80,7.51,7.55,293700,7.55
2015-03-10,7.74,7.84,7.56,7.62,264900,7.62
2015-03-09,8.00,8.00,7.65,7.71,412300,7.71
2015-03-06,7.98,7.98,7.98,7.98,000,7.98
2015-03-05,7.93,8.10,7.76,7.98,368400,7.98
2015-03-04,8.27,8.28,7.89,7.93,416300,7.93
2015-03-03,8.00,8.38,7.94,8.14,495900,8.14
2015-03-02,8.20,8.20,7.86,7.97,209000,7.97
2015-02-27,8.30,8.54,8.15,8.21,620900,8.21
2015-02-26,7.89,8.40,7.80,8.28,655400,8.28
2015-02-25,8.15,8.15,7.76,7.79,331000,7.79
2015-02-24,8.08,8.22,7.85,7.92,359900,7.92
2015-02-23,8.19,8.40,7.91,7.95,419600,7.95
2015-02-20,7.77,8.70,7.71,8.19,1993700,8.19
2015-02-19,7.87,7.96,7.72,7.82,262800,7.82
2015-02-18,7.76,8.15,7.72,7.83,810500,7.83
2015-02-17,7.75,7.75,7.75,7.75,000,7.75
2015-02-16,7.88,8.00,7.65,7.75,272100,7.75
2015-02-13,7.82,7.92,7.72,7.76,199600,7.76
2015-02-12,7.87,7.98,7.70,7.80,240300,7.80
2015-02-11,8.05,8.32,7.70,7.76,937500,7.76
2015-02-10,8.42,8.46,8.06,8.15,277800,8.15
2015-02-09,8.39,8.65,8.16,8.21,400900,8.21
2015-02-06,8.70,8.78,8.28,8.36,298300,8.36
2015-02-05,8.83,8.94,8.62,8.69,209100,8.69
