Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,366.95,380.00,366.95,376.40,12400,372.91
2015-07-16,375.05,379.00,367.20,367.60,8200,364.19
2015-07-15,378.00,384.50,373.75,375.80,14900,372.31
2015-07-14,371.55,381.80,366.70,375.55,29800,372.07
2015-07-13,348.00,368.90,348.00,364.40,26100,361.02
2015-07-10,337.45,351.00,331.45,347.05,14900,343.83
2015-07-09,338.00,344.40,335.00,337.30,4500,334.17
2015-07-08,340.90,350.05,333.00,338.10,14800,334.96
2015-07-07,343.05,349.00,340.95,341.00,7700,337.84
2015-07-06,344.00,344.00,336.90,341.40,4500,338.23
2015-07-03,347.05,350.00,343.25,343.95,14100,340.76
2015-07-02,343.50,350.00,340.00,346.55,11000,343.34
2015-07-01,344.45,344.45,336.95,339.60,13500,336.45
2015-06-30,337.10,342.50,336.45,339.50,4600,336.35
2015-06-29,335.00,350.00,317.70,334.90,23800,331.79
2015-06-26,337.75,340.00,336.75,338.35,2800,335.21
2015-06-25,338.70,344.65,326.30,342.75,6700,339.57
2015-06-24,345.50,354.25,333.00,341.90,39700,338.73
2015-06-23,323.00,346.90,322.45,339.55,52900,336.40
2015-06-22,321.05,326.00,321.05,323.40,6300,320.40
2015-06-19,324.35,327.95,322.00,322.60,7400,319.61
2015-06-18,321.50,325.60,321.00,323.35,3800,320.35
2015-06-17,324.00,327.90,318.00,320.25,12600,317.28
2015-06-16,321.00,325.15,318.00,323.85,8300,320.85
2015-06-15,313.20,325.00,313.20,323.80,5600,320.80
2015-06-12,315.50,324.95,313.20,315.05,8900,312.13
2015-06-11,336.40,337.20,315.10,316.15,16700,313.22
2015-06-10,319.70,332.90,318.00,331.40,22300,328.33
2015-06-09,319.60,321.00,315.90,316.90,8600,313.96
2015-06-08,321.95,321.95,315.25,316.40,7400,313.46
2015-06-05,309.00,326.00,308.10,322.75,11300,319.76
2015-06-04,313.70,314.00,307.10,308.50,10600,305.64
2015-06-03,313.20,313.20,308.00,310.10,9500,307.22
2015-06-02,314.00,315.25,312.00,313.65,3300,310.74
2015-06-01,316.50,316.50,311.15,314.00,9200,311.09
2015-05-29,318.50,318.90,312.65,316.95,10100,314.01
2015-05-28,320.05,321.85,311.00,313.10,15400,310.20
2015-05-27,327.00,329.00,317.25,319.65,10900,316.68
2015-05-26,325.50,332.50,325.50,328.05,9300,325.01
2015-05-25,328.00,334.00,320.00,326.35,14700,323.32
2015-05-22,330.00,335.50,327.75,331.80,12200,328.72
2015-05-21,332.50,333.55,326.10,327.80,8600,324.76
2015-05-20,332.05,336.95,326.60,329.45,8600,326.39
2015-05-19,332.55,337.25,328.55,332.00,10600,328.92
2015-05-18,332.50,339.70,330.00,333.35,15100,330.26
2015-05-15,320.95,334.00,319.50,330.20,20200,327.14
2015-05-14,317.90,320.00,311.10,317.10,26000,314.16
2015-05-13,335.00,346.50,310.25,313.90,99900,310.99
2015-05-12,335.00,338.85,327.00,332.90,12200,329.81
2015-05-11,328.65,334.90,325.95,330.80,9900,327.73
2015-05-08,323.70,326.80,319.00,321.00,11500,318.02
2015-05-07,313.90,323.00,308.20,313.70,24700,310.79
2015-05-06,324.25,324.95,312.55,317.25,25100,314.31
2015-05-05,327.15,329.20,322.50,324.35,14500,321.34
2015-05-04,316.00,333.00,315.60,328.15,36700,325.11
2015-05-01,313.55,313.55,313.55,313.55,000,310.64
2015-04-30,320.20,320.20,310.05,313.55,31700,310.64
2015-04-29,320.00,333.00,320.00,324.65,32900,321.64
2015-04-28,300.00,319.40,294.00,318.05,34400,315.10
2015-04-27,328.00,328.00,300.00,301.45,41200,298.65
2015-04-24,340.00,340.00,327.10,328.80,18200,325.75
2015-04-23,345.00,351.70,336.05,341.50,22400,338.33
2015-04-22,331.10,347.00,328.25,338.85,26500,335.71
2015-04-21,337.00,338.40,330.10,333.55,14000,330.46
2015-04-20,345.00,345.00,335.20,339.60,31500,336.45
2015-04-17,350.35,355.00,342.85,346.70,16600,343.48
2015-04-16,363.00,364.00,341.75,349.00,43200,345.76
2015-04-15,369.85,370.15,361.00,363.15,22100,359.78
2015-04-14,368.85,368.85,368.85,368.85,000,365.43
2015-04-13,367.45,376.60,366.00,368.85,18500,365.43
2015-04-10,367.20,373.20,362.70,365.90,35400,362.51
2015-04-09,375.70,376.50,363.00,366.80,31400,363.40
2015-04-08,369.00,381.70,369.00,373.70,78700,370.23
2015-04-07,347.00,367.90,342.15,362.85,59800,359.48
2015-04-06,343.90,350.85,343.25,346.95,11400,343.73
2015-04-03,343.75,343.75,343.75,343.75,000,340.56
2015-04-02,343.75,343.75,343.75,343.75,000,340.56
2015-04-01,348.05,348.85,341.35,343.75,28800,340.56
2015-03-31,352.40,364.00,346.50,352.70,43800,349.43
2015-03-30,331.40,349.90,326.50,348.10,19700,344.87
2015-03-27,323.00,328.90,320.05,322.95,26900,319.95
2015-03-26,329.00,332.55,320.10,322.15,14700,319.16
2015-03-25,327.10,342.60,322.70,330.10,38200,327.04
2015-03-24,333.10,335.85,319.00,328.10,38000,325.06
2015-03-23,344.25,349.60,334.90,337.60,32900,334.47
2015-03-20,358.00,359.40,340.00,342.75,31600,339.57
2015-03-19,372.00,377.00,355.00,356.75,54700,353.44
2015-03-18,362.20,376.95,362.20,369.40,77600,365.97
2015-03-17,347.05,365.00,347.05,360.50,63900,357.16
2015-03-16,360.00,364.70,342.00,345.20,46200,342.00
2015-03-13,350.10,367.80,350.10,358.70,142200,355.37
2015-03-12,334.00,349.15,330.00,346.50,55700,343.29
2015-03-11,346.00,356.80,326.60,332.45,85100,329.37
2015-03-10,324.00,350.00,324.00,343.90,215000,340.71
2015-03-09,291.00,323.00,290.00,318.05,107100,315.10
2015-03-06,295.90,295.90,295.90,295.90,000,293.15
2015-03-05,295.85,296.75,291.45,295.90,9100,293.15
2015-03-04,297.95,297.95,291.00,295.45,14000,292.71
2015-03-03,291.50,297.25,288.10,293.80,21800,291.07
2015-03-02,288.30,292.95,286.45,288.35,10700,285.67
2015-02-27,289.10,291.50,286.00,289.05,44100,286.37
2015-02-26,301.80,304.70,291.15,291.60,44900,288.89
2015-02-25,278.00,309.80,278.00,299.75,234600,296.97
2015-02-24,275.00,275.60,271.00,274.05,14800,271.51
2015-02-23,284.85,286.70,270.15,272.90,18000,270.37
2015-02-20,274.00,291.50,274.00,283.15,26400,280.52
2015-02-19,289.90,289.90,267.10,269.60,13800,267.10
2015-02-18,285.00,286.00,273.50,275.70,16200,273.14
2015-02-17,282.70,282.70,282.70,282.70,000,280.08
2015-02-16,294.20,294.30,281.00,282.70,7500,280.08
2015-02-13,305.00,305.00,292.00,294.40,25200,291.67
2015-02-12,295.00,305.70,291.05,304.25,21900,301.43
2015-02-11,281.80,294.00,281.80,290.90,10600,286.72
2015-02-10,285.50,287.55,278.00,282.60,33400,278.53
2015-02-09,291.45,294.00,281.00,285.50,21300,281.39
2015-02-06,292.00,297.40,287.00,290.75,14300,286.57
2015-02-05,300.00,303.60,291.10,294.30,15200,290.07
2015-02-04,305.05,307.00,298.00,299.75,17800,295.44
2015-02-03,300.05,309.00,300.05,304.40,38900,300.02
2015-02-02,283.00,299.80,283.00,298.10,36100,293.81
2015-01-30,282.75,286.00,281.10,284.05,10200,279.96
2015-01-29,278.00,285.85,275.00,284.30,11800,280.21
2015-01-28,282.10,282.10,276.45,279.50,8600,275.48
2015-01-27,288.60,288.60,281.00,283.25,12700,279.18
2015-01-26,285.25,285.25,285.25,285.25,000,281.15
2015-01-23,283.00,286.35,278.95,285.25,29400,281.15
2015-01-22,276.70,280.90,275.00,278.80,71200,274.79
2015-01-21,271.05,275.00,270.20,273.05,434100,269.12
2015-01-20,269.50,271.95,263.30,269.30,31200,265.43
2015-01-19,268.75,269.70,264.95,265.25,15600,261.43
2015-01-16,267.70,269.00,264.60,265.20,11100,261.38
2015-01-15,261.20,265.80,260.00,264.60,17000,260.79
2015-01-14,264.90,271.05,255.70,257.65,195300,253.94
2015-01-13,254.05,268.00,250.55,261.30,43000,257.54
2015-01-12,250.60,254.45,248.95,251.30,13700,247.68
2015-01-09,257.00,258.45,251.00,252.00,8400,248.37
2015-01-08,252.50,260.00,249.10,253.45,22700,249.80
2015-01-07,257.30,257.30,247.15,248.05,10300,244.48
2015-01-06,257.00,257.00,251.55,253.30,9500,249.66
2015-01-05,262.70,264.90,255.90,257.55,32100,253.84
2015-01-02,258.00,264.60,256.25,259.35,35000,255.62
2015-01-01,254.70,260.00,253.05,257.85,12000,254.14
2014-12-31,259.50,261.95,248.95,252.90,37000,249.26
2014-12-30,265.20,267.80,259.90,261.35,15600,257.59
2014-12-29,272.15,277.60,264.10,265.35,16200,261.53
2014-12-26,279.50,279.50,270.25,271.65,9900,267.74
2014-12-25,277.35,277.35,277.35,277.35,000,273.36
2014-12-24,283.55,289.00,276.15,277.35,8400,273.36
2014-12-23,281.10,288.00,281.10,284.90,11400,280.80
2014-12-22,283.65,285.90,280.00,281.55,8700,277.50
2014-12-19,290.00,292.00,274.00,279.75,22500,275.73
2014-12-18,283.20,287.55,280.20,285.95,7500,281.84
2014-12-17,275.00,280.95,274.00,275.20,5400,271.24
2014-12-16,281.00,284.00,275.15,277.00,5600,273.02
2014-12-15,286.10,286.10,278.00,282.10,9200,278.04
2014-12-12,294.60,294.70,286.00,287.85,6300,283.71
2014-12-11,292.50,297.00,288.40,292.95,5800,288.74
2014-12-10,290.00,295.00,289.00,292.15,8600,287.95
2014-12-09,295.00,299.00,288.15,292.60,4300,288.39
2014-12-08,295.00,310.45,295.00,296.45,24200,292.19
2014-12-05,297.00,297.00,292.50,294.90,6900,290.66
2014-12-04,285.00,296.30,284.15,293.75,16300,289.52
2014-12-03,284.00,291.50,283.10,285.95,6700,281.84
2014-12-02,280.40,288.00,273.50,286.80,7800,282.67
2014-12-01,285.20,293.65,263.00,278.10,3700,274.10
2014-11-28,286.40,293.40,279.95,286.85,10600,282.72
2014-11-27,278.00,286.00,275.50,283.35,12900,279.27
2014-11-26,273.00,282.80,272.05,280.50,9400,276.46
2014-11-25,282.25,282.55,273.15,275.55,24500,271.59
2014-11-24,296.00,297.70,282.00,284.75,11900,280.65
2014-11-21,297.30,300.95,294.10,295.25,8700,291.00
2014-11-20,297.90,301.05,293.00,294.45,15600,290.21
2014-11-19,298.00,306.00,294.00,294.80,34200,290.56
2014-11-18,299.65,307.00,294.00,296.95,34000,292.68
2014-11-17,294.00,301.65,292.30,299.00,31200,294.70
2014-11-14,298.50,298.60,290.05,292.25,24000,288.05
2014-11-13,299.95,303.00,295.05,295.40,6400,291.15
2014-11-12,300.25,304.65,298.50,300.85,11400,296.52
2014-11-11,300.05,302.00,292.90,300.15,14300,295.83
2014-11-10,299.60,307.00,298.00,298.75,14000,294.45
2014-11-07,304.50,309.90,295.00,299.50,22900,295.19
2014-11-06,303.90,303.90,303.90,303.90,000,299.53
2014-11-05,313.50,313.50,300.95,303.90,9600,299.53
2014-11-04,309.85,309.85,309.85,309.85,000,305.39
2014-11-03,303.00,319.50,303.00,309.85,33400,305.39
2014-10-31,297.55,305.15,293.00,303.00,56700,298.64
2014-10-30,279.05,293.30,275.00,290.80,27400,286.62
2014-10-29,273.35,278.00,269.95,276.25,4800,272.28
2014-10-28,277.00,277.15,270.00,271.45,7900,267.55
2014-10-27,278.00,278.35,271.00,275.95,6900,271.98
2014-10-24,277.50,277.50,277.50,277.50,000,273.51
2014-10-23,277.50,277.50,277.50,277.50,000,273.51
2014-10-22,273.75,278.50,273.05,277.50,13900,273.51
2014-10-21,272.70,273.55,269.00,270.60,10900,266.71
