Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,313.00,321.50,306.15,308.10,582500,304.50
2015-07-16,329.70,330.00,310.50,312.75,632900,309.10
2015-07-15,323.80,340.00,323.00,327.65,1540000,323.82
2015-07-14,277.50,329.00,277.25,321.65,2953000,317.89
2015-07-13,279.15,284.70,276.00,276.90,230300,273.66
2015-07-10,289.70,290.50,276.55,277.90,234300,274.65
2015-07-09,289.00,293.75,284.00,285.85,210900,282.51
2015-07-08,296.00,298.75,287.00,289.25,302400,285.87
2015-07-07,306.00,309.05,296.50,298.00,245600,294.52
2015-07-06,294.95,304.90,290.60,302.10,240700,298.57
2015-07-03,303.90,307.80,297.00,298.15,210900,294.67
2015-07-02,305.70,309.95,302.55,303.65,226900,300.10
2015-07-01,303.40,310.80,303.25,304.35,227300,300.79
2015-06-30,304.00,308.40,301.50,303.65,194900,300.10
2015-06-29,308.00,308.00,300.90,303.70,165000,300.15
2015-06-26,317.50,321.80,310.50,315.55,205000,311.86
2015-06-25,320.00,321.80,315.35,317.80,157400,314.09
2015-06-24,324.50,332.00,318.20,320.50,296800,316.76
2015-06-23,319.10,326.90,315.70,323.25,245600,319.47
2015-06-22,317.40,323.90,314.55,318.95,181400,315.22
2015-06-19,323.80,327.55,312.75,315.50,236900,311.81
2015-06-18,312.95,320.50,312.40,320.50,431300,316.76
2015-06-17,309.50,320.90,307.00,311.50,402200,307.86
2015-06-16,307.30,313.60,299.10,309.25,203500,305.64
2015-06-15,303.00,315.70,298.30,307.25,404400,303.66
2015-06-12,306.00,308.00,300.00,303.30,158400,299.76
2015-06-11,316.90,319.65,304.45,309.45,182300,305.83
2015-06-10,310.90,319.90,310.25,313.90,173200,310.23
2015-06-09,320.00,320.90,308.00,310.25,192800,306.62
2015-06-08,329.40,331.55,316.00,320.20,153900,316.46
2015-06-05,328.95,336.95,324.45,329.35,259300,325.50
2015-06-04,348.10,349.00,309.50,333.10,457100,329.21
2015-06-03,378.45,379.00,347.90,349.90,227400,345.81
2015-06-02,391.00,391.15,377.00,378.10,117200,373.68
2015-06-01,392.00,394.90,388.85,390.55,100600,385.99
2015-05-29,395.70,398.50,389.00,390.95,163400,386.38
2015-05-28,397.50,407.00,394.65,396.45,239100,391.82
2015-05-27,391.00,407.00,375.00,395.15,737800,390.53
2015-05-26,397.45,398.25,388.50,393.90,105400,389.30
2015-05-25,397.00,407.35,392.00,395.60,159800,390.98
2015-05-22,394.00,396.00,391.05,394.35,86700,389.74
2015-05-21,394.10,395.70,387.90,391.55,104800,386.97
2015-05-20,398.00,399.90,391.00,393.80,119300,389.20
2015-05-19,392.50,401.15,389.40,395.40,251700,390.78
2015-05-18,389.35,395.90,384.00,393.85,127400,389.25
2015-05-15,393.40,395.00,386.15,387.90,122700,383.37
2015-05-14,390.00,395.30,385.45,391.60,125400,387.02
2015-05-13,388.70,394.90,383.05,389.30,145200,384.75
2015-05-12,394.50,394.50,382.00,385.10,116000,380.60
2015-05-11,395.00,400.65,390.85,393.00,152300,388.41
2015-05-08,394.00,396.95,385.85,391.15,155700,386.58
2015-05-07,397.90,399.65,383.00,389.25,206200,384.70
2015-05-06,402.00,412.00,396.15,399.10,360300,394.44
2015-05-05,407.40,407.80,398.55,401.65,207900,396.96
2015-05-04,395.80,406.90,395.50,405.25,211200,400.51
2015-05-01,394.45,394.45,394.45,394.45,000,389.84
2015-04-30,402.10,409.90,392.75,394.45,205700,389.84
2015-04-29,405.00,408.00,397.00,401.60,234200,396.91
2015-04-28,404.70,413.60,395.10,399.95,216800,395.28
2015-04-27,416.20,418.30,402.00,405.25,159100,400.51
2015-04-24,440.00,441.00,414.60,416.10,240100,411.24
2015-04-23,445.80,448.00,437.00,439.25,158500,434.12
2015-04-22,450.00,454.70,433.35,441.30,193900,436.14
2015-04-21,452.10,458.00,446.70,448.50,155700,443.26
2015-04-20,468.70,470.30,447.60,454.40,171100,449.09
2015-04-17,470.00,478.70,464.00,466.35,270300,460.90
2015-04-16,467.45,481.90,464.05,467.80,302800,462.33
2015-04-15,469.70,477.00,461.25,465.10,232500,459.67
2015-04-14,466.20,466.20,466.20,466.20,000,460.75
2015-04-13,458.70,472.25,457.50,466.20,263100,460.75
2015-04-10,457.60,466.40,451.00,457.40,236600,452.06
2015-04-09,457.00,461.70,450.55,457.35,202600,452.01
2015-04-08,463.00,471.60,452.70,454.25,281100,448.94
2015-04-07,465.90,473.00,456.40,461.05,347800,455.66
2015-04-06,433.90,474.00,433.00,462.75,773100,457.34
2015-04-03,428.80,428.80,428.80,428.80,000,423.79
2015-04-02,428.80,428.80,428.80,428.80,000,423.79
2015-04-01,422.50,434.00,419.00,428.80,192100,423.79
2015-03-31,425.50,436.40,420.10,425.70,247100,420.73
2015-03-30,407.80,425.00,407.00,423.00,224200,418.06
2015-03-27,420.00,427.00,402.65,406.20,253200,401.45
2015-03-26,422.00,428.00,416.10,418.70,197000,413.81
2015-03-25,435.70,436.75,422.05,424.10,149600,419.14
2015-03-24,441.00,445.40,426.95,433.55,202800,428.48
2015-03-23,447.70,447.70,437.70,441.25,148200,436.09
2015-03-20,456.60,461.60,442.00,444.40,184000,439.21
2015-03-19,465.90,472.00,457.30,459.25,227100,453.88
2015-03-18,465.45,465.50,455.45,461.45,215500,456.06
2015-03-17,460.40,467.80,452.10,462.10,204000,456.70
2015-03-16,467.00,468.55,454.60,457.65,248000,452.30
2015-03-13,483.30,485.00,465.60,468.20,243700,462.73
2015-03-12,480.10,487.50,477.05,479.50,259900,473.90
2015-03-11,489.70,491.35,476.25,478.15,233400,472.56
2015-03-10,496.50,504.00,483.75,487.05,349900,481.36
2015-03-09,496.05,509.90,490.00,492.85,480600,487.09
2015-03-06,501.00,501.00,501.00,501.00,000,495.15
2015-03-05,479.00,519.50,474.25,501.00,1368600,495.15
2015-03-04,484.60,493.80,475.25,480.50,322100,474.89
2015-03-03,473.80,495.50,467.25,480.25,541100,474.64
2015-03-02,474.00,475.00,466.25,470.70,155100,465.20
2015-02-27,471.40,477.95,468.05,471.20,155900,465.69
2015-02-26,474.70,477.05,466.50,469.20,184000,463.72
2015-02-25,478.00,485.00,470.20,472.05,182000,466.53
2015-02-24,476.90,484.55,471.75,476.10,190100,470.54
2015-02-23,483.30,488.60,473.40,476.55,182000,470.98
2015-02-20,479.00,497.20,473.25,480.30,427000,474.69
2015-02-19,477.00,484.00,471.00,476.25,177400,470.69
2015-02-18,483.95,488.00,476.50,478.80,183800,473.21
2015-02-17,482.40,482.40,482.40,482.40,000,476.76
2015-02-16,483.15,490.90,479.95,482.40,191900,476.76
2015-02-13,489.20,497.80,477.05,479.35,284100,473.75
2015-02-12,479.50,488.00,473.00,484.90,278900,479.23
2015-02-11,479.70,482.00,471.10,476.50,160900,470.93
2015-02-10,462.40,481.50,461.25,475.35,211200,469.80
2015-02-09,472.00,472.00,460.00,463.30,146300,457.89
2015-02-06,480.10,487.80,471.00,475.25,260900,469.70
2015-02-05,491.25,492.00,476.50,478.70,235200,473.11
2015-02-04,508.80,511.55,488.60,491.15,476700,485.41
