Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1436.70,1444.40,1406.00,1412.75,5200,1412.75
2015-07-16,1409.00,1440.90,1407.90,1431.25,9000,1431.25
2015-07-15,1390.00,1414.30,1390.00,1404.10,5500,1404.10
2015-07-14,1410.00,1410.00,1378.05,1382.15,4100,1382.15
2015-07-13,1378.00,1399.00,1378.00,1392.35,6300,1392.35
2015-07-10,1402.75,1406.50,1364.95,1372.30,4600,1372.30
2015-07-09,1421.00,1425.00,1380.00,1389.40,7700,1389.40
2015-07-08,1375.75,1431.70,1366.40,1421.25,9300,1421.25
2015-07-07,1406.00,1410.00,1382.05,1383.00,4400,1383.00
2015-07-06,1380.00,1417.30,1377.00,1400.60,6700,1400.60
2015-07-03,1371.10,1400.00,1367.60,1394.00,19100,1394.00
2015-07-02,1332.20,1366.00,1325.05,1362.50,10100,1362.50
2015-07-01,1325.20,1338.05,1325.00,1330.20,3300,1330.20
2015-06-30,1325.00,1336.00,1320.10,1322.75,5800,1322.75
2015-06-29,1313.00,1329.00,1294.00,1321.10,4700,1321.10
2015-06-26,1368.40,1368.40,1340.05,1350.65,6800,1350.65
2015-06-25,1330.50,1368.00,1319.50,1361.75,11200,1361.75
2015-06-24,1345.10,1357.40,1315.95,1323.10,2700,1323.10
2015-06-23,1333.00,1370.00,1331.00,1343.80,5500,1343.80
2015-06-22,1337.15,1345.00,1325.00,1334.10,6000,1334.10
2015-06-19,1314.50,1345.00,1314.50,1326.85,5000,1326.85
2015-06-18,1316.15,1330.00,1301.75,1316.75,3800,1316.75
2015-06-17,1274.05,1328.50,1265.05,1311.00,5900,1311.00
2015-06-16,1268.70,1270.95,1245.00,1264.80,4600,1264.80
2015-06-15,1268.10,1280.00,1250.00,1261.85,2100,1261.85
2015-06-12,1350.20,1350.20,1254.05,1262.40,2900,1262.40
2015-06-11,1296.65,1315.15,1261.00,1267.55,3900,1267.55
2015-06-10,1310.95,1322.85,1288.40,1294.40,5000,1294.40
2015-06-09,1267.00,1310.00,1257.25,1295.90,7300,1295.90
2015-06-08,1269.20,1275.00,1245.50,1275.00,3500,1275.00
2015-06-05,1281.40,1298.80,1255.00,1264.90,5600,1264.90
2015-06-04,1275.00,1295.00,1270.00,1280.85,3500,1280.85
2015-06-03,1308.80,1333.00,1257.05,1272.85,8900,1272.85
2015-06-02,1341.30,1350.00,1311.00,1320.80,4300,1320.80
2015-06-01,1330.00,1344.95,1313.00,1329.55,2900,1329.55
2015-05-29,1386.80,1386.80,1332.50,1340.00,5600,1340.00
2015-05-28,1366.85,1390.00,1338.05,1340.00,5000,1340.00
2015-05-27,1365.60,1367.80,1346.00,1355.90,4600,1355.90
2015-05-26,1381.95,1386.00,1359.00,1369.20,3500,1369.20
