Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1946.60,1969.95,1939.60,1947.45,9000,1947.45
2015-07-16,1925.30,1960.00,1921.65,1944.85,12400,1944.85
2015-07-15,1924.00,1932.30,1905.00,1921.25,10500,1921.25
2015-07-14,1923.55,1942.00,1902.70,1915.05,5600,1915.05
2015-07-13,1895.00,1937.00,1875.05,1919.55,76600,1919.55
2015-07-10,1929.00,1929.00,1870.90,1883.35,14200,1883.35
2015-07-09,1885.00,1904.80,1863.40,1881.50,39300,1881.50
2015-07-08,1910.00,1929.20,1870.10,1884.95,35100,1884.95
2015-07-07,1971.00,1990.45,1914.10,1936.80,13000,1936.80
2015-07-06,1865.00,2005.95,1843.00,1962.30,50900,1962.30
2015-07-03,1839.00,1885.20,1828.40,1877.95,15900,1877.95
2015-07-02,1823.00,1840.00,1820.00,1826.25,6700,1826.25
2015-07-01,1800.00,1834.80,1795.70,1823.25,12600,1823.25
2015-06-30,1730.90,1794.45,1730.90,1790.80,14500,1790.80
2015-06-29,1745.00,1751.10,1703.05,1728.05,11700,1728.05
2015-06-26,1733.00,1784.90,1728.00,1775.75,9600,1775.75
2015-06-25,1730.00,1750.00,1720.50,1740.15,5300,1740.15
2015-06-24,1764.00,1771.70,1727.00,1736.80,7200,1736.80
2015-06-23,1780.95,1795.30,1746.00,1763.95,58000,1763.95
2015-06-22,1748.95,1788.60,1748.95,1782.25,9200,1782.25
2015-06-19,1745.90,1758.85,1730.00,1745.60,7200,1745.60
2015-06-18,1716.00,1749.15,1705.00,1740.90,6000,1740.90
2015-06-17,1755.00,1755.00,1678.95,1718.50,5800,1718.50
2015-06-16,1678.00,1697.80,1671.50,1689.45,16000,1689.45
2015-06-15,1709.00,1723.00,1686.00,1691.80,7200,1691.80
2015-06-12,1695.00,1728.00,1686.75,1707.90,6800,1707.90
2015-06-11,1745.50,1745.50,1700.00,1712.35,4800,1712.35
2015-06-10,1715.85,1750.00,1707.40,1735.95,11000,1735.95
2015-06-09,1700.00,1722.20,1686.00,1698.15,7400,1698.15
2015-06-08,1742.00,1742.00,1685.00,1700.00,4300,1700.00
2015-06-05,1714.50,1769.95,1714.45,1742.00,10500,1742.00
2015-06-04,1728.00,1734.15,1699.05,1706.85,7900,1706.85
2015-06-03,1728.00,1753.05,1665.00,1722.15,9800,1722.15
2015-06-02,1762.00,1790.75,1732.10,1741.55,10300,1741.55
2015-06-01,1850.00,1850.00,1764.00,1774.55,11700,1774.55
2015-05-29,1811.30,1849.25,1800.50,1807.20,10400,1807.20
2015-05-28,1810.95,1818.00,1786.45,1814.15,9400,1814.15
2015-05-27,1814.00,1815.70,1794.85,1809.55,6000,1809.55
2015-05-26,1834.00,1838.15,1806.20,1817.15,9300,1817.15
2015-05-25,1860.10,1865.00,1821.00,1835.25,9300,1835.25
2015-05-22,1847.45,1858.85,1828.45,1833.30,7500,1833.30
2015-05-21,1864.50,1874.00,1841.00,1848.45,126900,1848.45
2015-05-20,1857.35,1868.30,1845.00,1855.60,6900,1855.60
2015-05-19,1859.90,1881.00,1841.75,1848.60,9700,1848.60
