Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,106.40,114.00,106.40,113.90,000,113.90
2015-07-16,110.00,112.40,110.00,112.40,000,112.40
2015-07-15,106.40,106.60,106.00,106.50,200,106.50
2015-07-14,107.00,109.80,105.30,107.20,100,107.20
2015-07-13,109.80,109.80,108.90,109.00,100,109.00
2015-07-10,112.30,112.30,112.30,112.30,000,112.30
2015-07-09,107.00,111.90,105.00,109.00,000,109.00
2015-07-08,105.10,108.00,105.10,107.10,200,107.10
2015-07-07,106.20,121.90,106.20,106.50,600,106.50
2015-07-06,105.00,114.90,104.00,107.00,000,107.00
2015-07-03,105.60,113.40,105.60,112.50,200,112.50
2015-07-02,111.00,111.00,111.00,111.00,000,111.00
2015-07-01,105.40,113.80,105.40,111.00,000,111.00
2015-06-30,114.90,114.90,105.10,110.00,600,110.00
2015-06-29,108.00,108.00,108.00,108.00,400,108.00
2015-06-26,110.00,113.00,106.60,109.00,300,109.00
2015-06-25,111.00,114.00,111.00,112.90,100,112.90
2015-06-24,112.00,114.00,104.30,107.80,100,107.80
2015-06-23,106.00,107.00,104.20,104.60,000,104.60
2015-06-22,105.00,109.40,104.10,108.00,000,108.00
2015-06-19,111.60,111.60,106.00,109.60,000,109.60
2015-06-18,108.00,110.90,105.30,109.20,000,109.20
2015-06-17,111.10,111.10,106.10,108.80,300,108.80
2015-06-16,110.10,112.90,110.10,111.20,100,111.20
2015-06-15,112.00,114.90,110.00,111.00,200,111.00
2015-06-12,113.30,113.30,113.30,113.30,000,113.30
2015-06-11,115.00,115.00,115.00,115.00,000,115.00
2015-06-10,115.00,115.00,115.00,115.00,000,115.00
2015-06-09,118.90,118.90,112.20,115.00,000,115.00
2015-06-08,114.00,115.00,110.00,115.00,100,115.00
2015-06-05,115.00,120.00,115.00,120.00,000,120.00
2015-06-04,115.00,117.00,110.60,117.00,100,117.00
2015-06-03,117.00,117.00,117.00,117.00,000,117.00
2015-06-02,115.00,117.00,114.00,117.00,000,117.00
2015-06-01,116.10,116.10,116.10,116.10,000,116.10
2015-05-29,113.60,113.60,113.60,113.60,000,113.60
2015-05-28,113.60,113.60,113.60,113.60,000,113.60
2015-05-27,113.60,113.60,113.60,113.60,000,113.60
2015-05-26,113.60,113.60,113.60,113.60,000,113.60
2015-05-25,114.00,114.00,111.50,113.60,1100,113.60
2015-05-22,113.00,117.90,112.40,116.10,600,116.10
2015-05-21,117.90,117.90,117.90,117.90,000,117.90
2015-05-20,119.90,119.90,113.00,119.00,000,119.00
2015-05-19,112.10,119.00,112.00,113.80,600,113.80
2015-05-18,115.00,115.00,112.20,112.20,000,112.20
2015-05-15,116.00,116.00,116.00,116.00,000,116.00
2015-05-14,114.00,114.00,114.00,114.00,000,114.00
2015-05-13,118.00,118.00,114.00,114.00,100,114.00
2015-05-12,119.00,119.00,114.00,115.70,900,115.70
2015-05-11,120.00,120.00,116.00,116.70,1900,116.70
2015-05-08,116.10,118.00,113.10,118.00,200,118.00
2015-05-07,117.60,117.60,117.60,117.60,000,117.60
2015-05-06,120.00,120.00,117.30,117.80,000,117.80
2015-05-05,118.30,118.30,118.30,118.30,000,118.30
2015-05-04,122.00,124.00,116.00,120.00,1300,120.00
2015-05-01,122.20,122.20,122.20,122.20,000,122.20
2015-04-30,122.30,122.30,122.00,122.20,100,122.20
2015-04-29,127.00,128.10,122.20,122.20,1000,122.20
2015-04-28,124.00,124.10,124.00,124.00,100,124.00
2015-04-27,125.00,125.00,124.00,124.00,000,124.00
2015-04-24,132.00,134.40,127.00,129.30,1300,129.30
2015-04-23,119.00,144.70,119.00,135.50,3900,135.50
2015-04-22,126.10,130.00,117.50,120.60,800,120.60
2015-04-21,127.00,131.00,126.30,126.30,100,126.30
2015-04-20,125.00,125.00,124.00,125.00,1600,125.00
2015-04-17,125.10,125.10,125.00,125.00,000,125.00
2015-04-16,127.20,127.20,127.20,127.20,000,127.20
2015-04-15,129.90,129.90,126.00,127.20,000,127.20
2015-04-14,125.00,125.00,125.00,125.00,000,125.00
2015-04-13,130.00,130.00,125.00,125.00,000,125.00
2015-04-10,123.10,126.00,123.10,125.00,600,125.00
2015-04-09,128.00,128.00,128.00,128.00,000,128.00
2015-04-08,128.00,128.00,128.00,128.00,000,128.00
2015-04-07,130.00,130.00,124.20,128.00,300,128.00
2015-04-06,131.00,131.00,124.00,124.00,100,124.00
2015-04-03,131.30,131.30,131.30,131.30,000,131.30
2015-04-02,131.30,131.30,131.30,131.30,000,131.30
2015-04-01,125.00,135.00,124.10,131.30,900,131.30
2015-03-31,123.20,123.20,123.20,123.20,000,123.20
2015-03-30,124.00,124.00,123.10,123.20,000,123.20
2015-03-27,123.00,131.00,122.00,131.00,1700,131.00
2015-03-26,121.80,121.80,121.80,121.80,000,121.80
2015-03-25,121.80,122.00,121.80,121.80,000,121.80
2015-03-24,121.70,121.70,121.70,121.70,000,121.70
2015-03-23,121.70,121.70,121.70,121.70,000,121.70
2015-03-20,123.00,123.00,120.20,121.00,000,121.00
2015-03-19,124.00,124.00,122.00,122.00,100,122.00
2015-03-18,125.00,125.00,125.00,125.00,000,125.00
2015-03-17,125.00,125.00,124.10,125.00,000,125.00
2015-03-16,125.00,130.90,125.00,126.60,200,126.60
2015-03-13,125.70,125.70,125.50,125.50,100,125.50
2015-03-12,123.10,123.10,123.10,123.10,000,123.10
2015-03-11,129.90,129.90,121.00,123.10,100,123.10
2015-03-10,125.10,125.10,125.10,125.10,000,125.10
2015-03-09,128.00,130.00,125.00,127.50,1700,127.50
2015-03-06,123.40,123.40,123.40,123.40,000,123.40
2015-03-05,123.40,123.40,123.40,123.40,000,123.40
2015-03-04,122.50,125.00,119.00,123.40,000,123.40
2015-03-03,123.20,123.20,123.00,123.00,700,123.00
2015-03-02,126.00,126.00,123.70,123.70,400,123.70
2015-02-27,120.20,123.00,120.20,123.00,200,123.00
2015-02-26,118.00,120.00,118.00,120.00,200,120.00
2015-02-25,118.00,120.00,118.00,118.10,600,118.10
2015-02-24,118.00,118.00,118.00,118.00,100,118.00
2015-02-23,120.00,120.00,118.00,118.00,200,118.00
2015-02-20,123.00,123.00,123.00,123.00,000,123.00
2015-02-19,120.00,123.00,120.00,123.00,200,123.00
2015-02-18,119.10,127.00,119.10,124.90,000,124.90
2015-02-17,119.00,119.00,119.00,119.00,000,119.00
2015-02-16,125.00,125.00,117.00,119.00,000,119.00
2015-02-13,116.00,129.00,114.30,126.50,000,126.50
2015-02-12,116.00,125.00,115.00,121.50,000,121.50
2015-02-11,116.90,116.90,113.05,113.05,100,113.05
2015-02-10,116.85,117.00,112.00,112.40,100,112.40
2015-02-09,111.00,112.00,111.00,112.00,000,112.00
2015-02-06,113.05,113.05,113.00,113.00,000,113.00
2015-02-05,118.00,120.00,113.00,113.35,600,113.35
2015-02-04,120.00,124.00,115.00,118.15,000,118.15
2015-02-03,117.00,120.05,116.00,118.00,000,118.00
2015-02-02,117.00,117.00,117.00,117.00,200,117.00
2015-01-30,116.10,123.00,113.20,117.10,700,117.10
2015-01-29,117.00,117.00,117.00,117.00,000,117.00
2015-01-28,120.00,120.00,117.00,117.00,000,117.00
2015-01-27,117.00,119.00,115.55,116.85,000,116.85
2015-01-26,117.45,117.45,117.45,117.45,000,117.45
2015-01-23,120.15,123.00,117.10,117.45,300,117.45
2015-01-22,119.00,122.20,119.00,120.05,000,120.05
2015-01-21,115.00,123.30,114.05,117.15,200,117.15
2015-01-20,119.00,123.00,113.00,113.00,700,113.00
2015-01-19,118.00,119.00,116.65,117.05,900,117.05
2015-01-16,123.05,123.05,116.00,116.10,2200,116.10
2015-01-15,123.55,123.75,123.50,123.75,200,123.75
2015-01-14,125.90,126.00,117.50,125.20,1000,125.20
2015-01-13,125.00,125.00,125.00,125.00,100,125.00
2015-01-12,130.00,135.00,125.00,125.65,200,125.65
2015-01-09,117.60,138.00,117.60,125.25,500,125.25
2015-01-08,117.65,118.00,117.10,117.10,200,117.10
2015-01-07,120.20,120.20,115.20,117.55,700,117.55
2015-01-06,119.05,120.05,119.00,120.05,100,120.05
2015-01-05,120.00,128.50,120.00,125.80,500,125.80
2015-01-02,119.90,119.90,119.90,119.90,000,119.90
2015-01-01,117.45,117.45,117.45,117.45,000,117.45
2014-12-31,113.70,113.70,113.65,113.65,000,113.65
2014-12-30,117.40,117.40,117.40,117.40,000,117.40
2014-12-29,112.05,118.00,111.15,117.40,1100,117.40
2014-12-26,111.55,111.55,111.55,111.55,000,111.55
2014-12-25,111.55,111.55,111.55,111.55,000,111.55
2014-12-24,112.00,112.05,111.50,111.55,000,111.55
2014-12-23,113.70,115.50,112.00,112.40,2400,112.40
2014-12-22,117.00,117.00,112.05,117.00,2000,117.00
2014-12-19,115.00,117.00,115.00,117.00,300,117.00
2014-12-18,114.00,120.00,114.00,117.00,100,117.00
2014-12-17,115.00,115.00,108.00,112.35,900,112.35
2014-12-16,115.00,116.95,111.00,111.95,500,111.95
2014-12-15,121.00,121.00,113.10,116.35,1800,116.35
2014-12-12,125.05,125.05,120.00,125.00,100,125.00
2014-12-11,130.50,131.00,124.95,125.00,100,125.00
2014-12-10,132.00,132.00,132.00,132.00,000,132.00
2014-12-09,132.00,132.00,132.00,132.00,000,132.00
2014-12-08,134.00,137.00,134.00,137.00,1200,137.00
2014-12-05,133.00,138.00,133.00,136.75,200,136.75
2014-12-04,137.10,140.00,132.00,137.10,4500,137.10
2014-12-03,124.95,139.00,124.95,136.90,3100,136.90
2014-12-02,124.90,125.00,120.00,124.90,200,124.90
2014-12-01,112.55,125.00,112.50,122.95,2100,122.95
2014-11-28,116.60,120.00,116.60,119.00,500,119.00
2014-11-27,115.00,125.00,115.00,121.70,1500,121.70
2014-11-26,113.05,116.80,111.10,111.60,300,111.60
2014-11-25,120.60,120.60,111.55,116.00,900,116.00
2014-11-24,120.00,123.85,117.60,120.60,1900,120.60
2014-11-21,117.90,128.90,114.00,124.20,4800,124.20
2014-11-20,112.30,112.30,112.00,112.05,100,112.05
2014-11-19,116.50,116.50,111.25,115.00,1300,115.00
2014-11-18,110.60,115.00,110.00,112.85,900,112.85
2014-11-17,115.00,117.50,111.45,116.50,26500,116.50
2014-11-14,114.95,115.00,111.40,113.00,400,113.00
2014-11-13,111.00,116.20,111.00,113.10,200,113.10
2014-11-12,119.95,125.00,111.00,115.95,4700,115.95
2014-11-11,111.05,120.00,111.00,115.00,500,115.00
2014-11-10,120.00,122.30,111.50,112.15,800,112.15
2014-11-07,113.10,130.00,113.10,122.25,9500,122.25
2014-11-06,111.95,111.95,111.95,111.95,000,111.95
2014-11-05,106.20,113.90,106.20,111.95,500,111.95
2014-11-04,110.00,110.00,110.00,110.00,000,110.00
2014-11-03,106.00,110.00,106.00,110.00,200,110.00
2014-10-31,106.00,110.00,106.00,107.00,6900,107.00
2014-10-30,104.00,107.00,104.00,107.00,100,107.00
2014-10-29,104.50,104.50,104.00,104.00,000,104.00
2014-10-28,109.40,109.50,109.40,109.50,1000,109.50
2014-10-27,103.45,106.50,103.45,104.50,200,104.50
2014-10-24,107.00,107.00,107.00,107.00,000,107.00
2014-10-23,107.00,107.00,107.00,107.00,000,107.00
2014-10-22,102.75,113.00,102.75,107.00,5200,107.00
2014-10-21,108.20,111.80,104.10,106.00,2000,106.00
2014-10-20,104.00,111.40,104.00,110.65,5200,110.65
2014-10-17,104.00,104.10,104.00,104.05,100,104.05
2014-10-16,104.50,109.40,104.50,104.50,100,104.50
2014-10-15,104.50,104.50,104.50,104.50,000,104.50
2014-10-14,104.05,107.95,104.00,104.50,400,104.50
2014-10-13,102.30,104.00,102.30,104.00,200,104.00
2014-10-10,108.45,108.45,108.45,108.45,000,108.45
2014-10-09,105.00,109.90,105.00,108.45,700,108.45
2014-10-08,106.20,108.95,102.70,108.95,000,108.95
2014-10-07,109.85,109.85,106.50,106.50,300,106.50
2014-10-06,106.50,106.50,106.50,106.50,000,106.50
