Date,Open,High,Low,Close,Volume,Adj Close
2015-06-04,162.00,164.00,144.90,154.95,64200,154.95
2015-06-03,175.80,175.80,161.00,161.75,44900,161.75
2015-06-02,179.05,180.50,172.55,174.40,29300,174.40
2015-06-01,182.00,183.75,178.35,179.30,27200,179.30
2015-05-29,180.00,185.00,179.50,182.35,99500,182.35
2015-05-28,179.90,183.25,177.45,179.85,128900,179.85
2015-05-27,179.00,181.50,176.35,177.20,105800,177.20
2015-05-26,182.00,182.60,178.00,178.75,152100,178.75
2015-05-25,179.00,187.00,176.30,181.05,138000,181.05
2015-05-22,183.40,183.60,176.75,178.40,57400,178.40
2015-05-21,187.00,187.00,181.10,182.05,67900,182.05
2015-05-20,188.70,189.55,184.00,184.55,54500,184.55
2015-05-19,186.95,192.25,184.05,186.60,154100,186.60
2015-05-18,184.90,193.40,182.00,183.45,162000,183.45
2015-05-15,200.00,203.00,181.50,184.85,435600,184.85
2015-05-14,219.95,223.70,217.50,221.05,83100,221.05
2015-05-13,219.90,224.10,216.20,218.20,56700,218.20
2015-05-12,225.00,225.50,215.55,217.50,53300,217.50
2015-05-11,224.50,228.70,222.55,223.65,95200,223.65
2015-05-08,222.70,228.00,221.00,222.35,113800,222.35
2015-05-07,224.75,227.50,215.70,217.80,122300,217.80
2015-05-06,242.85,245.55,225.00,229.05,130000,229.05
2015-05-05,239.90,243.85,236.10,238.10,151300,238.10
2015-05-04,233.05,239.85,233.05,237.30,162300,237.30
2015-05-01,228.90,228.90,228.90,228.90,000,228.90
2015-04-30,227.30,236.00,222.80,228.90,127000,228.90
2015-04-29,229.50,238.20,226.00,228.70,179900,228.70
2015-04-28,226.15,237.80,218.00,234.20,171900,234.20
2015-04-27,243.70,244.00,222.00,223.55,97500,223.55
2015-04-24,253.00,259.50,240.05,241.30,136100,241.30
2015-04-23,264.00,264.50,251.85,253.10,137000,253.10
2015-04-22,262.05,271.00,256.80,261.05,191700,261.05
2015-04-21,262.95,272.10,253.40,259.30,171500,259.30
2015-04-20,282.05,282.05,258.95,262.30,216200,262.30
2015-04-17,299.00,303.25,281.70,285.05,211900,285.05
2015-04-16,320.50,332.00,295.00,297.95,336400,297.95
2015-04-15,300.80,328.90,297.95,316.95,457200,316.95
2015-04-14,296.95,296.95,296.95,296.95,000,296.95
2015-04-13,261.85,301.00,259.00,296.95,454200,296.95
2015-04-10,244.80,264.45,244.80,259.85,210200,259.85
2015-04-09,242.90,246.35,240.00,241.85,67700,241.85
2015-04-08,244.70,249.10,239.20,240.50,80600,240.50
2015-04-07,244.00,248.80,240.55,243.00,112400,243.00
2015-04-06,233.50,243.70,224.50,236.90,105200,236.90
2015-04-03,230.90,230.90,230.90,230.90,000,230.90
2015-04-02,230.90,230.90,230.90,230.90,000,230.90
2015-04-01,228.20,236.90,228.10,230.90,177300,230.90
2015-03-31,209.00,237.95,209.00,227.70,281600,227.70
2015-03-30,207.00,213.85,206.00,207.10,48800,207.10
2015-03-27,208.00,215.00,202.10,203.80,85700,203.80
2015-03-26,210.80,211.95,202.25,205.90,85900,205.90
2015-03-25,218.00,222.00,211.10,213.40,83500,213.40
2015-03-24,226.00,230.70,211.70,215.40,1898700,215.40
2015-03-23,250.00,251.20,220.45,223.60,54200,223.60
2015-03-20,256.50,259.25,249.00,250.90,37800,250.90
2015-03-19,265.00,268.85,255.15,256.80,36100,256.80
2015-03-18,272.00,273.35,261.10,262.60,44500,262.60
2015-03-17,277.55,279.70,269.00,271.05,32800,271.05
2015-03-16,269.80,279.10,268.20,274.25,84000,274.25
2015-03-13,268.00,276.00,266.45,268.15,66300,268.15
2015-03-12,262.00,266.30,261.30,262.85,51700,262.85
2015-03-11,270.00,272.50,259.05,260.50,47100,260.50
2015-03-10,270.45,278.85,265.15,267.80,81300,267.80
2015-03-09,265.95,275.70,257.25,268.95,71700,268.95
2015-03-06,266.45,266.45,266.45,266.45,000,266.45
2015-03-05,274.00,276.65,265.20,266.45,39500,266.45
2015-03-04,284.00,284.50,272.00,273.55,53300,273.55
2015-03-03,273.10,285.55,272.20,279.80,125600,279.80
2015-03-02,274.15,277.70,270.75,272.55,39400,272.55
2015-02-27,275.00,281.70,275.00,276.15,42300,276.15
2015-02-26,278.90,282.95,274.05,275.55,59000,275.55
2015-02-25,289.00,290.00,276.25,277.80,216700,277.80
2015-02-24,291.00,292.00,282.20,285.40,49500,285.40
2015-02-23,297.90,299.10,286.30,289.40,42700,289.40
2015-02-20,303.00,307.40,293.75,296.05,46500,296.05
2015-02-19,290.80,305.20,288.55,300.55,88500,300.55
2015-02-18,290.00,294.90,285.80,287.00,71500,287.00
2015-02-17,293.60,293.60,293.60,293.60,000,293.60
2015-02-16,295.00,305.00,289.70,293.60,43200,293.60
2015-02-13,298.50,311.95,294.50,296.30,55800,296.30
2015-02-12,310.05,315.90,307.00,311.40,70500,311.40
2015-02-11,304.00,310.00,299.20,308.10,84100,308.10
2015-02-10,276.10,305.00,274.95,297.50,69900,297.50
2015-02-09,291.00,291.00,273.00,279.75,57900,279.75
2015-02-06,315.05,315.05,294.15,295.75,64100,295.75
2015-02-05,319.25,325.40,312.00,313.50,51100,313.50
2015-02-04,320.20,325.50,318.55,319.30,45800,319.30
2015-02-03,324.15,329.20,315.60,317.60,57300,317.60
2015-02-02,322.00,329.80,320.00,323.05,53400,323.05
2015-01-30,332.55,336.80,320.55,322.85,83000,322.85
2015-01-29,336.25,338.30,329.30,330.80,44500,330.80
2015-01-28,327.25,342.00,327.15,336.25,58600,336.25
2015-01-27,339.00,339.45,326.40,329.65,63600,329.65
2015-01-26,337.05,337.05,337.05,337.05,000,337.05
2015-01-23,345.00,346.25,336.00,337.05,22800,337.05
2015-01-22,350.00,350.35,340.00,341.15,39700,341.15
2015-01-21,348.00,355.00,343.00,348.65,65700,348.65
2015-01-20,343.55,356.80,343.00,346.65,120200,346.65
2015-01-19,338.95,349.90,338.95,341.60,108900,341.60
2015-01-16,341.05,347.00,336.90,339.90,84400,339.90
2015-01-15,336.10,347.80,336.10,340.90,76800,340.90
2015-01-14,337.25,343.40,330.05,335.30,55600,335.30
2015-01-13,349.70,352.00,335.10,338.75,82500,338.75
2015-01-12,338.10,348.70,335.70,346.90,93700,346.90
2015-01-09,338.00,344.50,335.00,337.55,99100,337.55
2015-01-08,329.10,338.00,328.20,334.00,126100,334.00
2015-01-07,329.10,335.45,313.45,321.05,190400,321.05
2015-01-06,361.90,361.90,324.40,329.35,260800,329.35
2015-01-05,358.10,374.35,356.00,364.30,138400,364.30
2015-01-02,342.50,362.00,341.50,356.20,132600,356.20
2015-01-01,343.70,348.65,339.15,341.80,64300,341.80
2014-12-31,327.00,345.75,323.70,343.60,148700,343.60
2014-12-30,335.50,338.75,325.00,326.85,70500,326.85
2014-12-29,341.80,344.30,332.00,334.15,39000,334.15
2014-12-26,339.00,343.00,335.00,338.40,42300,338.40
2014-12-25,338.85,338.85,338.85,338.85,000,338.85
2014-12-24,332.75,347.00,332.75,338.85,80500,338.85
2014-12-23,343.00,351.00,330.00,335.00,72800,334.00
2014-12-22,357.55,357.55,338.10,339.90,73800,338.89
2014-12-19,352.25,372.80,350.20,353.55,89400,352.49
2014-12-18,334.00,356.90,334.00,353.60,73100,352.54
2014-12-17,347.00,351.05,324.05,330.05,76900,329.06
2014-12-16,350.05,363.30,344.00,346.85,56400,345.81
2014-12-15,378.00,382.30,365.05,366.85,45100,365.75
2014-12-12,380.05,389.00,376.10,378.35,56200,377.22
2014-12-11,386.95,388.95,381.00,382.00,44800,380.86
2014-12-10,387.00,396.00,384.00,386.65,39500,385.50
2014-12-09,397.75,402.25,385.00,386.60,45600,385.45
2014-12-08,393.00,406.90,387.55,395.70,130300,394.52
2014-12-05,404.85,405.75,388.00,392.15,54100,390.98
