Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,147.70,150.20,145.80,146.60,28800,146.60
2015-07-16,142.50,152.70,141.30,146.60,98700,146.60
2015-07-15,142.60,143.00,139.50,140.00,19000,140.00
2015-07-14,142.90,144.30,139.90,140.20,14500,140.20
2015-07-13,142.00,145.00,140.70,142.50,16200,142.50
2015-07-10,146.40,147.10,139.40,140.30,29100,140.30
2015-07-09,138.40,147.30,136.10,144.40,113300,144.40
2015-07-08,139.00,140.60,135.20,136.50,14900,136.50
2015-07-07,143.70,144.50,139.80,140.00,31000,140.00
2015-07-06,135.10,144.20,134.00,142.10,44900,142.10
2015-07-03,138.30,141.00,136.10,136.60,13800,136.60
2015-07-02,138.80,141.10,137.00,137.50,8200,137.50
2015-07-01,136.10,139.80,135.80,136.90,15600,136.90
2015-06-30,133.10,139.60,133.10,135.80,19800,135.80
2015-06-29,135.00,137.00,130.50,133.90,15300,133.90
2015-06-26,141.00,142.70,137.00,138.00,24700,138.00
2015-06-25,140.80,145.00,139.40,140.70,21000,140.70
2015-06-24,144.80,145.80,138.30,140.00,19600,140.00
2015-06-23,147.70,147.70,143.00,144.20,24200,144.20
2015-06-22,146.00,149.90,143.90,146.20,47900,146.20
2015-06-19,140.90,150.20,140.00,143.80,106600,143.80
2015-06-18,141.30,143.00,138.50,139.20,17400,139.20
2015-06-17,140.90,142.30,139.00,140.00,15600,140.00
2015-06-16,141.10,142.30,137.90,139.40,24900,139.40
2015-06-15,141.70,144.40,140.50,140.90,16300,140.90
2015-06-12,142.50,146.00,136.50,140.00,43400,140.00
2015-06-11,146.00,150.90,141.10,142.50,74000,142.50
2015-06-10,146.00,148.10,143.00,143.80,108800,143.80
2015-06-09,130.40,143.80,130.40,142.80,170100,142.80
2015-06-08,135.00,138.70,130.10,131.50,26100,131.50
2015-06-05,138.00,142.00,133.50,135.50,48200,135.50
2015-06-04,137.00,143.50,137.00,138.60,48800,138.60
2015-06-03,147.10,147.10,127.00,137.70,148100,137.70
2015-06-02,156.20,157.00,144.00,145.90,70200,145.90
2015-06-01,155.70,159.00,152.80,154.50,53300,154.50
2015-05-29,174.00,176.00,151.50,153.70,227900,153.70
2015-05-28,183.00,186.30,170.10,173.60,178600,173.60
2015-05-27,166.10,191.90,164.80,180.90,344200,180.90
2015-05-26,170.30,174.80,166.00,167.30,44200,167.30
2015-05-25,173.50,177.40,168.00,170.80,55500,170.80
2015-05-22,174.90,180.20,167.20,170.40,160700,170.40
2015-05-21,156.00,180.40,153.40,174.90,588700,174.90
2015-05-20,154.80,159.80,152.80,156.60,101200,156.60
2015-05-19,139.95,161.80,137.00,152.50,203400,152.50
2015-05-18,139.20,140.00,136.40,138.80,19200,138.80
2015-05-15,139.00,142.40,136.80,138.00,24800,138.00
2015-05-14,134.10,139.20,133.10,138.20,15300,138.20
2015-05-13,137.20,139.60,133.00,135.80,26800,135.80
2015-05-12,140.00,140.30,134.10,135.20,14700,135.20
2015-05-11,138.50,142.40,138.50,140.20,23200,140.20
2015-05-08,129.30,139.00,129.30,136.80,36200,136.80
2015-05-07,129.60,134.10,127.50,128.40,14100,128.40
2015-05-06,136.30,136.50,129.30,130.20,31400,130.20
2015-05-05,138.00,141.50,136.00,137.00,28100,137.00
2015-05-04,131.40,139.50,130.10,137.30,33800,137.30
