Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,91.00,91.90,90.70,91.25,88600,91.25
2015-07-16,90.30,91.30,90.05,90.90,99800,90.90
2015-07-15,92.00,92.40,89.60,90.05,137800,90.05
2015-07-14,93.50,93.50,91.25,91.60,123700,91.60
2015-07-13,91.40,93.30,91.20,92.75,162600,92.75
2015-07-10,92.45,92.55,90.95,92.35,157200,92.35
2015-07-09,88.00,93.85,88.00,91.70,367000,91.70
2015-07-08,89.00,89.40,86.70,88.20,173600,88.20
2015-07-07,90.95,90.95,88.70,89.70,133200,89.70
2015-07-06,88.45,90.00,86.00,89.70,199300,89.70
2015-07-03,88.50,88.60,87.15,88.35,147200,88.35
2015-07-02,88.20,89.90,87.60,88.00,161700,88.00
2015-07-01,86.40,89.40,86.40,88.80,223300,88.80
2015-06-30,87.00,87.70,85.85,86.70,167700,86.70
2015-06-29,88.50,88.50,85.50,87.15,322600,87.15
2015-06-26,91.30,91.50,89.10,90.15,293000,90.15
2015-06-25,91.65,91.80,90.05,90.85,277100,90.85
2015-06-24,95.00,95.00,91.05,91.65,178200,91.65
2015-06-23,94.70,96.60,93.80,94.40,217200,94.40
2015-06-22,91.85,94.75,91.50,93.75,193700,93.75
2015-06-19,90.00,91.70,89.30,91.25,215900,91.25
2015-06-18,91.50,90.20,88.60,90.20,162700,90.20
2015-06-17,91.60,92.10,90.95,91.50,85400,89.87
2015-06-16,90.00,91.80,89.30,91.40,216000,89.77
2015-06-15,92.70,92.90,89.65,89.95,239100,88.35
2015-06-12,90.00,92.95,89.20,92.65,255400,91.00
2015-06-11,95.50,95.50,90.25,90.95,283500,89.33
2015-06-10,93.00,95.10,93.00,94.20,125800,92.52
2015-06-09,93.50,96.75,92.75,93.50,201400,91.83
2015-06-08,97.00,97.00,92.85,93.55,124000,91.88
2015-06-05,97.00,97.70,94.80,96.00,130500,94.29
2015-06-04,96.00,97.00,92.10,96.45,308000,94.73
2015-06-03,99.60,99.85,94.05,95.40,307700,93.70
2015-06-02,107.15,107.45,98.45,99.15,530800,97.38
2015-06-01,106.60,108.65,105.90,106.55,89600,104.65
2015-05-29,105.00,107.30,104.80,106.75,164200,104.85
2015-05-28,104.10,105.95,103.00,105.95,212900,104.06
2015-05-27,100.15,103.60,99.70,103.15,230800,101.31
2015-05-26,101.30,101.50,99.70,100.20,116700,98.42
2015-05-25,101.00,101.80,100.10,101.00,107500,99.20
2015-05-22,101.85,103.15,100.55,100.80,175100,99.00
2015-05-21,102.60,103.00,100.85,101.40,156400,99.59
2015-05-20,103.75,104.00,102.05,102.30,123600,100.48
2015-05-19,104.00,105.40,102.25,102.80,198300,100.97
2015-05-18,107.70,107.70,103.40,104.35,194300,102.49
2015-05-15,109.40,110.00,106.50,106.90,206600,105.00
2015-05-14,101.50,109.20,99.55,108.65,546500,106.71
