Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,284.80,284.80,284.80,284.80,000,284.80
2015-07-16,294.00,294.00,283.20,284.80,1200,284.80
2015-07-15,290.00,295.00,288.50,289.80,1700,289.80
2015-07-14,290.00,291.00,285.00,290.50,40700,290.50
2015-07-13,285.00,285.00,285.00,285.00,000,285.00
2015-07-10,280.80,285.00,280.80,285.00,600,285.00
2015-07-09,295.00,295.00,280.00,281.00,2400,281.00
2015-07-08,300.00,300.00,285.00,285.00,1800,285.00
2015-07-07,295.00,297.00,290.00,295.90,1000,295.90
2015-07-06,281.90,292.50,281.40,287.60,16600,287.60
2015-07-03,283.00,294.90,283.00,290.90,1700,290.90
2015-07-02,296.00,296.00,280.00,280.60,300,280.60
2015-07-01,282.00,282.00,280.00,280.00,100,280.00
2015-06-30,280.00,285.60,273.60,278.20,6700,278.20
2015-06-29,280.10,296.40,270.50,273.60,3000,273.60
2015-06-26,291.50,297.00,282.20,296.20,1200,296.20
2015-06-25,290.10,290.10,285.10,286.00,000,282.00
2015-06-24,292.70,293.00,290.00,292.10,700,288.015
2015-06-23,304.00,306.90,293.00,293.40,2600,289.297
2015-06-22,285.00,300.00,282.60,297.10,3600,292.945
2015-06-19,270.00,283.00,270.00,282.00,700,278.056
2015-06-18,263.00,268.00,258.30,265.00,43400,261.294
2015-06-17,253.50,267.70,253.40,260.00,500,256.364
2015-06-16,250.60,259.90,250.40,255.20,28300,251.631
2015-06-15,262.00,266.50,250.00,253.20,500,249.659
2015-06-12,265.00,265.00,258.00,259.30,2600,255.673
2015-06-11,270.20,270.20,259.90,260.00,15700,256.364
2015-06-10,274.90,275.00,270.10,273.00,10900,269.182
2015-06-09,270.00,277.00,270.00,274.80,11100,270.957
2015-06-08,273.10,281.40,265.20,275.60,200,271.745
2015-06-05,294.00,294.00,274.90,275.00,1900,271.154
2015-06-04,275.10,282.00,275.00,275.00,900,271.154
2015-06-03,283.00,285.00,277.00,277.90,900,274.013
2015-06-02,285.90,289.00,275.00,277.50,400,273.619
2015-06-01,286.00,286.00,274.00,275.10,400,271.252
2015-05-29,288.50,288.50,288.50,288.50,000,284.465
2015-05-28,288.70,291.90,280.00,285.60,600,281.606
2015-05-27,304.90,304.90,285.60,287.10,200,283.085
2015-05-26,293.00,296.00,291.00,291.00,300,286.93
2015-05-25,305.00,305.00,286.10,287.90,000,283.873
2015-05-22,309.40,309.40,291.00,297.00,000,292.846
2015-05-21,304.80,304.80,291.00,295.10,100,290.973
2015-05-20,309.60,313.20,296.50,299.30,1500,295.114
2015-05-19,310.20,311.50,310.00,310.50,000,306.157
2015-05-18,325.00,325.00,310.10,312.30,800,307.932
2015-05-15,325.60,326.10,310.20,316.00,600,311.58
2015-05-14,323.50,324.90,322.00,322.50,700,317.99
2015-05-13,320.00,328.00,315.50,322.10,1100,317.595
2015-05-12,326.90,327.00,319.00,326.90,100,322.328
2015-05-11,325.00,327.90,320.00,323.00,200,318.483
2015-05-08,323.80,323.80,320.00,320.00,400,315.524
2015-05-07,345.00,345.00,311.00,311.00,600,306.65
2015-05-06,336.00,336.00,315.00,324.80,900,320.257
2015-05-05,340.00,340.00,332.50,332.50,000,327.85
2015-05-04,339.90,340.00,331.40,332.20,400,327.554
2015-05-01,338.00,338.00,338.00,338.00,000,333.273
2015-04-30,329.50,338.00,329.50,338.00,000,333.273
2015-04-29,330.00,337.00,326.00,331.90,200,327.258
2015-04-28,314.00,314.00,314.00,314.00,000,309.608
2015-04-27,322.90,327.70,304.90,314.00,3700,309.608
2015-04-24,321.90,322.00,310.00,320.00,600,315.524
2015-04-23,325.00,327.00,306.00,310.50,300,306.157
2015-04-22,315.00,318.00,315.00,318.00,000,313.552
2015-04-21,319.00,325.00,313.50,315.10,300,310.693
2015-04-20,327.00,327.00,305.10,319.40,1000,314.933
2015-04-17,330.00,331.00,325.00,330.00,300,325.385
2015-04-16,340.00,341.00,325.00,333.00,500,328.343
2015-04-15,352.00,352.00,341.00,341.70,500,336.921
2015-04-14,348.10,348.10,348.10,348.10,000,343.231
2015-04-13,345.00,354.00,345.00,348.10,1200,343.231
2015-04-10,341.00,347.50,333.10,335.30,1200,330.61
2015-04-09,345.00,360.00,345.00,350.10,1700,345.204
2015-04-08,345.00,357.00,345.00,347.20,900,342.344
2015-04-07,335.00,345.00,335.00,343.70,1000,338.893
2015-04-06,336.80,336.90,325.00,325.50,5800,320.948
2015-04-03,325.70,325.70,325.70,325.70,000,321.145
2015-04-02,325.70,325.70,325.70,325.70,000,321.145
2015-04-01,315.00,338.00,315.00,325.70,000,321.145
2015-03-31,320.00,325.00,307.00,311.00,200,306.65
2015-03-30,288.00,320.00,285.00,310.00,600,305.664
2015-03-27,283.00,287.00,265.00,285.00,27000,281.014
2015-03-26,283.00,283.00,276.20,282.10,300,278.155
2015-03-25,285.00,285.00,280.00,282.90,100,278.943
2015-03-24,304.00,304.00,275.00,285.10,26600,281.113
2015-03-23,302.80,315.00,289.50,300.40,1800,296.199
2015-03-20,297.20,305.00,287.00,293.70,1200,289.592
2015-03-19,310.00,315.00,300.00,305.00,1500,300.734
2015-03-18,312.00,312.00,296.50,299.20,10900,295.015
2015-03-17,310.20,317.00,306.00,314.90,5300,310.496
2015-03-16,328.00,328.00,310.00,310.10,900,305.763
2015-03-13,322.00,322.90,309.90,313.90,1900,309.51
