Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,7.14,7.30,7.10,7.11,797800,7.11
2015-07-16,7.17,7.23,7.04,7.07,807900,7.07
2015-07-15,7.17,7.37,7.10,7.14,1266200,7.14
2015-07-14,7.18,7.18,7.02,7.05,776300,7.05
2015-07-13,7.09,7.20,6.95,7.08,798800,7.08
2015-07-10,7.07,7.27,7.05,7.08,573100,7.08
2015-07-09,7.23,7.39,7.02,7.05,735700,7.05
2015-07-08,7.10,7.32,6.94,7.17,1091200,7.17
2015-07-07,7.33,7.57,7.25,7.31,1898700,7.31
2015-07-06,6.68,7.35,6.58,7.24,2333600,7.24
2015-07-03,6.97,7.06,6.72,6.75,896500,6.75
2015-07-02,7.20,7.30,6.90,6.97,1513800,6.97
2015-07-01,6.75,7.18,6.66,7.13,4106700,7.13
2015-06-30,6.08,6.71,6.08,6.45,1367500,6.45
2015-06-29,6.34,6.45,6.01,6.07,698300,6.07
2015-06-26,6.50,6.50,6.30,6.36,832300,6.36
2015-06-25,6.39,6.63,6.36,6.43,476100,6.43
2015-06-24,6.67,6.75,6.40,6.46,1214300,6.46
2015-06-23,6.60,6.70,6.36,6.65,1507700,6.65
2015-06-22,6.30,6.60,6.26,6.48,2938500,6.48
2015-06-19,6.37,6.44,6.19,6.25,670000,6.25
2015-06-18,6.05,6.50,6.03,6.27,1321500,6.27
2015-06-17,5.99,6.07,5.93,5.99,783000,5.99
2015-06-16,5.90,6.05,5.82,5.95,991700,5.95
2015-06-15,5.90,6.00,5.80,5.90,1361300,5.90
2015-06-12,6.03,6.03,5.76,5.83,862500,5.83
2015-06-11,6.25,6.35,6.00,6.03,716400,6.03
2015-06-10,6.10,6.21,6.09,6.18,893500,6.18
2015-06-09,6.15,6.19,6.03,6.07,601000,6.07
2015-06-08,6.21,6.30,6.04,6.17,744000,6.17
2015-06-05,6.19,6.24,6.05,6.18,1167900,6.18
2015-06-04,6.36,6.40,6.12,6.26,980600,6.26
2015-06-03,6.70,6.74,5.75,6.33,2940300,6.33
2015-06-02,7.03,7.10,6.71,6.78,677100,6.78
2015-06-01,6.85,7.18,6.83,6.96,712400,6.96
2015-05-29,7.02,7.05,6.82,6.88,1360200,6.88
2015-05-28,7.05,7.29,7.05,7.16,517000,7.16
2015-05-27,6.80,7.37,6.80,7.08,1325900,7.08
2015-05-26,7.02,7.02,6.81,6.91,478400,6.91
2015-05-25,7.05,7.05,6.92,6.93,518200,6.93
2015-05-22,7.00,7.20,6.96,7.03,697300,7.03
2015-05-21,7.05,7.05,6.95,6.97,675600,6.97
2015-05-20,7.18,7.26,7.02,7.04,962000,7.04
2015-05-19,7.39,7.39,7.11,7.14,789600,7.14
2015-05-18,7.32,7.64,7.07,7.36,1545000,7.36
2015-05-15,6.45,7.35,6.36,7.18,3076600,7.18
2015-05-14,6.46,6.50,6.32,6.46,447600,6.46
2015-05-13,6.49,6.51,6.41,6.47,937100,6.47
2015-05-12,6.55,6.55,6.38,6.42,1026200,6.42
2015-05-11,6.60,6.74,6.50,6.52,1756400,6.52
2015-05-08,6.60,6.79,6.57,6.62,680900,6.62
2015-05-07,6.70,6.74,6.50,6.54,996300,6.54
2015-05-06,6.95,6.96,6.57,6.66,1127300,6.66
2015-05-05,6.80,7.09,6.78,6.93,1152800,6.93
2015-05-04,6.80,6.94,6.57,6.80,1803500,6.80
2015-05-01,6.73,6.73,6.73,6.73,000,6.73
2015-04-30,6.75,6.85,6.66,6.73,1547000,6.73
2015-04-29,7.15,7.19,6.60,6.71,1620000,6.71
2015-04-28,6.95,7.16,6.91,7.09,763200,7.09
2015-04-27,7.30,7.35,6.91,6.97,1268600,6.97
2015-04-24,7.80,7.80,7.30,7.35,1273200,7.35
2015-04-23,7.85,8.05,7.72,7.75,825000,7.75
2015-04-22,7.80,7.90,7.65,7.82,864200,7.82
2015-04-21,7.85,7.91,7.67,7.73,642500,7.73
2015-04-20,8.10,8.10,7.75,7.86,848300,7.86
2015-04-17,8.20,8.21,8.03,8.08,1200100,8.08
2015-04-16,8.40,8.47,8.04,8.12,1534400,8.12
2015-04-15,8.67,8.72,8.36,8.41,1255800,8.41
2015-04-14,8.67,8.67,8.67,8.67,000,8.67
2015-04-13,8.70,8.94,8.60,8.67,1126800,8.67
2015-04-10,8.50,8.98,8.45,8.67,1634900,8.67
2015-04-09,8.30,9.05,8.30,8.67,2310200,8.67
2015-04-08,8.40,8.40,8.19,8.28,1440100,8.28
2015-04-07,8.30,8.36,7.95,8.20,1318800,8.20
