Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,31.50,31.50,29.50,29.95,2100,29.95
2015-07-16,29.00,30.50,29.00,30.50,600,30.50
2015-07-15,30.20,30.20,27.85,29.50,800,29.50
2015-07-14,30.20,30.90,28.80,28.80,1000,28.80
2015-07-13,28.85,30.25,28.00,30.20,2000,30.20
2015-07-10,26.30,28.85,26.30,28.85,12200,28.85
2015-07-09,29.00,29.00,27.50,27.50,200,27.50
2015-07-08,31.35,31.40,28.70,28.75,3400,28.75
2015-07-07,30.00,30.50,29.85,30.20,6900,30.20
2015-07-06,31.90,32.65,29.60,31.40,17600,31.40
2015-07-03,31.35,31.35,30.90,31.15,19900,31.15
2015-07-02,29.90,29.90,29.90,29.90,9700,29.90
2015-07-01,28.45,28.50,28.00,28.50,4400,28.50
2015-06-30,27.10,27.15,27.10,27.15,1800,27.15
2015-06-29,24.50,26.00,24.50,25.90,10100,25.90
2015-06-26,25.20,25.20,24.80,24.80,000,24.80
2015-06-25,24.25,24.25,23.30,24.25,500,24.25
2015-06-24,23.30,24.00,23.25,24.00,3000,24.00
2015-06-23,23.75,23.75,23.70,23.70,500,23.70
2015-06-22,23.25,24.50,23.15,24.40,1800,24.40
2015-06-19,24.25,24.50,24.25,24.35,1200,24.35
2015-06-18,24.95,24.95,24.90,24.90,000,24.90
2015-06-17,24.00,24.50,24.00,24.05,29800,24.05
2015-06-16,23.95,23.95,23.95,23.95,000,23.95
2015-06-15,23.95,23.95,23.95,23.95,000,23.95
2015-06-12,25.90,25.90,24.75,24.75,000,24.75
2015-06-11,25.45,25.45,23.60,24.80,2100,24.80
2015-06-10,23.70,24.25,23.70,24.25,900,24.25
2015-06-09,24.00,24.00,23.50,23.65,1200,23.65
2015-06-08,24.00,24.00,24.00,24.00,400,24.00
2015-06-05,24.65,25.55,24.60,24.70,500,24.70
2015-06-04,23.80,25.25,23.75,25.25,2700,25.25
2015-06-03,24.95,24.95,24.95,24.95,200,24.95
2015-06-02,26.25,26.25,26.25,26.25,000,26.25
2015-06-01,25.80,26.50,24.40,26.25,1600,26.25
2015-05-29,26.00,26.00,25.65,25.65,2400,25.65
2015-05-28,26.50,27.75,26.50,26.50,500,26.50
2015-05-27,26.60,27.85,26.60,27.85,300,27.85
2015-05-26,27.00,27.95,27.00,27.95,700,27.95
2015-05-25,28.40,28.40,28.40,28.40,000,28.40
2015-05-22,28.50,28.75,28.00,28.40,1600,28.40
2015-05-21,27.70,28.20,27.50,27.95,1800,27.95
2015-05-20,28.30,28.30,26.55,26.90,400,26.90
2015-05-19,26.00,27.15,25.70,27.05,8300,27.05
2015-05-18,25.00,26.00,25.00,25.90,3000,25.90
2015-05-15,25.00,25.00,24.50,24.80,1900,24.80
2015-05-14,24.70,24.70,24.40,24.45,2300,24.45
2015-05-13,25.90,25.95,24.20,24.70,600,24.70
2015-05-12,23.50,25.30,23.50,24.75,9100,24.75
2015-05-11,23.50,24.10,23.00,24.10,500,24.10
2015-05-08,23.10,23.90,23.05,23.10,1800,23.10
2015-05-07,23.00,24.50,23.00,24.25,1500,24.25
2015-05-06,23.00,23.85,22.55,23.85,1400,23.85
2015-05-05,23.00,23.95,23.00,23.40,300,23.40
2015-05-04,25.45,25.45,23.35,24.00,300,24.00
2015-05-01,24.55,24.55,24.55,24.55,000,24.55
2015-04-30,23.00,24.55,22.30,24.55,10200,24.55
2015-04-29,23.40,23.40,23.40,23.40,000,23.40
2015-04-28,21.20,23.40,21.20,23.40,1000,23.40
2015-04-27,22.60,22.75,22.25,22.30,2600,22.30
2015-04-24,23.35,23.35,23.30,23.30,500,23.30
2015-04-23,24.00,24.40,23.90,24.30,2100,24.30
2015-04-22,23.05,24.00,23.05,23.25,100,23.25
2015-04-21,24.90,24.90,23.40,23.45,500,23.45
2015-04-20,25.00,25.00,23.30,24.55,1800,24.55
2015-04-17,24.95,25.00,24.00,24.05,3300,24.05
2015-04-16,24.00,24.75,24.00,24.75,000,24.75
2015-04-15,24.30,25.00,24.30,24.35,1900,24.35
2015-04-14,24.95,24.95,24.95,24.95,000,24.95
2015-04-13,23.50,24.95,23.50,24.95,1100,24.95
2015-04-10,23.05,24.40,23.05,24.35,700,24.35
2015-04-09,23.35,23.35,23.35,23.35,000,23.35
2015-04-08,23.60,23.60,23.10,23.35,700,23.35
2015-04-07,24.50,24.50,23.75,23.75,700,23.75
2015-04-06,24.90,24.90,23.55,23.75,4800,23.75
