Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,380.00,382.20,367.80,371.00,4100,367.50
2015-07-16,378.00,393.00,378.00,380.70,4600,377.11
2015-07-15,377.40,380.00,371.80,374.00,1500,370.47
2015-07-14,377.00,382.90,376.40,377.20,800,373.64
2015-07-13,373.00,383.00,373.00,376.70,800,373.15
2015-07-10,367.70,377.90,367.00,373.10,1600,369.58
2015-07-09,365.00,372.00,354.00,364.90,2400,361.46
2015-07-08,365.00,368.10,356.00,359.30,2400,355.91
2015-07-07,369.70,380.30,358.10,361.10,3000,357.69
2015-07-06,373.80,380.00,363.00,372.00,5100,368.49
2015-07-03,385.00,385.00,370.20,373.10,3600,369.58
2015-07-02,382.70,394.00,378.60,381.20,4400,377.60
2015-07-01,361.00,390.00,361.00,385.40,5400,381.76
2015-06-30,374.00,387.80,365.00,375.30,9400,371.76
2015-06-29,370.00,379.70,350.50,372.10,6700,368.59
2015-06-26,340.00,393.00,338.00,380.50,36500,376.91
2015-06-25,337.00,342.50,331.10,341.30,700,338.08
2015-06-24,336.50,344.00,335.00,339.40,2300,336.20
2015-06-23,333.20,338.90,330.80,337.40,900,334.22
2015-06-22,330.00,332.00,329.40,331.30,1500,328.17
2015-06-19,327.60,332.40,322.10,326.40,1100,323.32
2015-06-18,328.90,331.40,326.40,328.60,600,325.50
2015-06-17,330.00,330.20,327.30,328.10,600,325.00
2015-06-16,330.00,333.00,325.00,326.60,1800,323.52
2015-06-15,330.00,336.00,328.30,332.80,500,329.66
2015-06-12,328.90,331.90,322.00,330.40,1600,327.28
2015-06-11,333.40,334.80,329.30,330.00,1200,326.89
2015-06-10,332.80,337.30,327.10,333.10,900,329.96
2015-06-09,335.00,335.00,320.30,330.80,1900,327.68
2015-06-08,333.00,343.50,333.00,335.10,600,331.94
2015-06-05,334.90,338.00,332.80,337.20,500,334.02
2015-06-04,329.10,334.30,329.00,332.60,900,329.46
2015-06-03,331.00,333.00,325.00,331.60,2800,328.47
2015-06-02,333.00,337.00,329.00,332.70,900,329.56
2015-06-01,333.90,338.00,331.80,337.00,400,333.82
2015-05-29,333.00,334.00,328.40,331.90,1500,328.77
2015-05-28,335.20,335.20,329.00,331.00,800,327.88
2015-05-27,324.40,340.00,323.10,333.60,1200,330.45
2015-05-26,327.40,329.60,326.00,327.00,700,323.92
2015-05-25,337.00,337.00,328.70,330.70,1100,327.58
2015-05-22,331.50,337.00,329.00,331.00,1100,327.88
2015-05-21,332.70,333.00,325.00,325.50,2400,322.43
2015-05-20,333.00,335.90,330.00,334.40,1800,331.25
2015-05-19,340.00,340.00,331.00,334.90,2200,331.74
2015-05-18,342.00,342.00,331.00,335.30,2300,332.14
2015-05-15,347.00,347.00,335.10,342.20,4200,338.97
2015-05-14,349.00,352.50,344.00,351.00,1400,347.69
2015-05-13,352.20,352.20,344.60,346.20,600,342.93
2015-05-12,359.00,360.00,350.00,350.40,1200,347.09
2015-05-11,355.00,359.90,352.00,352.90,800,349.57
2015-05-08,347.60,355.00,346.50,354.40,400,351.06
2015-05-07,359.00,359.60,344.10,346.80,3200,343.53
2015-05-06,361.00,365.00,352.90,360.60,800,357.20
2015-05-05,365.00,369.70,363.20,364.80,500,361.36
2015-05-04,364.90,369.60,362.00,367.50,1900,364.03
2015-05-01,357.50,357.50,357.50,357.50,000,354.13
2015-04-30,350.00,360.00,348.50,357.50,2300,354.13
2015-04-29,338.20,347.60,336.90,345.30,1700,342.04
2015-04-28,336.60,345.00,335.00,342.10,2900,338.87
2015-04-27,352.30,352.30,337.80,341.30,4200,338.08
2015-04-24,358.00,361.80,348.20,351.90,3900,348.58
2015-04-23,363.60,369.00,359.10,363.50,3600,360.07
2015-04-22,365.10,376.30,360.10,363.20,10600,359.77
2015-04-21,360.00,364.70,360.00,362.10,300,358.68
2015-04-20,370.00,370.00,361.20,362.40,1500,358.98
2015-04-17,374.00,374.00,370.10,371.30,600,367.80
2015-04-16,381.00,381.00,370.60,373.20,3700,369.68
2015-04-15,377.00,387.60,371.20,385.80,5000,382.16
2015-04-14,376.60,376.60,376.60,376.60,000,373.05
2015-04-13,379.30,383.00,373.00,376.60,2200,373.05
2015-04-10,386.00,387.10,383.20,384.20,1100,380.58
2015-04-09,393.00,393.10,382.10,386.40,24200,382.75
2015-04-08,393.00,403.80,386.60,389.50,9600,385.83
2015-04-07,375.30,405.00,374.00,390.80,18900,387.11
2015-04-06,375.00,379.00,374.90,376.20,900,372.65
