Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,510.60,519.00,506.00,514.30,800,507.30
2015-07-16,510.00,521.80,506.20,513.40,2800,506.412
2015-07-15,517.70,527.00,507.00,508.10,3400,501.184
2015-07-14,501.90,521.80,495.00,512.30,4400,505.327
2015-07-13,500.00,511.00,499.50,502.70,2300,495.858
2015-07-10,500.00,502.40,488.00,489.70,600,483.035
2015-07-09,500.00,510.00,499.00,499.90,1200,493.096
2015-07-08,506.90,510.20,498.00,502.10,2700,495.266
2015-07-07,510.00,522.20,497.30,508.00,4200,501.086
2015-07-06,500.00,502.00,492.00,495.40,700,488.657
2015-07-03,500.00,515.00,497.70,504.20,3500,497.337
2015-07-02,479.80,523.00,479.80,511.60,22100,504.637
2015-07-01,470.00,482.00,465.00,477.00,2200,470.508
2015-06-30,458.40,460.00,453.10,457.00,1900,450.78
2015-06-29,462.70,462.70,454.20,455.80,700,449.596
2015-06-26,475.00,479.90,471.00,474.90,1300,468.436
2015-06-25,469.00,486.70,459.80,480.60,2900,474.059
2015-06-24,470.00,478.00,461.00,469.20,3100,462.814
2015-06-23,463.00,480.60,450.00,465.80,6700,459.46
2015-06-22,465.00,467.50,460.00,462.70,900,456.402
2015-06-19,455.00,468.00,446.10,465.80,1600,459.46
2015-06-18,447.30,459.00,442.30,452.90,2200,446.736
2015-06-17,438.00,451.90,438.00,446.40,700,440.324
2015-06-16,440.00,442.50,438.00,440.00,200,434.011
2015-06-15,440.00,445.00,435.00,438.90,500,432.926
2015-06-12,440.00,440.80,429.90,433.00,700,427.107
2015-06-11,453.00,453.00,440.10,440.60,500,434.603
2015-06-10,445.00,458.00,445.00,454.80,1100,448.61
2015-06-09,440.10,446.00,437.10,440.80,800,434.80
2015-06-08,444.50,455.00,440.50,445.00,700,438.943
2015-06-05,440.00,454.70,440.00,446.40,1600,440.324
2015-06-04,443.50,452.00,427.00,439.80,2200,433.814
2015-06-03,455.00,464.00,435.10,440.70,2600,434.702
2015-06-02,462.10,469.30,460.00,463.00,400,456.698
2015-06-01,475.00,476.00,465.50,470.10,900,463.702
2015-05-29,475.00,486.00,473.60,473.60,200,467.154
2015-05-28,470.10,476.00,459.00,468.00,600,461.63
2015-05-27,470.00,485.00,460.30,479.50,1100,472.974
