Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,445.00,475.70,442.00,457.60,5400,457.60
2015-07-16,440.00,451.40,433.00,447.60,1300,447.60
2015-07-15,445.00,447.70,430.00,433.50,3000,433.50
2015-07-14,390.00,443.40,390.00,440.40,13000,440.40
2015-07-13,389.60,395.90,389.60,395.70,000,395.70
2015-07-10,387.50,395.00,386.00,391.80,700,391.80
2015-07-09,389.20,389.30,379.20,382.20,800,382.20
2015-07-08,394.00,399.00,382.40,386.00,800,386.00
2015-07-07,405.00,413.20,394.00,395.30,2400,395.30
2015-07-06,390.00,405.00,389.90,396.70,2800,396.70
2015-07-03,390.00,391.00,386.00,391.00,400,391.00
2015-07-02,390.00,396.10,384.00,385.20,1000,385.20
2015-07-01,380.00,397.00,380.00,392.00,1800,392.00
2015-06-30,378.20,390.40,375.00,379.10,2300,379.10
2015-06-29,367.50,383.90,367.50,379.00,700,379.00
2015-06-26,390.00,390.00,384.00,385.30,500,385.30
2015-06-25,385.10,389.40,380.30,384.50,700,384.50
2015-06-24,393.00,394.00,388.00,389.00,1200,389.00
2015-06-23,393.80,398.10,389.70,390.80,1100,390.80
2015-06-22,392.50,398.50,392.20,395.50,100,395.50
2015-06-19,394.10,397.80,382.20,388.00,5900,388.00
2015-06-18,410.00,412.00,388.00,391.50,2700,391.50
2015-06-17,410.00,411.20,410.00,410.00,000,410.00
2015-06-16,419.50,425.90,402.10,411.80,900,411.80
2015-06-15,387.00,414.90,387.00,412.00,4200,412.00
2015-06-12,391.00,395.00,382.00,384.00,400,384.00
2015-06-11,406.00,406.00,384.80,390.50,5600,390.50
2015-06-10,395.00,416.00,395.00,400.80,1400,400.80
2015-06-09,394.00,394.80,386.00,390.80,1400,390.80
2015-06-08,399.30,410.00,382.40,387.00,4000,387.00
2015-06-05,405.00,405.50,392.40,396.10,1100,396.10
2015-06-04,410.00,410.00,390.00,400.60,6000,400.60
2015-06-03,420.00,420.00,400.00,409.10,4100,409.10
2015-06-02,430.00,430.30,405.00,413.30,11300,413.30
2015-06-01,433.90,433.90,425.10,430.00,5200,430.00
2015-05-29,440.00,440.00,431.00,431.00,100,431.00
2015-05-28,440.00,445.00,434.00,434.00,600,434.00
2015-05-27,440.00,440.00,433.00,434.80,200,434.80
2015-05-26,440.10,445.00,436.00,443.80,300,443.80
2015-05-25,445.00,448.50,438.00,444.10,100,444.10
2015-05-22,448.50,455.60,446.00,446.00,10300,446.00
2015-05-21,450.00,453.80,437.10,444.70,2500,444.70
2015-05-20,451.50,457.00,450.00,454.30,2100,454.30
2015-05-19,428.40,455.00,428.30,450.80,8900,450.80
2015-05-18,425.00,430.50,425.00,427.10,1300,427.10
2015-05-15,425.40,432.00,425.00,426.20,600,426.20
2015-05-14,418.40,427.00,412.10,427.00,1300,427.00
2015-05-13,418.50,424.90,411.00,411.90,3400,411.90
2015-05-12,424.60,425.00,409.00,412.40,5200,412.40
2015-05-11,412.00,438.90,412.00,428.50,14400,428.50
2015-05-08,425.00,447.00,425.00,433.50,1200,433.50
2015-05-07,430.00,434.50,416.00,419.50,1300,419.50
2015-05-06,442.00,442.00,431.50,432.10,3800,432.10
2015-05-05,448.10,454.90,440.00,450.90,9500,450.90
2015-05-04,445.00,470.00,440.00,449.00,3200,449.00
2015-05-01,434.90,434.90,434.90,434.90,000,434.90
2015-04-30,419.80,440.00,419.80,434.90,300,434.90
2015-04-29,421.10,429.00,417.90,428.30,1200,428.30
2015-04-28,430.00,430.00,407.90,413.80,7500,413.80
2015-04-27,424.50,450.00,410.00,430.00,5200,430.00
2015-04-24,435.80,443.80,416.20,422.60,1200,422.60
2015-04-23,444.00,444.00,426.60,433.90,1100,433.90
2015-04-22,442.30,450.50,428.50,433.80,4400,433.80
2015-04-21,443.00,454.80,437.00,441.10,1600,441.10
2015-04-20,451.80,468.80,434.70,443.10,4600,443.10
2015-04-17,460.00,460.00,440.00,443.80,4800,443.80
2015-04-16,458.35,459.80,443.20,452.90,6100,452.90
2015-04-15,443.60,460.50,440.00,454.00,13200,454.00
