Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,780.00,783.60,753.00,758.20,20900,754.70
2015-07-16,780.00,789.35,770.00,774.85,26200,771.27
2015-07-15,769.00,791.70,769.00,774.05,46500,770.48
2015-07-14,767.00,784.00,765.00,767.65,33600,764.11
2015-07-13,768.45,773.80,716.50,764.85,28400,761.32
2015-07-10,750.00,784.00,750.00,761.10,53100,757.59
2015-07-09,747.95,755.45,732.25,744.85,34800,741.41
2015-07-08,717.10,774.00,707.85,747.65,124900,744.20
2015-07-07,693.00,719.80,687.25,719.00,64100,715.68
2015-07-06,680.50,686.90,663.05,684.95,28200,681.79
2015-07-03,674.00,686.95,670.00,680.00,35600,676.86
2015-07-02,672.90,679.00,666.00,673.05,34000,669.94
2015-07-01,666.00,673.00,656.00,661.30,24500,658.25
2015-06-30,657.20,669.80,655.00,662.65,28800,659.59
2015-06-29,660.00,670.00,620.00,655.55,63800,652.52
2015-06-26,698.00,698.00,657.00,661.00,67600,657.95
2015-06-25,672.65,688.00,670.50,679.20,22800,676.06
2015-06-24,656.00,694.00,654.45,668.90,65000,665.81
2015-06-23,665.00,666.30,646.00,651.70,27100,648.69
2015-06-22,674.95,682.65,647.00,657.40,73700,654.37
2015-06-19,623.00,693.00,617.15,664.85,201500,661.78
2015-06-18,590.00,614.45,589.00,614.45,60000,611.61
2015-06-17,580.00,592.00,575.80,585.30,28600,582.60
2015-06-16,564.25,585.20,562.70,572.30,27500,569.66
2015-06-15,579.80,579.80,552.00,563.50,14000,560.90
2015-06-12,549.55,567.00,540.00,562.15,23300,559.56
2015-06-11,578.20,596.00,540.60,549.55,57900,547.01
2015-06-10,547.15,575.00,547.15,570.15,27100,567.52
2015-06-09,547.00,557.95,541.60,548.60,6900,546.07
2015-06-08,560.00,572.20,545.00,546.95,12500,544.43
2015-06-05,548.00,583.05,547.05,557.45,41400,554.88
2015-06-04,546.15,558.20,545.05,548.60,17800,546.07
2015-06-03,548.00,567.90,533.40,544.35,32900,541.84
2015-06-02,545.00,554.00,543.00,548.80,15900,546.27
2015-06-01,551.70,558.00,537.65,541.75,23200,539.25
2015-05-29,537.00,554.00,536.95,551.35,25000,548.80
2015-05-28,532.90,544.00,532.10,538.45,13800,535.96
2015-05-27,536.20,542.95,527.95,529.85,13900,527.40
2015-05-26,538.40,545.00,534.05,542.55,17600,540.05
2015-05-25,544.25,545.75,530.00,537.05,21500,534.57
2015-05-22,554.30,560.35,538.65,541.60,30200,539.10
2015-05-21,538.85,558.95,528.25,555.65,52400,553.09
2015-05-20,543.00,543.00,528.00,538.85,61400,536.36
2015-05-19,511.75,536.40,507.05,529.70,712700,527.25
2015-05-18,499.00,517.00,495.00,511.90,46400,509.54
2015-05-15,488.00,501.25,485.30,498.55,34400,496.25
2015-05-14,482.10,493.90,480.00,488.00,11300,485.75
2015-05-13,476.00,489.85,472.80,483.80,16500,481.57
2015-05-12,470.00,476.40,465.00,474.70,40400,472.51
2015-05-11,472.05,478.00,464.20,469.25,8800,467.08
2015-05-08,462.00,474.95,462.00,470.25,9600,468.08
2015-05-07,469.60,469.60,451.70,458.55,11000,456.43
2015-05-06,472.45,475.15,465.00,469.10,20700,466.93
2015-05-05,475.00,478.50,469.05,470.20,11000,468.03
2015-05-04,489.90,489.90,467.10,471.30,17000,469.12
2015-05-01,474.05,474.05,474.05,474.05,000,471.86
2015-04-30,481.40,489.10,470.00,474.05,24100,471.86
2015-04-29,474.00,495.55,467.95,478.80,95700,476.59
2015-04-28,452.65,458.00,443.00,450.30,18700,448.22
2015-04-27,482.00,486.20,444.75,470.15,115400,467.98
2015-04-24,487.00,487.00,479.00,484.80,33200,482.56
2015-04-23,495.50,508.40,484.40,486.70,37300,484.45
2015-04-22,481.00,508.70,481.00,496.65,56300,494.36
2015-04-21,470.55,483.65,468.90,480.55,11900,478.33
2015-04-20,485.00,492.00,468.60,478.35,34400,476.14
2015-04-17,481.60,492.00,476.05,485.00,21000,482.76
2015-04-16,487.20,487.20,478.70,480.00,137800,477.78
2015-04-15,490.00,495.00,485.10,486.55,11300,484.30
2015-04-14,489.90,489.90,489.90,489.90,000,487.64
2015-04-13,484.00,494.85,481.40,489.90,38200,487.64
2015-04-10,480.00,486.85,475.20,483.30,20800,481.07
2015-04-09,470.00,480.00,470.00,474.85,29200,472.66
2015-04-08,457.00,469.90,456.00,465.80,22900,463.65
2015-04-07,459.90,461.75,450.50,452.35,8800,450.26
2015-04-06,457.40,462.00,456.00,459.80,10300,457.68
2015-04-03,453.40,453.40,453.40,453.40,000,451.31
2015-04-02,453.40,453.40,453.40,453.40,000,451.31
2015-04-01,461.00,464.75,452.00,453.40,12800,451.31
2015-03-31,448.55,465.00,447.00,453.25,24400,451.16
2015-03-30,450.00,450.00,446.75,448.80,5400,446.73
2015-03-27,436.55,452.80,436.55,447.20,23000,445.14
2015-03-26,446.35,448.85,444.05,446.65,7000,444.59
2015-03-25,449.15,452.00,443.95,447.30,26900,445.24
2015-03-24,443.00,453.60,440.00,447.85,36700,445.78
2015-03-23,449.00,449.00,440.15,441.80,19400,439.76
2015-03-20,448.30,459.50,444.15,446.30,37000,444.24
2015-03-19,453.00,457.40,445.55,447.45,12100,445.38
2015-03-18,451.00,460.25,447.05,449.85,82600,447.77
2015-03-17,450.00,459.00,447.30,449.15,52300,447.08
2015-03-16,447.45,452.70,440.40,447.80,21100,445.73
2015-03-13,442.25,446.00,435.00,442.85,24500,440.81
2015-03-12,444.90,446.40,436.60,439.95,17600,437.92
2015-03-11,442.75,443.00,431.00,438.45,249600,436.43
2015-03-10,435.15,446.70,432.80,439.90,283100,437.87
2015-03-09,431.00,436.90,425.20,430.55,17400,428.56
2015-03-06,430.50,430.50,430.50,430.50,000,428.51
2015-03-05,425.00,432.50,423.50,430.50,15000,428.51
2015-03-04,420.20,423.95,413.60,421.70,37500,419.75
2015-03-03,412.40,424.90,410.00,419.60,45300,417.66
2015-03-02,407.55,414.85,402.55,414.50,17200,412.59
2015-02-27,397.00,412.25,397.00,409.05,36800,407.16
2015-02-26,402.75,402.75,381.90,390.70,33300,388.90
2015-02-25,413.70,415.90,393.10,398.45,87900,396.61
2015-02-24,415.50,416.60,406.85,408.00,15400,406.12
2015-02-23,428.20,431.85,408.20,412.15,17200,410.25
2015-02-20,434.00,434.90,420.30,423.45,12500,421.50
2015-02-19,436.65,440.00,430.00,432.80,219400,430.80
