Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1367.00,1381.45,1353.95,1358.55,5700,1352.80
2015-07-16,1366.00,1384.00,1363.25,1367.55,7000,1361.762
2015-07-15,1352.00,1377.15,1351.95,1364.20,10300,1358.426
2015-07-14,1340.00,1354.80,1337.65,1347.90,6600,1342.195
2015-07-13,1327.20,1346.10,1323.00,1338.95,6200,1333.283
2015-07-10,1325.00,1333.25,1311.65,1327.15,7300,1321.533
2015-07-09,1314.00,1347.50,1314.00,1322.00,19700,1316.405
2015-07-08,1300.00,1332.00,1285.00,1311.20,16600,1305.65
2015-07-07,1309.00,1320.55,1295.50,1305.20,8300,1299.676
2015-07-06,1303.50,1319.55,1285.10,1303.35,10200,1297.834
2015-07-03,1322.35,1334.00,1292.70,1303.50,7500,1297.983
2015-07-02,1355.00,1355.65,1316.00,1319.45,11300,1313.865
2015-07-01,1330.50,1356.80,1310.00,1331.65,12000,1326.014
2015-06-30,1285.00,1327.00,1285.00,1316.40,18700,1310.828
2015-06-29,1290.15,1302.25,1267.30,1283.55,9300,1278.117
2015-06-26,1301.20,1323.60,1295.00,1309.70,15200,1304.157
2015-06-25,1284.00,1309.80,1281.00,1300.70,15700,1295.195
2015-06-24,1280.00,1295.00,1268.95,1283.75,9000,1278.317
2015-06-23,1300.00,1305.50,1268.50,1277.25,17900,1271.844
2015-06-22,1261.95,1305.90,1243.50,1298.55,22000,1293.054
2015-06-19,1196.05,1258.00,1194.20,1250.50,38300,1245.207
2015-06-18,1197.00,1205.00,1182.00,1187.10,13200,1182.076
2015-06-17,1209.00,1209.00,1182.65,1191.30,9100,1186.258
2015-06-16,1219.00,1219.00,1175.00,1190.80,11200,1185.76
2015-06-15,1174.00,1201.35,1160.00,1182.35,8100,1177.346
2015-06-12,1220.00,1220.00,1174.20,1177.95,10600,1172.964
2015-06-11,1206.90,1229.90,1206.90,1215.55,9900,1210.405
2015-06-10,1168.00,1214.00,1168.00,1201.30,8200,1196.216
2015-06-09,1202.05,1202.05,1165.25,1172.95,7100,1167.985
2015-06-08,1205.00,1222.50,1197.00,1204.10,5100,1199.004
2015-06-05,1221.00,1221.00,1194.00,1198.60,6700,1193.527
2015-06-04,1214.00,1225.00,1190.50,1215.45,8300,1210.306
2015-06-03,1218.90,1222.00,1150.00,1213.05,23500,1207.916
2015-06-02,1211.15,1224.00,1202.00,1206.25,7900,1201.145
2015-06-01,1210.00,1230.00,1205.00,1225.20,9800,1220.014
2015-05-29,1223.00,1238.00,1205.75,1217.05,20600,1211.899
2015-05-28,1234.00,1251.60,1190.25,1217.90,24000,1212.745
2015-05-27,1235.05,1238.85,1221.35,1227.10,7200,1221.906
2015-05-26,1275.00,1275.00,1229.55,1240.40,10800,1235.15
2015-05-25,1310.00,1310.00,1272.50,1277.10,8400,1271.695
2015-05-22,1303.00,1318.00,1287.00,1310.75,6800,1305.202
2015-05-21,1314.00,1331.65,1292.05,1298.00,12400,1292.506
2015-05-20,1280.00,1335.00,1275.00,1309.90,45600,1304.356
2015-05-19,1265.00,1292.85,1262.15,1275.25,9200,1269.853
2015-05-18,1257.30,1274.95,1249.55,1272.00,8700,1266.616
2015-05-15,1255.00,1261.35,1229.15,1246.05,8700,1240.776
2015-05-14,1242.00,1254.70,1215.00,1248.00,6700,1242.718
2015-05-13,1250.00,1273.00,1217.85,1239.35,22500,1234.104
2015-05-12,1245.00,1250.00,1222.55,1239.40,8800,1234.154
2015-05-11,1190.00,1287.00,1190.00,1253.15,22100,1247.846
2015-05-08,1180.00,1192.40,1173.60,1184.70,5200,1179.686
2015-05-07,1185.00,1188.90,1153.20,1170.05,10000,1165.098
2015-05-06,1206.85,1225.50,1156.75,1175.20,16700,1170.226
2015-05-05,1202.65,1214.95,1185.05,1198.55,13500,1193.477
2015-05-04,1136.15,1210.00,1136.15,1201.50,12300,1196.415
2015-05-01,1139.80,1139.80,1139.80,1139.80,000,1134.976
2015-04-30,1161.90,1173.90,1131.80,1139.80,10100,1134.976
2015-04-29,1177.10,1180.80,1158.25,1164.70,6500,1159.77
2015-04-28,1170.00,1191.45,1150.00,1167.45,10800,1162.509
2015-04-27,1291.00,1293.50,1152.15,1178.90,33800,1173.91
2015-04-24,1307.50,1307.50,1277.00,1293.70,11700,1288.224
2015-04-23,1271.95,1306.10,1271.95,1297.35,11100,1291.859
2015-04-22,1230.00,1277.55,1215.00,1264.80,9800,1259.447
2015-04-21,1294.00,1294.00,1219.30,1226.10,11000,1220.911
2015-04-20,1319.95,1320.00,1270.00,1282.10,12500,1276.674
2015-04-17,1377.00,1377.00,1309.85,1322.60,8100,1317.002
2015-04-16,1396.80,1406.45,1358.00,1375.70,8300,1369.877
2015-04-15,1404.00,1408.05,1377.00,1384.60,4100,1378.74
2015-04-14,1396.60,1396.60,1396.60,1396.60,000,1390.689
2015-04-13,1394.90,1411.00,1385.25,1396.60,5700,1390.689
2015-04-10,1370.10,1402.50,1370.10,1393.40,4400,1387.503
2015-04-09,1388.60,1392.10,1356.00,1369.80,7400,1364.002
2015-04-08,1412.00,1422.70,1376.00,1385.65,6900,1379.785
2015-04-07,1415.00,1424.95,1391.00,1401.40,6600,1395.469
2015-04-06,1386.45,1428.15,1385.00,1411.30,12300,1405.327
2015-04-03,1386.00,1386.00,1386.00,1386.00,000,1380.134
2015-04-02,1386.00,1386.00,1386.00,1386.00,000,1380.134
2015-04-01,1366.05,1390.05,1359.25,1386.00,8100,1380.134
2015-03-31,1339.00,1380.00,1339.00,1365.45,7300,1359.671
2015-03-30,1360.00,1399.00,1337.00,1342.40,10200,1336.718
