Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,26.75,27.00,26.00,26.30,61400,26.30
2015-07-16,26.25,27.85,25.30,26.70,152700,26.70
2015-07-15,28.00,28.30,25.80,26.10,87400,26.10
2015-07-14,27.50,28.50,27.40,28.00,158800,28.00
2015-07-13,27.00,27.90,26.40,27.60,136900,27.60
2015-07-10,30.00,30.00,27.00,27.05,501300,27.05
2015-07-09,26.75,30.95,26.00,29.95,1280800,29.95
2015-07-08,23.65,27.20,23.65,26.00,549600,26.00
2015-07-07,23.70,25.80,22.20,24.70,446800,24.70
2015-07-06,20.50,23.65,20.30,23.25,330900,23.25
2015-07-03,19.35,21.30,19.25,20.60,146900,20.60
2015-07-02,19.30,19.45,19.00,19.10,5000,19.10
2015-07-01,19.35,20.10,18.90,19.40,26600,19.40
2015-06-30,18.30,18.90,18.30,18.65,5100,18.65
2015-06-29,18.55,18.70,18.10,18.25,8200,18.25
2015-06-26,19.10,19.45,18.70,18.85,9100,18.85
2015-06-25,19.45,19.45,19.00,19.10,4800,19.10
2015-06-24,20.00,20.00,19.20,19.35,10100,19.35
2015-06-23,19.35,19.90,19.30,19.80,17400,19.80
2015-06-22,19.60,19.60,19.25,19.40,5500,19.40
2015-06-19,19.55,19.70,18.85,19.10,7200,19.10
2015-06-18,18.80,19.95,18.60,19.15,19400,19.15
2015-06-17,18.85,18.85,18.50,18.60,11200,18.60
2015-06-16,18.25,18.55,18.20,18.50,2000,18.50
2015-06-15,18.25,18.70,18.05,18.60,4400,18.60
2015-06-12,18.45,18.80,17.80,17.90,9000,17.90
2015-06-11,18.60,18.90,18.10,18.15,4700,18.15
2015-06-10,18.00,18.60,18.00,18.50,14400,18.50
2015-06-09,18.35,18.35,17.65,17.85,11700,17.85
2015-06-08,18.70,18.70,18.15,18.15,2700,18.15
2015-06-05,18.35,18.65,18.20,18.65,17300,18.65
2015-06-04,18.20,18.85,18.20,18.35,22800,18.35
2015-06-03,19.20,19.20,18.10,18.20,19700,18.20
2015-06-02,19.80,19.80,18.90,18.95,20800,18.95
2015-06-01,20.45,20.45,19.45,19.60,13000,19.60
2015-05-29,20.50,20.50,20.05,20.10,10700,20.10
2015-05-28,20.85,20.85,20.00,20.05,10300,20.05
2015-05-27,20.40,21.20,20.15,20.55,26300,20.55
2015-05-26,20.60,20.60,20.10,20.35,11800,20.35
2015-05-25,21.05,21.05,20.25,20.50,19300,20.50
2015-05-22,21.50,21.90,20.50,20.65,16400,20.65
2015-05-21,22.70,22.70,21.00,21.55,85700,21.55
2015-05-20,23.45,23.90,22.30,22.90,191600,22.90
2015-05-19,21.70,23.85,21.60,23.40,266900,23.40
2015-05-18,20.95,21.85,20.95,21.50,31500,21.50
2015-05-15,20.75,21.30,20.50,20.75,64500,20.75
2015-05-14,20.60,21.00,19.85,20.50,27900,20.50
2015-05-13,18.30,20.95,18.30,20.25,322600,20.25
2015-05-12,18.25,18.45,17.60,17.95,15300,17.95
2015-05-11,17.95,18.15,17.85,18.00,15400,18.00
2015-05-08,18.10,18.20,17.80,17.95,5800,17.95
2015-05-07,18.25,18.25,17.55,17.65,2600,17.65
2015-05-06,18.50,18.50,17.80,17.85,9400,17.85
2015-05-05,18.30,18.70,18.20,18.25,5500,18.25
2015-05-04,18.25,18.40,17.95,18.20,6600,18.20
2015-05-01,17.75,17.75,17.75,17.75,000,17.75
2015-04-30,17.95,18.00,17.65,17.75,22700,17.75
2015-04-29,18.10,18.35,17.95,18.05,5400,18.05
2015-04-28,18.40,18.40,17.90,18.10,13600,18.10
2015-04-27,18.55,18.60,18.00,18.35,5000,18.35
2015-04-24,19.30,19.30,18.25,18.35,17700,18.35
2015-04-23,19.20,19.25,18.75,18.90,16300,18.90
2015-04-22,19.85,19.85,18.80,19.05,21700,19.05
2015-04-21,19.80,19.85,19.15,19.35,12000,19.35
2015-04-20,20.90,20.90,19.60,19.70,28100,19.70
2015-04-17,20.75,20.75,20.30,20.60,10900,20.60
2015-04-16,21.40,21.50,20.45,20.55,21900,20.55
2015-04-15,21.75,22.00,21.00,21.25,30600,21.25
2015-04-14,21.70,21.70,21.70,21.70,000,21.70
2015-04-13,21.30,22.30,21.30,21.70,18200,21.70
2015-04-10,21.55,21.70,21.10,21.25,24500,21.25
2015-04-09,22.35,22.35,21.20,21.35,30500,21.35
2015-04-08,20.00,22.60,20.00,22.25,156700,22.25
2015-04-07,20.40,20.50,19.55,19.80,52000,19.80
2015-04-06,19.60,20.35,19.60,20.20,16600,20.20
2015-04-03,19.30,19.30,19.30,19.30,000,19.30
2015-04-02,19.30,19.30,19.30,19.30,000,19.30
2015-04-01,19.40,19.50,18.70,19.30,6700,19.30
2015-03-31,19.40,19.80,18.80,19.00,12200,19.00
2015-03-30,17.85,19.50,17.80,19.25,27000,19.25
2015-03-27,18.45,18.45,17.00,17.90,52600,17.90
2015-03-26,18.35,18.35,18.00,18.05,11500,18.05
2015-03-25,19.25,19.25,18.25,18.45,17300,18.45
2015-03-24,19.25,19.75,18.75,19.00,14800,19.00
2015-03-23,20.25,20.25,19.15,19.35,10000,19.35
2015-03-20,20.30,20.30,19.50,19.60,15400,19.60
2015-03-19,20.00,21.40,19.90,20.15,29300,20.15
2015-03-18,20.55,20.55,19.60,19.95,7600,19.95
2015-03-17,20.75,20.75,20.05,20.10,10900,20.10
2015-03-16,21.10,21.15,20.50,20.55,13300,20.55
2015-03-13,22.25,22.60,20.55,20.90,47400,20.90
2015-03-12,21.05,22.50,20.65,22.05,28400,22.05
2015-03-11,20.40,21.50,19.50,20.90,39700,20.90
2015-03-10,21.35,21.50,20.25,20.35,44500,20.35
2015-03-09,22.30,22.35,21.10,21.35,30400,21.35
2015-03-06,22.15,22.15,22.15,22.15,000,22.15
2015-03-05,22.90,22.90,21.95,22.15,20500,22.15
2015-03-04,23.05,23.15,22.25,22.45,26600,22.45
2015-03-03,22.70,23.50,22.65,22.75,21400,22.75
2015-03-02,22.30,23.80,22.20,23.00,22300,23.00
2015-02-27,22.60,23.00,22.55,22.65,22700,22.65
2015-02-26,22.80,23.20,22.55,22.75,13000,22.75
2015-02-25,23.00,23.25,22.55,22.75,39700,22.75
2015-02-24,23.90,24.40,22.25,22.80,108400,22.80
2015-02-23,24.60,24.70,23.85,23.95,38100,23.95
