Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,131.70,136.00,127.60,129.30,132200,129.30
2015-07-16,116.20,132.30,115.00,128.50,172200,128.50
2015-07-15,115.70,117.90,114.00,116.70,45700,116.70
2015-07-14,109.20,115.00,107.90,114.10,27900,114.10
2015-07-13,110.00,110.00,105.70,108.00,24000,108.00
2015-07-10,113.70,114.50,107.60,110.10,13800,110.10
2015-07-09,110.30,114.80,107.00,111.90,26400,111.90
2015-07-08,111.30,113.10,108.10,108.90,14200,108.90
2015-07-07,113.90,115.40,110.00,110.50,14900,110.50
2015-07-06,111.40,114.00,110.00,113.60,14700,113.60
2015-07-03,115.40,116.00,111.30,112.40,10200,112.40
2015-07-02,116.00,117.50,114.10,115.20,17200,115.20
2015-07-01,113.00,116.20,113.00,114.10,10600,114.10
2015-06-30,112.50,114.30,110.00,111.30,19500,111.30
2015-06-29,113.40,113.40,109.10,111.60,32000,111.60
2015-06-26,117.20,123.10,114.40,118.80,46500,118.80
2015-06-25,118.00,127.90,113.60,117.80,155000,117.80
2015-06-24,101.90,119.40,100.60,117.20,202000,117.20
2015-06-23,98.80,102.00,98.70,99.50,12000,99.50
2015-06-22,95.70,98.80,94.00,97.40,16400,97.40
2015-06-19,94.30,95.50,93.10,94.30,7000,94.30
2015-06-18,95.30,98.00,0.01,92.30,34900,92.30
2015-06-17,93.20,96.70,92.50,94.60,12500,94.60
2015-06-16,90.90,93.00,90.20,92.00,7900,92.00
2015-06-15,92.80,94.10,90.50,91.30,4200,91.30
2015-06-12,92.20,94.50,90.10,91.40,4200,91.40
2015-06-11,100.30,100.30,91.70,92.60,7700,92.60
2015-06-10,97.90,102.50,96.10,99.90,9700,99.90
2015-06-09,95.20,98.50,95.10,95.30,1400,95.30
2015-06-08,100.30,100.40,96.00,97.10,2400,97.10
2015-06-05,98.30,103.80,98.30,101.00,1900,101.00
2015-06-04,101.10,101.10,96.50,99.20,5100,99.20
2015-06-03,105.70,106.00,97.70,98.00,5000,98.00
2015-06-02,104.80,108.50,104.30,106.00,6000,106.00
2015-06-01,100.60,107.30,100.60,103.60,5200,103.60
2015-05-29,110.20,110.40,105.20,105.80,8800,105.80
2015-05-28,111.10,113.00,110.10,111.20,1300,111.20
2015-05-27,110.50,112.80,110.50,111.00,6400,111.00
2015-05-26,113.50,114.20,112.00,112.60,2000,112.60
2015-05-25,114.30,116.50,113.10,113.50,5200,113.50
2015-05-22,113.90,119.20,112.50,115.10,27800,115.10
2015-05-21,114.50,115.60,111.00,113.00,1200,113.00
2015-05-20,115.70,117.00,113.50,113.90,2800,113.90
2015-05-19,112.00,116.90,112.00,114.30,5500,114.30
2015-05-18,108.60,115.00,108.60,113.90,15800,113.90
2015-05-15,108.20,110.80,108.20,108.80,4200,108.80
2015-05-14,105.00,109.80,105.00,107.50,3300,107.50
2015-05-13,109.60,111.00,104.90,105.40,6800,105.40
2015-05-12,110.00,110.00,105.60,107.20,5300,107.20
2015-05-11,107.40,113.40,107.10,109.00,16800,109.00
2015-05-08,108.80,108.80,103.00,105.20,7400,105.20
2015-05-07,108.50,108.90,103.00,104.10,6900,104.10
2015-05-06,113.00,114.00,109.00,109.90,15900,109.90
2015-05-05,116.30,117.80,112.50,113.00,11100,113.00
2015-05-04,118.10,119.00,115.40,115.70,10200,115.70
2015-05-01,116.80,116.80,116.80,116.80,000,116.80
2015-04-30,113.00,117.50,112.00,116.80,16700,116.80
2015-04-29,112.00,114.50,110.10,113.20,17300,113.20
2015-04-28,107.80,112.20,107.30,110.80,15800,110.80
2015-04-27,115.60,116.30,109.00,110.40,16200,110.40
2015-04-24,124.40,125.00,117.00,117.50,15800,117.50
2015-04-23,125.00,127.20,124.20,124.70,19500,124.70
2015-04-22,124.40,128.00,123.90,125.20,39200,125.20
2015-04-21,125.65,129.80,122.90,125.90,45200,125.90
2015-04-20,123.00,127.50,120.60,123.90,24300,123.90
2015-04-17,122.50,128.90,122.10,123.40,33400,123.40
2015-04-16,125.00,125.40,120.50,121.90,9500,121.90
2015-04-15,129.80,130.40,125.30,126.60,33700,126.60
2015-04-14,127.60,127.60,127.60,127.60,000,127.60
2015-04-13,129.00,132.20,126.50,127.60,50400,127.60
2015-04-10,125.70,128.40,123.00,123.70,25100,123.70
2015-04-09,119.70,125.80,119.70,124.70,81900,124.70
2015-04-08,118.50,120.60,115.50,116.30,32600,116.30
2015-04-07,115.00,120.40,115.00,116.30,33200,116.30
2015-04-06,115.00,117.90,112.00,115.00,35300,115.00
2015-04-03,113.10,113.10,113.10,113.10,000,113.10
2015-04-02,113.10,113.10,113.10,113.10,000,113.10
2015-04-01,106.60,114.20,106.00,113.10,28900,113.10
2015-03-31,107.10,111.30,102.60,105.70,22800,105.70
2015-03-30,100.70,109.00,100.00,107.70,27700,107.70
2015-03-27,102.30,102.30,96.40,97.60,30600,97.60
2015-03-26,102.30,103.00,100.00,100.50,30700,100.50
2015-03-25,103.00,105.70,100.40,102.60,23900,102.60
2015-03-24,107.80,108.40,101.00,101.90,314700,101.90
2015-03-23,110.40,112.40,106.60,107.10,120400,107.10
2015-03-20,111.00,114.30,110.00,110.50,157700,110.50
2015-03-19,111.00,117.80,110.20,112.40,134100,112.40
2015-03-18,113.40,114.00,107.90,108.40,63100,108.40
2015-03-17,114.40,117.80,113.50,115.00,27700,115.00
2015-03-16,117.80,118.10,114.30,115.30,23400,115.30
2015-03-13,122.00,122.80,117.00,117.20,16500,117.20
2015-03-12,121.00,124.70,121.00,121.90,24100,121.90
2015-03-11,120.50,125.40,119.10,120.50,33700,120.50
2015-03-10,128.20,128.20,120.10,121.00,30600,121.00
2015-03-09,122.00,125.00,120.30,122.10,46300,122.10
2015-03-06,122.30,122.30,122.30,122.30,000,122.30
2015-03-05,126.00,128.20,121.20,122.30,47300,122.30
2015-03-04,138.50,138.50,125.40,126.70,35600,126.70
2015-03-03,129.50,134.40,129.10,130.80,41600,130.80
2015-03-02,127.40,132.20,127.40,130.00,22400,130.00
2015-02-27,127.10,131.00,125.50,130.20,38400,130.20
2015-02-26,123.00,130.60,121.50,126.20,56300,126.20
2015-02-25,129.00,131.00,122.60,123.10,75800,123.10
2015-02-24,131.60,132.80,127.90,128.80,27800,128.80
2015-02-23,137.30,137.30,130.40,131.20,33600,131.20
2015-02-20,133.60,139.00,133.00,135.30,71700,135.30
2015-02-19,137.30,139.90,132.20,134.10,59700,134.10
2015-02-18,140.50,140.50,131.90,136.00,61500,136.00
2015-02-17,137.10,137.10,137.10,137.10,000,137.10
2015-02-16,138.00,141.30,136.00,137.10,28500,137.10
2015-02-13,145.60,149.80,140.20,141.20,24900,141.20
2015-02-12,144.90,146.00,143.40,144.50,25800,144.50
2015-02-11,138.00,143.75,138.00,142.40,39000,142.40
2015-02-10,131.85,142.00,131.85,136.30,32300,136.30
2015-02-09,138.70,140.10,133.15,134.95,9700,134.95
2015-02-06,151.00,152.70,140.90,141.60,26800,141.60
2015-02-05,153.20,159.00,142.60,151.75,61900,151.75
2015-02-04,154.50,158.70,151.50,152.20,43900,152.20
2015-02-03,158.50,160.80,152.00,153.45,52600,153.45
2015-02-02,155.20,163.60,154.10,157.80,64300,157.80
2015-01-30,154.55,164.40,152.00,155.80,142300,155.80
2015-01-29,144.90,160.75,143.30,154.20,152100,154.20
2015-01-28,149.40,151.95,144.25,145.00,37500,145.00
2015-01-27,145.10,153.05,144.65,150.80,99100,150.80
2015-01-26,145.55,145.55,145.55,145.55,000,145.55
2015-01-23,145.25,151.60,142.00,145.55,84300,145.55
2015-01-22,144.50,148.50,142.90,144.35,22700,144.35
2015-01-21,150.00,151.10,142.30,144.75,35300,144.75
2015-01-20,151.50,154.20,147.70,150.00,58500,150.00
2015-01-19,153.00,158.45,148.50,150.20,147300,150.20
2015-01-16,141.00,154.40,138.30,152.20,250200,152.20
2015-01-15,143.05,145.75,139.75,140.05,54500,140.05
2015-01-14,138.00,146.50,135.00,141.20,214800,141.20
2015-01-13,146.00,146.00,134.90,136.75,298700,136.75
2015-01-12,115.30,141.00,115.30,140.75,372200,140.75
2015-01-09,121.35,122.50,116.30,117.50,26200,117.50
2015-01-08,115.10,124.65,114.55,119.35,72500,119.35
2015-01-07,114.00,114.75,112.50,113.15,14000,113.15
2015-01-06,118.80,118.80,112.60,114.55,22800,114.55
2015-01-05,120.05,122.90,118.50,119.65,20000,119.65
2015-01-02,122.60,126.20,119.90,120.70,37700,120.70
2015-01-01,117.65,124.70,116.00,122.50,52900,122.50
2014-12-31,115.50,119.90,115.10,117.40,51800,117.40
2014-12-30,117.90,117.90,114.10,115.10,33100,115.10
2014-12-29,116.15,118.50,114.50,115.45,27900,115.45
2014-12-26,118.00,118.40,113.05,115.10,33100,115.10
2014-12-25,117.85,117.85,117.85,117.85,000,117.85
2014-12-24,118.10,119.70,116.40,117.85,31000,117.85
2014-12-23,120.75,122.30,115.50,117.35,34600,117.35
2014-12-22,120.50,123.25,118.50,120.75,37900,120.75
2014-12-19,120.70,123.65,119.30,120.20,37300,120.20
2014-12-18,117.65,122.00,117.00,119.50,72000,119.50
2014-12-17,117.15,118.95,109.55,113.80,63800,113.80
2014-12-16,125.00,125.50,114.90,115.70,80200,115.70
2014-12-15,121.50,128.00,117.65,125.50,105500,125.50
2014-12-12,129.80,133.00,121.20,122.30,80500,122.30
2014-12-11,131.00,133.25,127.10,128.75,71400,128.75
2014-12-10,131.70,135.85,131.50,132.95,51200,132.95
2014-12-09,137.45,140.00,130.00,131.70,87700,131.70
2014-12-08,134.85,143.60,131.65,136.65,204100,136.65
2014-12-05,131.75,138.45,130.70,134.40,213600,134.40
2014-12-04,136.40,136.40,128.65,131.75,182700,131.75
2014-12-03,123.00,141.30,122.75,134.75,492800,134.75
2014-12-02,114.90,122.60,114.90,121.70,131400,121.70
2014-12-01,120.40,123.50,115.00,115.70,105300,115.70
2014-11-28,119.95,124.45,118.50,120.25,238600,120.25
2014-11-27,110.00,119.30,108.00,118.30,229100,118.30
2014-11-26,109.00,112.65,106.50,109.40,76000,109.40
2014-11-25,113.50,116.65,105.00,107.70,175200,107.70
2014-11-24,108.00,117.70,102.55,113.05,437300,113.05
2014-11-21,103.25,108.55,100.30,107.80,190800,107.80
2014-11-20,104.10,105.05,99.35,102.75,144000,102.75
2014-11-19,108.95,113.50,101.60,103.05,312000,103.05
2014-11-18,98.00,108.85,95.15,105.25,477700,105.25
2014-11-17,100.05,103.70,96.10,97.85,76100,97.85
2014-11-14,88.95,94.50,87.50,91.35,31800,91.35
2014-11-13,90.00,91.00,88.05,88.60,7900,88.60
2014-11-12,89.00,93.00,88.55,89.55,18300,89.55
2014-11-11,89.15,90.00,88.15,89.40,4800,89.40
2014-11-10,93.85,93.85,88.55,89.20,7500,89.20
2014-11-07,94.15,94.15,91.70,91.85,5100,91.85
2014-11-06,94.65,94.65,94.65,94.65,000,94.65
2014-11-05,94.00,96.45,93.00,94.65,11300,94.65
2014-11-04,94.10,94.10,94.10,94.10,000,94.10
2014-11-03,93.10,98.15,91.35,94.10,30400,94.10
2014-10-31,90.95,93.60,90.60,93.05,13300,93.05
2014-10-30,88.00,92.60,87.60,90.15,22900,90.15
