Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,164.25,167.95,163.10001,166.20,38000,166.20
2015-07-16,150.00,163.64999,150.00,160.55,106200,160.55
2015-07-15,151.60001,153.70,148.50,148.89999,18300,148.89999
2015-07-14,149.05,151.20,148.64999,150.39999,16800,150.39999
2015-07-13,149.10001,150.00,145.10001,145.60001,6400,145.60001
2015-07-10,144.00,151.50,143.95,149.39999,37500,149.39999
2015-07-09,146.50,147.70,142.30,143.25,15400,143.25
2015-07-08,146.45,149.60001,144.10001,145.39999,37400,145.39999
2015-07-07,150.45,151.80,147.45,148.75,21900,148.75
2015-07-06,147.89999,151.00,145.00,148.14999,34000,148.14999
2015-07-03,152.14999,153.39999,148.50,149.45,26000,149.45
2015-07-02,150.00,155.00,148.80,150.64999,17100,150.64999
2015-07-01,148.95,150.70,147.00,149.60001,26300,149.60001
2015-06-30,148.60001,149.89999,146.75,148.14999,12800,148.14999
2015-06-29,152.89999,152.89999,145.50,146.80,17300,146.80
2015-06-26,152.64999,156.00,151.35001,152.89999,15900,152.89999
2015-06-25,154.50,154.50,151.00,152.70,4900,152.70
2015-06-24,158.50,158.75,151.55,154.25,18400,154.25
2015-06-23,154.39999,160.70,154.39999,156.89999,12500,156.89999
2015-06-22,153.60001,155.50,153.00,153.39999,14600,153.39999
2015-06-19,155.10001,156.10001,152.75,153.30,4900,153.30
2015-06-18,155.50,156.89999,153.70,154.00,25300,154.00
2015-06-17,154.95,156.50,153.85001,155.60001,6500,155.60001
2015-06-16,155.00,156.80,154.60001,154.70,2300,154.70
2015-06-15,156.70,160.00,155.85001,156.14999,9200,156.14999
2015-06-12,155.70,156.00,154.14999,155.10001,4700,155.10001
2015-06-11,159.50,162.50,155.80,156.60001,10100,156.60001
2015-06-10,153.39999,159.50,153.39999,158.75,14600,158.75
2015-06-09,152.25,153.00,150.50,151.14999,15000,151.14999
2015-06-08,154.05,156.89999,150.25,150.25,3200,150.25
2015-06-05,156.30,156.39999,151.50,155.45,7800,155.45
2015-06-04,151.00,159.35001,148.35001,157.85001,21100,157.85001
2015-06-03,153.75,155.05,148.00,149.80,9600,149.80
2015-06-02,163.70,164.00,152.70,153.60001,21900,153.60001
2015-06-01,167.89999,169.70,161.85001,163.70,36000,163.70
2015-05-29,152.00,169.45,150.64999,166.20,164700,166.20
2015-05-28,153.00,155.00,150.45,151.50,6200,151.50
2015-05-27,156.00,159.35001,151.70,152.05,18800,152.05
2015-05-26,152.45,159.80,152.45,157.14999,79200,157.14999
2015-05-25,152.25,154.50,151.70,152.55,10400,152.55
2015-05-22,150.50,153.00,147.50,152.05,29200,152.05
2015-05-21,149.00,149.00,145.60001,146.05,18200,146.05
2015-05-20,145.45,149.30,145.00,148.00,28300,148.00
2015-05-19,146.20,147.95,143.05,145.00,23100,145.00
2015-05-18,146.00,148.60001,142.10001,145.85001,46100,145.85001
2015-05-15,145.00,147.00,143.00,143.64999,9400,143.64999
2015-05-14,145.95,145.95,140.00,143.20,11600,143.20
2015-05-13,132.14999,143.70,132.14999,142.25,22100,142.25
2015-05-12,130.20,131.00,129.60001,130.10001,2400,130.10001
2015-05-11,130.00,132.80,130.00,130.64999,6900,130.64999
2015-05-08,129.50,130.70,128.20,128.50,2500,128.50
2015-05-07,130.14999,132.50,125.00,126.55,109000,126.55
2015-05-06,136.00,136.00,130.00,130.95,8500,130.95
2015-05-05,136.50,139.60001,135.00,135.00,16500,135.00
2015-05-04,135.00,137.00,134.00,135.50,4100,135.50
2015-05-01,132.25,132.25,132.25,132.25,000,132.25
