Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,234.95,234.95,229.00,229.14999,3200,229.14999
2015-07-16,234.00,234.95,228.30,229.95,14500,229.95
2015-07-15,235.00,238.00,231.50,234.50,4500,234.50
2015-07-14,242.00,242.00,234.35001,238.05,21500,238.05
2015-07-13,233.00,238.00,225.00,229.55,8300,229.55
2015-07-10,229.80,241.10001,229.80,233.70,1600,233.70
2015-07-09,226.95,229.00,225.20,228.05,400,228.05
2015-07-08,225.50,230.00,222.35001,226.45,2900,226.45
2015-07-07,237.10001,239.00,228.50,228.50,4500,228.50
2015-07-06,230.30,239.89999,228.00,236.64999,3900,236.64999
2015-07-03,242.45,242.45,234.95,238.45,1600,238.45
2015-07-02,244.80,244.80,235.10001,239.35001,3600,239.35001
2015-07-01,240.00,250.00,237.00,241.39999,4400,241.39999
2015-06-30,239.14999,239.14999,235.50,238.00,1800,238.00
2015-06-29,236.10001,242.39999,232.00,236.89999,8300,236.89999
2015-06-26,246.00,249.60001,243.00,243.50,4200,243.50
2015-06-25,246.00,250.00,246.00,247.10001,1900,247.10001
2015-06-24,245.60001,254.00,240.60001,247.45,8700,247.45
2015-06-23,238.00,254.95,237.89999,244.30,28300,244.30
2015-06-22,227.00,231.80,225.80,231.14999,4800,231.14999
2015-06-19,229.00,232.00,224.00,225.60001,2700,225.60001
2015-06-18,225.00,229.70,220.89999,228.10001,2800,228.10001
2015-06-17,219.20,223.10001,218.80,220.39999,1000,220.39999
2015-06-16,223.20,223.20,213.00,219.39999,1200,219.39999
2015-06-15,224.89999,224.89999,219.20,219.50,1800,219.50
2015-06-12,221.20,225.00,210.00,221.10001,3300,221.10001
2015-06-11,223.10001,228.10001,220.00,220.10001,1900,220.10001
2015-06-10,223.00,223.20,220.89999,221.30,1700,221.30
2015-06-09,220.00,224.89999,218.00,219.80,3000,219.80
2015-06-08,226.50,227.00,220.30,221.00,1900,221.00
2015-06-05,222.00,227.89999,220.00,224.60001,1400,224.60001
2015-06-04,221.00,221.70,216.00,219.00,2000,219.00
2015-06-03,230.00,231.20,212.00,220.89999,6400,220.89999
2015-06-02,238.00,238.00,232.00,232.70,2900,232.70
2015-06-01,233.00,237.00,229.00,235.89999,4900,235.89999
2015-05-29,226.10001,233.00,226.00,230.70,3500,230.70
2015-05-28,230.00,230.00,226.89999,229.10001,5500,229.10001
2015-05-27,223.80,236.00,220.10001,224.80,20000,224.80
2015-05-26,225.00,225.00,216.39999,218.10001,5900,218.10001
2015-05-25,225.00,228.00,217.50,223.20,5000,223.20
2015-05-22,210.00,225.00,210.00,221.60001,13300,221.60001
2015-05-21,206.10001,208.00,205.50,207.00,900,207.00
2015-05-20,211.00,212.00,206.39999,210.80,5800,210.80
2015-05-19,211.30,211.89999,209.00,210.00,1700,210.00
2015-05-18,215.00,215.00,209.60001,212.10001,4200,212.10001
2015-05-15,220.00,220.00,212.50,214.39999,4700,214.39999
2015-05-14,223.00,223.00,216.20,219.80,1900,219.80
2015-05-13,229.00,233.00,218.00,222.60001,4400,222.60001
2015-05-12,225.50,227.00,224.00,225.60001,2100,225.60001
2015-05-11,229.00,230.00,225.00,229.10001,2400,229.10001
2015-05-08,226.00,228.89999,221.00,222.60001,1100,222.60001
2015-05-07,225.20,230.00,217.30,219.50,2200,219.50
2015-05-06,230.00,230.00,220.00,224.70,1700,224.70
2015-05-05,234.00,238.89999,232.39999,232.39999,3300,232.39999
2015-05-04,216.00,233.00,215.80,230.80,6000,230.80
2015-05-01,215.20,215.20,215.20,215.20,000,215.20
2015-04-30,212.00,221.70,212.00,215.20,5100,215.20
2015-04-29,209.70,216.89999,209.70,214.89999,2000,214.89999
2015-04-28,210.00,210.50,204.10001,206.60001,18200,206.60001
2015-04-27,216.00,217.00,211.20,214.60001,4600,214.60001
2015-04-24,227.00,230.89999,216.00,219.00,8300,219.00
2015-04-23,231.50,234.89999,225.39999,228.20,4300,228.20
2015-04-22,235.00,235.39999,225.30,232.20,3200,232.20
2015-04-21,230.20,239.89999,225.10001,226.20,10200,226.20
2015-04-20,244.30,244.50,227.00,230.50,19300,230.50
2015-04-17,252.10001,254.89999,241.00,242.39999,5900,242.39999
2015-04-16,257.20001,261.60001,249.39999,252.70,4400,252.70
2015-04-15,262.00,265.39999,256.00,258.39999,5700,258.39999
2015-04-14,260.79999,260.79999,260.79999,260.79999,000,260.79999
2015-04-13,269.60001,280.00,258.00,260.79999,8900,260.79999
2015-04-10,264.20001,272.89999,264.20001,268.50,8500,268.50
2015-04-09,260.20001,272.10001,260.20001,265.00,43000,265.00
2015-04-08,241.80,265.00,241.80,260.00,16600,260.00
2015-04-07,240.00,244.00,236.60001,239.60001,7100,239.60001
2015-04-06,250.70,250.70,233.50,238.20,23400,238.20
2015-04-03,249.60001,249.60001,249.60001,249.60001,000,249.60001
2015-04-02,249.60001,249.60001,249.60001,249.60001,000,249.60001
2015-04-01,247.39999,258.50,247.39999,249.60001,4400,249.60001
2015-03-31,248.50,248.50,242.39999,245.10001,5500,245.10001
2015-03-30,240.00,246.60001,230.30,244.39999,14700,244.39999
2015-03-27,232.00,245.00,225.20,239.39999,4100,239.39999
2015-03-26,229.00,240.80,227.89999,234.10001,7800,234.10001
2015-03-25,236.10001,236.10001,228.10001,232.60001,5900,232.60001
2015-03-24,230.00,247.00,230.00,236.20,12900,236.20
2015-03-23,241.10001,241.10001,229.00,235.30,6100,235.30
2015-03-20,250.10001,252.50,239.10001,242.30,7100,242.30
2015-03-19,254.60001,256.89999,250.10001,251.20,7200,251.20
2015-03-18,266.10001,266.10001,253.89999,259.60001,6200,259.60001
2015-03-17,268.20001,268.20001,263.20001,266.00,3600,266.00
2015-03-16,269.50,270.00,260.00,264.79999,4500,264.79999
2015-03-13,279.00,279.00,259.89999,265.39999,6400,265.39999
2015-03-12,275.50,278.10001,273.60001,275.10001,2300,275.10001
2015-03-11,278.10001,283.20001,272.20001,275.50,8600,275.50
2015-03-10,285.50,285.50,273.39999,276.20001,10400,276.20001
2015-03-09,285.89999,286.00,277.00,281.79999,9500,281.79999
2015-03-06,290.10001,290.10001,290.10001,290.10001,000,290.10001
2015-03-05,288.50,296.00,286.10001,290.10001,11200,290.10001
2015-03-04,282.50,291.00,277.39999,286.60001,24100,286.60001
2015-03-03,280.00,280.00,273.00,276.20001,15100,276.20001
2015-03-02,286.00,286.10001,263.70001,281.50,23900,281.50
2015-02-27,289.50,303.10001,289.10001,302.00,13600,302.00
2015-02-26,290.50,292.29999,283.00,285.89999,12200,285.89999
2015-02-25,300.50,307.00,287.60001,289.50,23700,289.50
2015-02-24,306.50,327.29999,285.00,294.50,78700,294.50
2015-02-23,273.79999,319.89999,271.00,306.39999,96100,306.39999
2015-02-20,257.39999,273.00,252.20,270.10001,23600,270.10001
2015-02-19,249.00,257.89999,249.00,255.80,9800,255.80
2015-02-18,245.00,248.60001,244.50,245.10001,4400,245.10001
2015-02-17,244.70,244.70,244.70,244.70,000,244.70
2015-02-16,253.10001,260.00,244.20,244.70,35600,244.70
2015-02-13,252.00,257.79999,250.00,255.10001,15200,255.10001
2015-02-12,243.05,252.89999,242.10001,248.80,33400,248.80
2015-02-11,233.00,245.00,232.00,238.05,17800,238.05
2015-02-10,221.14999,231.00,220.00,229.35001,7900,229.35001
2015-02-09,230.00,230.00,220.00,222.14999,6700,222.14999
