Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,389.00,389.00,374.75,376.80,3700,376.57
2015-07-16,381.05,384.00,377.50,380.80,2600,380.568
2015-07-15,371.00,384.00,369.20,378.80,19100,378.569
2015-07-14,375.00,375.10,369.00,369.20,6600,368.975
2015-07-13,378.00,380.00,365.00,372.50,4500,372.273
2015-07-10,370.45,378.40,369.00,373.65,1900,373.422
2015-07-09,373.00,374.85,366.00,371.20,2100,370.973
2015-07-08,377.70,384.50,368.00,372.40,2400,372.173
2015-07-07,389.95,389.95,370.00,370.55,7900,370.324
2015-07-06,382.00,385.25,381.00,383.05,2400,382.816
2015-07-03,385.15,388.00,311.00,384.40,8300,384.165
2015-07-02,386.00,390.20,385.40,386.90,1500,386.664
2015-07-01,388.25,394.00,384.00,387.35,2900,387.114
2015-06-30,388.10,391.95,383.50,387.45,3300,387.214
2015-06-29,380.00,389.95,373.70,384.25,5000,384.015
2015-06-26,386.25,389.60,382.00,386.85,4500,386.614
2015-06-25,383.00,385.10,378.20,383.55,300,383.316
2015-06-24,387.45,388.30,383.00,383.60,900,383.366
2015-06-23,390.90,393.60,382.35,386.70,1700,386.464
2015-06-22,390.45,390.50,381.00,382.80,3700,382.566
2015-06-19,372.20,392.00,369.20,391.30,7100,391.061
2015-06-18,386.35,388.10,379.00,381.40,400,381.167
2015-06-17,389.55,392.00,375.00,384.05,5300,383.816
2015-06-16,386.65,390.00,386.50,387.00,151100,386.764
2015-06-15,378.70,387.45,378.05,385.55,300,385.315
2015-06-12,382.00,387.15,372.25,377.90,2600,377.669
2015-06-11,388.90,400.00,383.80,384.75,3200,384.515
2015-06-10,383.65,391.85,382.50,389.75,1900,389.512
2015-06-09,390.80,390.80,377.50,387.30,1000,387.064
2015-06-08,384.90,389.50,358.50,380.55,503300,380.318
2015-06-05,382.85,401.70,382.00,394.25,4800,394.009
2015-06-04,364.60,388.80,364.00,387.10,9100,386.864
2015-06-03,370.00,375.00,358.80,366.85,7500,366.626
2015-06-02,381.05,382.70,362.00,371.50,7400,371.273
2015-06-01,386.85,389.70,377.80,385.60,7900,385.365
2015-05-29,400.00,400.00,377.00,384.05,29500,383.816
2015-05-28,412.05,415.00,403.80,405.60,2600,405.352
2015-05-27,412.05,416.00,404.40,406.05,1700,405.802
2015-05-26,414.95,419.00,409.15,417.15,2700,416.895
2015-05-25,404.95,415.95,392.35,411.35,3900,411.099
2015-05-22,403.00,412.60,394.55,404.85,9300,404.603
2015-05-21,400.00,400.00,394.10,397.70,3000,397.457
2015-05-20,405.25,405.25,394.35,397.70,3800,397.457
2015-05-19,411.70,412.00,403.00,404.15,3700,403.903
2015-05-18,411.70,413.00,395.10,406.95,2500,406.702
2015-05-15,415.00,417.80,406.00,406.80,4300,406.552
2015-05-14,406.00,414.95,402.05,411.75,5700,411.499
2015-05-13,414.90,418.90,403.05,411.50,2100,411.249
2015-05-12,419.40,419.40,405.05,410.80,7900,410.549
2015-05-11,425.00,426.55,416.05,419.65,3200,419.394
2015-05-08,415.90,428.50,408.00,424.10,7400,423.841
2015-05-07,421.00,434.40,405.10,410.75,10100,410.499
2015-05-06,426.20,434.90,413.00,419.75,71100,419.494
2015-05-05,448.80,458.00,427.00,431.80,517500,431.536
2015-05-04,445.00,452.45,442.55,450.40,1700,450.125
2015-05-01,442.45,442.45,442.45,442.45,000,442.18
2015-04-30,444.00,447.30,433.10,442.45,1600,442.18
2015-04-29,448.00,455.00,425.45,444.45,2500,444.179
2015-04-28,432.05,444.50,410.00,436.05,4300,435.784
2015-04-27,442.85,442.90,406.60,432.95,28200,432.686
2015-04-24,460.00,467.00,435.05,442.65,6400,442.38
2015-04-23,464.95,474.00,458.15,470.00,46400,469.713
2015-04-22,455.00,461.80,450.00,456.65,1800,456.371
2015-04-21,451.10,455.00,445.55,448.25,2100,447.976
2015-04-20,460.00,470.00,435.05,453.95,284800,453.673
2015-04-17,461.95,480.15,449.00,456.40,4100,456.121
2015-04-16,487.00,489.80,450.20,457.50,11600,457.221
2015-04-15,502.80,503.70,474.00,480.15,2300,479.857
2015-04-14,502.15,502.15,502.15,502.15,000,501.843
2015-04-13,518.65,534.05,493.45,502.15,7000,501.843
2015-04-10,512.80,521.95,512.80,515.25,2000,514.935
2015-04-09,502.00,517.80,498.00,508.35,27000,508.04
2015-04-08,461.65,505.00,461.00,502.35,36200,502.043
2015-04-07,448.95,464.00,448.95,460.75,7800,460.469
2015-04-06,445.05,450.00,444.00,446.45,1700,446.177
2015-04-03,447.30,447.30,447.30,447.30,000,447.027
2015-04-02,447.30,447.30,447.30,447.30,000,447.027
2015-04-01,443.75,449.20,437.10,447.30,1600,447.027
2015-03-31,436.25,449.90,427.00,443.10,2200,442.83
2015-03-30,434.00,439.70,427.05,436.05,21400,435.784
2015-03-27,438.00,438.00,420.00,425.35,3900,425.09
2015-03-26,423.00,444.05,418.00,434.00,5400,433.735
2015-03-25,432.00,432.00,423.05,424.60,1600,424.341
2015-03-24,440.05,445.55,431.90,433.05,1100,432.786
2015-03-23,444.00,444.90,429.10,441.90,2800,441.63
2015-03-20,459.60,459.60,440.15,445.95,2400,445.678
2015-03-19,447.70,470.00,442.00,460.10,5100,459.819
2015-03-18,444.90,448.50,440.10,445.90,2500,445.628
2015-03-17,442.00,442.05,435.50,441.20,4900,440.931
2015-03-16,444.00,444.90,437.00,441.10,4800,440.831
2015-03-13,433.30,450.00,427.00,443.25,10300,442.979
2015-03-12,424.00,435.00,419.40,431.10,4200,430.837
2015-03-11,419.00,428.00,415.75,424.30,4500,424.041
2015-03-10,427.95,427.95,416.00,420.10,4100,419.844
2015-03-09,402.00,431.90,402.00,420.90,2900,420.643
2015-03-06,429.75,429.75,429.75,429.75,000,429.488
2015-03-05,431.60,432.50,420.50,429.75,3900,429.488
2015-03-04,435.05,438.45,427.00,429.00,4500,428.738
2015-03-03,440.10,443.00,433.00,434.85,3300,434.585
2015-03-02,455.00,455.00,435.00,442.00,3600,441.73
2015-02-27,435.00,448.90,432.00,443.25,3400,442.979
2015-02-26,440.00,440.00,426.40,435.50,9200,435.234
2015-02-25,455.00,457.00,433.00,441.25,6200,440.981
2015-02-24,447.00,457.25,440.15,447.80,12500,447.527
2015-02-23,449.75,454.20,437.00,448.75,5100,448.476
2015-02-20,450.45,457.70,436.00,446.65,10000,446.377
2015-02-19,458.25,460.00,440.00,446.10,11400,445.828
2015-02-18,450.05,471.30,445.00,459.60,7500,459.319
2015-02-17,452.90,452.90,452.90,452.90,000,452.624
2015-02-16,450.00,458.80,449.00,452.90,8600,452.624
2015-02-13,434.20,448.85,434.20,445.70,22300,445.428
2015-02-12,435.00,443.00,426.00,432.45,6900,432.186
2015-02-11,420.60,445.70,413.00,434.05,12500,433.785
2015-02-10,415.50,426.00,409.20,417.25,6400,416.995
2015-02-09,411.80,417.00,400.00,413.40,23700,413.148
2015-02-06,417.00,420.00,394.85,410.15,8200,409.90
2015-02-05,420.00,431.30,410.85,416.30,11700,416.046
2015-02-04,391.15,418.00,389.00,414.55,15800,414.297
2015-02-03,379.25,396.00,379.25,394.05,38000,393.809
2015-02-02,381.95,386.95,380.00,385.60,3800,385.365
2015-01-30,384.15,386.50,370.00,382.85,10000,382.616
2015-01-29,373.90,384.95,362.00,382.60,23800,382.366
2015-01-28,399.40,425.00,372.35,383.50,22100,383.266
2015-01-27,382.00,392.90,379.50,390.40,6100,390.162
2015-01-26,381.70,381.70,381.70,381.70,000,381.467
2015-01-23,387.45,387.95,380.45,381.70,5400,381.467
2015-01-22,383.30,388.00,380.35,386.70,5300,386.464
2015-01-21,394.00,394.00,379.65,383.90,7100,383.666
2015-01-20,386.00,394.95,384.85,393.30,5700,393.06
2015-01-19,380.20,393.35,378.90,388.40,15200,388.163
2015-01-16,373.05,386.05,372.00,383.50,8200,383.266
2015-01-15,370.55,377.00,370.00,375.35,208600,375.121
2015-01-14,371.05,373.00,370.00,371.00,175200,370.774
2015-01-13,368.25,371.80,367.25,369.05,78300,368.825
2015-01-12,373.00,375.55,366.30,368.80,88300,368.575
2015-01-09,367.90,373.00,366.00,372.45,9300,372.223
2015-01-08,368.85,369.00,361.90,364.05,8600,363.828
2015-01-07,366.00,368.05,361.00,361.75,8200,361.529
2015-01-06,378.00,378.00,365.00,365.00,66800,364.777
2015-01-05,390.00,390.90,377.15,379.90,7800,379.668
2015-01-02,389.75,395.95,384.00,385.45,8300,385.215
2015-01-01,393.30,395.00,386.85,388.20,2600,387.963
2014-12-31,395.00,398.95,390.00,392.90,7300,392.66
2014-12-30,388.70,395.75,384.15,392.95,4600,392.71
2014-12-29,386.00,392.00,383.85,389.40,5700,389.162
2014-12-26,389.95,389.95,383.00,385.25,6100,385.015
2014-12-25,384.65,384.65,384.65,384.65,000,384.415
2014-12-24,375.00,388.00,375.00,384.65,25500,384.415
2014-12-23,375.05,382.10,370.20,373.00,7200,372.772
2014-12-22,379.50,385.00,373.95,374.80,6200,374.571
2014-12-19,382.00,384.70,374.90,379.55,185800,379.318
2014-12-18,388.00,391.65,375.15,378.20,112300,377.969
2014-12-17,387.30,387.30,370.75,380.60,161200,380.368
2014-12-16,396.00,397.60,379.75,392.05,13600,391.811
2014-12-15,400.00,405.00,395.55,400.65,12600,400.405
2014-12-12,415.70,419.00,401.00,404.05,4800,403.803
2014-12-11,414.30,416.00,405.00,414.90,3800,414.647
2014-12-10,418.55,422.90,415.00,416.35,3300,416.096
2014-12-09,421.15,431.50,415.35,420.40,6100,420.143
2014-12-08,429.20,429.90,420.95,422.70,7100,422.442
2014-12-05,432.00,432.00,420.50,422.30,3400,422.042
2014-12-04,414.00,433.00,409.00,430.20,26900,429.937
2014-12-02,446.40,446.50,426.15,432.75,8000,432.486
2014-12-01,438.05,447.40,432.40,444.10,14700,443.829
2014-11-28,430.50,440.00,425.10,435.45,12500,435.184
2014-11-27,430.00,435.00,416.10,428.35,9600,428.089
2014-11-26,413.30,434.50,413.30,425.60,15900,425.34
2014-11-25,400.90,421.00,393.00,413.10,24300,412.848
2014-11-24,416.50,418.00,404.05,407.15,11900,406.901
2014-11-21,412.00,414.30,396.15,403.10,32900,402.854
2014-11-20,419.00,422.80,404.55,407.15,19000,406.901
2014-11-19,415.00,434.70,399.00,425.00,98200,424.741
2014-11-18,401.50,414.80,401.50,410.60,29500,410.349
2014-11-17,386.00,403.00,381.00,395.95,19300,395.708
2014-11-14,394.80,395.00,385.25,387.45,14400,387.214
2014-11-13,382.80,400.95,378.00,394.60,31000,394.359
2014-11-12,372.95,386.00,372.25,382.40,117800,382.167
2014-11-11,365.00,372.60,363.00,368.80,13900,368.575
2014-11-10,359.90,369.00,350.05,365.15,12300,364.927
2014-11-07,365.50,369.70,360.00,364.05,63100,363.828
2014-11-06,359.75,359.75,359.75,359.75,000,359.53
2014-11-05,354.75,365.00,351.55,359.75,482900,359.53
2014-11-04,355.45,355.45,355.45,355.45,000,355.083
2014-11-03,352.50,359.50,339.55,355.45,1046900,355.083
2014-10-31,373.00,374.00,349.00,355.30,65000,354.933
2014-10-30,375.00,375.00,367.00,372.30,2400,371.916
2014-10-29,362.55,374.90,362.00,373.30,5400,372.915
2014-10-28,374.00,375.00,349.90,359.45,42100,359.079
2014-10-27,400.15,400.15,381.00,382.60,6800,382.205
2014-10-24,387.20,387.20,387.20,387.20,000,386.80
2014-10-23,387.20,387.20,387.20,387.20,000,386.80
2014-10-22,379.35,389.45,379.35,387.20,3500,386.80
2014-10-21,383.00,386.55,370.70,378.75,2500,378.359
2014-10-20,385.95,387.80,380.00,382.55,1800,382.155
2014-10-17,373.00,382.00,370.65,378.40,1000,378.009
2014-10-16,376.05,379.85,370.00,372.65,2800,372.265
2014-10-15,376.55,376.55,376.55,376.55,000,376.161
2014-10-14,378.20,385.00,372.00,376.55,1200,376.161
2014-10-13,388.00,391.00,376.25,380.40,2100,380.007
2014-10-10,388.75,391.20,381.55,384.50,1200,384.103
2014-10-09,381.15,391.00,378.00,387.65,3000,387.25
2014-10-08,391.45,391.45,376.10,379.75,3100,379.358
2014-10-07,395.95,396.00,381.35,389.05,9500,388.648
2014-10-06,396.45,396.45,396.45,396.45,000,396.041
2014-10-03,396.45,396.45,396.45,396.45,000,396.041
2014-10-02,396.45,396.45,396.45,396.45,000,396.041
2014-10-01,400.00,402.95,393.00,396.45,3600,396.041
2014-09-30,400.05,414.30,398.00,402.70,5700,402.284
2014-09-29,390.00,410.00,382.50,405.80,3400,405.381
2014-09-26,385.00,385.95,370.00,380.55,10500,380.157
2014-09-25,394.75,404.95,376.10,387.95,5100,387.55
2014-09-24,405.10,412.50,398.55,402.80,6300,201.192
2014-09-23,421.50,423.60,405.50,406.475,3700,203.028
2014-09-22,412.50,421.70,403.10,418.45,4400,209.009
2014-09-19,405.65,415.00,401.50,412.70,6000,206.137
2014-09-18,400.00,409.95,392.50,404.175,15200,201.879
2014-09-17,412.05,412.05,394.725,398.725,7300,199.157
2014-09-16,417.50,422.00,390.55,411.90,7000,205.737
2014-09-15,420.875,423.50,412.525,418.50,3000,209.034
2014-09-12,406.00,424.50,404.75,421.25,12400,210.408
2014-09-11,410.00,414.00,407.325,411.625,22400,205.60
2014-09-10,415.00,417.25,406.00,407.575,2400,203.577
2014-09-09,416.50,416.80,411.85,413.90,5900,206.736
2014-09-08,417.50,422.50,412.50,416.375,8400,207.973
2014-09-05,412.45,417.35,410.00,415.475,3800,207.523
2014-09-04,402.50,412.40,397.00,409.60,6500,204.589
2014-09-03,395.80,405.00,386.25,402.975,6300,201.28
2014-09-02,405.00,405.00,391.50,397.50,6400,198.545
2014-09-01,820.00,830.40,790.05,799.00,7800,399.088
2014-08-29,810.00,810.00,810.00,810.00,000,404.582
2014-08-28,821.00,835.00,800.00,810.00,8900,404.582
2014-08-27,837.00,837.00,803.60,815.80,4600,407.479
2014-08-26,863.25,864.00,811.55,825.15,10800,412.149
2014-08-25,830.10,860.40,828.00,844.95,17300,422.039
2014-08-22,800.00,830.00,791.55,827.40,17100,413.273
2014-08-21,791.05,799.00,766.10,794.00,28000,396.59
2014-08-20,790.00,799.00,786.00,790.00,8000,394.592
2014-08-19,750.00,783.00,736.00,781.20,16300,390.197
2014-08-18,720.00,744.75,714.00,739.85,8700,369.543
2014-08-15,709.20,709.20,709.20,709.20,000,354.234
2014-08-14,703.15,717.80,701.00,709.20,6000,354.234
2014-08-13,695.00,702.95,690.00,700.60,10100,349.938
2014-08-12,704.35,704.70,690.10,699.75,2800,349.114
2014-08-11,682.00,704.10,682.00,697.55,2800,348.017
2014-08-08,682.00,690.00,670.00,681.20,3100,339.859
2014-08-07,692.50,707.90,680.05,693.15,3400,345.821
2014-08-06,700.00,709.00,685.00,697.10,26700,347.792
2014-08-05,702.05,708.00,688.80,691.50,4400,344.998
2014-08-04,680.00,721.25,680.00,701.80,5200,350.137
2014-08-01,685.00,695.00,655.00,682.00,3300,340.259
2014-07-31,690.35,694.90,661.00,689.45,4800,343.975
2014-07-30,699.10,702.00,660.00,680.85,14600,339.685
2014-07-29,689.00,689.00,689.00,689.00,000,343.751
2014-07-28,670.00,705.00,662.00,689.00,15500,343.751
2014-07-25,665.00,666.90,656.00,660.00,13300,329.282
2014-07-24,667.45,671.50,651.70,666.15,6800,332.351
2014-07-23,675.00,675.00,660.00,665.00,10400,331.777
2014-07-22,670.00,680.00,661.30,665.20,10700,331.877
2014-07-21,659.75,677.35,657.00,660.95,10200,329.756
2014-07-18,651.55,661.20,647.00,653.05,7500,325.815
2014-07-17,648.00,679.80,645.00,670.00,14300,334.272
2014-07-16,625.25,654.90,610.00,645.35,59200,321.973
2014-07-15,665.10,677.00,615.00,636.90,46800,317.758
2014-07-14,670.00,680.00,663.25,675.65,1800,337.09
2014-07-11,669.00,680.00,666.00,673.25,12000,335.893
2014-07-10,672.00,675.50,655.00,660.20,6800,329.382
2014-07-09,680.00,687.40,655.00,670.30,2800,334.421
2014-07-08,692.10,695.00,652.00,680.50,11300,339.51
2014-07-07,731.40,731.40,685.00,690.00,15000,344.25
2014-07-04,734.20,739.80,703.00,718.05,2900,358.244
2014-07-03,715.00,758.80,680.05,728.95,5100,363.683
2014-07-02,711.30,740.00,711.30,724.35,3700,361.388
2014-07-01,710.85,724.00,700.00,720.00,2600,359.217
2014-06-30,679.00,709.45,673.00,701.40,8700,349.937
2014-06-27,678.30,680.00,670.00,675.60,2000,337.066
2014-06-26,673.00,680.00,670.00,678.50,2900,338.512
2014-06-25,672.00,681.95,670.00,676.35,4500,337.44
2014-06-24,670.00,684.70,663.80,666.00,2900,332.276
2014-06-23,666.00,670.00,652.00,665.60,3000,332.076
2014-06-20,670.00,672.00,650.00,662.50,1300,330.53
2014-06-19,683.85,683.85,667.00,679.85,2900,339.186
2014-06-18,675.30,690.00,669.90,679.20,5100,338.862
2014-06-17,699.95,699.95,672.00,678.70,4100,338.612
2014-06-16,678.00,678.00,655.05,672.05,2600,335.294
2014-06-13,677.00,683.50,656.00,668.05,2800,333.299
2014-06-12,694.00,698.90,672.25,682.80,2200,340.658
2014-06-11,720.90,720.90,680.00,681.85,6000,340.184
2014-06-10,697.40,705.00,681.00,700.15,5900,349.314
2014-06-09,685.00,692.00,673.05,692.00,4700,345.248
2014-06-06,648.00,684.90,647.50,682.00,10700,340.259
2014-06-05,632.00,662.00,621.00,651.90,9700,325.241
2014-06-04,600.00,698.00,600.00,645.70,13800,322.148
2014-06-03,604.10,608.00,583.70,594.25,3200,296.479
2014-06-02,608.95,608.95,502.20,598.85,5700,298.774
2014-05-30,586.75,599.95,580.00,587.30,4900,293.012
2014-05-29,468.90,598.00,468.90,585.55,32200,292.138
2014-05-28,595.80,599.00,581.20,586.10,3600,292.413
2014-05-27,609.55,609.55,584.30,594.90,1900,296.803
2014-05-26,601.35,601.90,581.15,597.60,13500,298.15
2014-05-23,600.05,606.90,590.35,600.50,9400,299.597
2014-05-22,570.00,603.00,570.00,599.25,19100,298.974
2014-05-21,549.90,567.00,549.05,561.70,2500,280.239
2014-05-20,549.20,553.45,530.00,549.10,5700,273.953
2014-05-19,544.00,556.70,540.35,549.00,2000,273.903
2014-05-16,560.00,560.00,540.00,547.10,6000,272.955
2014-05-15,536.00,557.95,535.00,551.50,20000,275.15
2014-05-14,536.00,545.50,535.00,542.70,7100,270.76
2014-05-13,550.75,551.30,528.30,542.65,9800,270.735
2014-05-12,537.00,551.00,527.00,546.90,9500,272.855
2014-05-09,541.50,549.30,521.00,526.50,4700,262.678
2014-05-08,541.00,550.00,536.20,541.50,13100,270.161
2014-05-07,551.00,567.00,544.00,549.20,11900,274.003
2014-05-06,569.00,598.80,557.50,560.55,35300,279.666
2014-05-05,550.00,571.50,512.90,561.60,45200,280.189
2014-05-02,554.40,559.60,538.00,546.70,11300,272.756
2014-05-01,540.40,540.40,540.40,540.40,000,269.613
2014-04-30,550.15,563.10,537.00,540.40,6800,269.613
2014-04-29,563.50,563.50,540.00,550.15,5100,274.477
2014-04-28,552.00,569.00,545.00,557.70,14400,278.244
