Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,128.85001,130.00,125.20,126.05,102100,124.85
2015-07-16,124.80,129.50,123.10,127.85,191000,126.63286
2015-07-15,121.50,125.30,121.40,123.55,150600,122.3738
2015-07-14,119.90,123.40,118.90,120.05,132600,118.90712
2015-07-13,115.85,119.70,115.50,118.25,71200,117.12425
2015-07-10,115.05,115.95,113.80,114.75,43600,113.65757
2015-07-09,116.00,116.70,113.55,114.00,43900,112.91471
2015-07-08,115.00,118.10,114.10,114.90,48800,113.80615
2015-07-07,118.80,120.60,116.15,116.30,61100,115.19282
2015-07-06,113.85,120.80,113.85,117.95,71100,116.82711
2015-07-03,119.00,121.40,115.40,116.20,183300,115.09377
2015-07-02,110.00,120.60,109.80,119.55,285100,118.41188
2015-07-01,109.15,110.90,108.95,109.65,30800,108.60613
2015-06-30,108.25,109.70,106.85,108.15,41500,107.12041
2015-06-29,112.20,112.20,105.40,107.90,56600,106.87279
2015-06-26,111.70,114.30,111.25,112.10,53900,111.0328
2015-06-25,113.20,115.80,111.30,111.95,104900,110.88423
2015-06-24,111.45,119.35,111.10,114.30,192900,113.21186
2015-06-23,112.20,113.55,110.50,111.20,35200,110.14137
2015-06-22,112.05,114.65,111.15,111.95,73400,110.88423
2015-06-19,107.10,113.80,106.65,111.50,201300,110.43851
2015-06-18,104.50,105.80,104.50,105.80,73100,104.79278
2015-06-17,103.75,106.30,102.15,104.40,59600,103.40611
2015-06-16,103.45,104.25,100.00,102.05,47300,101.07848
2015-06-15,104.65,105.10,102.90,103.45,44700,102.46515
2015-06-12,104.00,105.15,103.10,103.60,23800,102.61372
2015-06-11,108.40,109.50,104.50,104.95,43200,103.95087
2015-06-10,105.00,108.15,105.00,106.95,82000,105.93183
2015-06-09,106.40,108.50,103.60,104.10,33600,103.10896
2015-06-08,107.45,109.85,106.50,106.85,63600,105.83278
2015-06-05,104.10,110.90,104.00,106.70,163900,105.68421
2015-06-04,105.80,108.50,103.10,105.30,104600,104.29754
2015-06-03,108.85,110.00,104.00,105.05,67900,104.04992
2015-06-02,110.65,113.00,108.45,108.95,77000,107.91279
2015-06-01,111.05,113.50,110.10,110.35,52200,109.29946
2015-05-29,109.55,113.05,108.85,111.15,320400,110.09185
2015-05-28,113.85,113.85,108.50,108.80,50100,107.76422
2015-05-27,112.00,112.40,110.00,110.60,44000,109.54708
2015-05-26,115.80,115.95,112.05,112.40,52700,111.32995
2015-05-25,116.05,117.30,115.00,116.10,33300,114.99472
2015-05-22,118.50,121.35,115.00,115.65,76800,114.54901
2015-05-21,120.70,120.70,117.55,118.35,55000,117.2233
2015-05-20,119.10,122.05,118.45,119.00,185000,117.86711
2015-05-19,115.70,121.90,115.25,118.15,220500,117.02521
2015-05-18,115.70,116.50,115.05,115.50,33400,114.40043
2015-05-15,116.00,117.40,114.35,114.75,49100,113.65757
2015-05-14,115.80,117.35,114.20,115.50,43400,114.40043
2015-05-13,116.35,118.05,114.80,115.75,58700,114.64805
2015-05-12,121.00,121.00,115.25,115.75,41000,114.64805
2015-05-11,121.00,122.45,119.55,120.60,63200,119.45188
2015-05-08,115.10,119.35,115.10,118.10,97600,116.97568
2015-05-07,119.50,119.50,113.30,114.40,110500,113.31091
2015-05-06,123.00,123.80,117.50,118.20,94200,117.07473
2015-05-05,121.65,126.00,121.50,123.35,153500,122.1757
2015-05-04,117.60,126.70,117.00,121.60,219500,120.44236
2015-05-01,122.15,122.15,122.15,122.15,000,120.98713
2015-04-30,125.15,127.15,118.10,122.15,177400,120.98713
2015-04-29,123.95,128.75,123.00,124.50,83800,123.31475
2015-04-28,128.00,128.00,120.15,123.95,167200,122.76999
2015-04-27,139.00,140.20,126.10,127.75,233900,126.53381
2015-04-24,145.89999,146.00,139.00,139.35001,59600,138.02339
2015-04-23,148.50,149.50,144.00,144.75,144900,143.37197
2015-04-22,149.60001,151.70,144.00,146.95,119800,145.55103
2015-04-21,147.10001,151.70,146.64999,148.14999,70900,146.7396
2015-04-20,154.39999,154.50,145.50,147.39999,114600,145.99674
2015-04-17,149.55,159.45,147.39999,152.89999,319200,151.44438
2015-04-16,152.64999,153.70,146.95,149.95,100900,148.52246
2015-04-15,161.10001,161.25,151.75,153.39999,98100,151.93962
