Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,31.35,33.00,31.30,32.20,800,32.20
2015-07-16,33.00,33.50,33.00,33.50,500,33.50
2015-07-15,33.45,33.50,30.10,30.80,1200,30.80
2015-07-14,31.70,35.00,31.70,31.70,800,31.70
2015-07-13,33.00,34.00,29.05,32.80,4600,32.80
2015-07-10,31.00,34.95,30.30,31.00,4200,31.00
2015-07-09,32.50,32.90,31.10,32.75,200,32.75
2015-07-08,41.00,41.00,32.00,34.65,1100,34.65
2015-07-07,38.00,38.00,35.00,35.00,1000,35.00
2015-07-06,32.30,36.00,32.30,36.00,2200,36.00
2015-07-03,31.00,31.50,31.00,31.50,1700,31.50
2015-07-02,26.40,31.50,26.40,31.50,4200,31.50
2015-07-01,27.00,29.70,26.50,28.85,4700,28.85
2015-06-30,27.00,27.00,27.00,27.00,200,27.00
2015-06-29,26.95,26.95,26.95,26.95,300,26.95
2015-06-26,24.05,26.00,24.05,25.65,600,25.65
2015-06-25,28.00,28.00,26.25,26.35,2500,26.35
2015-06-24,26.00,27.00,25.65,26.50,2800,26.50
2015-06-23,27.50,27.50,25.00,26.00,2500,26.00
2015-06-22,25.25,28.00,25.25,27.30,2800,27.30
2015-06-19,26.00,27.50,25.00,27.50,1800,27.50
2015-06-18,26.20,28.00,25.40,26.95,2700,26.95
2015-06-17,26.20,26.20,25.95,26.20,500,26.20
2015-06-16,24.65,26.65,24.65,26.20,000,26.20
2015-06-15,25.15,26.50,24.95,26.40,200,26.40
2015-06-12,25.15,26.00,25.05,26.00,200,26.00
2015-06-11,26.20,26.20,25.00,25.20,800,25.20
2015-06-10,27.00,27.00,25.75,27.00,1000,27.00
2015-06-09,29.00,29.00,26.25,26.30,500,26.30
2015-06-08,26.05,29.00,26.05,29.00,200,29.00
2015-06-05,25.45,29.00,25.45,28.95,700,28.95
2015-06-04,27.55,27.55,27.55,27.55,000,27.55
2015-06-03,28.30,28.30,27.55,27.55,900,27.55
2015-06-02,28.20,30.40,28.20,29.00,6000,29.00
2015-06-01,28.50,29.50,28.50,29.50,1800,29.50
2015-05-29,28.90,28.90,26.50,28.50,800,28.50
2015-05-28,28.70,29.00,27.55,27.55,300,27.55
2015-05-27,29.00,30.35,27.55,28.85,400,28.85
2015-05-26,30.50,30.50,28.60,29.00,700,29.00
2015-05-25,31.75,31.75,30.00,30.00,400,30.00
2015-05-22,32.40,32.40,30.90,31.25,6800,31.25
2015-05-21,30.90,30.90,30.90,30.90,800,30.90
2015-05-20,28.10,28.10,28.10,28.10,600,28.10
2015-05-19,25.55,25.55,25.55,25.55,400,25.55
2015-05-18,24.00,25.50,23.30,23.25,1000,23.25
2015-05-15,22.50,27.00,22.50,23.30,1000,23.30
