Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1408.00,1419.30,1402.00,1404.00,500,1404.00
2015-07-16,1399.00,1425.00,1396.40,1406.25,2100,1406.25
2015-07-15,1419.00,1419.00,1390.05,1399.00,3200,1399.00
2015-07-14,1437.00,1439.00,1417.60,1420.20,3600,1420.20
2015-07-13,1449.05,1451.00,1425.00,1427.65,2400,1427.65
2015-07-10,1475.00,1485.00,1446.95,1448.85,2600,1448.85
2015-07-09,1490.00,1490.00,1451.55,1464.40,1100,1464.40
2015-07-08,1499.00,1522.00,1480.05,1504.95,2600,1504.95
2015-07-07,1510.00,1533.30,1497.00,1509.90,1700,1509.90
2015-07-06,1483.95,1520.00,1477.00,1503.40,3200,1503.40
2015-07-03,1475.00,1500.00,1473.45,1480.35,3400,1480.35
2015-07-02,1451.00,1487.00,1451.00,1471.00,2500,1471.00
2015-07-01,1456.00,1464.95,1440.00,1455.40,2900,1455.40
2015-06-30,1431.00,1474.95,1430.55,1455.90,2300,1455.90
2015-06-29,1408.35,1450.00,1398.00,1426.40,3200,1426.40
2015-06-26,1449.95,1449.95,1415.05,1436.00,2300,1436.00
2015-06-25,1438.00,1468.80,1435.00,1451.60,2400,1451.60
2015-06-24,1405.00,1495.00,1405.00,1446.45,7900,1446.45
2015-06-23,1350.00,1407.00,1350.00,1401.05,2300,1401.05
2015-06-22,1331.00,1388.00,1330.00,1350.80,1500,1350.80
2015-06-19,1330.00,1333.50,1321.60,1326.35,900,1326.35
2015-06-18,1340.00,1345.00,1325.00,1335.05,1000,1335.05
2015-06-17,1321.15,1341.45,1315.80,1334.65,900,1334.65
2015-06-16,1331.00,1334.20,1315.15,1322.70,1300,1322.70
2015-06-15,1335.00,1345.00,1330.00,1335.10,1200,1335.10
2015-06-12,1321.85,1341.50,1321.85,1335.95,400,1335.95
2015-06-11,1345.00,1355.00,1310.00,1318.50,1000,1318.50
2015-06-10,1330.00,1365.00,1320.50,1335.15,1100,1335.15
2015-06-09,1321.05,1353.00,1282.70,1334.30,2000,1334.30
2015-06-08,1334.00,1334.00,1314.25,1315.25,400,1315.25
2015-06-05,1341.25,1356.50,1311.55,1314.35,1700,1314.35
2015-06-04,1320.00,1354.00,1312.50,1345.90,3100,1345.90
2015-06-03,1320.00,1320.00,1298.15,1308.40,2900,1308.40
2015-06-02,1324.00,1331.00,1315.00,1328.65,1800,1328.65
2015-06-01,1315.00,1324.00,1302.00,1323.10,800,1323.10
2015-05-29,1325.00,1339.00,1320.85,1326.35,600,1326.35
2015-05-28,1334.90,1335.00,1309.05,1317.90,900,1317.90
2015-05-27,1305.00,1336.00,1305.00,1325.50,700,1325.50
2015-05-26,1310.80,1316.25,1308.05,1310.15,500,1310.15
2015-05-25,1314.75,1324.90,1306.05,1320.90,900,1320.90
2015-05-22,1304.00,1335.75,1304.00,1316.25,1800,1316.25
2015-05-21,1303.00,1314.55,1290.05,1303.90,3100,1303.90
2015-05-20,1290.00,1309.00,1290.00,1302.25,1500,1302.25
2015-05-19,1310.00,1314.85,1265.00,1282.70,16700,1282.70
2015-05-18,1305.00,1315.00,1302.00,1311.75,500,1311.75
2015-05-15,1298.00,1307.50,1298.00,1303.70,600,1303.70
2015-05-14,1301.00,1304.70,1296.10,1296.10,200,1296.10
2015-05-13,1300.05,1306.05,1294.50,1300.85,800,1300.85
2015-05-12,1314.75,1315.00,1293.85,1295.95,2400,1295.95
2015-05-11,1297.20,1305.00,1284.15,1299.05,800,1299.05
2015-05-08,1280.50,1305.00,1280.00,1296.20,900,1296.20
2015-05-07,1274.20,1289.10,1274.20,1281.30,6800,1281.30
2015-05-06,1282.50,1283.90,1265.00,1275.55,1100,1275.55
2015-05-05,1302.15,1302.15,1282.70,1285.25,1000,1285.25
2015-05-04,1359.55,1359.55,1295.00,1311.60,700,1311.60
2015-05-01,1292.00,1292.00,1292.00,1292.00,000,1292.00
2015-04-30,1280.00,1300.00,1274.00,1292.00,800,1292.00
2015-04-29,1285.00,1287.00,1265.05,1273.65,1200,1273.65
2015-04-28,1255.00,1305.70,1248.00,1286.30,2600,1286.30
2015-04-27,1267.00,1267.00,1242.85,1250.30,1500,1250.30
2015-04-24,1267.00,1269.00,1251.00,1254.30,1700,1254.30
2015-04-23,1269.90,1275.00,1255.50,1265.80,1000,1265.80
2015-04-22,1270.00,1272.75,1250.10,1256.75,1000,1256.75
2015-04-21,1283.50,1283.50,1268.85,1270.40,500,1270.40
2015-04-20,1285.00,1289.90,1279.55,1283.15,1800,1283.15
2015-04-17,1295.00,1295.00,1276.10,1279.15,1200,1279.15
2015-04-16,1296.00,1296.00,1288.00,1294.00,800,1294.00
2015-04-15,1294.00,1303.90,1281.00,1289.95,2100,1289.95
2015-04-14,1297.40,1297.40,1297.40,1297.40,000,1297.40
2015-04-13,1303.00,1304.95,1293.05,1297.40,1200,1297.40
2015-04-10,1313.00,1313.45,1298.20,1299.70,600,1299.70
2015-04-09,1315.00,1344.00,1288.00,1312.90,2200,1312.90
2015-04-08,1295.00,1321.00,1295.00,1312.35,2300,1312.35
2015-04-07,1295.65,1325.00,1285.00,1320.00,900,1320.00
2015-04-06,1300.00,1304.75,1286.45,1299.30,900,1299.30
2015-04-03,1304.75,1304.75,1304.75,1304.75,000,1304.75
2015-04-02,1304.75,1304.75,1304.75,1304.75,000,1304.75
2015-04-01,1309.95,1321.50,1287.25,1304.75,1900,1304.75
2015-03-31,1297.10,1305.00,1293.05,1301.70,700,1301.70
2015-03-30,1298.00,1306.95,1290.00,1303.05,800,1303.05
2015-03-27,1297.15,1305.00,1285.00,1291.10,1500,1291.10
2015-03-26,1296.90,1302.20,1290.00,1295.10,2100,1295.10
2015-03-25,1293.05,1304.00,1289.00,1297.30,2500,1297.30
2015-03-24,1293.05,1304.95,1280.20,1297.30,1000,1297.30
2015-03-23,1315.00,1318.10,1291.20,1298.70,1400,1298.70
2015-03-20,1360.00,1360.00,1265.00,1301.00,2500,1301.00
2015-03-19,1355.00,1380.90,1355.00,1367.80,900,1367.80
2015-03-18,1350.00,1360.00,1345.40,1355.20,800,1355.20
2015-03-17,1349.00,1371.00,1345.15,1357.95,1800,1357.95
2015-03-16,1370.00,1370.00,1331.05,1348.25,2600,1348.25
2015-03-13,1381.75,1389.95,1357.60,1370.35,4000,1370.35
2015-03-12,1385.00,1390.00,1362.00,1372.50,8600,1372.50
2015-03-11,1371.60,1388.75,1370.15,1384.05,900,1384.05
2015-03-10,1346.45,1384.85,1346.45,1379.45,1400,1379.45
2015-03-09,1385.00,1399.95,1320.25,1329.15,4900,1329.15
2015-03-06,1388.85,1388.85,1388.85,1388.85,000,1388.85
2015-03-05,1392.75,1399.00,1385.00,1388.85,700,1388.85
2015-03-04,1395.10,1411.65,1388.40,1397.00,2000,1397.00
2015-03-03,1397.80,1410.00,1386.00,1406.65,2300,1406.65
2015-03-02,1400.00,1405.30,1388.05,1393.00,3700,1393.00
2015-02-27,1370.00,1400.00,1363.70,1381.85,4700,1381.85
2015-02-26,1369.25,1378.00,1352.00,1357.00,2900,1357.00
2015-02-25,1397.95,1397.95,1365.00,1367.05,2900,1367.05
2015-02-24,1406.15,1410.00,1378.00,1384.25,3900,1384.25
2015-02-23,1467.00,1467.00,1340.00,1396.75,30400,1396.75
2015-02-20,1374.55,1410.00,1365.60,1398.05,5700,1398.05
2015-02-19,1380.00,1385.00,1365.00,1375.10,3000,1375.10
2015-02-18,1380.10,1445.00,1320.00,1372.60,33600,1372.60
2015-02-17,1373.15,1373.15,1373.15,1373.15,000,1373.15
2015-02-16,1390.10,1406.00,1365.65,1373.15,24000,1373.15
2015-02-13,1395.00,1397.15,1385.10,1388.25,1300,1388.25
2015-02-12,1410.00,1411.95,1387.25,1402.65,900,1402.65
2015-02-11,1400.60,1407.75,1395.00,1397.50,400,1397.50
2015-02-10,1390.85,1413.75,1390.85,1405.90,900,1405.90
2015-02-09,1412.25,1413.00,1384.45,1396.80,1800,1396.80
2015-02-06,1417.20,1439.00,1406.85,1426.15,2700,1426.15
2015-02-05,1420.00,1440.90,1402.50,1410.80,2200,1410.80
2015-02-04,1412.70,1470.00,1403.00,1424.40,1200,1424.40
2015-02-03,1416.00,1421.90,1401.00,1409.25,1100,1409.25
2015-02-02,1405.00,1433.30,1370.00,1390.45,3600,1390.45
2015-01-30,1420.95,1423.00,1399.05,1402.30,1600,1402.30
2015-01-29,1415.20,1428.00,1369.90,1399.10,2500,1399.10
2015-01-28,1400.00,1430.00,1400.00,1423.25,3500,1423.25
2015-01-27,1409.95,1415.00,1381.05,1396.60,52800,1396.60
2015-01-26,1399.95,1399.95,1399.95,1399.95,000,1399.95
2015-01-23,1421.40,1428.50,1396.05,1399.95,2100,1399.95
2015-01-22,1417.00,1437.95,1410.00,1422.45,1400,1422.45
2015-01-21,1416.25,1435.00,1403.00,1412.35,1900,1412.35
2015-01-20,1435.00,1438.00,1407.10,1418.30,4000,1418.30
2015-01-19,1445.30,1460.00,1411.00,1417.70,6300,1417.70
2015-01-16,1420.00,1459.00,1410.00,1434.40,8800,1434.40
2015-01-15,1520.00,1545.00,1461.80,1470.65,4200,1470.65
2015-01-14,1480.00,1533.20,1454.00,1495.90,8300,1495.90
2015-01-13,1446.60,1480.00,1446.60,1465.60,2000,1465.60
2015-01-12,1445.00,1468.00,1444.25,1454.80,2600,1454.80
2015-01-09,1468.00,1468.15,1421.55,1448.50,2900,1448.50
2015-01-08,1448.20,1514.95,1440.40,1468.30,5400,1468.30
2015-01-07,1445.00,1449.85,1420.55,1434.10,900,1434.10
2015-01-06,1464.00,1464.00,1422.55,1432.00,2500,1432.00
2015-01-05,1436.85,1475.00,1435.00,1464.00,1600,1464.00
2015-01-02,1418.10,1443.00,1411.05,1436.15,1900,1436.15
2015-01-01,1403.15,1424.00,1395.25,1409.75,600,1409.75
2014-12-31,1407.90,1421.50,1392.10,1401.15,1800,1401.15
2014-12-30,1400.00,1414.90,1391.05,1400.55,1100,1400.55
2014-12-29,1391.00,1411.95,1385.00,1396.35,2100,1396.35
2014-12-26,1399.00,1411.30,1377.00,1397.05,105600,1397.05
2014-12-25,1390.40,1390.40,1390.40,1390.40,000,1390.40
2014-12-24,1380.00,1398.00,1370.00,1390.40,1100,1390.40
2014-12-23,1398.30,1424.00,1365.00,1395.60,2600,1395.60
2014-12-22,1322.75,1414.00,1322.75,1402.80,24000,1402.80
2014-12-19,1377.00,1393.65,1300.00,1335.25,3600,1335.25
2014-12-18,1368.10,1389.70,1357.10,1368.35,1200,1368.35
2014-12-17,1397.35,1400.00,1306.50,1348.50,3100,1348.50
2014-12-16,1408.80,1429.40,1362.00,1390.85,2600,1390.85
2014-12-15,1420.25,1432.50,1395.00,1408.55,1200,1408.55
2014-12-12,1444.25,1459.55,1419.95,1434.10,3000,1434.10
2014-12-11,1423.00,1439.95,1418.00,1431.05,46800,1431.05
2014-12-10,1420.05,1460.00,1406.10,1424.10,2500,1424.10
2014-12-09,1425.00,1435.00,1420.00,1422.60,1400,1422.60
2014-12-08,1413.20,1428.90,1410.45,1416.60,1100,1416.60
2014-12-05,1433.90,1456.10,1426.45,1427.45,1400,1427.45
2014-12-04,1435.60,1450.10,1420.05,1433.80,101000,1433.80
2014-12-03,1436.80,1459.90,1426.30,1434.20,2400,1434.20
2014-12-02,1400.90,1442.15,1400.90,1427.85,1500,1427.85
2014-12-01,1429.00,1450.25,1400.65,1415.00,2100,1415.00
2014-11-28,1405.00,1437.30,1405.00,1420.00,53800,1420.00
2014-11-27,1400.15,1420.00,1385.05,1390.45,3500,1390.45
2014-11-26,1440.00,1462.90,1405.50,1412.15,2800,1412.15
2014-11-25,1448.00,1467.05,1425.55,1432.70,1900,1432.70
2014-11-24,1470.00,1498.15,1447.00,1458.85,3900,1458.85
2014-11-21,1535.00,1542.30,1452.00,1466.90,6500,1466.90
2014-11-20,1427.00,1635.00,1424.95,1538.80,52600,1538.80
2014-11-19,1410.00,1449.80,1407.95,1427.85,6600,1427.85
2014-11-18,1428.75,1430.00,1410.05,1412.35,4100,1412.35
2014-11-17,1398.10,1436.00,1398.10,1419.10,37200,1419.10
2014-11-14,1398.00,1407.00,1392.65,1398.85,800,1398.85
2014-11-13,1399.15,1403.85,1386.40,1391.65,5900,1391.65
2014-11-12,1385.05,1400.00,1385.00,1395.40,94600,1395.40
2014-11-11,1385.95,1391.90,1376.90,1385.90,300,1385.90
2014-11-10,1405.95,1405.95,1372.00,1385.05,2000,1385.05
2014-11-07,1394.80,1410.15,1388.50,1399.95,75000,1399.95
2014-11-06,1388.45,1388.45,1388.45,1388.45,000,1388.45
2014-11-05,1387.00,1395.00,1381.65,1388.45,400,1388.45
2014-11-04,1384.50,1384.50,1384.50,1384.50,000,1384.50
2014-11-03,1390.00,1404.20,1381.00,1384.50,1400,1384.50
2014-10-31,1388.00,1410.00,1382.00,1394.35,800,1394.35
2014-10-30,1386.05,1393.30,1380.05,1384.65,900,1384.65
2014-10-29,1390.00,1399.45,1382.00,1385.70,3200,1385.70
2014-10-28,1396.00,1396.00,1375.00,1388.55,1500,1388.55
2014-10-27,1418.00,1423.00,1384.35,1401.95,1900,1401.95
2014-10-24,1405.60,1405.60,1405.60,1405.60,000,1405.60
2014-10-23,1405.60,1405.60,1405.60,1405.60,000,1405.60
2014-10-22,1410.00,1419.25,1402.85,1405.60,1600,1405.60
2014-10-21,1380.00,1410.00,1378.00,1400.00,700,1400.00
2014-10-20,1406.95,1407.00,1375.00,1393.65,11100,1393.65
2014-10-17,1369.00,1370.00,1341.00,1368.60,700,1368.60
2014-10-16,1385.00,1434.65,1340.10,1367.00,2500,1367.00
2014-10-15,1384.75,1384.75,1384.75,1384.75,000,1384.75
2014-10-14,1390.00,1420.00,1373.80,1384.75,700,1384.75
2014-10-13,1419.95,1419.95,1380.00,1382.30,1700,1382.30
2014-10-10,1420.00,1428.00,1394.00,1405.90,1600,1405.90
2014-10-09,1380.00,1435.00,1378.00,1425.20,2300,1425.20
2014-10-08,1370.00,1378.45,1368.00,1371.80,400,1371.80
2014-10-07,1395.00,1406.00,1361.00,1371.75,2000,1371.75
2014-10-06,1396.20,1396.20,1396.20,1396.20,000,1396.20
2014-10-03,1396.20,1396.20,1396.20,1396.20,000,1396.20
2014-10-02,1396.20,1396.20,1396.20,1396.20,000,1396.20
2014-10-01,1407.00,1417.95,1380.00,1396.20,600,1396.20
2014-09-30,1378.30,1428.85,1376.00,1401.40,2100,1401.40
2014-09-29,1384.05,1394.00,1365.00,1378.55,1500,1378.55
2014-09-26,1400.15,1410.00,1351.00,1379.40,11900,1379.40
2014-09-25,1374.00,1434.00,1374.00,1404.05,3300,1404.05
2014-09-24,1370.00,1378.95,1361.00,1371.45,700,1371.45
2014-09-23,1375.00,1383.90,1360.20,1368.15,700,1368.15
2014-09-22,1380.00,1385.00,1368.00,1372.55,400,1372.55
2014-09-19,1369.00,1397.95,1350.60,1378.75,1800,1378.75
2014-09-18,1331.40,1360.00,1326.85,1354.90,2300,1354.90
2014-09-17,1330.00,1359.90,1322.10,1344.10,1200,1344.10
2014-09-16,1365.00,1370.00,1321.10,1329.60,700,1329.60
2014-09-15,1365.00,1367.60,1333.00,1360.65,1600,1360.65
2014-09-12,1350.10,1380.00,1350.00,1358.35,600,1358.35
2014-09-11,1356.90,1364.30,1341.35,1344.10,1000,1344.10
2014-09-10,1370.00,1370.00,1353.10,1356.90,500,1356.90
2014-09-09,1380.00,1380.00,1360.00,1368.10,600,1368.10
2014-09-08,1352.00,1382.00,1351.95,1379.60,800,1379.60
2014-09-05,1350.00,1370.00,1330.20,1343.85,900,1343.85
2014-09-04,1342.30,1349.60,1333.95,1339.90,500,1339.90
2014-09-03,1350.00,1351.60,1331.40,1336.95,1200,1336.95
