Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,5260.3501,5307.00,5163.1499,5185.6499,8200,5185.6499
2015-07-16,5180.00,5279.00,5170.00,5251.2002,8000,5251.2002
2015-07-15,5107.1001,5179.00,5094.00,5149.8999,5000,5149.8999
2015-07-14,5105.00,5124.00,5005.00,5078.4502,5100,5078.4502
2015-07-13,5050.00,5135.50,5041.75,5102.7002,3500,5102.7002
2015-07-10,5030.00,5070.8999,4951.8999,5029.4502,5800,5029.4502
2015-07-09,5250.00,5259.3999,4985.00,5025.1001,15100,5025.1001
2015-07-08,5540.6001,5574.0498,5188.7998,5233.5498,12400,5215.5497
2015-07-07,5600.00,5652.2002,5541.9502,5556.7002,4400,5537.5887
2015-07-06,5530.00,5625.00,5470.00,5568.3999,6000,5549.2481
2015-07-03,5481.3501,5596.00,5475.00,5557.2002,9800,5538.0869
2015-07-02,5501.00,5578.00,5412.00,5442.8501,6300,5424.1301
2015-07-01,5468.00,5570.00,5421.9502,5496.8999,6900,5477.994
2015-06-30,5424.00,5470.00,5395.75,5456.6499,9700,5437.8825
2015-06-29,5320.00,5475.00,5240.0498,5450.4502,6700,5431.7041
2015-06-26,5385.8999,5499.00,5320.00,5435.0498,7700,5416.3567
2015-06-25,5277.00,5398.00,5160.00,5372.7998,11200,5354.3208
2015-06-24,5320.00,5376.00,5156.8501,5257.5498,3400,5239.4672
2015-06-23,5384.6001,5409.2002,5251.1499,5316.9502,7000,5298.6633
2015-06-22,5219.3501,5440.50,5160.00,5359.5498,17800,5341.1163
2015-06-19,4896.50,5247.00,4896.50,5156.3999,10700,5138.6652
2015-06-18,4780.00,4925.00,4780.00,4904.1499,6900,4887.2827
2015-06-17,4711.3999,4790.00,4702.2002,4772.25,4400,4755.8365
2015-06-16,4671.6001,4715.00,4641.00,4697.6499,2600,4681.493
2015-06-15,4678.3999,4729.9502,4650.00,4715.25,2600,4699.0325
2015-06-12,4650.00,4715.7998,4625.00,4662.9502,4100,4646.9126
2015-06-11,4577.1001,4770.00,4530.00,4660.2998,8400,4644.2713
2015-06-10,4560.00,4585.7998,4512.00,4547.7998,1900,4532.1583
2015-06-09,4412.75,4619.00,4405.50,4575.2002,5100,4559.4644
2015-06-08,4499.9502,4499.9502,4421.0498,4463.75,1200,4448.3975
2015-06-05,4399.00,4497.6001,4328.75,4454.3999,3400,4439.0796
2015-06-04,4275.1001,4367.4502,4210.0498,4341.8501,2100,4326.9169
2015-06-03,4252.7998,4358.00,4177.00,4317.3501,4100,4302.5011
2015-06-02,4424.00,4430.00,4248.00,4282.8999,3700,4268.1694
2015-06-01,4274.8999,4417.9502,4257.3501,4373.8501,4500,4358.8068
2015-05-29,4431.6001,4584.9502,4125.00,4300.00,10600,4285.2107
2015-05-28,4450.00,4470.00,4360.00,4440.00,1300,4424.7292
2015-05-27,4498.00,4500.00,4330.00,4409.2998,2500,4394.1346
2015-05-26,4675.00,4675.00,4459.9502,4482.6001,2200,4467.1828
2015-05-25,4515.00,4545.00,4440.00,4499.8501,1200,4484.3735
2015-05-22,4565.8501,4578.9502,4480.00,4494.1001,2300,4478.6432
2015-05-21,4520.00,4613.50,4481.00,4597.00,5600,4581.1892
2015-05-20,4520.00,4530.00,4394.8999,4499.1499,13300,4483.6757
2015-05-19,4468.3999,4545.00,4426.00,4482.75,1900,4467.3322
2015-05-18,4492.75,4549.7002,4441.9502,4458.3999,2000,4443.0658
2015-05-15,4400.00,4494.6001,4400.00,4465.2998,1600,4449.942
