Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,11.80,12.00,11.50,11.58,23500,11.58
2015-07-16,11.48,12.40,11.26,11.77,44600,11.77
2015-07-15,11.39,12.19,11.31,11.80,102500,11.80
2015-07-14,11.35,11.49,11.13,11.16,17200,11.16
2015-07-13,11.50,11.80,11.39,11.47,27700,11.47
2015-07-10,12.05,12.18,11.50,11.59,39200,11.59
2015-07-09,12.07,12.75,11.55,12.00,83400,12.00
2015-07-08,11.72,12.30,11.50,11.96,78700,11.96
2015-07-07,11.81,12.50,11.80,12.18,137900,12.18
2015-07-06,11.88,12.45,11.40,11.84,173800,11.84
2015-07-03,10.27,11.90,10.26,11.90,188600,11.90
2015-07-02,9.92,10.40,9.71,9.92,37000,9.92
2015-07-01,9.20,9.95,9.20,9.60,17100,9.60
2015-06-30,9.05,9.24,8.93,9.13,4900,9.13
2015-06-29,9.00,9.55,8.75,9.05,5200,9.05
2015-06-26,9.12,9.30,9.00,9.11,7900,9.11
2015-06-25,9.10,9.35,8.86,9.06,11600,9.06
2015-06-24,9.94,9.94,9.07,9.28,12100,9.28
2015-06-23,9.51,10.20,9.30,9.60,42700,9.60
2015-06-22,8.45,9.55,8.45,9.45,22600,9.45
2015-06-19,8.71,8.97,8.52,8.68,15000,8.68
2015-06-18,8.60,9.25,8.31,8.95,26300,8.95
2015-06-17,8.25,8.75,8.25,8.52,11100,8.52
2015-06-16,8.71,8.99,8.40,8.47,24100,8.47
2015-06-15,9.05,9.05,8.65,8.88,11100,8.88
2015-06-12,8.50,9.30,8.50,9.01,6600,9.01
2015-06-11,9.01,9.25,9.01,9.10,16300,9.10
2015-06-10,9.10,9.89,9.05,9.08,7400,9.08
2015-06-09,9.00,9.26,8.82,9.01,7400,9.01
2015-06-08,9.15,9.29,9.10,9.10,3300,9.10
2015-06-05,9.55,9.80,9.43,9.43,8100,9.43
2015-06-04,9.40,9.71,9.30,9.32,5700,9.32
2015-06-03,9.47,9.90,8.80,9.66,26400,9.66
2015-06-02,9.65,10.40,9.48,9.69,20700,9.69
2015-06-01,9.75,10.39,9.35,9.99,24000,9.99
2015-05-29,9.65,9.70,9.30,9.50,9500,9.50
2015-05-28,9.50,9.85,9.32,9.77,16200,9.77
2015-05-27,9.56,9.97,9.56,9.86,3900,9.86
2015-05-26,9.86,10.17,9.80,9.85,35100,9.85
2015-05-25,10.00,10.28,9.90,9.97,5300,9.97
