Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,208.00,214.00,207.10,210.10,1500,210.10
2015-07-16,202.00,207.00,200.40,204.70,1700,204.70
2015-07-15,200.20,206.10,200.20,202.80,700,202.80
2015-07-14,205.00,210.00,205.00,208.00,200,208.00
2015-07-13,205.00,214.60,200.00,213.10,2800,213.10
2015-07-10,200.00,205.00,200.00,203.00,300,203.00
2015-07-09,200.00,204.00,198.00,201.10,1700,201.10
2015-07-08,190.00,202.80,190.00,199.30,1500,199.30
2015-07-07,194.90,199.90,190.10,190.10,3200,190.10
2015-07-06,179.90,194.90,176.50,193.40,7400,193.40
2015-07-03,180.00,180.00,177.10,179.30,3100,179.30
2015-07-02,175.00,184.00,171.50,175.00,2000,175.00
2015-07-01,173.00,173.00,170.60,172.90,200,172.90
2015-06-30,176.00,176.00,171.50,171.50,000,171.50
2015-06-29,166.00,174.90,166.00,168.30,200,168.30
2015-06-26,175.00,176.80,173.00,176.80,300,176.80
2015-06-25,175.50,175.50,175.50,175.50,000,175.50
2015-06-24,177.00,177.00,173.00,175.50,200,175.50
2015-06-23,174.90,174.90,174.90,174.90,000,174.90
2015-06-22,175.00,175.00,175.00,175.00,000,175.00
2015-06-19,168.00,179.00,168.00,170.60,100,170.60
2015-06-18,172.10,176.00,172.00,172.10,200,172.10
2015-06-17,171.10,176.00,171.10,174.00,200,174.00
2015-06-16,174.90,175.00,171.00,174.30,000,174.30
2015-06-15,175.00,179.50,171.20,175.00,600,175.00
2015-06-12,170.00,177.00,170.00,172.60,25100,172.60
2015-06-11,175.00,178.00,173.50,175.60,1700,175.60
2015-06-10,172.10,172.10,172.10,172.10,000,172.10
2015-06-09,176.70,176.70,171.50,174.10,000,174.10
2015-06-08,172.20,178.00,172.20,176.00,100,176.00
2015-06-05,185.00,185.00,172.10,179.90,200,179.90
2015-06-04,194.80,194.80,170.00,175.00,000,175.00
2015-06-03,180.00,180.00,176.10,176.60,300,176.60
2015-06-02,189.50,189.90,182.40,188.00,1100,188.00
2015-06-01,194.00,194.00,194.00,194.00,000,194.00
2015-05-29,194.00,194.00,194.00,194.00,000,194.00
