Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,13.99,14.00,13.22,13.87,800,13.87
2015-07-16,13.05,13.99,12.96,13.28,1500,13.28
2015-07-15,13.15,14.00,13.15,13.31,1700,13.31
2015-07-14,13.79,13.80,13.10,13.72,800,13.72
2015-07-13,14.15,14.44,13.00,13.00,1800,13.00
2015-07-10,13.99,13.99,13.10,13.11,700,13.11
2015-07-09,13.10,13.99,13.05,13.06,4400,13.06
2015-07-08,14.25,14.40,13.50,13.50,200,13.50
2015-07-07,14.44,14.44,13.25,13.26,400,13.26
2015-07-06,14.35,14.35,12.50,13.87,200,13.87
2015-07-03,12.80,13.50,12.80,12.82,5600,12.82
2015-07-02,14.35,14.45,13.50,14.00,1100,14.00
2015-07-01,14.28,14.28,13.50,14.00,300,14.00
2015-06-30,14.44,14.44,12.75,14.03,800,14.03
2015-06-29,12.80,13.80,12.80,13.44,300,13.44
2015-06-26,14.16,14.45,14.00,14.33,000,14.33
2015-06-25,14.00,14.30,13.60,14.19,100,14.19
2015-06-24,12.51,14.45,12.51,13.50,3100,13.50
2015-06-23,14.00,14.15,13.95,14.15,200,14.15
2015-06-22,14.10,14.10,13.00,13.31,1300,13.31
2015-06-19,13.20,14.75,13.20,14.01,500,14.01
2015-06-18,13.38,14.20,13.38,13.83,000,13.83
2015-06-17,12.75,13.30,12.60,13.30,300,13.30
2015-06-16,11.75,13.35,11.75,13.13,300,13.13
2015-06-15,11.28,12.45,11.28,11.82,100,11.82
2015-06-12,11.19,12.38,11.00,11.15,3300,11.15
2015-06-11,12.39,12.39,11.50,11.52,2300,11.52
2015-06-10,12.40,12.40,12.40,12.40,1000,12.40
2015-06-09,11.26,12.39,11.26,11.55,100,11.55
2015-06-08,12.10,12.10,12.00,12.00,500,12.00
2015-06-05,11.80,13.38,11.80,13.38,800,13.38
2015-06-04,12.80,12.81,12.00,12.00,3200,12.00
2015-06-03,12.80,13.65,12.00,12.00,6600,12.00
2015-06-02,14.10,14.39,13.40,13.49,000,13.49
2015-06-01,12.80,13.35,12.70,13.05,2600,13.05
2015-05-29,14.10,14.55,13.00,14.40,1300,14.40
2015-05-28,13.90,14.80,13.90,14.80,100,14.80
2015-05-27,15.00,15.00,13.50,13.50,600,13.50
2015-05-26,14.50,14.90,13.80,14.60,2600,14.60
2015-05-25,14.80,15.10,13.75,14.05,24500,14.05
2015-05-22,15.50,17.85,15.50,16.60,3900,16.60
2015-05-21,15.65,17.40,15.60,16.50,5900,16.50
2015-05-20,15.05,16.90,15.05,16.90,2900,16.90
2015-05-19,15.80,16.10,14.75,15.55,1400,15.55
2015-05-18,15.75,15.75,15.75,15.75,000,15.75
2015-05-15,15.55,16.10,15.40,15.75,800,15.75
2015-05-14,15.70,16.45,15.70,16.45,200,16.45
2015-05-13,16.50,16.50,16.50,16.50,000,16.50
2015-05-12,15.65,16.25,15.55,16.25,400,16.25
2015-05-11,16.05,16.05,16.05,16.05,100,16.05
2015-05-08,16.20,16.80,15.50,16.05,500,16.05
2015-05-07,15.85,16.90,15.05,15.50,4400,15.50
2015-05-06,16.55,16.80,15.50,15.85,6400,15.85
2015-05-05,17.80,17.80,15.90,17.35,1000,17.35
2015-05-04,16.70,16.70,16.70,16.70,000,16.70
2015-05-01,16.40,16.40,16.40,16.40,000,16.40
2015-04-30,16.40,16.40,15.80,16.40,1200,16.40
2015-04-29,16.00,17.10,16.00,17.10,1500,17.10
2015-04-28,17.45,19.55,15.95,16.15,3200,16.15
2015-04-27,17.80,17.80,16.00,16.85,2500,16.85
2015-04-24,18.55,18.55,16.65,16.90,4900,16.90
2015-04-23,19.70,19.70,17.00,17.30,600,17.30
2015-04-22,18.70,18.70,17.20,17.45,1900,17.45
2015-04-21,18.95,18.95,16.85,17.75,6200,17.75
2015-04-20,19.30,19.80,15.50,16.10,14600,16.10
2015-04-17,19.10,20.00,17.65,18.25,2500,18.25
2015-04-16,19.20,20.00,18.20,18.90,3500,18.90
2015-04-15,23.50,23.50,19.00,19.20,5300,19.20
2015-04-14,19.65,19.65,19.65,19.65,000,19.65
2015-04-13,16.00,20.95,16.00,19.65,9900,19.65
2015-04-10,18.85,20.50,18.50,19.35,9200,19.35
2015-04-09,18.35,19.00,18.00,19.00,1000,19.00
2015-04-08,19.85,20.60,18.70,18.80,5800,18.80
2015-04-07,19.00,21.15,17.60,19.40,4400,19.40
2015-04-06,18.00,18.00,16.55,17.70,8100,17.70
2015-04-03,17.50,17.50,17.50,17.50,000,17.50
2015-04-02,17.50,17.50,17.50,17.50,000,17.50
2015-04-01,16.95,19.35,16.00,17.50,5900,17.50
2015-03-31,16.55,16.80,16.00,16.65,2800,16.65
2015-03-30,15.30,16.25,15.30,16.25,1100,16.25
2015-03-27,15.35,16.80,15.35,15.35,300,15.35
2015-03-26,15.75,16.30,15.40,15.50,1300,15.50
2015-03-25,17.35,17.35,15.15,15.55,2400,15.55
2015-03-24,15.45,17.05,15.40,15.90,4000,15.90
2015-03-23,16.00,16.95,15.90,16.70,2100,16.70
2015-03-20,16.00,16.75,15.75,15.95,700,15.95
2015-03-19,16.85,16.85,16.85,16.85,000,16.85
2015-03-18,15.75,16.85,15.75,16.30,000,16.30
2015-03-17,17.40,17.40,15.65,15.90,1800,15.90
2015-03-16,17.00,17.00,16.30,17.00,2500,17.00
2015-03-13,17.50,17.50,16.80,17.40,2100,17.40
2015-03-12,16.50,17.80,16.45,17.15,2100,17.15
2015-03-11,20.15,20.15,16.30,16.35,3200,16.35
2015-03-10,16.20,17.00,16.20,16.85,300,16.85
2015-03-09,16.90,17.00,16.20,16.90,4100,16.90
2015-03-06,16.15,16.15,16.15,16.15,000,16.15
2015-03-05,16.00,17.10,16.00,16.15,600,16.15
2015-03-04,16.10,16.20,16.00,16.10,3300,16.10
