Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1455.00,1496.00,1448.50,1474.30,108400,1474.30
2015-07-16,1366.00,1451.65,1356.35,1422.70,89300,1422.70
2015-07-15,1357.40,1365.60,1350.00,1355.55,22800,1355.55
2015-07-14,1359.00,1370.00,1330.00,1345.30,23300,1345.30
2015-07-13,1333.50,1357.05,1328.00,1347.15,37800,1347.15
2015-07-10,1323.50,1339.25,1306.00,1327.40,17600,1327.40
2015-07-09,1315.00,1333.45,1304.05,1311.65,18300,1311.65
2015-07-08,1340.00,1348.10,1304.95,1311.75,35700,1311.75
2015-07-07,1335.90,1365.00,1324.10,1349.70,51900,1349.70
2015-07-06,1298.80,1337.60,1290.00,1325.30,43600,1325.30
2015-07-03,1310.00,1344.00,1301.00,1325.50,71300,1325.50
2015-07-02,1252.00,1319.55,1245.10,1300.10,102900,1300.10
2015-07-01,1214.95,1246.00,1212.90,1241.40,48200,1241.40
2015-06-30,1201.00,1215.90,1185.00,1208.05,36700,1208.05
2015-06-29,1201.00,1219.00,1158.60,1194.15,27200,1194.15
2015-06-26,1214.00,1231.00,1203.00,1218.30,32400,1218.30
2015-06-25,1239.80,1249.10,1191.20,1209.75,44000,1209.75
2015-06-24,1270.00,1277.00,1235.00,1242.55,23400,1242.55
2015-06-23,1260.00,1288.50,1249.00,1259.55,59200,1259.55
2015-06-22,1246.45,1273.70,1240.55,1257.70,41800,1257.70
2015-06-19,1260.00,1262.90,1238.00,1245.10,25200,1245.10
2015-06-18,1248.00,1251.15,1238.05,1251.15,26000,1251.15
2015-06-17,1243.65,1273.00,1225.10,1253.35,74400,1253.35
2015-06-16,1221.90,1246.05,1201.00,1239.50,55300,1239.50
2015-06-15,1243.00,1252.00,1218.00,1223.65,35100,1223.65
2015-06-12,1238.45,1248.30,1185.20,1241.90,72300,1241.90
2015-06-11,1244.80,1263.00,1215.50,1227.50,95500,1227.50
2015-06-10,1218.90,1254.85,1203.70,1219.65,102800,1219.65
2015-06-09,1176.85,1244.10,1163.35,1212.85,134100,1212.85
2015-06-08,1170.00,1206.80,1146.50,1184.35,84900,1184.35
2015-06-05,1139.00,1217.15,1139.00,1190.50,221900,1190.50
2015-06-04,1079.00,1148.80,1041.00,1133.05,207600,1133.05
2015-06-03,1050.00,1070.00,985.20,1058.70,88800,1058.70
2015-06-02,1064.50,1068.50,1017.00,1038.60,43600,1038.60
2015-06-01,1119.10,1151.70,1055.00,1058.70,262100,1058.70
2015-05-29,983.55,1071.95,963.45,1036.45,142000,1036.45
2015-05-28,944.35,985.90,942.50,981.00,54900,981.00
2015-05-27,940.90,970.00,937.20,946.85,77200,946.85
2015-05-26,942.00,953.00,926.05,945.80,62200,945.80
2015-05-25,943.80,950.00,934.55,936.90,42700,936.90
2015-05-22,940.90,958.80,938.00,945.20,51500,945.20
