Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,215.20,216.00,213.50,214.15,18600,213.50
2015-07-16,213.90,216.50,213.00,214.30,26600,213.65
2015-07-15,212.05,215.40,212.00,212.85,18700,212.204
2015-07-14,211.80,214.85,209.90,210.70,16100,210.06
2015-07-13,211.95,213.55,210.80,211.95,21300,211.307
2015-07-10,210.00,211.85,207.30,210.10,24700,209.462
2015-07-09,213.00,214.35,207.30,208.10,149400,207.468
2015-07-08,212.80,218.35,211.00,211.85,84400,211.207
2015-07-07,208.80,219.00,208.80,215.50,155600,214.846
2015-07-06,201.15,208.40,200.90,206.95,38200,206.322
2015-07-03,203.90,205.35,199.15,200.10,20500,199.493
2015-07-02,199.00,204.70,199.00,202.70,33400,202.085
2015-07-01,196.95,200.70,195.35,198.85,37600,198.246
2015-06-30,195.00,196.95,194.00,195.05,19600,194.458
2015-06-29,193.00,194.35,187.05,193.30,19700,192.713
2015-06-26,195.00,197.00,193.00,195.40,20400,194.807
2015-06-25,195.10,196.95,193.65,194.95,20800,194.358
2015-06-24,195.60,200.00,193.25,194.30,33300,193.71
2015-06-23,193.85,196.40,192.00,194.90,28600,194.308
2015-06-22,188.40,193.80,184.50,191.75,34800,191.168
2015-06-19,185.05,187.75,182.70,184.40,28800,183.84
2015-06-18,183.00,185.35,182.40,184.10,36300,183.541
2015-06-17,175.00,182.25,175.00,181.45,31100,180.899
2015-06-16,176.85,176.85,171.05,173.60,37800,173.073
2015-06-15,182.00,182.65,176.00,176.85,33100,176.313
2015-06-12,188.50,188.75,175.75,180.80,82800,180.251
2015-06-11,196.25,196.35,188.00,190.05,32600,189.473
2015-06-10,195.00,197.35,193.10,193.85,28900,193.262
2015-06-09,198.00,198.00,193.00,195.30,27200,194.707
2015-06-08,200.95,201.50,196.45,197.60,15500,197.00
2015-06-05,201.00,202.25,200.10,202.00,16900,201.387
2015-06-04,203.00,205.85,198.35,202.75,36300,202.135
2015-06-03,204.10,205.60,198.00,201.30,94600,200.689
2015-06-02,210.00,210.00,204.05,204.50,36400,203.879
2015-06-01,212.65,213.05,208.80,209.55,50700,208.914
2015-05-29,209.60,217.00,204.70,211.50,122700,210.858
2015-05-28,213.00,213.65,209.00,210.15,43700,209.512
2015-05-27,210.50,212.75,207.00,212.00,62000,211.357
2015-05-26,204.50,213.30,203.20,211.10,72000,210.459
2015-05-25,205.20,206.65,204.00,204.55,20500,203.929
2015-05-22,206.00,207.65,203.90,204.55,33300,203.929
2015-05-21,208.35,208.35,204.00,205.35,56300,204.727
2015-05-20,211.20,211.20,207.15,208.25,39700,207.618
2015-05-19,211.00,211.00,208.65,209.40,19800,208.764
2015-05-18,211.90,213.50,210.40,211.60,46600,210.958
2015-05-15,211.80,213.00,208.50,210.30,52300,209.662
2015-05-14,207.05,211.60,206.00,210.10,63400,209.462
2015-05-13,209.40,210.05,206.90,207.35,54900,206.721
2015-05-12,209.25,210.10,206.00,208.95,120100,208.316
2015-05-11,211.35,213.00,206.50,209.00,45900,208.366
2015-05-08,210.00,214.00,208.15,208.95,23800,208.316
2015-05-07,212.50,218.70,208.00,208.85,100100,208.216
2015-05-06,216.95,216.95,210.80,214.25,67500,213.60
2015-05-05,213.25,218.90,212.20,216.80,67500,216.142
2015-05-04,212.70,214.00,210.60,212.40,58900,211.755
2015-05-01,210.35,210.35,210.35,210.35,000,209.712
2015-04-30,212.00,212.00,208.40,210.35,23300,209.712
2015-04-29,211.05,213.00,208.00,212.10,46900,211.456
2015-04-28,205.00,210.40,203.00,208.45,55600,207.817
2015-04-27,205.70,206.65,203.00,205.20,57600,204.577
2015-04-24,206.95,208.00,204.50,206.20,49800,205.574
2015-04-23,204.90,209.45,203.50,208.30,133100,207.668
2015-04-22,206.70,209.40,201.00,202.85,95700,202.234
2015-04-21,205.00,206.70,203.75,205.55,71600,204.926
2015-04-20,210.50,210.50,202.70,205.00,57100,204.378
2015-04-17,214.40,214.40,206.70,208.05,97200,207.419
2015-04-16,216.60,220.00,211.50,213.75,94800,213.101
2015-04-15,224.30,224.30,216.00,216.65,121000,215.992
2015-04-14,224.60,224.60,224.60,224.60,000,223.918
2015-04-13,230.00,231.80,223.60,224.60,113400,223.918
2015-04-10,227.25,232.00,223.80,228.75,96600,228.056
2015-04-09,227.30,230.60,223.00,225.90,105900,225.214
2015-04-08,220.00,229.50,220.00,224.75,237000,224.068
2015-04-07,215.15,220.50,213.60,218.60,76300,217.937
2015-04-06,216.00,217.00,213.35,215.15,72500,214.497
2015-04-03,214.75,214.75,214.75,214.75,000,214.098
2015-04-02,214.75,214.75,214.75,214.75,000,214.098
2015-04-01,209.25,216.00,208.85,214.75,167100,214.098
2015-03-31,210.90,211.00,207.10,208.80,53600,208.166
2015-03-30,206.95,212.45,205.50,209.90,74400,209.263
2015-03-27,206.10,209.25,200.35,205.20,75100,204.577
2015-03-26,210.50,210.50,206.00,206.50,59300,205.873
2015-03-25,214.80,217.30,210.00,211.75,59900,211.107
2015-03-24,215.40,215.90,210.20,213.50,51400,212.852
2015-03-23,218.15,221.95,214.10,214.75,91600,214.098
2015-03-20,219.00,219.00,215.10,216.40,36600,215.743
2015-03-19,215.25,224.55,215.25,219.20,96000,218.535
2015-03-18,220.00,220.00,214.00,216.15,62300,215.494
2015-03-17,220.00,220.95,216.00,219.25,44300,218.585
2015-03-16,213.05,219.50,212.00,217.40,130900,216.74
2015-03-13,215.10,217.90,207.70,210.10,79000,209.462
2015-03-12,211.75,214.55,208.55,213.75,46800,213.101
2015-03-11,208.80,211.25,207.05,209.95,60600,209.313
2015-03-10,210.70,212.20,205.00,207.25,46300,206.621
2015-03-09,210.45,217.00,208.00,209.15,58500,208.515
2015-03-06,212.65,212.65,212.65,212.65,000,212.005
2015-03-05,217.30,218.85,210.85,212.65,94000,212.005
2015-03-04,225.00,225.00,215.10,216.40,121500,215.743
2015-03-03,224.00,226.95,222.10,223.50,44700,222.822
2015-03-02,224.00,226.05,220.00,223.20,63200,222.523
2015-02-27,218.25,227.40,218.20,225.85,89300,225.164
2015-02-26,222.10,223.40,216.15,218.20,44500,217.538
2015-02-25,220.00,224.90,219.95,222.85,76800,222.174
2015-02-24,223.10,224.80,219.20,222.65,66900,221.974
2015-02-23,216.90,224.50,216.90,221.45,106900,220.778
2015-02-20,222.50,222.50,214.70,215.30,59000,214.647
2015-02-19,220.10,226.80,218.30,221.25,132000,220.578
2015-02-18,217.75,221.00,213.75,217.50,113800,216.84
2015-02-17,215.15,215.15,215.15,215.15,000,214.497
2015-02-16,214.20,217.40,209.65,215.15,76600,214.497
2015-02-13,212.00,216.00,209.70,214.25,124200,213.60
2015-02-12,221.75,221.75,209.35,211.20,116200,210.559
2015-02-11,211.85,221.30,210.00,219.20,154900,217.936
2015-02-10,201.00,211.70,199.00,209.15,125700,207.944
2015-02-09,208.90,209.25,199.00,201.35,142500,200.189
2015-02-06,218.90,219.60,209.10,210.40,158600,209.187
2015-02-05,218.95,222.70,216.00,218.15,79000,216.893
2015-02-04,219.00,219.00,212.25,216.85,97900,215.60
2015-02-03,224.80,224.85,215.00,215.65,104700,214.407
2015-02-02,224.90,225.00,209.25,222.80,151200,221.516
2015-01-30,234.50,236.95,228.00,229.25,150200,227.929
2015-01-29,235.00,239.00,230.00,232.45,226000,231.11
2015-01-28,226.00,237.55,226.00,233.45,317900,232.104
2015-01-27,225.85,227.95,223.05,226.00,82500,224.697
2015-01-26,225.00,225.00,225.00,225.00,000,223.703
2015-01-23,230.70,231.00,223.70,225.00,93300,223.703
2015-01-22,228.00,235.50,227.20,228.95,182800,227.63
2015-01-21,229.05,232.55,227.15,228.20,132100,226.885
2015-01-20,227.00,232.00,225.40,228.20,161300,226.885
2015-01-19,226.00,229.10,224.00,225.85,73100,224.548
2015-01-16,221.00,228.70,219.60,226.40,169000,225.095
2015-01-15,233.40,233.40,220.10,221.90,225200,220.621
2015-01-14,235.90,236.50,226.80,229.60,185300,228.277
2015-01-13,232.30,240.00,232.30,234.45,311500,233.099
2015-01-12,245.00,245.40,229.45,231.15,246400,229.818
2015-01-09,244.00,252.70,241.50,244.30,463500,242.892
2015-01-08,223.70,242.50,220.85,240.05,671300,238.666
2015-01-07,214.50,219.975,212.025,217.625,319600,108.185
2015-01-06,220.00,225.50,210.00,212.70,544600,105.737
2015-01-05,226.50,232.65,218.00,219.05,359700,108.894
2015-01-02,405.00,464.25,404.95,452.25,1423300,224.822
2015-01-01,404.20,409.25,401.05,405.10,49800,201.382
2014-12-31,405.00,408.00,400.00,402.40,54100,200.04
2014-12-30,407.45,410.70,397.00,398.50,64100,198.101
2014-12-29,405.00,408.70,402.60,405.20,39300,201.432
2014-12-26,412.00,412.00,402.00,406.45,60500,202.054
2014-12-25,403.70,403.70,403.70,403.70,000,200.687
2014-12-24,403.40,408.05,393.00,403.70,77400,200.687
2014-12-23,407.00,413.00,398.25,401.60,93000,199.643
2014-12-22,396.00,410.15,388.00,404.30,175600,200.985
2014-12-19,383.20,399.90,382.50,393.50,127400,195.616
2014-12-18,379.90,385.10,371.40,377.95,152800,187.886
2014-12-17,382.00,384.00,371.15,373.35,83600,185.599
2014-12-16,387.95,387.95,378.00,384.85,68500,191.316
2014-12-15,401.75,402.95,386.30,388.05,84800,192.907
2014-12-12,398.95,408.95,397.20,402.20,119600,199.941
2014-12-11,408.00,414.90,393.05,397.25,110300,197.48
2014-12-10,405.50,409.00,399.10,403.20,63400,200.438
2014-12-09,415.65,422.85,402.45,405.05,124600,201.358
2014-12-08,416.20,427.80,408.00,411.10,163800,204.365
2014-12-05,431.00,431.00,410.15,413.80,103500,205.707
2014-12-04,440.00,440.15,423.30,425.55,148100,211.549
2014-12-03,425.00,444.90,425.00,436.05,217400,216.768
2014-12-02,437.80,437.80,421.50,424.20,239000,210.877
2014-12-01,401.00,452.60,401.00,439.20,1073700,218.334
2014-11-28,382.00,395.10,382.00,392.90,202700,195.318
2014-11-27,375.00,383.50,373.10,379.05,162700,188.433
2014-11-26,356.00,374.90,352.65,372.00,247600,184.928
2014-11-25,355.25,358.80,350.00,354.45,39400,176.203
2014-11-24,360.00,361.10,354.05,355.75,50300,176.85
2014-11-21,364.15,365.00,358.50,360.20,25400,179.062
2014-11-20,361.50,366.50,358.00,365.05,57200,181.473
2014-11-19,363.00,365.00,358.60,361.25,44400,179.584
2014-11-18,367.90,367.90,359.10,362.60,48500,180.255
2014-11-17,355.60,368.00,355.60,366.10,114200,181.995
2014-11-14,363.00,366.50,355.75,359.15,67800,178.54
2014-11-13,368.80,369.00,361.00,363.15,44800,180.528
2014-11-12,369.00,372.60,366.20,367.45,68800,182.666
2014-11-11,360.00,370.20,359.30,367.20,69100,182.542
2014-11-10,373.00,373.00,360.15,363.15,60300,180.528
2014-11-07,385.00,385.00,369.00,371.60,95800,184.729
2014-11-06,383.80,383.80,383.80,383.80,000,190.794
2014-11-05,398.20,401.00,380.50,383.80,133800,190.794
2014-11-04,393.55,393.55,393.55,393.55,000,195.641
2014-11-03,398.10,400.20,391.90,393.55,33700,195.641
2014-10-31,395.60,404.20,392.00,397.00,41300,197.356
2014-10-30,403.45,404.80,395.50,398.15,55900,197.927
2014-10-29,387.95,409.95,385.50,400.50,309700,199.096
2014-10-28,376.50,387.00,376.00,385.20,128100,191.49
2014-10-27,366.40,374.80,365.00,371.45,82100,184.654
2014-10-24,361.25,361.25,361.25,361.25,000,179.584
2014-10-23,361.25,361.25,361.25,361.25,000,179.584
2014-10-22,358.90,364.50,355.45,361.25,102900,179.584
2014-10-21,352.00,357.00,349.70,352.35,68400,175.159
2014-10-20,370.00,373.00,352.10,353.20,62900,175.582
2014-10-17,381.00,381.00,358.10,362.90,88700,180.404
2014-10-16,383.80,385.00,373.00,375.25,57500,186.543
2014-10-15,383.80,383.80,383.80,383.80,000,190.794
2014-10-14,396.45,398.00,382.30,383.80,84700,190.794
2014-10-13,397.50,411.00,391.50,394.75,99600,196.237
2014-10-10,414.50,419.10,362.40,403.85,257300,200.761
2014-10-09,399.50,424.00,397.75,414.60,192100,206.105
2014-10-08,406.90,407.30,389.95,395.90,44900,196.809
2014-10-07,400.20,411.50,399.00,403.00,100800,200.339
2014-10-06,399.15,399.15,399.15,399.15,000,198.425
2014-10-03,399.15,399.15,399.15,399.15,000,198.425
2014-10-02,399.15,399.15,399.15,399.15,000,198.425
2014-10-01,379.10,415.95,379.10,399.15,283600,198.425
2014-09-30,363.60,382.60,361.10,378.55,172000,188.184
2014-09-29,360.00,370.00,360.00,362.60,69500,180.255
2014-09-26,350.00,361.40,349.05,356.75,63300,177.347
2014-09-25,352.00,358.10,348.70,350.75,41100,174.364
2014-09-24,352.00,352.00,344.35,348.65,25100,173.32
2014-09-23,357.80,359.00,347.10,351.45,69200,174.712
2014-09-22,353.50,359.55,351.00,352.35,25900,175.159
2014-09-19,360.85,363.15,351.00,353.50,53800,175.731
2014-09-18,356.95,366.55,351.15,358.30,168200,178.117
2014-09-17,352.90,359.85,348.85,358.10,62500,178.018
2014-09-16,350.45,356.00,342.00,347.90,68100,172.947
