Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,576.90,588.80,571.10,573.15,115700,573.15
2015-07-16,582.10,586.20,571.35,574.90,132600,574.90
2015-07-15,591.00,599.00,575.20,580.70,155000,580.70
2015-07-14,570.00,602.70,565.10,586.60,344800,586.60
2015-07-13,561.10,568.90,560.00,566.15,82800,566.15
2015-07-10,563.05,571.80,556.50,559.95,76800,559.95
2015-07-09,560.00,575.00,555.00,561.85,136900,561.85
2015-07-08,568.95,572.00,554.30,557.20,101600,557.20
2015-07-07,569.00,587.25,564.80,572.25,150100,572.25
2015-07-06,555.95,570.00,547.35,566.25,139000,566.25
2015-07-03,570.10,579.20,558.00,561.10,122600,561.10
2015-07-02,577.10,584.90,567.70,569.90,179200,569.90
2015-07-01,568.90,581.70,565.20,572.60,152800,572.60
2015-06-30,563.00,576.00,559.55,565.55,157900,565.55
2015-06-29,564.00,569.00,552.80,561.75,193200,561.75
2015-06-26,551.00,598.00,545.00,590.95,553200,590.95
2015-06-25,556.00,557.00,543.00,549.05,88700,549.05
2015-06-24,566.20,569.50,546.00,552.95,97900,552.95
2015-06-23,569.70,576.80,561.25,564.10,168700,564.10
2015-06-22,561.00,575.90,561.00,567.75,201000,567.75
2015-06-19,556.95,570.40,553.25,556.70,220400,556.70
2015-06-18,536.00,561.80,533.50,549.30,333900,549.30
2015-06-17,528.00,542.80,523.05,530.35,248300,530.35
2015-06-16,523.00,525.00,507.40,521.50,146700,521.50
2015-06-15,508.75,531.00,504.00,523.45,189700,523.45
2015-06-12,511.10,516.95,502.15,507.85,147300,507.85
2015-06-11,543.00,548.35,511.00,514.70,224400,514.70
2015-06-10,524.70,547.85,522.00,538.50,178600,538.50
2015-06-09,533.00,544.45,497.05,524.20,235600,524.20
2015-06-08,556.50,559.70,535.10,537.50,151000,537.50
2015-06-05,544.00,583.85,544.00,556.60,300100,556.60
2015-06-04,560.00,568.75,546.00,558.60,155500,558.60
2015-06-03,614.00,614.00,534.10,557.70,234300,557.70
2015-06-02,634.10,637.60,607.50,610.85,151100,610.85
2015-06-01,635.10,649.00,631.00,632.65,110300,632.65
2015-05-29,634.95,644.00,632.10,635.00,94100,635.00
2015-05-28,636.00,645.00,630.10,632.75,92100,632.75
2015-05-27,635.70,644.90,628.00,633.00,118200,633.00
2015-05-26,643.00,648.10,635.00,638.95,88300,638.95
2015-05-25,653.70,656.25,638.70,641.85,89800,641.85
2015-05-22,660.00,668.00,650.00,653.60,127700,653.60
2015-05-21,669.00,674.50,655.00,659.55,109000,659.55
2015-05-20,658.00,680.00,658.00,664.95,193100,664.95
2015-05-19,649.00,668.00,643.80,654.20,164900,654.20
2015-05-18,649.90,658.90,640.80,648.00,120000,648.00
2015-05-15,654.50,670.50,646.20,650.90,178900,650.90
2015-05-14,643.80,656.50,632.10,649.15,160900,649.15
2015-05-13,634.30,657.00,625.50,646.65,180800,646.65
2015-05-12,654.55,655.25,625.05,628.20,114100,628.20
2015-05-11,648.30,669.00,648.00,654.55,136900,654.55
2015-05-08,645.00,657.80,637.35,641.50,150300,641.50
2015-05-07,649.40,649.40,619.25,630.70,203000,630.70
2015-05-06,697.45,698.80,645.65,652.45,214500,652.45
2015-05-05,701.00,717.65,695.80,701.25,235300,701.25
2015-05-04,671.50,706.95,670.00,698.65,286300,698.65
2015-05-01,665.20,665.20,665.20,665.20,000,665.20
2015-04-30,666.90,676.00,649.20,665.20,267600,665.20
2015-04-29,667.70,684.90,652.20,668.40,341000,668.40
2015-04-28,619.95,675.35,606.15,666.90,384700,666.90
2015-04-27,669.90,676.30,615.00,618.25,272800,618.25
2015-04-24,720.00,721.15,659.10,664.95,308200,664.95
2015-04-23,738.00,745.00,714.75,718.65,233900,718.65
2015-04-22,716.00,738.50,703.65,730.05,313500,730.05
2015-04-21,738.15,748.90,704.55,711.15,354500,711.15
2015-04-20,798.85,799.40,726.00,739.80,317800,739.80
2015-04-17,792.00,832.90,780.00,793.35,574400,793.35
2015-04-16,812.00,823.60,786.10,792.80,323400,792.80
2015-04-15,848.00,848.30,805.00,812.50,309700,812.50
2015-04-14,843.00,843.00,843.00,843.00,000,843.00
2015-04-13,839.30,872.00,836.00,843.00,475900,843.00
2015-04-10,781.45,844.90,769.00,833.85,723900,833.85
2015-04-09,801.90,802.70,763.00,780.05,219700,780.05
2015-04-08,808.80,819.50,791.05,795.10,293600,795.10
2015-04-07,801.00,818.70,786.65,805.70,471300,805.70
2015-04-06,741.90,802.00,726.60,792.60,688800,792.60
2015-04-03,735.45,735.45,735.45,735.45,000,735.45
2015-04-02,735.45,735.45,735.45,735.45,000,735.45
2015-04-01,710.00,742.00,702.00,735.45,390600,735.45
2015-03-31,696.90,724.00,696.90,707.85,346400,707.85
2015-03-30,680.00,707.45,680.00,697.40,280400,697.40
2015-03-27,671.00,681.45,638.30,673.75,305400,673.75
2015-03-26,680.50,685.80,660.10,665.45,218000,665.45
2015-03-25,696.55,711.00,682.00,686.05,279300,686.05
2015-03-24,686.00,718.20,672.50,690.90,449600,690.90
2015-03-23,718.85,722.60,676.75,680.30,252900,680.30
2015-03-20,760.00,767.60,704.45,713.95,263500,713.95
2015-03-19,778.00,792.30,752.25,759.15,328900,759.15
2015-03-18,780.75,786.35,758.50,765.95,197300,765.95
2015-03-17,770.00,788.00,756.55,775.20,321300,775.20
2015-03-16,774.65,796.40,742.05,761.20,656000,761.20
2015-03-13,807.00,829.00,751.10,768.10,554500,768.10
2015-03-12,818.85,830.80,792.50,801.70,434100,801.70
2015-03-11,820.25,864.40,803.35,811.90,765500,811.90
2015-03-10,785.10,890.00,777.00,817.50,2263300,817.50
2015-03-09,677.80,806.90,666.00,783.40,1538000,783.40
2015-03-06,685.30,685.30,685.30,685.30,000,685.30
2015-03-05,676.50,708.50,661.10,685.30,560100,685.30
2015-03-04,631.00,726.35,622.10,675.05,1411700,675.05
2015-03-03,620.00,639.30,615.20,627.40,223100,627.40
2015-03-02,614.95,629.25,605.00,618.00,168900,618.00
2015-02-27,608.40,628.00,608.40,618.95,179600,618.95
2015-02-26,615.00,622.50,600.00,604.20,153000,604.20
2015-02-25,619.00,642.00,612.10,615.00,308000,615.00
2015-02-24,603.00,625.00,597.95,617.80,276800,617.80
2015-02-23,625.75,628.00,596.00,599.50,114100,599.50
2015-02-20,626.00,643.00,617.50,621.25,256700,621.25
2015-02-19,589.80,661.70,586.00,625.75,1153900,625.75
2015-02-18,589.90,597.00,580.00,584.65,101500,584.65
2015-02-17,585.10,585.10,585.10,585.10,000,585.10
2015-02-16,580.00,613.90,571.00,585.10,265900,585.10
2015-02-13,596.00,602.00,567.00,574.35,188100,574.35
2015-02-12,536.00,615.00,536.00,591.65,711600,591.65
2015-02-11,522.00,540.00,514.90,531.25,156000,531.25
2015-02-10,518.90,530.30,514.45,518.00,73500,518.00
2015-02-09,542.00,542.00,517.00,522.00,84800,522.00
2015-02-06,554.00,568.00,541.00,542.85,87400,542.85
2015-02-05,573.10,583.45,550.15,556.85,84500,556.85
