Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1128.50,1142.95,1122.00,1130.25,70900,1125.75
2015-07-16,1110.30,1135.00,1110.30,1125.70,101200,1121.22
2015-07-15,1102.50,1125.85,1102.50,1108.15,59200,1103.74
2015-07-14,1133.95,1133.95,1095.00,1102.80,75000,1098.41
2015-07-13,1080.00,1125.85,1066.00,1123.35,114500,1118.88
2015-07-10,1080.85,1085.60,1064.00,1073.80,50300,1069.52
2015-07-09,1075.00,1082.30,1057.50,1074.65,76500,1070.37
2015-07-08,1079.00,1082.95,1043.90,1057.55,102800,1053.34
2015-07-07,1100.00,1100.00,1066.35,1073.55,84100,1069.28
2015-07-06,1035.00,1098.00,1023.00,1090.45,139500,1086.11
2015-07-03,1125.50,1125.50,1072.00,1074.60,152700,1070.32
2015-07-02,1115.00,1126.95,1098.50,1115.00,86000,1110.56
2015-07-01,1059.00,1115.40,1057.25,1108.50,106100,1104.09
2015-06-30,1068.60,1076.80,1054.00,1063.00,75800,1058.77
2015-06-29,1066.00,1075.00,1028.20,1070.30,155500,1066.04
2015-06-26,1133.00,1145.40,1111.00,1115.20,69900,1110.76
2015-06-25,1115.15,1141.75,1106.00,1132.50,43500,1127.99
2015-06-24,1155.00,1155.00,1115.00,1120.60,65500,1116.14
2015-06-23,1149.70,1159.20,1133.55,1141.35,80500,1136.81
2015-06-22,1138.00,1143.00,1115.05,1138.25,68700,1133.72
2015-06-19,1102.00,1135.00,1102.00,1128.10,86900,1123.61
2015-06-18,1129.00,1133.00,0.01,1109.05,91100,1104.63
2015-06-17,1103.10,1124.80,1083.40,1116.60,120300,1112.15
2015-06-16,1087.00,1102.00,1074.15,1086.85,260100,1082.52
2015-06-15,1107.00,1126.00,1079.50,1082.85,244300,1078.54
2015-06-12,1097.00,1118.95,1081.60,1106.85,102000,1102.44
2015-06-11,1147.10,1159.40,1101.00,1107.75,163700,1103.34
2015-06-10,1098.00,1148.55,1098.00,1142.35,112400,1137.80
2015-06-09,1156.00,1156.00,1006.30,1095.30,431200,1090.94
2015-06-08,1184.10,1187.55,1149.30,1155.60,77000,1151.00
2015-06-05,1196.00,1197.95,1176.00,1184.15,295800,1179.44
2015-06-04,1218.00,1218.00,1164.25,1200.05,85500,1195.27
2015-06-03,1219.00,1219.00,1179.00,1191.80,173800,1187.06
2015-06-02,1214.00,1236.00,1195.05,1207.85,127000,1203.04
2015-06-01,1219.00,1229.35,1207.30,1215.45,73300,1210.61
2015-05-29,1220.00,1258.45,1200.00,1231.05,249800,1226.15
2015-05-28,1247.35,1250.00,1203.50,1207.50,98800,1202.69
2015-05-27,1274.90,1274.95,1233.50,1239.25,76400,1234.32
2015-05-26,1261.00,1280.30,1257.00,1276.60,95200,1271.52
2015-05-25,1224.00,1262.00,1216.40,1256.10,158700,1251.10
2015-05-22,1242.95,1248.70,1210.55,1223.85,119300,1218.98
2015-05-21,1240.00,1251.75,1218.15,1242.35,206500,1237.40
2015-05-20,1303.00,1332.00,1229.00,1237.90,543400,1232.97
2015-05-19,1297.00,1313.00,1268.10,1288.65,93000,1283.52
2015-05-18,1270.00,1295.00,1268.00,1290.70,67600,1285.56
2015-05-15,1296.00,1314.80,1268.00,1271.35,87100,1266.29
2015-05-14,1250.20,1298.90,1226.00,1292.35,113600,1287.20
2015-05-13,1245.50,1264.35,1235.55,1244.90,83200,1239.94
2015-05-12,1247.55,1255.00,1213.95,1227.85,55500,1222.96
2015-05-11,1235.10,1266.00,1235.10,1244.15,37600,1239.20
2015-05-08,1225.50,1259.10,1220.00,1229.55,43400,1224.65
2015-05-07,1259.40,1259.40,1176.75,1206.20,91300,1201.40
2015-05-06,1300.00,1325.00,1227.00,1236.70,111000,1231.78
2015-05-05,1279.00,1310.00,1272.30,1304.95,98100,1299.75
2015-05-04,1261.00,1282.00,1260.10,1265.70,34600,1260.66
2015-05-01,1254.05,1254.05,1254.05,1254.05,000,1249.06
2015-04-30,1250.00,1261.65,1215.00,1254.05,125700,1249.06
2015-04-29,1243.90,1257.80,1231.70,1246.05,79800,1241.09
2015-04-28,1180.00,1221.30,1165.90,1213.65,136800,1208.82
2015-04-27,1210.00,1219.95,1154.65,1179.75,90000,1175.05
2015-04-24,1200.00,1220.00,1162.35,1205.55,94800,1200.75
2015-04-23,1170.00,1187.15,1157.50,1171.40,64000,1166.74
2015-04-22,1195.50,1198.90,1146.10,1167.35,62100,1162.70
2015-04-21,1192.00,1206.80,1161.00,1181.50,76300,1176.80
2015-04-20,1196.00,1196.40,1146.40,1181.90,132100,1177.19
2015-04-17,1300.00,1300.00,1191.55,1196.55,214600,1191.79
2015-04-16,1330.00,1330.00,1284.00,1299.80,74700,1294.63
2015-04-15,1315.00,1336.80,1305.70,1313.75,41700,1308.52
2015-04-14,1309.45,1309.45,1309.45,1309.45,000,1304.24
2015-04-13,1330.00,1330.00,1304.45,1309.45,43000,1304.24
2015-04-10,1325.00,1341.60,1322.00,1332.00,41200,1326.70
2015-04-09,1350.00,1354.00,1315.15,1320.70,57700,1315.44
2015-04-08,1324.50,1346.00,1318.00,1336.25,52300,1330.93
2015-04-07,1339.00,1339.00,1303.00,1315.50,48500,1310.26
2015-04-06,1326.00,1362.90,1308.75,1316.15,112800,1310.91
2015-04-03,1321.85,1321.85,1321.85,1321.85,000,1316.59
2015-04-02,1321.85,1321.85,1321.85,1321.85,000,1316.59
2015-04-01,1290.00,1332.00,1267.20,1321.85,209300,1316.59
2015-03-31,1269.00,1282.00,1254.60,1276.10,77900,1271.02
2015-03-30,1231.00,1262.00,1230.00,1253.00,41100,1248.01
2015-03-27,1214.05,1240.00,1188.00,1221.95,84100,1217.08
2015-03-26,1260.00,1260.00,1205.00,1213.75,96300,1208.92
2015-03-25,1297.00,1311.40,1252.00,1261.20,60300,1256.18
2015-03-24,1293.00,1304.55,1280.00,1295.35,77400,1290.19
2015-03-23,1301.50,1307.90,1284.00,1298.55,48000,1293.38
