Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,16.55,16.55,16.55,16.55,000,16.55
2015-07-16,16.55,16.55,16.55,16.55,000,16.55
2015-07-15,16.55,16.55,16.55,16.55,000,16.55
2015-07-14,16.55,16.55,16.55,16.55,000,16.55
2015-07-13,16.00,16.55,15.90,16.55,19600,16.55
2015-07-10,15.80,15.80,15.80,15.80,000,15.80
2015-07-09,15.80,15.80,15.80,15.80,000,15.80
2015-07-08,15.80,15.80,15.80,15.80,000,15.80
2015-07-07,15.80,15.80,15.80,15.80,000,15.80
2015-07-06,14.40,15.80,14.40,15.80,19200,15.80
2015-07-03,15.05,15.05,15.05,15.05,000,15.05
2015-07-02,15.05,15.05,15.05,15.05,000,15.05
2015-07-01,15.05,15.05,15.05,15.05,000,15.05
2015-06-30,15.05,15.05,15.05,15.05,000,15.05
2015-06-29,15.05,15.05,14.95,15.05,14200,15.05
2015-06-26,14.35,14.35,14.35,14.35,000,14.35
2015-06-25,14.35,14.35,14.35,14.35,000,14.35
2015-06-24,14.35,14.35,14.35,14.35,000,14.35
2015-06-23,14.35,14.35,14.35,14.35,000,14.35
2015-06-22,14.35,14.35,13.10,14.35,27400,14.35
2015-06-19,13.70,13.70,13.70,13.70,000,13.70
2015-06-18,13.70,13.70,13.70,13.70,000,13.70
2015-06-17,13.70,13.70,13.70,13.70,000,13.70
2015-06-16,13.70,13.70,13.70,13.70,000,13.70
2015-06-15,13.90,13.90,13.70,13.70,17600,13.70
2015-06-12,14.40,14.40,14.40,14.40,000,14.40
2015-06-11,14.40,14.40,14.40,14.40,000,14.40
2015-06-10,14.40,14.40,14.40,14.40,000,14.40
2015-06-09,14.40,14.40,14.40,14.40,000,14.40
2015-06-08,14.50,14.50,14.40,14.40,9500,14.40
2015-06-05,15.15,15.15,15.15,15.15,000,15.15
2015-06-04,15.15,15.15,15.15,15.15,000,15.15
2015-06-03,15.15,15.15,15.15,15.15,000,15.15
2015-06-02,15.15,15.15,15.15,15.15,000,15.15
2015-06-01,15.45,15.50,15.15,15.15,15100,15.15
2015-05-29,15.90,15.90,15.90,15.90,000,15.90
2015-05-28,15.90,15.90,15.90,15.90,000,15.90
2015-05-27,15.90,15.90,15.90,15.90,000,15.90
2015-05-26,15.90,15.90,15.90,15.90,000,15.90
2015-05-25,15.90,16.40,15.90,15.90,12100,15.90
2015-05-22,16.70,16.70,16.70,16.70,000,16.70
2015-05-21,16.70,16.70,16.70,16.70,000,16.70
2015-05-20,16.70,16.70,16.70,16.70,000,16.70
2015-05-19,16.70,16.70,16.70,16.70,000,16.70
2015-05-18,16.70,16.75,16.70,16.70,18500,16.70
2015-05-15,17.55,17.55,17.55,17.55,000,17.55
2015-05-14,17.55,17.55,17.55,17.55,000,17.55
2015-05-13,17.55,17.55,17.55,17.55,000,17.55
2015-05-12,17.55,17.55,17.55,17.55,000,17.55
2015-05-11,17.15,18.85,17.15,17.55,19900,17.55
2015-05-08,18.05,18.05,18.05,18.05,000,18.05
2015-05-07,18.05,18.05,18.05,18.05,000,18.05
2015-05-06,18.05,18.05,18.05,18.05,000,18.05
2015-05-05,18.05,18.05,18.05,18.05,000,18.05
2015-05-04,18.05,18.10,18.05,18.05,11500,18.05
2015-05-01,19.00,19.00,19.00,19.00,000,19.00
2015-04-30,19.00,19.00,19.00,19.00,000,19.00
2015-04-29,19.00,19.00,19.00,19.00,000,19.00
2015-04-28,19.00,19.00,19.00,19.00,000,19.00
2015-04-27,19.00,19.00,19.00,19.00,2500,19.00
2015-04-24,20.00,20.00,20.00,20.00,000,20.00
2015-04-23,20.00,20.00,20.00,20.00,000,20.00
2015-04-22,20.00,20.00,20.00,20.00,000,20.00
2015-04-21,20.00,20.00,20.00,20.00,000,20.00
2015-04-20,20.00,20.00,20.00,20.00,6900,20.00
2015-04-17,21.05,21.05,21.05,21.05,000,21.05
2015-04-16,21.05,21.05,21.05,21.05,000,21.05
2015-04-15,21.05,21.05,21.05,21.05,000,21.05
2015-04-14,21.05,21.05,21.05,21.05,000,21.05
2015-04-13,20.45,22.00,20.45,21.05,38700,21.05
2015-04-10,21.50,21.50,21.50,21.50,000,21.50
2015-04-09,21.50,21.50,21.50,21.50,000,21.50
2015-04-08,21.50,21.50,21.50,21.50,000,21.50
2015-04-07,21.50,21.50,21.50,21.50,000,21.50
2015-04-06,21.50,23.10,21.50,21.50,23700,21.50
2015-04-03,22.60,22.60,22.60,22.60,000,22.60
2015-04-02,22.60,22.60,22.60,22.60,000,22.60
2015-04-01,22.60,22.60,22.60,22.60,000,22.60
2015-03-31,22.60,22.60,22.60,22.60,000,22.60
2015-03-30,22.60,23.00,22.60,22.60,13500,22.60
2015-03-27,23.75,23.75,23.75,23.75,000,23.75
2015-03-26,23.75,23.75,23.75,23.75,000,23.75
2015-03-25,23.75,23.75,23.75,23.75,000,23.75
2015-03-24,23.75,23.75,23.75,23.75,000,23.75
2015-03-23,23.90,23.90,23.75,23.75,8400,23.75
2015-03-20,24.95,24.95,24.95,24.95,000,24.95
2015-03-19,24.95,24.95,24.95,24.95,000,24.95
2015-03-18,24.95,24.95,24.95,24.95,000,24.95
2015-03-17,24.95,24.95,24.95,24.95,000,24.95
2015-03-16,25.00,26.00,24.95,24.95,20600,24.95
2015-03-13,26.25,26.25,26.25,26.25,000,26.25
2015-03-12,26.25,26.25,26.25,26.25,000,26.25
2015-03-11,26.25,26.25,26.25,26.25,000,26.25
2015-03-10,26.25,26.25,26.25,26.25,000,26.25
2015-03-09,26.25,26.25,26.25,26.25,000,26.25
2015-03-06,26.25,26.25,26.25,26.25,000,26.25
2015-03-05,26.25,26.25,26.25,26.25,000,26.25
2015-03-04,26.25,26.25,26.25,26.25,000,26.25
2015-03-03,26.25,26.25,26.25,26.25,000,26.25
2015-03-02,26.25,26.25,26.25,26.25,000,26.25
2015-02-27,26.25,26.25,26.25,26.25,000,26.25
2015-02-26,26.25,26.25,26.25,26.25,000,26.25
2015-02-25,26.25,26.25,26.25,26.25,000,26.25
2015-02-24,26.10,27.35,25.10,26.25,41100,26.25
2015-02-23,26.05,26.05,25.20,26.05,31900,26.05
2015-02-20,24.85,24.85,24.85,24.85,9600,24.85
2015-02-19,23.00,23.70,23.00,23.70,6000,23.70
2015-02-18,21.90,22.60,20.80,22.60,21300,22.60
2015-02-17,21.55,21.55,21.55,21.55,000,21.55
2015-02-16,23.55,23.55,21.35,21.55,36500,21.55
2015-02-13,22.25,23.00,22.15,22.45,15000,22.45
2015-02-12,22.00,23.00,21.30,22.75,41800,22.75
2015-02-11,22.90,23.45,21.85,22.00,42800,22.00
2015-02-10,23.60,24.50,22.45,23.00,15200,23.00
2015-02-09,24.00,24.90,23.45,23.50,41500,23.50
2015-02-06,25.00,25.10,24.65,24.65,22800,24.65
2015-02-05,27.50,27.50,25.90,25.90,31800,25.90
2015-02-04,26.85,27.50,26.00,27.25,41200,27.25
2015-02-03,28.45,28.45,26.65,27.30,9300,27.30
2015-02-02,27.90,28.00,26.60,27.65,22500,27.65
2015-01-30,28.00,28.45,27.50,27.90,14500,27.90
2015-01-29,28.00,28.75,27.60,27.85,5300,27.85
2015-01-28,28.00,28.85,28.00,28.00,9000,28.00
2015-01-27,29.40,29.40,28.00,28.05,16400,28.05
2015-01-26,28.55,28.55,28.55,28.55,000,28.55
2015-01-23,29.20,29.80,28.30,28.55,14000,28.55
2015-01-22,28.70,30.10,27.50,29.20,27000,29.20
2015-01-21,29.30,29.50,28.10,28.70,21400,28.70
2015-01-20,30.00,30.15,29.05,29.45,24400,29.45
2015-01-19,29.45,30.45,29.20,29.65,10100,29.65
2015-01-16,28.30,30.20,28.30,29.25,19700,29.25
2015-01-15,29.70,30.95,28.50,29.10,25000,29.10
2015-01-14,30.00,30.40,29.00,29.70,18900,29.70
2015-01-13,30.55,30.55,29.00,29.70,17800,29.70
2015-01-12,29.00,30.50,28.10,30.05,42100,30.05
2015-01-09,30.95,30.95,29.20,29.80,18700,29.80
2015-01-08,30.30,30.40,29.30,30.30,17400,30.30
2015-01-07,30.00,30.35,29.00,29.10,21900,29.10
2015-01-06,30.65,31.00,29.60,29.90,27500,29.90
2015-01-05,30.10,31.50,30.00,30.80,22900,30.80
2015-01-02,27.65,30.55,27.65,30.55,64400,30.55
2015-01-01,29.10,29.10,29.10,29.10,13200,29.10
2014-12-31,30.60,30.60,30.60,30.60,10700,30.60
2014-12-30,32.20,32.20,32.20,32.20,13200,32.20
2014-12-29,33.85,33.85,33.85,33.85,5000,33.85
2014-12-26,38.00,39.00,35.60,35.60,12300,35.60
2014-12-25,37.45,37.45,37.45,37.45,000,37.45
2014-12-24,36.05,38.75,35.85,37.45,173400,37.45
2014-12-23,33.65,34.50,33.00,33.55,6800,33.55
2014-12-22,35.00,35.00,33.70,34.00,11100,34.00
2014-12-19,35.00,35.20,33.60,34.25,46300,34.25
2014-12-18,34.70,35.75,34.30,34.85,12200,34.85
2014-12-17,32.40,35.90,31.50,34.20,17900,34.20
2014-12-16,34.00,34.50,31.85,32.20,21600,32.20
2014-12-15,34.40,35.30,34.00,34.30,25600,34.30
2014-12-12,36.30,37.00,34.55,34.80,14500,34.80
2014-12-11,37.00,37.30,36.00,36.15,7700,36.15
2014-12-10,36.80,38.00,36.20,36.80,18600,36.80
2014-12-09,38.00,38.50,36.25,36.80,13100,36.80
2014-12-08,40.95,41.00,37.50,38.05,42000,38.05
2014-12-05,41.20,42.25,40.15,40.85,146700,40.85
2014-12-04,35.40,40.65,35.40,39.70,175000,39.70
2014-12-03,35.25,36.10,35.10,35.55,9300,35.55
2014-12-02,38.00,38.00,35.20,35.40,27300,35.40
2014-12-01,34.15,35.65,34.15,34.55,14100,34.55
2014-11-28,35.65,36.25,34.75,34.85,15900,34.85
2014-11-27,35.20,35.65,35.00,35.20,4600,35.20
2014-11-26,35.00,36.85,35.00,35.50,32800,35.50
2014-11-25,36.00,36.00,34.40,34.90,21000,34.90
2014-11-24,36.90,37.95,35.50,35.80,30900,35.80
2014-11-21,38.10,38.50,37.00,37.25,19300,37.25
2014-11-20,41.10,41.40,38.00,38.15,34000,38.15
2014-11-19,40.20,42.00,39.35,40.10,114000,40.10
2014-11-18,35.60,41.20,35.10,39.00,146100,39.00
2014-11-17,34.05,36.00,34.00,35.00,13500,35.00
2014-11-14,34.00,34.95,33.60,34.60,9100,34.60
2014-11-13,35.85,35.95,33.80,33.95,16600,33.95
2014-11-12,35.90,35.90,34.65,34.85,9700,34.85
2014-11-11,36.30,37.00,34.75,35.05,17400,35.05
2014-11-10,36.10,36.10,35.20,35.70,8800,35.70
2014-11-07,36.80,37.00,36.05,36.70,9300,36.70
2014-11-06,36.80,36.80,36.80,36.80,000,36.80
2014-11-05,37.80,37.80,36.50,36.80,20400,36.80
2014-11-04,36.10,36.10,36.10,36.10,000,36.10
2014-11-03,36.30,36.60,35.00,36.10,21500,36.10
2014-10-31,35.85,36.65,35.50,35.55,12500,35.55
2014-10-30,36.00,36.70,35.25,35.75,8300,35.75
2014-10-29,36.25,37.00,35.90,36.05,6400,36.05
2014-10-28,36.90,38.00,36.20,36.40,6700,36.40
2014-10-27,35.15,37.90,35.15,36.80,24500,36.80
2014-10-24,34.25,34.25,34.25,34.25,000,34.25
2014-10-23,34.25,34.25,34.25,34.25,000,34.25
2014-10-22,33.50,35.10,33.50,34.25,12600,34.25
2014-10-21,33.45,34.40,33.45,33.80,7700,33.80
2014-10-20,34.25,34.85,33.80,33.90,5900,33.90
2014-10-17,34.35,35.90,33.50,33.90,9300,33.90
2014-10-16,34.35,36.00,34.00,34.30,9200,34.30
2014-10-15,35.05,35.05,35.05,35.05,000,35.05
2014-10-14,34.30,36.90,34.30,35.05,14600,35.05
2014-10-13,36.65,36.65,34.25,34.70,8000,34.70
2014-10-10,35.30,37.20,35.05,36.25,21100,36.25
2014-10-09,35.15,36.90,35.15,36.45,6200,36.45
2014-10-08,35.00,35.65,34.05,35.50,5700,35.50
2014-10-07,35.30,36.60,34.50,34.85,6500,34.85
2014-10-06,35.65,35.65,35.65,35.65,000,35.65
2014-10-03,35.65,35.65,35.65,35.65,000,35.65
2014-10-02,35.65,35.65,35.65,35.65,000,35.65
2014-10-01,36.80,37.75,35.55,35.65,13800,35.65
2014-09-30,37.00,37.35,36.10,36.95,10000,36.95
2014-09-29,35.15,37.30,35.00,36.15,9400,36.15
2014-09-26,36.25,36.40,35.15,35.60,16900,35.60
2014-09-25,37.55,38.90,36.95,36.95,12700,36.95
2014-09-24,40.00,42.25,38.70,38.85,16500,38.85
2014-09-23,41.55,41.70,39.90,40.70,52000,40.70
2014-09-22,40.00,41.10,39.10,39.75,14400,39.75
2014-09-19,43.00,43.50,40.60,41.00,23400,41.00
2014-09-18,43.40,44.00,42.20,42.65,37600,42.65
2014-09-17,46.00,47.00,43.05,43.25,49300,43.25
2014-09-16,46.05,46.05,44.00,45.30,325500,45.30
2014-09-15,41.95,43.90,40.50,43.90,38800,43.90
2014-09-12,43.50,44.80,41.25,41.85,94900,41.85
2014-09-11,41.80,42.70,40.90,42.70,173500,42.70
2014-09-10,36.10,38.85,36.10,38.85,21100,38.85
2014-09-09,36.15,37.50,35.00,35.35,13400,35.35
2014-09-08,35.90,38.30,35.90,36.90,38600,36.90
2014-09-05,37.00,37.50,33.05,34.90,41700,34.90
2014-09-04,32.90,34.35,31.50,34.35,14500,34.35
2014-09-03,33.85,34.00,32.50,32.75,11600,32.75
2014-09-02,33.30,33.50,32.60,33.10,5200,33.10
2014-09-01,33.70,33.70,32.50,33.05,2300,33.05
2014-08-29,33.00,33.00,33.00,33.00,000,33.00
2014-08-28,33.00,34.00,32.10,33.00,7100,33.00
2014-08-27,32.50,32.80,32.05,32.70,5500,32.70
2014-08-26,32.45,32.50,31.55,31.90,2600,31.90
2014-08-25,34.00,34.15,32.75,32.80,5300,32.80
2014-08-22,35.50,35.50,33.65,33.85,13100,33.85
2014-08-21,33.70,35.35,33.00,35.35,30600,35.35
2014-08-20,33.90,34.30,33.30,34.00,5300,34.00
2014-08-19,33.10,34.20,32.35,33.85,12000,33.85
2014-08-18,30.90,33.20,30.90,33.20,11200,33.20
2014-08-15,31.65,31.65,31.65,31.65,000,31.65
2014-08-14,32.95,33.35,31.25,31.65,8200,31.65
2014-08-13,35.00,35.00,32.85,32.85,6700,32.85
2014-08-12,34.95,35.30,34.00,34.55,10900,34.55
2014-08-11,36.00,36.10,33.90,34.10,11000,34.10
2014-08-08,36.05,36.05,35.10,35.35,17200,35.35
2014-08-07,37.90,38.00,36.25,36.90,10600,36.90
2014-08-06,38.00,38.55,37.80,37.90,4400,37.90
2014-08-05,37.00,37.85,36.00,37.55,5100,37.55
2014-08-04,35.80,37.40,35.80,37.40,4700,37.40
2014-08-01,36.00,37.15,35.70,36.75,5700,36.75
2014-07-31,36.05,36.80,36.00,36.25,2400,36.25
2014-07-30,36.10,36.90,35.30,36.15,8200,36.15
2014-07-29,37.15,37.15,37.15,37.15,000,37.15
2014-07-28,39.00,39.00,37.10,37.15,8800,37.15
2014-07-25,39.80,40.25,38.65,39.00,10300,39.00
2014-07-24,38.00,40.05,38.00,40.05,7600,40.05
2014-07-23,40.50,40.50,38.00,38.45,8500,38.45
2014-07-22,40.50,41.25,39.50,39.70,8000,39.70
2014-07-21,41.25,41.70,40.50,41.00,9900,41.00
2014-07-18,40.50,41.20,39.65,39.75,3100,39.75
2014-07-17,40.60,41.35,40.20,40.95,10200,40.95
2014-07-16,38.00,40.00,38.00,40.00,2600,40.00
2014-07-15,38.50,38.70,36.40,38.50,3800,38.50
2014-07-14,39.80,39.80,36.55,37.00,2900,37.00
2014-07-11,40.00,41.10,38.00,38.25,10300,38.25
2014-07-10,39.55,39.80,37.00,39.80,11100,39.80
2014-07-09,39.75,39.75,37.85,37.95,11800,37.95
