Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,190.80,194.00,183.20,184.70,232900,183.2041
2015-07-16,180.00,195.00,180.00,191.20,545400,189.6514
2015-07-15,175.40,184.50,173.80,179.50,466300,178.0462
2015-07-14,158.80,173.10,157.50,173.10,574300,171.698
2015-07-13,159.00,162.80,155.60,157.40,97300,156.1252
2015-07-10,164.20,166.20,158.10,158.90,62100,157.613
2015-07-09,168.30,171.50,158.30,161.30,121200,159.9936
2015-07-08,174.10,176.00,164.00,166.60,154100,165.2507
2015-07-07,175.00,181.60,170.00,176.30,418300,174.8721
2015-07-06,176.00,187.90,167.00,173.40,1130200,171.9956
2015-07-03,141.00,157.80,138.00,157.80,525000,156.5219
2015-07-02,132.90,136.00,130.70,131.50,152600,130.4349
2015-07-01,125.00,136.00,117.50,131.20,735900,130.1374
2015-06-30,123.30,126.00,122.20,125.00,87500,123.9876
2015-06-29,117.00,125.00,113.00,121.40,122600,120.4167
2015-06-26,114.10,117.00,114.10,116.20,11300,115.2589
2015-06-25,114.00,117.20,113.80,115.60,13900,114.6637
2015-06-24,117.90,118.70,109.50,115.20,308100,114.267
2015-06-23,117.10,121.60,116.00,116.80,54800,115.854
2015-06-22,117.30,118.50,116.70,117.20,29000,116.2508
2015-06-19,119.40,119.70,116.00,116.80,7500,115.854
2015-06-18,119.50,122.20,0.01,117.70,10300,116.7467
2015-06-17,115.00,120.60,115.00,119.70,90600,118.7305
2015-06-16,114.80,114.90,112.10,114.20,7800,113.2751
2015-06-15,110.90,119.20,110.90,116.80,43800,115.854
2015-06-12,112.00,114.00,109.50,110.40,13500,109.5058
2015-06-11,119.40,121.20,112.20,113.40,19000,112.4815
2015-06-10,108.70,119.80,108.70,118.30,48400,117.3419
2015-06-09,112.40,113.40,108.20,108.80,13700,107.9188
2015-06-08,114.00,114.00,109.20,110.70,15600,109.8034
2015-06-05,114.00,129.00,113.00,115.00,29200,114.0686
2015-06-04,113.70,116.60,110.80,113.80,14000,112.8783
2015-06-03,119.40,119.50,113.10,114.90,18700,113.9694
2015-06-02,122.40,122.40,117.50,118.10,11800,117.1435
2015-06-01,127.20,130.00,122.10,122.60,64300,121.607
2015-05-29,124.90,126.30,122.90,124.10,17200,123.0949
2015-05-28,128.00,129.50,123.80,124.80,17600,123.7892
2015-05-27,120.00,127.40,120.00,125.80,50300,124.7811
2015-05-26,118.00,124.00,117.70,120.90,19800,119.9208
2015-05-25,121.00,123.00,117.30,118.00,37200,117.0443
2015-05-22,124.20,124.70,119.90,120.70,22900,119.7224
2015-05-21,124.50,126.00,121.40,123.10,28500,122.103
2015-05-20,125.10,130.40,121.70,122.80,65200,121.8054
2015-05-19,123.90,129.00,123.80,124.90,87100,123.8884
2015-05-18,119.00,127.80,119.00,123.20,133000,122.2022
2015-05-15,118.60,122.00,118.60,118.90,23400,117.937
2015-05-14,118.00,121.00,117.00,119.00,15400,118.0362
2015-05-13,114.00,122.50,112.90,121.10,42400,120.1192
2015-05-12,115.10,115.30,112.10,113.00,10900,112.0848
2015-05-11,116.00,119.80,115.00,115.40,25100,114.4653
2015-05-08,115.70,120.20,114.00,114.80,23300,113.8702
2015-05-07,114.00,116.60,111.50,112.50,34000,111.5888
2015-05-06,122.50,124.00,115.30,116.60,23800,115.6556
2015-05-05,127.00,127.00,122.40,123.00,52000,122.0038
2015-05-04,120.00,130.30,120.00,127.10,88700,126.0706
2015-05-01,118.90,118.90,118.90,118.90,000,117.937
2015-04-30,117.20,119.50,115.60,118.90,76800,117.937
2015-04-29,117.70,121.30,116.20,118.00,29000,117.0443
2015-04-28,116.00,121.60,115.50,116.80,31900,115.854
2015-04-27,128.10,128.10,116.90,118.60,76100,117.6394
2015-04-24,131.80,131.80,126.00,127.30,29100,126.269
2015-04-23,134.00,134.20,129.80,132.30,148100,131.2285
2015-04-22,136.70,137.00,131.00,133.70,28100,132.6171
2015-04-21,138.50,139.90,133.00,135.90,89800,134.7993
2015-04-20,138.00,140.50,133.30,137.20,66000,136.0888
2015-04-17,140.90,142.30,133.70,135.00,25100,133.9066
2015-04-16,140.80,141.60,135.00,139.40,58700,138.2709
2015-04-15,141.00,143.70,138.00,139.70,95300,138.5685
2015-04-14,141.50,141.50,141.50,141.50,000,140.3539
2015-04-13,140.00,145.70,140.00,141.50,87100,140.3539
2015-04-10,140.70,144.00,135.00,139.90,188400,138.7669
2015-04-09,142.50,144.70,134.90,139.00,207000,137.8742
2015-04-08,127.00,144.70,122.50,140.40,395100,139.2628
2015-04-07,128.00,130.00,125.00,126.90,59600,125.8722
2015-04-06,127.80,129.70,126.00,127.30,27500,126.269
2015-04-03,126.10,126.10,126.10,126.10,000,125.0787
2015-04-02,126.10,126.10,126.10,126.10,000,125.0787
2015-04-01,128.40,132.40,123.70,126.10,73900,125.0787
2015-03-31,131.90,133.80,127.80,129.00,100000,127.9552
2015-03-30,120.30,130.00,119.70,129.00,79700,127.9552
2015-03-27,122.90,123.00,116.20,118.50,57000,117.5402
2015-03-26,122.80,123.80,119.90,121.40,26200,120.4167
2015-03-25,129.00,129.90,124.00,125.60,107700,124.5827
2015-03-24,120.50,126.80,115.00,123.60,92000,122.5989
