Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,940.00,950.05,934.00,940.25,102900,917.75
2015-07-16,922.00,938.65,922.00,936.40,169200,913.992
2015-07-15,930.00,930.00,912.10,918.00,93700,896.032
2015-07-14,912.10,933.00,909.90,926.20,141500,904.036
2015-07-13,883.20,913.85,880.10,907.85,118700,886.125
2015-07-10,866.00,884.50,865.00,881.20,180300,860.113
2015-07-09,916.00,916.50,864.20,867.15,228600,846.399
2015-07-08,932.00,952.00,909.05,916.70,251500,894.764
2015-07-07,938.00,943.30,927.25,933.50,209300,911.161
2015-07-06,900.00,935.00,898.00,931.15,202800,908.868
2015-07-03,899.00,914.70,895.00,900.55,130900,879.00
2015-07-02,890.00,906.60,890.00,899.85,132200,878.317
2015-07-01,880.00,894.30,880.00,887.45,115800,866.213
2015-06-30,882.00,883.90,873.00,877.20,112800,856.209
2015-06-29,848.05,881.00,848.05,871.55,155400,850.694
2015-06-26,858.00,873.50,856.90,861.55,222800,840.933
2015-06-25,851.10,866.55,849.90,858.50,68100,837.956
2015-06-24,860.00,869.00,844.55,848.95,133000,828.635
2015-06-23,850.00,864.95,845.00,860.75,122300,840.152
2015-06-22,840.20,850.45,838.95,846.35,110500,826.097
2015-06-19,832.00,846.65,829.05,835.90,111000,815.897
2015-06-18,824.00,833.20,815.40,833.20,177000,813.262
2015-06-17,822.60,822.60,803.25,811.05,106800,791.642
2015-06-16,839.50,850.00,808.20,820.90,360300,801.256
2015-06-15,838.50,845.75,832.05,833.85,69800,813.896
2015-06-12,841.00,854.00,830.40,835.95,77200,815.946
2015-06-11,848.00,861.50,839.30,843.20,120000,823.022
2015-06-10,850.00,855.00,841.75,844.00,119300,823.803
2015-06-09,840.00,854.60,837.05,850.25,93200,829.904
2015-06-08,857.10,859.45,840.00,843.10,64000,822.925
2015-06-05,865.35,876.80,854.90,856.65,119000,836.151
2015-06-04,840.10,870.00,839.10,866.35,131000,845.618
2015-06-03,847.10,851.20,832.55,839.45,90000,819.362
2015-06-02,857.00,868.70,844.00,847.20,124100,826.927
2015-06-01,851.00,871.05,839.10,860.45,121400,839.86
2015-05-29,824.00,857.00,823.00,849.60,224600,829.269
2015-05-28,815.00,824.00,796.00,818.25,336300,798.669
2015-05-27,780.00,801.00,777.00,796.75,68400,777.684
2015-05-26,795.00,795.70,776.05,782.05,51600,763.336
2015-05-25,783.00,805.50,783.00,792.70,53700,773.731
2015-05-22,777.00,784.00,770.40,782.45,29400,763.726
2015-05-21,785.95,786.05,773.55,776.65,35100,758.065
2015-05-20,790.00,796.35,784.10,786.35,38400,767.533
2015-05-19,789.65,796.00,776.45,783.60,66700,764.849
2015-05-18,776.00,795.00,775.20,791.05,100400,772.12
2015-05-15,757.00,768.85,757.00,765.70,37100,747.377
2015-05-14,739.00,760.00,731.05,756.95,88000,738.836
2015-05-13,728.00,739.80,704.40,736.35,75000,718.729
2015-05-12,750.00,751.00,723.15,725.75,97600,708.383
2015-05-11,749.10,754.45,744.65,751.20,47200,733.224
2015-05-08,742.50,757.80,737.70,747.35,71400,729.466
2015-05-07,744.50,756.80,720.45,729.70,91600,712.238
2015-05-06,773.00,773.00,739.15,748.20,92000,730.296
