Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,0.91,0.91,0.91,0.91,000,0.91
2015-07-16,0.91,0.91,0.91,0.91,000,0.91
2015-07-15,0.91,0.91,0.91,0.91,000,0.91
2015-07-14,0.91,0.91,0.91,0.91,000,0.91
2015-07-13,0.91,0.91,0.91,0.91,000,0.91
2015-07-10,0.95,0.95,0.95,0.95,000,0.95
2015-07-09,0.95,0.95,0.95,0.95,000,0.95
2015-07-08,0.95,0.95,0.95,0.95,000,0.95
2015-07-07,0.95,0.95,0.95,0.95,000,0.95
2015-07-06,0.95,0.95,0.95,0.95,1000,0.95
2015-07-03,0.95,0.95,0.95,0.95,000,0.95
2015-07-02,0.95,0.95,0.95,0.95,000,0.95
2015-07-01,0.95,0.95,0.95,0.95,000,0.95
2015-06-30,0.95,0.95,0.95,0.95,000,0.95
2015-06-29,0.95,0.95,0.95,0.95,000,0.95
2015-06-26,0.95,0.95,0.95,0.95,000,0.95
2015-06-25,0.95,0.95,0.95,0.95,000,0.95
2015-06-24,0.95,0.95,0.95,0.95,000,0.95
2015-06-23,0.95,0.95,0.95,0.95,000,0.95
2015-06-22,0.95,0.95,0.95,0.95,000,0.95
2015-06-19,0.95,0.95,0.95,0.95,000,0.95
2015-06-18,0.95,0.95,0.95,0.95,000,0.95
2015-06-17,0.95,0.95,0.95,0.95,000,0.95
2015-06-16,0.95,0.95,0.95,0.95,000,0.95
2015-06-15,0.95,0.95,0.95,0.95,000,0.95
2015-06-12,0.95,0.95,0.95,0.95,000,0.95
2015-06-11,0.95,0.95,0.95,0.95,000,0.95
2015-06-10,0.95,0.95,0.95,0.95,000,0.95
2015-06-09,0.95,0.95,0.95,0.95,000,0.95
2015-06-08,0.95,0.95,0.95,0.95,000,0.95
2015-06-05,0.95,0.95,0.95,0.95,000,0.95
2015-06-04,0.95,0.95,0.95,0.95,000,0.95
2015-06-03,0.95,0.95,0.95,0.95,000,0.95
2015-06-02,0.88,0.96,0.88,0.95,26200,0.95
2015-06-01,0.91,0.92,0.91,0.92,40000,0.92
2015-05-29,0.84,0.88,0.84,0.88,35000,0.88
2015-05-28,0.80,0.84,0.80,0.84,7300,0.84
2015-05-27,0.79,0.80,0.79,0.80,16400,0.80
2015-05-26,0.83,0.83,0.83,0.83,6200,0.83
2015-05-25,0.95,0.95,0.87,0.87,600,0.87
2015-05-22,0.84,0.92,0.84,0.91,53700,0.91
2015-05-21,0.88,0.88,0.88,0.88,5300,0.88
2015-05-20,0.96,0.97,0.92,0.92,4900,0.92
2015-05-19,0.96,1.00,0.96,0.96,6000,0.96
2015-05-18,0.89,0.97,0.89,0.97,23800,0.97
2015-05-15,0.93,0.93,0.85,0.93,13700,0.93
2015-05-14,0.85,0.91,0.83,0.89,24300,0.89
2015-05-13,0.85,0.87,0.85,0.87,600,0.87
2015-05-12,0.89,0.89,0.89,0.89,100,0.89
2015-05-11,0.85,0.93,0.85,0.93,500,0.93
2015-05-08,0.89,0.89,0.89,0.89,300,0.89
2015-05-07,0.91,0.91,0.91,0.91,000,0.91
2015-05-06,0.91,0.92,0.91,0.91,5300,0.91
2015-05-05,0.92,0.92,0.91,0.91,1200,0.91
2015-05-04,0.95,0.95,0.95,0.95,2600,0.95
2015-05-01,0.98,0.98,0.98,0.98,000,0.98
2015-04-30,1.00,1.08,0.98,0.98,30100,0.98
2015-04-29,1.03,1.03,0.95,1.03,39700,1.03
2015-04-28,0.91,0.99,0.91,0.99,12900,0.99
2015-04-27,0.98,0.98,0.90,0.95,14000,0.95
2015-04-24,0.98,0.99,0.94,0.94,30800,0.94
2015-04-23,1.07,1.07,0.98,0.98,64100,0.98
2015-04-22,0.95,1.02,0.95,1.02,5700,1.02
2015-04-21,0.98,0.98,0.98,0.98,8900,0.98
2015-04-20,0.99,0.99,0.94,0.94,1400,0.94
2015-04-17,0.90,0.95,0.90,0.95,15200,0.95
2015-04-16,0.91,0.97,0.91,0.93,4000,0.93
2015-04-15,0.92,0.99,0.91,0.93,10100,0.93
2015-04-14,0.95,0.95,0.95,0.95,000,0.95
2015-04-13,0.95,1.00,0.95,0.95,7300,0.95
2015-04-10,0.99,0.99,0.99,0.99,1200,0.99
2015-04-09,1.02,1.03,0.95,0.95,10200,0.95
2015-04-08,0.95,1.02,0.95,0.99,8300,0.99
2015-04-07,0.95,0.99,0.91,0.99,12300,0.99
2015-04-06,0.95,0.95,0.95,0.95,12400,0.95
2015-04-03,1.00,1.00,1.00,1.00,000,1.00
2015-04-02,1.00,1.00,1.00,1.00,000,1.00
2015-04-01,0.95,1.04,0.95,1.00,12000,1.00
2015-03-31,0.95,1.05,0.95,1.00,5600,1.00
2015-03-30,0.86,1.04,0.86,1.00,1700,1.00
2015-03-27,1.00,1.05,0.90,0.95,34500,0.95
2015-03-26,1.00,1.00,0.95,1.00,15700,1.00
2015-03-25,0.94,1.04,0.93,0.96,28800,0.96
2015-03-24,1.02,1.33,1.00,1.00,91100,1.00
2015-03-23,1.15,1.23,1.08,1.11,10600,1.11
2015-03-20,1.15,1.39,1.15,1.17,10300,1.17
2015-03-19,1.49,1.49,1.25,1.33,43600,1.33
2015-03-18,1.29,1.39,1.15,1.31,83100,1.31
2015-03-17,1.16,1.30,1.16,1.29,42700,1.29
2015-03-16,1.24,1.24,1.15,1.20,148400,1.20
2015-03-13,1.28,1.28,1.15,1.21,10900,1.21
2015-03-12,1.20,1.22,1.10,1.20,56900,1.20
2015-03-11,1.35,1.35,1.27,1.29,37200,1.29
2015-03-10,1.45,1.45,1.25,1.30,115400,1.30
2015-03-09,1.27,1.35,1.16,1.30,28000,1.30
2015-03-06,1.27,1.27,1.27,1.27,000,1.27
2015-03-05,1.60,1.60,1.25,1.27,61000,1.27
2015-03-04,1.60,1.60,1.40,1.41,8300,1.41
2015-03-03,1.59,1.59,1.37,1.51,3500,1.51
2015-03-02,1.50,1.65,1.37,1.65,23200,1.65
2015-02-27,1.40,1.60,1.31,1.38,6300,1.38
2015-02-26,1.40,1.50,1.40,1.40,2700,1.40
2015-02-25,1.53,1.53,1.42,1.45,5500,1.45
2015-02-24,1.50,1.50,1.36,1.48,4200,1.48
2015-02-23,1.40,1.57,1.37,1.40,8500,1.40
2015-02-20,1.45,1.52,1.26,1.52,17300,1.52
2015-02-19,1.59,1.59,1.45,1.47,15500,1.47
2015-02-18,1.45,1.66,1.26,1.51,23700,1.51
2015-02-17,1.47,1.47,1.47,1.47,000,1.47
