Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,2853.00,2923.00,2838.55,2881.10,17600,2865.10
2015-07-16,2838.25,2854.90,2830.00,2845.20,9400,2829.40
2015-07-15,2835.00,2850.00,2825.00,2831.55,8600,2815.83
2015-07-14,2855.50,2856.60,2821.00,2833.40,6300,2817.66
2015-07-13,2848.90,2864.95,2826.20,2846.50,12100,2830.69
2015-07-10,2825.00,2853.00,2818.00,2839.45,15700,2823.68
2015-07-09,2800.00,2829.00,2796.10,2819.25,16300,2803.59
2015-07-08,2810.00,2810.00,2765.00,2792.45,15900,2776.94
2015-07-07,2790.00,2828.00,2770.00,2783.00,16300,2767.54
2015-07-06,2775.00,2826.20,2735.00,2786.15,24000,2770.68
2015-07-03,2768.65,2790.00,2751.10,2771.50,16300,2756.11
2015-07-02,2769.00,2770.00,2733.00,2751.50,18400,2736.22
2015-07-01,2758.00,2792.00,2720.00,2732.75,18500,2717.57
2015-06-30,2719.00,2784.00,2708.00,2763.35,27400,2748.00
2015-06-29,2742.00,2742.00,2660.00,2699.00,20600,2684.01
2015-06-26,2710.00,2754.00,2665.00,2742.65,45600,2727.42
2015-06-25,2695.00,2706.60,2670.00,2693.50,11000,2678.54
2015-06-24,2750.00,2750.00,2684.20,2692.85,14100,2677.90
2015-06-23,2797.00,2809.00,2730.10,2736.95,26200,2721.75
2015-06-22,2740.00,2799.00,2704.00,2782.80,51100,2767.35
2015-06-19,2700.00,2745.60,2688.50,2703.95,19400,2688.93
2015-06-18,2762.00,2778.00,2675.00,2689.40,29100,2674.46
2015-06-17,2645.00,2780.90,2613.15,2759.15,63300,2743.83
2015-06-16,2620.35,2641.00,2589.75,2615.35,16900,2600.83
2015-06-15,2612.75,2640.70,2584.95,2620.35,26500,2605.80
2015-06-12,2611.85,2630.00,2591.70,2603.20,25800,2588.74
2015-06-11,2620.00,2630.00,2585.00,2595.75,29700,2581.33
2015-06-10,2629.45,2649.60,2580.35,2601.05,20200,2586.61
2015-06-09,2657.95,2717.00,2580.15,2600.75,36700,2586.31
2015-06-08,2728.90,2745.00,2630.00,2641.75,27800,2627.08
2015-06-05,2585.00,2725.00,2585.00,2710.25,62400,2695.20
2015-06-04,2465.05,2591.95,2465.05,2580.65,36400,2566.32
2015-06-03,2500.05,2530.00,2421.00,2504.50,27200,2490.59
2015-06-02,2575.00,2597.35,2500.00,2508.40,22000,2494.47
2015-06-01,2560.00,2605.50,2505.50,2571.15,26700,2556.87
2015-05-29,2665.00,2685.00,2517.35,2548.90,71800,2534.74
2015-05-28,2575.00,2664.90,2575.00,2660.00,53800,2645.23
2015-05-27,2529.90,2598.00,2511.00,2581.35,33800,2567.01
2015-05-26,2515.00,2548.55,2491.55,2513.05,16800,2499.09
2015-05-25,2441.00,2528.00,2440.25,2499.85,30400,2485.97
2015-05-22,2391.60,2556.45,2381.75,2431.15,247900,2417.65
2015-05-21,2350.00,2377.45,2269.05,2285.35,23300,2272.66
2015-05-20,2347.95,2359.90,2316.45,2332.15,21100,2319.20
2015-05-19,2293.00,2334.25,2293.00,2324.10,15400,2311.19
2015-05-18,2309.95,2309.95,2262.50,2291.40,9300,2278.67
2015-05-15,2260.00,2300.00,2253.35,2269.05,6300,2256.45
2015-05-14,2284.50,2313.00,2236.55,2257.05,8000,2244.52
2015-05-13,2277.00,2301.95,2255.00,2285.75,7000,2273.06
2015-05-12,2280.35,2280.70,2246.20,2272.90,8100,2260.28
2015-05-11,2210.00,2295.70,2210.00,2283.25,21800,2270.57
2015-05-08,2275.00,2296.50,2195.00,2204.25,12500,2192.01
2015-05-07,2244.90,2287.00,2195.00,2245.30,17600,2232.83
2015-05-06,2300.10,2405.00,2234.00,2244.75,34800,2232.28
2015-05-05,2257.00,2380.40,2249.10,2345.05,11800,2332.03
2015-05-04,2197.00,2260.00,2197.00,2248.25,7200,2235.76
2015-05-01,2193.20,2193.20,2193.20,2193.20,000,2181.02
2015-04-30,2153.00,2215.00,2153.00,2193.20,48800,2181.02
2015-04-29,2101.00,2170.00,2085.90,2153.30,16800,2141.34
2015-04-28,2099.85,2128.00,2047.90,2097.90,33900,2086.25
2015-04-27,2143.00,2146.25,2009.00,2073.40,10300,2061.89
2015-04-24,2187.00,2187.00,2115.00,2141.90,18000,2130.01
2015-04-23,2077.75,2158.25,2077.00,2150.20,12000,2138.26
2015-04-22,2077.00,2118.70,2050.00,2068.00,12500,2056.52
2015-04-21,2175.00,2186.75,2038.10,2072.35,13000,2060.84
2015-04-20,2301.00,2308.10,2152.00,2171.65,20600,2159.59
2015-04-17,2316.05,2316.05,2294.00,2299.65,8400,2286.88
2015-04-16,2371.00,2372.00,2291.00,2327.65,13100,2314.72
2015-04-15,2316.00,2377.00,2316.00,2345.65,17900,2332.62
2015-04-14,2312.90,2312.90,2312.90,2312.90,000,2300.06
2015-04-13,2275.00,2321.10,2269.40,2312.90,14700,2300.06
2015-04-10,2281.15,2292.00,2257.30,2271.30,6000,2258.69
2015-04-09,2260.00,2295.00,2222.25,2279.70,11400,2267.04
2015-04-08,2290.00,2301.00,2253.00,2258.20,14000,2245.66
2015-04-07,2210.00,2297.00,2185.00,2259.30,17300,2246.75
2015-04-06,2190.00,2219.80,2166.00,2216.45,7000,2204.14
2015-04-03,2180.10,2180.10,2180.10,2180.10,000,2167.99
2015-04-02,2180.10,2180.10,2180.10,2180.10,000,2167.99
2015-04-01,2150.00,2212.80,2140.00,2180.10,8800,2167.99
2015-03-31,2161.75,2175.35,2151.75,2158.50,2800,2146.51
2015-03-30,2148.00,2175.00,2110.85,2162.35,6200,2150.34
2015-03-27,2199.00,2205.00,2080.40,2154.20,10600,2142.24
2015-03-26,2166.00,2207.95,2155.00,2189.85,8900,2177.69
2015-03-25,2110.00,2166.10,2107.35,2159.80,7500,2147.81
2015-03-24,2110.00,2159.65,2105.85,2146.25,7100,2134.33
2015-03-23,2135.00,2135.75,2085.00,2102.15,8600,2090.48
2015-03-20,2240.00,2240.00,2079.15,2123.20,19500,2111.41
2015-03-19,2205.95,2243.40,2152.30,2213.25,10500,2200.96
2015-03-18,2214.00,2249.95,2186.90,2196.55,8800,2184.35
2015-03-17,2200.00,2219.75,2149.20,2191.00,11000,2178.83
2015-03-16,2165.00,2165.00,2125.00,2150.50,63400,2138.56
2015-03-13,2200.00,2215.00,2149.70,2157.35,5300,2145.37
2015-03-12,2156.00,2215.00,2156.00,2200.35,12100,2188.13
2015-03-11,2158.60,2200.00,2136.85,2152.50,10200,2140.55
2015-03-10,2197.00,2210.00,2120.60,2148.10,8500,2136.17
2015-03-09,2225.00,2225.00,2155.85,2197.30,7000,2185.10
2015-03-06,2214.20,2214.20,2214.20,2214.20,000,2201.90
