Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,47.45,47.45,44.50,44.90,8900,44.90
2015-07-16,46.10,46.10,44.40,45.35,11000,45.35
2015-07-15,46.90,46.90,45.45,45.85,6500,45.85
2015-07-14,46.20,47.90,45.50,46.05,2800,46.05
2015-07-13,44.40,46.80,44.30,45.35,2200,45.35
2015-07-10,46.90,46.90,44.15,44.60,3300,44.60
2015-07-09,46.80,46.80,44.60,45.10,3700,45.10
2015-07-08,46.05,46.05,44.70,45.25,6800,45.25
2015-07-07,48.25,49.85,46.00,46.10,4600,46.10
2015-07-06,44.15,50.55,44.15,48.35,12400,48.35
2015-07-03,44.50,46.50,44.05,45.55,11100,45.55
2015-07-02,44.55,46.40,43.30,44.05,9300,44.05
2015-07-01,46.00,47.35,45.00,45.50,12000,45.50
2015-06-30,42.00,45.40,42.00,45.00,17400,45.00
2015-06-29,42.50,42.50,39.95,40.90,1200,40.90
2015-06-26,42.00,42.75,42.00,42.10,1400,42.10
2015-06-25,43.55,43.55,41.60,42.85,8800,42.85
2015-06-24,41.25,44.80,40.10,43.00,20400,43.00
2015-06-23,39.50,41.70,39.10,39.80,1200,39.80
2015-06-22,39.15,43.45,39.15,41.00,200,41.00
2015-06-19,39.50,39.50,38.55,39.30,700,39.30
2015-06-18,38.35,39.40,37.80,38.90,4600,38.90
2015-06-17,35.85,39.40,35.85,39.40,400,39.40
2015-06-16,35.00,35.75,34.65,34.80,1200,34.80
2015-06-15,35.50,36.00,34.25,35.20,5400,35.20
2015-06-12,36.00,36.45,36.00,36.30,500,36.30
2015-06-11,36.50,36.50,34.30,35.50,1500,35.50
2015-06-10,37.00,38.50,37.00,38.00,1000,38.00
2015-06-09,36.00,37.40,36.00,37.00,2400,37.00
2015-06-08,39.30,39.30,36.40,37.00,3400,37.00
2015-06-05,40.00,40.00,36.00,36.50,17900,36.50
2015-06-04,38.60,42.00,37.50,38.35,5000,38.35
2015-06-03,42.55,42.55,37.50,39.35,3300,39.35
2015-06-02,42.00,42.00,42.00,42.00,000,42.00
2015-06-01,42.35,44.45,42.35,42.35,000,42.35
2015-05-29,42.10,43.80,41.65,43.00,3100,43.00
2015-05-28,45.25,45.25,41.00,42.05,1100,42.05
2015-05-27,46.00,46.00,43.40,44.70,4200,44.70
2015-05-26,45.60,45.60,43.75,44.05,2200,44.05
2015-05-25,46.60,46.60,43.50,44.90,15700,44.90
2015-05-22,46.00,46.50,44.65,45.05,12500,45.05
2015-05-21,45.45,47.50,44.00,46.60,19000,46.60
2015-05-20,44.00,45.50,42.00,45.25,21000,45.25
2015-05-19,42.00,42.90,41.20,41.50,8700,41.50
2015-05-18,45.50,45.50,41.30,41.90,1100,41.90
2015-05-15,43.15,43.80,42.20,42.40,2400,42.40
2015-05-14,44.40,44.40,42.20,42.80,6400,42.80
2015-05-13,45.00,46.75,43.70,44.95,10300,44.95
2015-05-12,45.65,45.90,43.55,44.60,13500,44.60
2015-05-11,44.00,47.20,43.10,46.20,64600,46.20
2015-05-08,41.75,42.90,40.60,41.00,6900,41.00
2015-05-07,41.75,43.15,40.00,40.45,7300,40.45
2015-05-06,43.00,43.25,39.00,39.50,8300,39.50
2015-05-05,43.40,45.00,42.25,43.20,17900,43.20
2015-05-04,40.20,44.75,40.20,42.10,26700,42.10
2015-05-01,39.20,39.20,39.20,39.20,000,39.20
2015-04-30,38.15,39.50,38.15,39.20,1800,39.20
2015-04-29,39.00,40.60,38.00,38.45,13200,38.45
2015-04-28,37.50,40.55,36.65,39.05,2000,39.05
2015-04-27,36.75,37.45,36.00,36.80,2400,36.80
2015-04-24,41.55,41.55,37.00,37.20,3600,37.20
2015-04-23,39.85,40.00,38.50,39.45,4400,39.45
2015-04-22,41.70,41.70,39.80,40.30,19000,40.30
2015-04-21,38.55,41.15,38.55,39.15,2532900,39.15
2015-04-20,39.00,40.20,38.70,38.75,2300,38.75
2015-04-17,39.00,41.00,38.25,40.25,3300,40.25
2015-04-16,39.90,39.90,38.60,39.70,400,39.70
2015-04-15,39.95,42.50,38.65,39.10,18700,39.10
2015-04-14,38.65,38.65,38.65,38.65,000,38.65
2015-04-13,39.80,39.80,37.00,38.65,9200,38.65
2015-04-10,36.00,39.20,36.00,37.60,17700,37.60
2015-04-09,34.70,36.00,34.35,35.55,600,35.55
2015-04-08,32.05,34.90,31.60,34.10,10200,34.10
2015-04-07,30.75,33.00,30.70,32.15,1000,32.15
2015-04-06,30.30,30.30,30.30,30.30,1000,30.30
2015-04-03,30.45,30.45,30.45,30.45,000,30.45
2015-04-02,30.45,30.45,30.45,30.45,000,30.45
2015-04-01,29.50,30.50,29.50,30.45,800,30.45
2015-03-31,30.00,31.45,29.90,30.00,800,30.00
2015-03-30,29.60,29.60,29.60,29.60,000,29.60
2015-03-27,27.65,28.40,27.65,28.15,1500,28.15
2015-03-26,29.05,29.85,29.00,29.05,1700,29.05
2015-03-25,30.50,31.00,28.40,29.05,2100,29.05
2015-03-24,31.25,31.25,31.25,31.25,200,31.25
2015-03-23,32.50,34.65,32.00,32.00,600,32.00
2015-03-20,33.50,33.95,30.60,31.05,2400,31.05
2015-03-19,32.25,33.00,32.00,32.15,2800,32.15
2015-03-18,32.60,33.85,32.15,32.45,1200,32.45
2015-03-17,35.00,35.00,35.00,35.00,000,35.00
2015-03-16,33.55,35.00,33.05,35.00,200,35.00
2015-03-13,34.55,35.20,34.50,35.00,9100,35.00
2015-03-12,33.35,35.60,33.35,35.50,1100,35.50
2015-03-11,33.30,33.30,33.30,33.30,000,33.30
2015-03-10,33.55,33.55,33.30,33.30,800,33.30
2015-03-09,32.15,34.80,32.15,33.75,4300,33.75
2015-03-06,34.00,34.00,34.00,34.00,000,34.00
2015-03-05,32.70,34.00,32.10,34.00,1500,34.00
2015-03-04,34.30,35.00,33.05,33.50,2600,33.50
2015-03-03,34.90,35.40,34.25,34.90,1100,34.90
2015-03-02,35.65,36.45,33.50,34.90,16500,34.90
2015-02-27,36.00,36.25,35.60,35.95,2200,35.95
2015-02-26,37.25,37.40,36.00,36.15,1500,36.15
2015-02-25,37.40,37.40,35.00,35.50,2600,35.50
2015-02-24,37.35,38.00,37.05,37.05,1200,37.05
2015-02-23,39.95,39.95,38.50,38.50,2800,38.50
2015-02-20,38.50,38.55,37.50,38.50,3500,38.50
2015-02-19,39.00,39.60,39.00,39.00,300,39.00
2015-02-18,38.80,40.90,38.80,39.00,3500,39.00
2015-02-17,39.00,39.00,39.00,39.00,000,39.00
2015-02-16,38.25,39.00,37.05,39.00,1200,39.00
2015-02-13,39.00,39.35,37.70,38.10,800,38.10
2015-02-12,39.00,39.90,38.00,38.30,1300,38.30
2015-02-11,38.50,39.90,38.50,39.10,2200,39.10
2015-02-10,40.00,40.20,36.35,38.05,2800,38.05
2015-02-09,38.10,39.65,38.10,39.60,200,39.60
2015-02-06,40.00,40.00,38.00,39.25,4100,39.25
2015-02-05,40.20,40.40,39.40,39.40,200,39.40
2015-02-04,39.05,39.90,39.05,39.80,300,39.80
2015-02-03,41.00,41.00,39.15,39.50,1500,39.50
2015-02-02,38.60,42.00,38.60,40.00,8100,40.00
2015-01-30,40.10,41.00,38.80,39.40,5400,39.40
2015-01-29,39.05,41.15,39.05,40.35,3100,40.35
2015-01-28,41.00,41.00,39.65,39.65,1600,39.65
2015-01-27,41.45,41.45,39.00,39.90,1000,39.90
2015-01-26,40.20,40.20,40.20,40.20,000,40.20
2015-01-23,41.00,41.00,39.75,40.20,5400,40.20
2015-01-22,41.35,41.55,40.75,41.05,8500,41.05
2015-01-21,42.85,42.85,41.00,41.05,9400,41.05
2015-01-20,42.70,42.90,42.05,42.05,900,42.05
2015-01-19,43.45,43.95,42.20,43.35,4400,43.35
2015-01-16,43.55,43.55,42.35,42.80,3700,42.80
2015-01-15,43.00,44.05,42.50,43.50,5500,43.50
2015-01-14,44.10,44.50,42.00,42.45,14000,42.45
2015-01-13,46.00,47.20,44.05,45.15,15800,45.15
2015-01-12,45.00,46.25,44.15,45.70,16000,45.70
2015-01-09,45.00,50.50,45.00,46.20,73800,46.20
2015-01-08,38.00,42.90,38.00,42.90,26300,42.90
2015-01-07,35.00,37.95,34.90,35.75,4400,35.75
2015-01-06,35.50,36.85,35.20,36.00,1100,36.00
2015-01-05,37.00,37.00,36.00,36.00,700,36.00
2015-01-02,35.95,37.00,35.90,37.00,3700,37.00
2015-01-01,36.60,36.75,35.75,36.20,900,36.20
2014-12-31,35.70,36.25,35.20,35.50,2100,35.50
