Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,8.65,8.78,8.32,8.40,10200,8.40
2015-07-16,8.45,8.64,8.25,8.31,13600,8.31
2015-07-15,8.62,8.95,8.25,8.39,38500,8.39
2015-07-14,8.97,8.97,8.51,8.71,38900,8.71
2015-07-13,8.35,8.95,8.25,8.77,101200,8.77
2015-07-10,7.80,8.40,7.80,8.31,70400,8.31
2015-07-09,7.70,8.50,7.70,7.98,14000,7.98
2015-07-08,8.04,8.04,7.60,7.78,8700,7.78
2015-07-07,7.70,8.10,7.70,7.85,22300,7.85
2015-07-06,7.47,7.63,7.46,7.63,900,7.63
2015-07-03,7.79,7.79,7.57,7.57,5600,7.57
2015-07-02,7.75,7.75,7.53,7.60,2400,7.60
2015-07-01,8.48,8.48,7.52,7.72,28200,7.72
2015-06-30,7.61,7.85,7.56,7.58,8800,7.58
2015-06-29,7.61,7.75,7.60,7.75,15100,7.75
2015-06-26,7.85,8.33,7.68,7.80,13100,7.80
2015-06-25,7.90,8.12,7.82,7.87,22300,7.87
2015-06-24,7.90,8.15,7.70,7.90,11400,7.90
2015-06-23,8.00,8.00,7.75,7.78,11000,7.78
2015-06-22,8.20,8.35,7.65,7.90,32300,7.90
2015-06-19,7.75,8.05,7.57,7.88,18500,7.88
2015-06-18,7.51,7.99,7.51,7.83,23300,7.83
2015-06-17,7.50,7.88,7.46,7.51,6900,7.51
2015-06-16,7.54,7.55,7.38,7.42,6900,7.42
2015-06-15,7.99,7.99,7.21,7.36,9100,7.36
2015-06-12,7.50,7.51,7.33,7.36,18000,7.36
2015-06-11,8.10,8.10,7.56,7.59,8600,7.59
2015-06-10,7.30,8.50,7.05,7.88,98100,7.88
2015-06-09,7.50,7.59,7.30,7.33,8100,7.33
2015-06-08,7.61,7.85,7.55,7.60,3600,7.60
2015-06-05,7.65,7.78,7.55,7.60,2300,7.60
2015-06-04,7.32,7.90,7.32,7.72,25700,7.72
2015-06-03,7.80,7.80,7.20,7.32,13100,7.32
2015-06-02,7.80,7.80,7.80,7.80,2200,7.80
2015-06-01,7.87,7.96,7.80,7.80,2600,7.80
2015-05-29,8.20,8.20,7.87,7.90,3500,7.90
2015-05-28,7.71,7.90,7.71,7.75,300,7.75
2015-05-27,7.75,7.90,7.70,7.72,2400,7.72
2015-05-26,7.94,7.94,7.75,7.77,4600,7.77
2015-05-25,7.80,7.99,7.80,7.97,6200,7.97
2015-05-22,8.00,8.09,7.85,7.89,14300,7.89
2015-05-21,8.25,8.25,7.90,7.90,3600,7.90
2015-05-20,8.00,8.10,7.75,7.90,13600,7.90
2015-05-19,7.95,8.15,7.91,7.93,14600,7.93
2015-05-18,7.91,8.14,7.85,7.95,3700,7.95
2015-05-15,8.00,8.02,7.89,8.02,11700,8.02
2015-05-14,8.45,8.49,7.93,7.95,17700,7.95
2015-05-13,8.45,8.50,7.90,8.16,13500,8.16
2015-05-12,8.10,8.14,7.96,8.10,5100,8.10
