Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,2005.00,2045.00,1969.40,1983.00,13500,1971.00
2015-07-16,1979.95,2015.00,1952.55,2008.90,9800,1996.7433
2015-07-15,1924.00,1975.00,1920.30,1944.35,12200,1932.5839
2015-07-14,1938.80,1940.00,1910.00,1917.00,3500,1905.3994
2015-07-13,1900.00,1935.00,1873.00,1926.75,6900,1915.0904
2015-07-10,1905.00,1924.35,1884.05,1889.00,6300,1877.5689
2015-07-09,1888.00,1916.30,1883.00,1898.50,5000,1887.0114
2015-07-08,1840.00,1899.95,1825.00,1879.85,9100,1868.4742
2015-07-07,1841.85,1858.00,1830.05,1842.70,5200,1831.549
2015-07-06,1830.00,1849.75,1795.00,1833.10,4600,1822.0071
2015-07-03,1848.95,1855.00,1820.00,1837.50,6100,1826.3805
2015-07-02,1852.25,1857.40,1825.00,1838.70,11800,1827.5732
2015-07-01,1805.00,1852.00,1799.05,1825.45,14700,1814.4034
2015-06-30,1723.55,1804.00,1723.55,1796.90,18600,1786.0262
2015-06-29,1710.00,1731.05,1696.65,1711.85,9500,1701.4909
2015-06-26,1740.00,1761.50,1717.70,1734.00,10000,1723.5068
2015-06-25,1765.00,1771.30,1691.35,1727.10,57500,1716.6486
2015-06-24,1739.55,1779.80,1739.55,1748.20,11400,1737.6209
2015-06-23,1775.00,1790.00,1723.00,1731.55,11900,1721.0717
2015-06-22,1818.85,1819.05,1749.00,1766.85,11200,1756.158
2015-06-19,1800.00,1816.00,1780.00,1796.85,3800,1785.9765
2015-06-18,1790.30,1829.50,1754.70,1785.15,6000,1774.3473
2015-06-17,1758.70,1815.60,1758.70,1789.45,9200,1778.6212
2015-06-16,1763.00,1771.90,1740.00,1752.95,2600,1742.3421
2015-06-15,1757.85,1779.00,1740.00,1763.50,5100,1752.8283
2015-06-12,1742.10,1755.15,1735.00,1744.90,4600,1734.3409
2015-06-11,1795.00,1805.00,1745.00,1756.50,5000,1745.8707
2015-06-10,1774.95,1795.00,1755.00,1790.45,3900,1779.6152
2015-06-09,1770.00,1785.65,1741.25,1749.60,8000,1739.0124
2015-06-08,1834.00,1834.00,1773.00,1778.00,7100,1767.2406
2015-06-05,1825.00,1842.85,1781.55,1795.00,5800,1784.1377
2015-06-04,1857.00,1883.90,1796.50,1811.40,5600,1800.4385
2015-06-03,1870.00,1877.95,1821.00,1846.45,6900,1835.2763
2015-06-02,1855.00,1887.45,1833.00,1848.70,9400,1837.5127
2015-06-01,1865.00,1900.00,1842.60,1862.70,4500,1851.428
2015-05-29,1825.00,1901.00,1825.00,1880.75,9000,1869.3688
2015-05-28,1852.00,1901.80,1852.00,1865.15,14300,1853.8632
2015-05-27,1740.00,1862.50,1740.00,1846.35,30100,1835.1769
2015-05-26,1739.75,1750.00,1722.50,1745.50,2400,1734.9372
2015-05-25,1765.25,1790.00,1736.00,1743.40,4300,1732.85
2015-05-22,1743.00,1779.50,1742.00,1753.85,11800,1743.2367
2015-05-21,1785.00,1810.00,1731.35,1755.55,23900,1744.9265
2015-05-20,1748.00,1780.00,1741.40,1755.20,12500,1744.5785
2015-05-19,1706.30,1758.00,1706.00,1731.95,16100,1721.4692
2015-05-18,1713.50,1731.00,1695.00,1703.50,19200,1693.1914
