Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,169.70,171.90,168.05,170.70,143300,170.70
2015-07-16,169.80,169.80,167.00,168.90,159700,168.90
2015-07-15,171.50,171.70,167.50,168.30,107200,168.30
2015-07-14,173.00,173.00,169.55,170.25,129900,170.25
2015-07-13,174.00,174.95,168.60,171.55,483300,171.55
2015-07-10,167.45,169.40,166.00,168.60,201400,168.60
2015-07-09,168.10,169.70,164.30,165.15,229200,165.15
2015-07-08,175.60,176.05,167.25,168.05,578500,168.05
2015-07-07,180.50,181.75,179.30,179.90,133500,175.90
2015-07-06,182.20,183.00,178.20,182.40,228000,174.43
2015-07-03,186.50,187.60,182.50,183.30,170000,175.29
2015-07-02,184.50,187.80,182.45,186.35,188500,178.21
2015-07-01,181.80,185.00,181.00,183.95,124500,175.92
2015-06-30,182.50,183.35,179.20,181.70,165000,173.76
2015-06-29,176.30,182.45,176.30,181.85,167600,173.91
2015-06-26,187.90,188.45,181.50,182.45,182200,174.48
2015-06-25,183.00,189.00,181.85,187.90,286900,179.69
2015-06-24,183.00,184.50,181.25,181.90,138200,173.96
2015-06-23,182.95,184.35,180.95,182.70,141400,174.72
2015-06-22,180.10,182.90,179.50,181.45,146500,173.52
2015-06-19,180.95,181.70,178.10,179.95,161100,172.09
2015-06-18,179.50,179.60,177.60,178.75,305000,170.94
2015-06-17,183.30,183.90,178.55,179.20,334400,171.37
2015-06-16,188.20,188.30,180.60,182.40,394200,174.43
2015-06-15,185.00,188.85,176.00,187.60,1079800,179.41
2015-06-12,180.50,183.00,179.50,180.75,279400,172.86
2015-06-11,184.80,184.80,179.10,181.05,419200,173.14
2015-06-10,173.00,193.70,172.00,184.80,1066800,176.73
2015-06-09,176.00,176.00,170.60,172.60,447800,165.06
2015-06-08,187.00,187.55,180.00,180.65,177200,172.76
2015-06-05,186.00,188.85,183.45,186.55,155700,178.40
2015-06-04,188.00,189.25,183.45,185.55,208000,177.45
2015-06-03,195.00,195.15,185.05,186.20,258200,178.07
2015-06-02,195.00,197.70,193.15,194.00,320700,185.53
2015-06-01,192.55,195.50,192.30,194.60,148400,186.10
2015-05-29,192.00,194.00,190.70,192.55,210300,184.14
2015-05-28,191.00,192.80,190.05,191.00,516500,182.66
2015-05-27,193.50,194.50,190.50,190.60,598700,182.28
2015-05-26,194.70,195.90,191.10,192.30,172100,183.90
