Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,160.70,166.00,159.30,160.80,9000,160.80
2015-07-16,162.50,163.00,159.20,161.00,10000,161.00
2015-07-15,167.00,168.00,162.50,163.20,41500,163.20
2015-07-14,162.10,163.60,161.30,162.60,3800,162.60
2015-07-13,165.00,169.20,162.10,163.50,11400,163.50
2015-07-10,160.10,164.80,160.00,164.40,1400,164.40
2015-07-09,164.10,164.10,158.80,160.50,1700,160.50
2015-07-08,160.10,164.50,160.00,163.60,2200,163.60
2015-07-07,160.80,164.90,160.80,162.60,2700,162.60
2015-07-06,155.00,162.10,155.00,161.30,1500,161.30
2015-07-03,161.50,161.90,158.00,159.60,1200,159.60
2015-07-02,160.10,162.70,158.00,159.30,2400,159.30
2015-07-01,158.10,163.00,158.10,160.80,6100,160.80
2015-06-30,157.10,159.20,157.10,158.00,800,158.00
2015-06-29,160.50,161.00,146.00,157.60,1300,157.60
2015-06-26,160.30,161.50,159.50,160.20,3100,160.20
2015-06-25,160.00,162.50,158.10,160.60,600,160.60
2015-06-24,162.00,168.90,158.00,160.80,4100,160.80
2015-06-23,162.40,162.40,158.30,159.60,2200,159.60
2015-06-22,160.40,162.00,158.00,161.50,900,161.50
2015-06-19,159.70,160.00,158.50,158.80,700,158.80
2015-06-18,156.00,161.90,156.00,159.90,2100,159.90
2015-06-17,153.00,155.80,152.10,155.70,300,155.70
2015-06-16,152.70,155.00,152.30,154.70,1100,154.70
2015-06-15,146.60,156.00,146.60,151.20,800,151.20
2015-06-12,152.00,155.00,145.10,147.20,2000,147.20
2015-06-11,151.30,154.30,148.20,150.50,2000,150.50
2015-06-10,153.00,155.00,150.40,152.70,1000,152.70
2015-06-09,151.00,151.50,147.40,151.00,500,151.00
2015-06-08,150.10,151.70,148.80,151.70,2000,151.70
2015-06-05,152.20,154.90,152.00,154.90,1400,154.90
2015-06-04,152.40,153.70,150.20,152.30,1700,152.30
2015-06-03,158.10,160.00,145.30,153.10,7000,153.10
2015-06-02,158.00,161.00,156.00,157.40,2900,157.40
2015-06-01,158.70,160.60,157.00,158.60,3800,158.60
2015-05-29,159.10,163.00,159.00,160.50,3500,160.50
2015-05-28,162.30,163.20,159.60,159.60,7500,159.60
2015-05-27,163.90,163.90,158.70,161.00,6100,161.00
2015-05-26,163.80,164.70,162.00,163.60,4600,163.60
2015-05-25,163.00,166.70,162.50,163.20,24800,163.20
2015-05-22,162.30,162.40,159.50,160.90,4000,160.90
2015-05-21,162.00,166.80,162.00,163.10,5400,163.10
2015-05-20,165.00,165.60,161.50,161.60,5100,161.60
2015-05-19,165.00,167.50,161.10,162.60,8700,162.60
2015-05-18,154.90,171.20,154.90,165.80,49400,165.80
2015-05-15,153.30,154.50,150.00,150.10,900,150.10
2015-05-14,145.00,155.00,145.00,153.30,2500,153.30
2015-05-13,149.90,149.90,144.40,148.30,1500,148.30
2015-05-12,148.60,148.60,145.50,146.80,1000,146.80
2015-05-11,152.90,152.90,149.00,149.60,5200,149.60
2015-05-08,150.00,151.10,147.60,149.80,1900,149.80
2015-05-07,147.10,149.70,146.30,147.20,1200,147.20
2015-05-06,152.00,152.00,148.60,149.60,2400,149.60
2015-05-05,151.00,154.30,148.00,152.00,1300,152.00
2015-05-04,152.90,154.40,149.10,152.00,6300,152.00
2015-05-01,151.10,151.10,151.10,151.10,000,151.10
2015-04-30,150.10,152.80,150.00,151.10,2400,151.10
