Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,731.00,749.00,731.00,744.00,80000,744.00
2015-07-16,720.80,738.45,720.00,729.15,113800,729.15
2015-07-15,719.90,722.60,712.95,716.10,48500,716.10
2015-07-14,710.00,727.90,708.00,716.45,115100,716.45
2015-07-13,696.65,712.20,692.55,706.05,75000,706.05
2015-07-10,696.20,706.10,685.15,690.55,67600,690.55
2015-07-09,697.10,702.45,690.00,693.10,312600,693.10
2015-07-08,694.20,706.75,683.10,690.90,76400,690.90
2015-07-07,705.70,723.90,697.40,701.95,88700,701.95
2015-07-06,690.00,703.95,690.00,699.40,70100,699.40
2015-07-03,720.00,729.50,705.00,709.40,94000,709.40
2015-07-02,712.50,732.40,702.05,721.50,280100,721.50
2015-07-01,662.00,719.40,651.60,707.20,314600,707.20
2015-06-30,640.00,671.00,630.50,661.95,87400,661.95
2015-06-29,669.00,669.00,632.00,636.35,65600,636.35
2015-06-26,676.00,676.00,660.10,669.40,32700,669.40
2015-06-25,664.00,679.90,655.65,675.35,40700,675.35
2015-06-24,676.85,681.75,655.00,663.20,25800,663.20
2015-06-23,675.00,688.00,671.20,674.55,47400,674.55
2015-06-22,660.90,675.00,658.75,672.60,56100,672.60
2015-06-19,665.00,671.40,657.15,659.45,38900,659.45
2015-06-18,659.25,667.75,653.00,659.40,52200,659.40
2015-06-17,638.00,661.70,631.85,652.25,116000,652.25
2015-06-16,626.95,639.00,615.55,634.50,83300,634.50
2015-06-15,622.00,629.10,611.15,622.60,83400,622.60
2015-06-12,636.65,638.10,617.25,625.05,62300,625.05
2015-06-11,635.00,644.80,618.90,632.45,140500,632.45
2015-06-10,613.00,635.00,608.50,629.10,125800,629.10
2015-06-09,657.00,665.00,596.70,614.80,167400,614.80
2015-06-08,685.00,686.00,653.30,656.60,75200,656.60
2015-06-05,690.00,696.55,674.15,682.95,131300,682.95
2015-06-04,732.00,734.60,684.05,701.25,156800,701.25
2015-06-03,752.00,752.00,718.50,731.05,70400,731.05
2015-06-02,787.50,791.50,746.00,751.65,55500,751.65
2015-06-01,773.70,802.00,769.80,785.40,84400,785.40
2015-05-29,764.75,793.80,759.70,777.35,117600,777.35
2015-05-28,774.50,774.50,750.90,754.55,31000,754.55
2015-05-27,753.50,770.70,747.10,759.50,50000,759.50
2015-05-26,779.00,782.40,761.00,764.35,44000,764.35
2015-05-25,793.00,810.60,776.25,781.55,153000,781.55
2015-05-22,788.00,806.95,765.15,771.90,101800,771.90
2015-05-21,805.00,805.00,777.00,788.05,50200,788.05
2015-05-20,806.00,813.00,790.50,799.80,61600,799.80
2015-05-19,796.50,818.95,788.00,799.10,161200,799.10
2015-05-18,741.50,810.00,741.00,794.70,261200,794.70
2015-05-15,746.00,752.00,732.00,736.15,31100,736.15
2015-05-14,720.00,744.65,719.65,735.75,51500,735.75
2015-05-13,726.50,732.00,707.00,720.40,37100,720.40
2015-05-12,731.00,737.00,713.10,719.00,35600,719.00
2015-05-11,739.90,750.00,730.10,733.80,34000,733.80
2015-05-08,735.00,746.25,730.00,732.90,32400,732.90
2015-05-07,746.10,752.80,715.00,727.75,40700,727.75
2015-05-06,764.90,767.00,739.00,743.30,40200,743.30
2015-05-05,754.50,783.00,754.50,767.45,33400,767.45
2015-05-04,762.50,775.00,752.65,765.40,43400,765.40
2015-05-01,761.40,761.40,761.40,761.40,000,761.40
2015-04-30,746.20,771.90,739.00,761.40,63600,761.40
2015-04-29,738.00,768.80,735.00,746.35,105600,746.35
2015-04-28,732.00,753.00,722.45,739.20,54400,739.20
2015-04-27,780.00,785.00,726.60,730.95,71000,730.95
2015-04-24,819.00,819.70,775.00,778.25,51500,778.25
2015-04-23,809.70,844.50,805.00,815.60,89400,815.60
2015-04-22,828.00,832.90,796.20,803.05,90600,803.05
2015-04-21,905.50,905.50,828.00,832.55,119300,832.55
2015-04-20,911.70,929.25,895.00,901.65,91500,901.65
2015-04-17,888.50,950.00,877.40,909.00,225900,909.00
2015-04-16,906.00,908.90,883.10,885.75,36500,885.75
2015-04-15,935.90,941.70,898.65,905.10,84100,905.10
2015-04-14,933.65,933.65,933.65,933.65,000,933.65
2015-04-13,878.00,948.50,875.00,933.65,273200,933.65
2015-04-10,831.50,886.00,828.00,875.90,153000,875.90
2015-04-09,841.05,842.00,824.80,832.20,32600,832.20
2015-04-08,833.80,861.95,831.25,834.00,88700,834.00
2015-04-07,834.00,845.00,812.00,825.40,40700,825.40
2015-04-06,827.50,856.05,827.50,834.00,69600,834.00
2015-04-03,824.90,824.90,824.90,824.90,000,824.90
2015-04-02,824.90,824.90,824.90,824.90,000,824.90
2015-04-01,804.00,830.00,789.90,824.90,111900,824.90
2015-03-31,774.95,822.50,774.95,804.65,114800,804.65
2015-03-30,758.25,785.00,757.00,771.70,33900,771.70
