Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,165.00,173.90,165.00,169.70,41300,169.70
2015-07-16,168.00,171.00,164.10,167.30,36000,167.30
2015-07-15,168.20,173.30,164.40,165.50,44100,165.50
2015-07-14,158.30,171.80,158.30,167.00,104300,167.00
2015-07-13,159.30,161.00,157.00,158.60,11800,158.60
2015-07-10,161.00,161.00,155.00,158.20,14000,158.20
2015-07-09,158.00,164.90,156.80,159.10,30500,159.10
2015-07-08,158.80,160.20,154.40,157.60,7800,157.60
2015-07-07,161.10,162.50,158.50,159.60,21000,159.60
2015-07-06,155.00,161.80,153.00,159.90,18600,159.90
2015-07-03,157.70,158.80,155.50,156.50,8100,156.50
2015-07-02,158.40,159.30,155.10,155.40,17700,155.40
2015-07-01,158.90,159.60,157.10,158.20,22300,158.20
2015-06-30,160.00,165.00,159.50,163.30,26400,157.30
2015-06-29,160.00,163.00,158.10,161.80,22600,150.08
2015-06-26,160.00,165.00,160.00,162.20,20800,150.45
2015-06-25,161.40,162.70,160.50,161.10,13700,149.43
2015-06-24,158.40,164.30,158.00,160.20,43400,148.59
2015-06-23,156.50,159.40,155.00,157.20,15400,145.81
2015-06-22,154.70,158.60,154.00,156.50,11200,145.16
2015-06-19,153.00,155.60,152.50,152.90,15200,141.82
2015-06-18,153.50,154.40,151.00,152.60,13600,141.54
2015-06-17,154.70,154.70,150.70,151.20,13500,140.24
2015-06-16,149.50,156.70,148.10,153.80,28100,142.66
2015-06-15,147.40,152.30,147.40,149.00,9300,138.20
2015-06-12,148.00,149.70,147.50,148.10,6700,137.37
2015-06-11,153.00,153.30,148.60,149.00,8400,138.20
2015-06-10,149.90,152.30,149.90,150.80,5200,139.87
2015-06-09,149.00,149.30,147.50,148.10,13400,137.37
2015-06-08,152.00,154.00,145.30,149.00,13100,138.20
2015-06-05,149.30,154.70,149.30,152.10,15400,141.08
2015-06-04,152.00,153.20,149.00,151.30,9700,140.34
2015-06-03,158.50,158.70,145.30,150.90,31400,139.97
2015-06-02,159.10,159.80,157.00,157.30,7600,145.90
2015-06-01,160.50,161.00,158.00,158.30,8500,146.83
2015-05-29,161.40,162.90,157.50,158.00,22200,146.55
2015-05-28,160.50,162.30,160.00,161.90,3300,150.17
2015-05-27,160.70,162.30,160.40,161.10,8900,149.43
2015-05-26,166.50,166.50,161.00,162.00,7100,150.26
2015-05-25,164.60,166.20,163.50,163.60,4700,151.75
2015-05-22,163.00,168.10,163.00,164.20,20100,152.30
2015-05-21,162.80,163.70,161.60,162.70,11000,150.91
2015-05-20,166.80,169.50,161.20,162.20,25000,150.45
2015-05-19,163.50,171.10,163.50,164.80,32900,152.86
2015-05-18,164.10,165.30,163.00,163.30,7600,151.47
2015-05-15,165.00,165.80,161.70,164.10,16000,152.21
2015-05-14,163.30,166.80,161.00,163.60,15900,151.75
2015-05-13,164.50,165.60,162.00,163.60,12200,151.75
2015-05-12,167.70,167.70,161.50,162.90,14300,151.10
2015-05-11,170.00,171.80,167.30,168.20,26400,156.01
2015-05-08,170.50,171.00,166.40,167.50,34800,155.36
2015-05-07,169.40,174.80,165.40,166.80,58300,154.71
2015-05-06,185.20,185.20,171.30,172.80,136700,160.28
2015-05-05,198.50,202.90,193.60,196.80,107100,182.54
2015-05-04,193.00,200.00,189.00,197.40,75300,183.10
2015-05-01,190.10,190.10,190.10,190.10,000,176.32
2015-04-30,188.00,194.50,186.10,190.10,75100,176.32
2015-04-29,176.00,196.00,176.00,189.00,151100,175.30
2015-04-28,170.70,177.00,169.10,176.00,30400,163.25
2015-04-27,181.50,181.70,170.20,171.80,34700,159.35
2015-04-24,187.00,190.50,177.60,182.30,47300,169.09
2015-04-23,196.00,198.90,187.10,189.00,64000,175.30
2015-04-22,178.30,197.30,178.30,192.00,236100,178.09
2015-04-21,174.00,184.30,173.80,176.80,64100,163.99
2015-04-20,183.30,184.00,174.00,175.20,46600,162.50
2015-04-17,190.90,192.50,179.60,181.60,51400,168.44
2015-04-16,192.00,199.00,185.40,189.50,97000,175.77
2015-04-15,196.10,205.00,188.10,191.30,138500,177.44
2015-04-14,199.80,199.80,199.80,199.80,000,185.32
2015-04-13,195.00,210.00,189.30,199.80,305500,185.32
2015-04-10,166.50,197.20,166.50,192.70,382700,178.74
2015-04-09,162.90,166.40,162.90,164.40,12400,152.49
2015-04-08,160.20,164.00,160.20,163.50,13300,151.65
2015-04-07,157.70,162.00,157.00,160.00,22800,148.41
2015-04-06,157.90,159.00,156.40,157.20,18600,145.81
2015-04-03,157.50,157.50,157.50,157.50,000,146.09
2015-04-02,157.50,157.50,157.50,157.50,000,146.09
2015-04-01,151.10,158.80,149.60,157.50,27400,146.09
2015-03-31,151.40,153.90,148.50,149.70,19700,138.85
2015-03-30,145.90,151.00,145.30,150.00,6700,139.13
2015-03-27,150.70,151.50,142.00,144.40,26000,133.94
2015-03-26,148.30,151.40,147.60,150.20,10200,139.32
2015-03-25,150.35,150.90,145.10,147.60,23500,136.90
2015-03-24,152.10,152.40,145.60,147.00,17500,136.35
2015-03-23,154.40,154.40,151.90,152.10,5000,141.08
2015-03-20,156.50,156.90,153.20,153.70,18800,142.56
2015-03-19,157.90,158.90,155.00,156.10,7200,144.79
2015-03-18,155.10,160.00,155.10,157.60,18900,146.18
2015-03-17,156.40,157.90,154.10,156.00,20100,144.70
