Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,109.30,109.55,106.10,106.95,519000,106.95
2015-07-16,110.35,110.80,108.50,109.05,720200,109.05
2015-07-15,108.50,111.50,108.50,110.60,1289600,110.60
2015-07-14,111.55,113.70,108.15,109.25,632100,109.25
2015-07-13,104.95,112.05,104.95,110.80,522000,110.80
2015-07-10,104.25,104.95,103.55,104.45,1272600,104.45
2015-07-09,104.45,104.45,103.35,104.05,1863500,104.05
2015-07-08,103.00,104.30,102.60,103.90,766100,103.90
2015-07-07,104.00,104.70,103.10,103.55,80700,103.55
2015-07-06,99.10,104.00,99.00,103.25,48600,103.25
2015-07-03,100.40,102.05,100.05,101.60,138000,101.60
2015-07-02,102.65,102.65,99.00,99.55,119500,99.55
2015-07-01,103.90,103.90,101.60,102.00,124100,102.00
2015-06-30,102.50,104.15,102.00,102.40,393100,102.40
2015-06-29,103.05,103.05,101.10,102.80,112600,102.80
2015-06-26,103.50,105.40,103.30,104.70,208700,104.70
2015-06-25,104.00,104.00,101.75,103.65,86800,103.65
2015-06-24,102.60,104.70,101.50,104.10,229900,104.10
2015-06-23,102.25,103.35,101.40,102.25,119000,102.25
2015-06-22,101.00,102.50,100.55,101.75,220700,101.25
2015-06-19,98.90,101.20,98.30,100.60,157800,100.1057
2015-06-18,98.50,97.95,97.30,97.95,221100,97.4687
2015-06-17,99.15,99.90,97.75,98.40,69400,97.9165
2015-06-16,98.75,99.55,98.20,98.95,261800,98.4638
2015-06-15,99.00,100.95,98.25,98.90,298400,98.414
2015-06-12,97.90,98.60,96.00,98.30,256100,97.817
2015-06-11,99.50,99.70,96.40,97.25,225800,96.7721
2015-06-10,99.90,100.50,99.00,99.45,80900,98.9613
2015-06-09,98.50,99.75,98.00,99.20,24600,98.7125
2015-06-08,100.35,100.35,98.10,98.70,201000,98.215
2015-06-05,101.00,101.85,99.70,100.25,43900,99.7574
2015-06-04,99.90,103.50,99.45,100.85,158300,100.3544
2015-06-03,103.50,104.00,98.10,99.80,535000,99.3096
2015-06-02,105.50,105.90,103.15,103.60,146000,103.0909
2015-06-01,106.15,107.00,104.35,105.00,446600,104.484
2015-05-29,107.25,107.70,105.15,105.65,58600,105.1308
2015-05-28,108.00,108.80,106.70,107.00,562500,106.4742
2015-05-27,108.10,109.00,107.10,107.65,372700,107.121
2015-05-26,110.00,110.00,107.50,108.75,511000,108.2156
2015-05-25,109.90,110.40,105.30,108.65,176700,108.1161
2015-05-22,112.05,113.40,108.60,109.25,75200,108.7131
2015-05-21,112.65,113.90,111.00,111.65,94200,111.1014
2015-05-20,109.90,112.85,109.10,111.85,132000,111.3004
2015-05-19,108.80,110.75,108.50,108.90,75800,108.3649
2015-05-18,109.95,109.95,107.50,107.95,155600,107.4195
2015-05-15,109.00,110.65,108.05,108.90,160600,108.3649
2015-05-14,109.85,109.85,107.15,107.85,41500,107.32
2015-05-13,110.45,111.70,108.60,109.15,154000,108.6136
2015-05-12,103.00,114.80,103.00,109.40,348900,108.8624
2015-05-11,112.00,113.40,111.15,111.70,74200,111.1511
2015-05-08,111.00,114.50,109.25,111.35,227400,110.8028
2015-05-07,108.45,109.90,107.55,109.35,1075700,108.8127
2015-05-06,110.60,110.65,106.65,107.75,84500,107.2205
2015-05-05,108.95,111.65,107.80,110.80,76000,110.2555
2015-05-04,104.85,109.40,104.35,108.50,140200,107.9668
2015-05-01,104.40,104.40,104.40,104.40,000,103.887
2015-04-30,103.05,105.60,103.05,104.40,43000,103.887
2015-04-29,103.70,104.75,103.15,104.15,384000,103.6382
2015-04-28,103.40,105.90,102.90,103.80,700300,103.2899
2015-04-27,102.70,104.75,102.40,103.00,281700,102.4939
2015-04-24,103.65,105.00,102.20,103.40,232600,102.8919
2015-04-23,106.00,106.65,103.50,103.65,919200,103.1407
2015-04-22,103.00,105.55,101.65,105.25,4667900,104.7328
2015-04-21,103.00,103.70,101.65,102.00,228300,101.4988
2015-04-20,103.50,104.30,102.20,102.85,92000,102.3446
2015-04-17,104.70,104.90,103.35,103.60,45800,103.0909
2015-04-16,104.00,105.00,103.65,104.45,177100,103.9367
2015-04-15,105.25,106.35,104.05,104.95,755000,104.4343
2015-04-14,105.85,105.85,105.85,105.85,000,105.3299
2015-04-13,107.50,107.75,104.65,105.85,118800,105.3299
2015-04-10,109.00,109.95,106.25,106.80,327400,106.2752
2015-04-09,104.00,108.40,103.10,107.40,2423300,106.8722
2015-04-08,103.90,104.90,103.15,104.05,131300,103.5387
2015-04-07,105.40,105.40,103.20,103.50,43900,102.9914
2015-04-06,106.00,106.35,103.00,105.40,234000,104.8821
2015-04-03,105.25,105.25,105.25,105.25,000,104.7328
2015-04-02,105.25,105.25,105.25,105.25,000,104.7328
2015-04-01,105.90,107.45,104.00,105.25,1093800,104.7328
2015-03-31,105.85,108.95,105.50,106.50,579400,105.9767
2015-03-30,106.00,106.10,104.30,105.00,43100,104.484
2015-03-27,107.40,107.50,104.05,104.90,347900,104.3845
2015-03-26,103.95,109.50,103.50,107.55,3503100,107.0215
2015-03-25,103.65,106.80,102.25,105.40,265500,104.8821
2015-03-24,101.85,105.00,101.85,103.80,254400,103.2899
2015-03-23,103.05,103.60,102.60,102.70,105600,102.1953
2015-03-20,103.50,105.00,101.85,103.00,333300,102.4939
2015-03-19,108.00,108.00,104.25,104.85,68900,104.3348
2015-03-18,107.20,108.65,104.70,105.90,659000,105.3796
2015-03-17,103.00,109.60,101.50,106.70,1148000,106.1757
