Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,696.10,706.35,687.00,689.10,3300,688.10
2015-07-16,720.00,720.00,691.90,696.10,2000,695.09
2015-07-15,715.00,715.00,700.00,702.60,5000,701.58
2015-07-14,705.00,717.30,703.85,707.55,4800,706.52
2015-07-13,725.00,735.00,696.00,704.95,6100,703.93
2015-07-10,699.00,724.00,694.35,717.00,8000,715.96
2015-07-09,697.75,710.30,680.00,694.35,3100,693.34
2015-07-08,710.00,718.80,678.05,694.55,4800,693.54
2015-07-07,699.45,739.00,693.45,720.00,98600,718.96
2015-07-06,655.00,700.00,648.95,693.00,11700,691.99
2015-07-03,639.40,670.00,638.75,662.65,5400,661.69
2015-07-02,640.65,644.70,635.00,639.05,4700,638.12
2015-07-01,635.95,654.00,628.90,640.45,5700,639.52
2015-06-30,627.00,645.00,620.25,631.65,7600,630.73
2015-06-29,635.00,635.00,613.50,622.30,2300,621.40
2015-06-26,624.35,644.90,618.00,639.90,4400,638.97
2015-06-25,629.75,647.30,622.05,625.95,5200,625.04
2015-06-24,643.00,643.95,627.00,629.75,5700,628.84
2015-06-23,620.85,667.15,611.30,639.85,16700,638.92
2015-06-22,605.50,627.25,605.50,616.80,7500,615.90
2015-06-19,609.90,617.60,595.00,602.00,4600,601.13
2015-06-18,602.50,611.55,593.00,606.50,2500,605.62
2015-06-17,592.50,605.75,588.00,599.40,7100,598.53
2015-06-16,584.15,599.00,583.00,596.15,2400,595.28
2015-06-15,595.40,600.50,580.15,584.30,1900,583.45
2015-06-12,605.00,612.25,587.60,592.65,2800,591.79
2015-06-11,605.00,619.00,602.00,608.95,5300,608.07
2015-06-10,588.55,602.00,588.55,595.95,5200,595.09
2015-06-09,582.00,594.50,579.00,581.25,2500,580.41
2015-06-08,600.00,600.00,577.00,577.00,1100,576.16
2015-06-05,591.00,606.00,591.00,600.00,2100,599.13
2015-06-04,602.50,604.45,592.40,594.70,1800,593.84
2015-06-03,591.50,608.00,581.00,590.60,6500,589.74
2015-06-02,592.15,612.20,584.35,595.70,2300,594.84
2015-06-01,552.00,600.00,552.00,593.80,1800,592.94
2015-05-29,581.35,584.00,575.00,580.50,3900,579.66
2015-05-28,583.55,588.25,578.45,584.60,500,583.75
2015-05-27,580.00,586.95,577.00,582.10,400,581.26
2015-05-26,580.00,584.45,575.50,577.65,1400,576.81
2015-05-25,591.50,596.20,573.00,575.70,5100,574.86
2015-05-22,600.00,600.00,586.60,591.70,2600,590.84
2015-05-21,615.55,618.00,605.75,608.95,2000,608.07
2015-05-20,595.90,617.95,595.00,605.00,2300,604.12
2015-05-19,589.85,597.05,588.85,592.25,2300,591.39
2015-05-18,586.20,598.00,579.10,589.50,1600,588.64
2015-05-15,576.85,585.00,575.20,579.20,4000,578.36
2015-05-14,574.10,579.75,570.90,579.75,2700,578.91
2015-05-13,586.90,589.55,571.60,573.40,1500,572.57
2015-05-12,593.70,593.70,578.25,584.80,2700,583.95
2015-05-11,585.00,607.00,582.95,586.65,3900,585.80
2015-05-08,582.45,596.00,579.90,584.55,1000,583.70
2015-05-07,585.90,595.10,571.00,576.90,1700,576.06
2015-05-06,598.20,606.15,581.00,585.90,2800,585.05
2015-05-05,602.60,609.00,594.35,602.05,2900,601.18
2015-05-04,594.90,608.85,594.90,600.25,600,599.38
2015-05-01,590.65,590.65,590.65,590.65,000,589.79
2015-04-30,604.15,607.50,588.10,590.65,2700,589.79
2015-04-29,597.20,611.20,590.05,596.25,3300,595.38
2015-04-28,608.00,615.90,596.00,602.70,62800,601.83
2015-04-27,600.00,618.70,583.10,611.75,13500,610.86
2015-04-24,597.00,600.00,541.00,577.85,11100,577.01
2015-04-23,593.80,599.05,588.00,591.15,1700,590.29
2015-04-22,618.45,618.45,587.05,592.50,3100,591.64
2015-04-21,620.00,623.00,609.00,611.80,2300,610.91
2015-04-20,624.30,625.00,607.55,615.15,1700,614.26
2015-04-17,631.45,631.45,614.00,619.20,1100,618.30
2015-04-16,624.35,633.05,611.00,624.40,6300,623.49
2015-04-15,601.00,625.80,599.00,611.85,14300,610.96
2015-04-14,589.85,589.85,589.85,589.85,000,588.99
2015-04-13,584.35,594.00,583.00,589.85,1200,588.99
2015-04-10,592.80,601.10,575.00,580.20,1500,579.36
2015-04-09,599.60,605.60,584.05,587.50,2900,586.65
2015-04-08,603.90,615.00,590.00,594.20,3900,593.34
2015-04-07,593.90,603.30,593.20,598.65,1500,597.78
2015-04-06,597.00,605.20,590.50,594.80,1500,593.94
2015-04-03,595.15,595.15,595.15,595.15,000,594.29
2015-04-02,595.15,595.15,595.15,595.15,000,594.29
2015-04-01,594.40,601.50,584.15,595.15,1300,594.29
2015-03-31,586.85,595.85,581.25,587.60,700,586.75
2015-03-30,559.00,579.95,559.00,576.20,1000,575.36
2015-03-27,552.80,556.90,545.10,552.15,1400,551.35
2015-03-26,549.60,561.00,542.00,546.00,2000,545.21
2015-03-25,568.65,569.75,546.15,554.00,2700,553.20
2015-03-24,574.25,574.25,565.90,570.45,1500,569.62
2015-03-23,572.00,580.00,567.20,576.05,2900,575.21
2015-03-20,582.00,583.00,560.00,568.00,4300,567.18
2015-03-19,594.95,595.00,582.50,584.05,2300,583.20
2015-03-18,578.90,592.50,577.50,586.25,1600,585.40
2015-03-17,590.00,593.00,579.00,582.80,2300,581.95
2015-03-16,590.00,591.00,579.05,587.00,3000,586.15
2015-03-13,595.00,606.25,578.00,581.00,8500,580.16
2015-03-12,583.80,596.55,578.95,588.35,6400,587.50
2015-03-11,584.40,585.55,570.25,574.70,4500,573.87
2015-03-10,574.80,584.95,569.00,569.30,2200,568.47
2015-03-09,580.00,585.00,565.45,571.05,4500,570.22
2015-03-06,592.40,592.40,592.40,592.40,000,591.54
2015-03-05,598.25,601.40,578.15,592.40,2900,591.54
2015-03-04,609.40,617.45,590.50,594.50,10700,593.64
2015-03-03,584.00,606.95,582.20,597.80,17800,596.93
2015-03-02,575.00,595.20,568.00,582.85,18100,582.00
2015-02-27,568.45,583.50,568.45,575.80,1900,574.96
2015-02-26,575.90,576.00,563.75,571.20,3800,570.37
2015-02-25,580.30,587.15,570.50,582.60,5300,581.75
2015-02-24,585.00,587.50,571.00,579.85,9000,579.01
2015-02-23,590.00,598.80,578.00,582.10,5100,581.26
2015-02-20,575.00,594.80,564.05,587.95,10900,587.10
2015-02-19,569.90,579.70,551.00,576.70,18300,575.86
2015-02-18,560.95,570.65,556.30,564.15,7100,563.33
2015-02-17,556.30,556.30,556.30,556.30,000,555.49
2015-02-16,565.00,572.10,550.00,556.30,4200,555.49
2015-02-13,568.15,569.85,556.50,562.65,9200,561.83
2015-02-12,550.25,574.00,547.00,570.15,21700,569.32
2015-02-11,550.00,577.90,542.25,544.65,16700,543.86
2015-02-10,535.00,558.45,531.95,545.75,8300,544.96
2015-02-09,550.00,554.20,530.10,535.75,4400,534.97
2015-02-06,548.40,554.15,534.60,549.85,12700,549.05
2015-02-05,555.00,578.30,542.30,546.55,23900,545.76
2015-02-04,569.85,570.55,551.00,555.75,5600,552.45
2015-02-03,544.20,589.25,542.90,566.75,43200,563.38
2015-02-02,540.65,547.50,534.00,542.25,7500,539.03
2015-01-30,559.00,559.00,538.00,542.10,20200,538.88
2015-01-29,544.95,570.00,535.40,559.50,58400,556.17
2015-01-28,527.00,547.00,516.30,535.00,586900,531.82
2015-01-27,517.50,528.15,505.00,520.75,34100,517.66
2015-01-26,515.05,515.05,515.05,515.05,000,511.99
2015-01-23,518.65,518.65,504.05,515.05,13900,511.99
2015-01-22,518.10,519.90,507.55,515.10,14000,512.04
2015-01-21,505.00,520.50,502.20,517.45,39100,514.37
2015-01-20,519.15,520.00,497.50,500.85,21400,497.87
2015-01-19,521.90,524.00,515.00,516.70,18300,513.63
2015-01-16,529.00,529.00,512.05,514.75,53700,511.69
2015-01-15,534.00,542.00,521.10,525.30,117100,522.18
2015-01-14,498.45,535.00,497.50,523.15,4446200,520.04
2015-01-13,492.40,503.75,490.00,495.80,608900,492.85
2015-01-12,484.00,496.85,484.00,494.90,108400,491.96
2015-01-09,490.00,490.70,478.65,480.00,6300,477.15
2015-01-08,483.10,492.80,482.70,483.95,13100,481.07
2015-01-07,487.45,492.00,476.60,480.25,641000,477.40
2015-01-06,498.10,498.10,477.00,484.90,15300,482.02
2015-01-05,491.25,510.30,491.25,497.40,119200,494.44
2015-01-02,478.00,514.90,475.00,490.50,668600,487.58
