Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,3.72,4.15,3.69,4.15,163400,4.15
2015-07-16,3.60,3.60,3.41,3.46,19700,3.46
2015-07-15,3.64,3.64,3.53,3.60,2500,3.60
2015-07-14,3.80,3.80,3.46,3.57,31800,3.57
2015-07-13,3.80,3.84,3.56,3.80,2900,3.80
2015-07-10,3.70,3.90,3.53,3.74,33700,3.74
2015-07-09,3.96,3.96,3.60,3.61,7200,3.61
2015-07-08,3.49,3.50,3.28,3.50,5100,3.50
2015-07-07,3.35,3.69,3.35,3.65,6500,3.65
2015-07-06,3.35,3.40,3.05,3.34,22200,3.34
2015-07-03,3.30,3.39,3.30,3.39,4500,3.39
2015-07-02,3.23,3.40,3.23,3.39,4100,3.39
2015-07-01,3.45,3.45,3.30,3.35,300,3.35
2015-06-30,3.01,3.42,3.01,3.35,14600,3.35
2015-06-29,3.50,3.50,3.21,3.31,8700,3.31
2015-06-26,3.36,3.65,3.36,3.44,30900,3.44
2015-06-25,3.72,3.72,3.36,3.62,5900,3.62
2015-06-24,3.70,3.87,3.53,3.58,22200,3.58
2015-06-23,3.58,3.89,3.53,3.76,52600,3.76
2015-06-22,3.34,3.79,3.34,3.78,80000,3.78
2015-06-19,3.56,3.56,3.16,3.16,25200,3.16
2015-06-18,3.01,3.01,3.00,3.00,2900,3.00
2015-06-17,3.00,3.10,3.00,3.02,13400,3.02
2015-06-16,3.05,3.05,3.03,3.03,13200,3.03
2015-06-15,2.93,3.15,2.93,3.11,5500,3.11
2015-06-12,2.91,3.05,2.90,2.99,7200,2.99
2015-06-11,3.05,3.05,3.05,3.05,3000,3.05
2015-06-10,3.28,3.28,3.06,3.07,6800,3.07
2015-06-09,2.92,3.05,2.91,3.05,4100,3.05
2015-06-08,3.35,3.35,3.01,3.05,5200,3.05
2015-06-05,3.20,3.49,3.05,3.20,29500,3.20
2015-06-04,3.36,3.40,3.15,3.35,9800,3.35
2015-06-03,3.37,3.50,3.27,3.36,900,3.36
2015-06-02,3.60,3.60,3.51,3.51,1200,3.51
2015-06-01,3.60,3.70,3.53,3.56,7100,3.56
2015-05-29,4.00,4.00,3.80,3.85,8000,3.85
2015-05-28,4.00,4.00,3.85,4.00,1300,4.00
2015-05-27,3.50,4.10,3.50,3.92,58300,3.92
2015-05-26,3.45,3.70,3.42,3.70,3700,3.70
2015-05-25,3.45,3.69,3.45,3.50,5000,3.50
2015-05-22,3.51,3.51,3.43,3.43,9800,3.43
2015-05-21,3.55,3.65,3.27,3.60,8000,3.60
2015-05-20,3.60,3.79,3.54,3.55,3200,3.55
2015-05-19,3.78,3.78,3.61,3.69,2400,3.69
2015-05-18,4.48,4.48,3.65,3.60,9400,3.60
2015-05-15,3.74,3.74,3.74,3.74,000,3.74
2015-05-14,3.35,3.74,3.35,3.74,700,3.74
