Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,11.51,11.51,10.54,11.51,13100,11.51
2015-07-16,10.97,10.97,10.97,10.97,3500,10.97
2015-07-15,10.45,10.45,10.45,10.45,3100,10.45
2015-07-14,9.51,9.96,9.51,9.96,4700,9.96
2015-07-13,9.40,9.49,9.11,9.49,4700,9.49
2015-07-10,9.32,9.32,9.01,9.04,5300,9.04
2015-07-09,8.15,8.88,8.15,8.88,4100,8.88
2015-07-08,8.38,9.15,8.38,8.46,4000,8.46
2015-07-07,8.30,8.82,8.25,8.82,2400,8.82
2015-07-06,7.76,8.40,7.76,8.40,2100,8.40
2015-07-03,8.40,8.73,8.00,8.05,5900,8.05
2015-07-02,7.65,8.40,7.65,8.40,2100,8.40
2015-07-01,8.00,8.40,7.70,8.00,6300,8.00
2015-06-30,7.80,8.14,7.60,8.00,2900,8.00
2015-06-29,8.00,8.00,7.75,7.77,4100,7.77
2015-06-26,8.05,8.40,8.05,8.15,2900,8.15
2015-06-25,8.21,8.61,7.79,8.11,16900,8.11
2015-06-24,7.42,8.20,7.42,8.20,13500,8.20
2015-06-23,7.81,7.81,7.81,7.81,5900,7.81
2015-06-22,8.22,8.22,8.22,8.22,5200,8.22
2015-06-19,8.65,8.65,8.65,8.65,3500,8.65
2015-06-18,9.11,9.11,9.10,9.10,8800,9.10
2015-06-17,9.57,9.57,9.57,9.57,6100,9.57
2015-06-16,10.07,10.07,10.07,10.07,3000,10.07
2015-06-15,10.59,10.59,10.59,10.59,3900,10.59
2015-06-12,12.14,12.14,11.14,11.14,6700,11.14
2015-06-11,12.01,12.01,11.69,11.72,2300,11.72
2015-06-10,12.93,12.94,12.30,12.30,2200,12.30
2015-06-09,12.26,12.34,12.26,12.33,800,12.33
2015-06-08,12.32,13.17,12.26,12.70,5600,12.70
2015-06-05,12.75,13.15,12.25,12.56,2500,12.56
2015-06-04,12.55,13.70,12.54,12.54,7200,12.54
2015-06-03,13.25,13.25,13.19,13.19,2100,13.19
2015-06-02,13.46,13.89,13.10,13.88,100,13.88
2015-06-01,14.25,14.25,13.46,13.46,2700,13.46
2015-05-29,13.55,14.45,13.50,13.65,500,13.65
2015-05-28,13.80,14.25,13.80,14.25,1500,14.25
2015-05-27,13.60,14.35,13.60,13.90,1400,13.90
2015-05-26,13.60,14.20,13.50,13.95,1800,13.95
2015-05-25,13.60,14.15,13.30,14.15,2200,14.15
2015-05-22,13.65,14.15,13.60,13.75,900,13.75
2015-05-21,14.70,14.70,13.70,13.70,3000,13.70
2015-05-20,13.85,14.40,13.75,14.40,2000,14.40
2015-05-19,13.65,14.45,13.60,14.45,700,14.45
2015-05-18,14.20,14.25,14.20,14.25,1400,14.25
2015-05-15,13.80,14.20,13.30,13.60,2600,13.60
2015-05-14,13.75,14.35,13.75,13.75,2100,13.75
2015-05-13,14.70,14.70,13.80,14.15,1800,14.15
2015-05-12,14.60,14.60,14.00,14.00,3100,14.00
2015-05-11,14.40,15.00,14.00,14.70,1000,14.70
2015-05-08,15.00,15.00,14.40,14.40,1300,14.40
2015-05-07,15.70,15.75,14.30,14.40,2200,14.40
2015-05-06,15.80,15.80,15.00,15.00,600,15.00
2015-05-05,15.80,15.80,15.00,15.20,400,15.20
2015-05-04,15.50,15.80,14.80,15.25,500,15.25
2015-05-01,15.16,15.16,15.16,15.16,000,15.16
2015-04-30,14.55,15.17,14.16,15.16,2300,15.16
2015-04-29,15.00,15.35,14.40,14.45,2000,14.45
2015-04-28,15.90,15.90,14.90,15.00,2400,15.00
2015-04-27,15.32,16.70,15.18,15.18,6800,15.18
2015-04-24,15.91,16.60,15.90,15.97,8700,15.97
2015-04-23,15.95,15.95,15.95,15.95,100,15.95
2015-04-22,16.20,16.70,16.00,16.63,3100,16.63
2015-04-21,16.10,16.93,16.10,16.30,900,16.30
2015-04-20,17.40,17.99,16.70,16.82,1800,16.82
2015-04-17,18.00,18.10,17.10,17.36,2700,17.36
2015-04-16,18.00,18.00,17.40,17.81,2900,17.81
2015-04-15,18.50,18.75,17.46,17.89,4600,17.89
2015-04-14,18.12,18.12,18.12,18.12,000,18.12
2015-04-13,17.50,18.12,16.70,18.12,12300,18.12
2015-04-10,16.26,17.49,16.20,17.26,3700,17.26
2015-04-09,15.90,16.69,15.90,16.69,5500,16.69
2015-04-08,15.50,15.90,15.50,15.90,4200,15.90
2015-04-07,14.75,15.15,14.75,15.15,5300,15.15
2015-04-06,14.00,14.43,14.00,14.43,2900,14.43
2015-04-03,13.75,13.75,13.75,13.75,000,13.75
2015-04-02,13.75,13.75,13.75,13.75,000,13.75
2015-04-01,13.75,13.75,13.75,13.75,800,13.75
2015-03-31,13.50,13.70,13.00,13.10,3000,13.10
2015-03-30,12.70,13.60,12.55,13.15,5600,13.15
2015-03-27,13.00,13.35,12.95,13.00,12200,13.00
2015-03-26,13.05,13.70,12.60,13.50,4300,13.50
2015-03-25,13.25,13.75,13.00,13.05,4400,13.05
2015-03-24,14.30,14.30,13.30,13.30,2400,13.30
2015-03-23,13.95,14.75,13.95,13.95,7900,13.95
2015-03-20,15.00,15.75,14.65,14.65,2800,14.65
2015-03-19,15.50,15.85,15.15,15.40,2400,15.40
2015-03-18,15.30,15.90,15.25,15.80,2800,15.80
2015-03-17,16.05,16.05,15.70,15.75,1300,15.75
2015-03-16,17.00,17.00,16.20,16.35,3000,16.35
2015-03-13,16.65,17.00,16.65,17.00,2300,17.00
2015-03-12,17.00,17.30,16.65,17.00,1600,17.00
2015-03-11,17.00,17.00,16.75,16.75,12100,16.75
2015-03-10,18.00,18.25,17.15,17.60,2600,17.60
2015-03-09,17.70,18.25,17.65,17.95,1300,17.95
