Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,439.50,439.50,429.00,429.85,218800,429.85
2015-07-16,439.70,441.10,436.60,438.10,290000,438.10
2015-07-15,439.00,440.85,435.20,436.20,572000,436.20
2015-07-14,420.20,435.25,420.20,434.05,785000,434.05
2015-07-13,423.85,424.90,416.30,420.05,429600,420.05
2015-07-10,420.60,425.00,418.50,419.65,316600,419.65
2015-07-09,419.00,422.75,416.15,417.05,168100,417.05
2015-07-08,428.80,428.80,415.00,417.65,248400,417.65
2015-07-07,420.75,430.35,419.40,429.90,905000,429.90
2015-07-06,417.00,422.55,413.80,419.95,382500,419.95
2015-07-03,425.40,425.40,415.00,417.15,226900,417.15
2015-07-02,426.00,427.50,419.60,424.05,307500,424.05
2015-07-01,422.90,429.00,422.00,425.10,1566500,425.10
2015-06-30,409.10,422.10,409.10,421.05,753700,421.05
2015-06-29,408.25,414.05,399.70,408.35,199800,408.35
2015-06-26,412.00,415.90,408.65,410.55,410600,410.55
2015-06-25,412.00,414.15,409.05,411.60,97900,411.60
2015-06-24,419.90,421.35,408.50,412.10,531000,412.10
2015-06-23,400.70,419.60,399.65,415.15,820100,415.15
2015-06-22,394.65,403.50,394.65,399.75,852600,399.75
2015-06-19,397.00,399.40,392.15,394.05,136100,394.05
2015-06-18,399.60,394.50,392.70,394.50,259000,394.50
2015-06-17,398.35,402.55,396.65,397.75,277500,397.75
2015-06-16,396.00,398.45,394.00,396.80,197500,396.80
2015-06-15,398.95,399.15,392.40,394.30,395900,394.30
2015-06-12,401.00,401.00,394.00,396.45,221900,396.45
2015-06-11,405.30,409.00,399.00,400.10,193500,400.10
2015-06-10,402.00,406.85,402.00,404.90,490600,404.90
2015-06-09,398.10,404.00,395.10,401.05,641800,401.05
2015-06-08,406.20,413.50,398.55,399.70,880600,399.70
2015-06-05,391.10,409.70,391.10,405.60,952400,405.60
2015-06-04,387.00,390.50,383.50,388.35,155400,388.35
2015-06-03,382.00,392.15,382.00,386.70,313900,386.70
2015-06-02,392.00,393.40,382.20,383.60,347400,383.60
2015-06-01,390.00,396.00,390.00,391.15,143900,391.15
2015-05-29,383.50,393.40,381.00,391.30,629400,391.30
2015-05-28,383.00,388.00,377.55,382.85,361200,382.85
2015-05-27,374.20,383.75,373.50,382.85,161900,382.85
2015-05-26,370.00,376.35,367.95,374.95,140000,374.95
2015-05-25,375.00,376.50,367.05,369.75,164300,369.75
2015-05-22,375.00,376.20,369.35,374.70,158700,374.70
2015-05-21,362.00,374.40,362.00,372.70,234700,372.70
2015-05-20,364.15,364.75,358.95,360.05,8169200,360.05
2015-05-19,368.00,368.00,363.50,364.30,69300,364.30
2015-05-18,366.20,369.00,364.30,366.00,103000,366.00
2015-05-15,370.50,370.50,364.50,366.15,501100,366.15
2015-05-14,369.00,371.00,363.65,369.50,68000,369.50
2015-05-13,368.95,372.60,365.25,368.25,318900,368.25
2015-05-12,373.00,376.30,367.15,369.45,273200,369.45
2015-05-11,364.00,374.00,364.00,370.70,188500,370.70
2015-05-08,361.10,365.80,359.25,363.55,119000,363.55
2015-05-07,358.00,362.00,352.30,360.85,226500,360.85
2015-05-06,364.00,364.00,352.00,353.05,257200,353.05
2015-05-05,369.70,369.80,361.55,364.65,198200,364.65
2015-05-04,364.90,370.55,363.75,369.65,196500,369.65
2015-05-01,363.00,363.00,363.00,363.00,000,363.00
2015-04-30,369.90,370.35,359.65,363.00,192300,363.00
2015-04-29,372.00,374.95,370.00,371.25,162600,371.25
2015-04-28,375.55,377.85,371.25,372.70,84300,372.70
2015-04-27,376.45,379.95,370.85,377.70,226000,377.70
2015-04-24,384.00,384.70,374.30,376.15,118700,376.15
2015-04-23,381.50,385.80,380.40,384.20,132700,384.20
2015-04-22,373.10,380.55,373.10,378.70,226800,378.70
2015-04-21,372.00,378.60,372.00,374.30,99900,374.30
2015-04-20,382.00,382.00,370.60,372.10,87700,372.10
2015-04-17,381.55,384.95,379.40,381.10,76800,381.10
2015-04-16,385.00,386.00,380.65,382.95,85200,382.95
2015-04-15,392.00,392.00,383.85,385.50,100700,385.50
2015-04-14,392.30,392.30,392.30,392.30,000,392.30
2015-04-13,389.00,395.40,383.70,392.30,218700,392.30
2015-04-10,386.00,389.00,383.70,388.05,170900,388.05
2015-04-09,384.00,388.50,379.30,386.30,314500,386.30
2015-04-08,364.10,382.30,364.10,380.00,527900,380.00
2015-04-07,360.25,362.50,356.35,359.40,99600,359.40
2015-04-06,365.00,365.00,358.95,360.25,70600,360.25
2015-04-03,362.85,362.85,362.85,362.85,000,362.85
2015-04-02,362.85,362.85,362.85,362.85,000,362.85
2015-04-01,363.00,364.30,357.95,362.85,84200,362.85
2015-03-31,360.00,365.80,359.45,362.40,187200,362.40
2015-03-30,352.00,359.35,346.80,358.80,361300,358.80
2015-03-27,355.00,355.00,346.20,347.45,662000,347.45
2015-03-26,360.00,362.00,350.10,352.65,192400,352.65
2015-03-25,370.30,370.95,359.00,362.30,207200,362.30
2015-03-24,368.25,372.70,366.45,370.10,224300,370.10
2015-03-23,368.00,369.90,363.10,368.90,229500,368.90
2015-03-20,368.90,371.00,363.80,368.10,181500,368.10
2015-03-19,365.10,369.65,363.15,365.35,173000,365.35
2015-03-18,362.00,365.10,361.30,364.35,132200,364.35
2015-03-17,366.60,368.20,359.75,361.65,121100,361.65
2015-03-16,366.55,366.90,361.25,364.50,449600,364.50
2015-03-13,368.95,369.30,363.20,364.70,347300,364.70
2015-03-12,369.85,372.00,363.50,364.75,92200,364.75
2015-03-11,370.00,370.65,366.30,369.30,178500,369.30
2015-03-10,358.00,371.90,358.00,370.65,304600,370.65
2015-03-09,363.00,369.40,356.00,356.95,550800,356.95
2015-03-06,363.95,363.95,363.95,363.95,000,363.95
2015-03-05,372.50,374.25,362.00,363.95,235400,363.95
2015-03-04,380.15,381.35,370.55,372.10,221400,372.10
2015-03-03,374.00,382.00,372.25,379.35,766100,379.35
2015-03-02,397.10,398.00,386.10,394.70,338600,374.00
2015-02-27,385.00,397.70,384.40,395.45,447400,374.71
2015-02-26,386.90,386.90,378.65,384.20,328000,364.05
2015-02-25,387.70,389.70,383.80,386.90,191100,366.61
2015-02-24,387.95,390.00,382.90,384.35,253500,364.19
2015-02-23,383.30,386.75,382.40,383.85,256000,363.72
2015-02-20,384.70,385.00,377.55,382.70,270900,362.63
2015-02-19,380.90,389.70,376.10,385.10,309300,364.90
2015-02-18,379.00,384.45,377.10,380.95,270000,360.97
2015-02-17,377.20,377.20,377.20,377.20,000,357.42
2015-02-16,379.00,383.80,375.30,377.20,463400,357.42
2015-02-13,364.55,379.70,363.00,377.50,689500,357.70
2015-02-12,372.55,374.10,365.05,368.75,365200,349.41
2015-02-11,369.00,376.35,369.00,371.65,816200,352.16
2015-02-10,358.00,369.00,358.00,368.30,451100,348.98
2015-02-09,362.00,362.40,358.20,360.70,298500,341.78
2015-02-06,369.70,370.15,359.25,364.15,442300,345.05
2015-02-05,366.00,374.80,365.90,369.55,1255300,350.17
2015-02-04,356.50,368.50,356.50,365.85,2351600,346.66
2015-02-03,355.90,359.80,353.30,356.70,1817200,337.99
2015-02-02,353.05,357.00,349.95,354.90,7783100,336.29
2015-01-30,362.00,364.00,360.10,360.85,1316900,341.93
2015-01-29,367.00,380.10,364.60,375.15,2315700,355.48
2015-01-28,383.00,388.75,380.65,384.05,163900,363.91
2015-01-27,392.50,393.70,379.50,383.00,115000,362.91
2015-01-26,393.90,393.90,393.90,393.90,000,373.24
2015-01-23,397.00,399.85,390.90,393.90,148000,373.24
2015-01-22,393.00,396.65,390.70,395.50,206000,374.76
2015-01-21,384.00,393.00,382.00,390.65,260100,370.16
2015-01-20,379.00,384.00,378.95,381.75,200800,361.73
2015-01-19,378.00,383.20,373.75,378.80,122000,358.93
2015-01-16,366.70,379.55,364.50,377.90,153200,358.08
2015-01-15,370.00,370.95,362.25,368.50,226800,349.17
2015-01-14,362.15,364.85,360.70,363.55,113000,344.48
2015-01-13,359.00,362.40,358.20,361.45,385100,342.49
2015-01-12,374.05,374.05,356.75,358.70,287700,339.89
2015-01-09,380.15,382.65,373.65,375.75,87300,356.04
2015-01-08,382.00,385.00,377.20,378.40,149700,358.55
2015-01-07,381.00,384.20,372.20,374.90,166300,355.24
2015-01-06,374.90,381.45,372.90,378.80,231600,358.93
2015-01-05,380.00,385.60,375.40,378.90,178000,359.03
2015-01-02,380.00,386.75,379.50,381.65,102800,361.63
2015-01-01,384.00,384.00,378.60,380.30,66100,360.36
2014-12-31,383.05,388.30,379.50,383.75,84300,363.62
2014-12-30,387.00,388.00,382.00,382.60,77900,362.53
2014-12-29,378.50,388.50,378.50,386.25,127800,365.99
2014-12-26,379.90,382.80,376.90,377.85,92000,358.03
2014-12-25,377.15,377.15,377.15,377.15,000,357.37
2014-12-24,383.70,389.60,374.00,377.15,211400,357.37
2014-12-23,392.00,393.00,381.50,383.60,155200,363.48
2014-12-22,378.00,391.70,378.00,390.15,383000,369.69
2014-12-19,369.90,379.50,367.25,376.55,236600,356.80
2014-12-18,368.20,370.40,363.00,367.40,151500,348.13
2014-12-17,365.90,371.85,359.00,366.85,153600,347.61
2014-12-16,377.00,380.50,364.40,366.30,202300,347.09
2014-12-15,364.00,379.00,361.15,377.25,298900,357.47
2014-12-12,365.00,368.70,362.70,365.35,202300,346.19
2014-12-11,360.20,365.05,355.40,363.75,136800,344.67
2014-12-10,361.50,364.45,358.60,360.15,108100,341.26
2014-12-09,364.80,365.00,356.45,361.05,197400,342.11
2014-12-08,358.00,368.00,357.00,364.30,379600,345.19
2014-12-05,355.50,359.30,355.20,356.45,77300,337.76
2014-12-04,358.40,358.40,351.20,355.50,172700,336.86
2014-12-03,356.00,359.40,353.45,357.20,405600,338.47
2014-12-02,353.70,357.70,348.65,355.20,192600,336.57
2014-12-01,354.90,355.00,346.40,353.70,334800,335.15
2014-11-28,348.10,357.85,347.00,354.75,389800,336.15
2014-11-27,350.00,351.30,346.65,349.20,144500,330.89
2014-11-26,347.00,351.75,347.00,349.50,271600,331.17
2014-11-25,345.20,349.40,341.40,347.80,122700,329.56
2014-11-24,345.05,350.00,345.00,347.40,149900,329.18
2014-11-21,344.30,348.05,343.80,347.10,427400,328.90
2014-11-20,346.00,352.80,343.95,346.75,309300,328.56
2014-11-19,353.90,354.45,343.75,346.60,214300,328.42
2014-11-18,353.10,359.20,350.20,352.15,168000,333.68
2014-11-17,356.00,356.40,351.75,353.10,105300,334.58
2014-11-14,343.90,358.45,343.90,356.50,239500,337.80
2014-11-13,345.00,348.90,344.70,347.35,119800,329.13
2014-11-12,345.65,348.40,344.10,346.00,277900,327.85
2014-11-11,350.10,352.65,344.35,345.65,541700,327.52
2014-11-10,340.05,353.05,340.00,349.25,316300,330.93
2014-11-07,347.00,347.45,342.30,344.70,367600,326.62
2014-11-06,348.95,348.95,348.95,348.95,000,330.65
2014-11-05,360.00,362.20,344.55,348.95,585500,330.65
2014-11-04,360.30,360.30,360.30,360.30,000,341.40
2014-11-03,372.00,375.15,359.05,360.30,270900,341.40
2014-10-31,361.00,370.85,360.50,369.35,314000,349.98
2014-10-30,358.40,362.80,356.70,360.25,151400,341.36
2014-10-29,356.50,359.85,355.50,357.95,101100,339.18
2014-10-28,354.00,357.45,348.00,356.40,149300,337.71
2014-10-27,352.00,358.50,348.10,355.75,128800,337.09
2014-10-24,353.00,353.00,353.00,353.00,000,334.49
2014-10-23,353.00,353.00,353.00,353.00,000,334.49
2014-10-22,355.55,357.00,351.55,353.00,233500,334.49
2014-10-21,363.00,363.00,352.10,355.05,277100,336.43
2014-10-20,357.90,366.40,352.10,360.70,262100,341.78
2014-10-17,349.85,354.30,346.40,351.55,283400,333.11
2014-10-16,344.00,351.30,340.75,348.85,476800,330.55
2014-10-15,344.25,344.25,344.25,344.25,000,326.20
2014-10-14,342.55,347.20,339.90,344.25,311400,326.20
2014-10-13,336.00,343.00,331.60,340.95,154600,323.07
2014-10-10,343.00,343.00,333.50,334.55,268500,317.00
2014-10-09,339.00,345.50,339.00,343.30,214100,325.30
2014-10-08,339.95,343.60,338.40,341.35,182800,323.45
2014-10-07,343.00,347.80,338.20,340.40,387600,322.55
2014-10-06,343.00,343.00,343.00,343.00,000,325.01
2014-10-03,343.00,343.00,343.00,343.00,000,325.01
2014-10-02,343.00,343.00,343.00,343.00,000,325.01
2014-10-01,342.55,347.50,342.10,344.05,258100,326.01
2014-09-30,342.90,349.75,338.75,341.35,284400,323.45
2014-09-29,347.30,347.30,341.10,342.85,141000,324.87
2014-09-26,345.00,350.80,335.65,348.00,396400,329.75
2014-09-25,360.00,362.35,343.20,346.55,868200,328.38
2014-09-24,336.00,353.00,336.00,351.35,936300,332.92
2014-09-23,345.00,345.00,333.00,334.55,288700,317.00
2014-09-22,343.00,347.90,340.70,343.10,133000,325.11
2014-09-19,344.90,349.45,343.25,345.85,128900,327.71
2014-09-18,340.00,347.50,339.95,344.90,237400,326.81
