Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,133.20,135.10,130.00,131.30,15400,127.80
2015-07-16,127.60,137.00,127.00,132.90,78700,129.36
2015-07-15,127.30,130.30,126.00,126.60,6100,123.23
2015-07-14,132.90,132.90,126.50,127.30,18200,123.91
2015-07-13,132.30,132.90,128.30,130.20,27900,126.73
2015-07-10,125.50,133.00,125.50,131.00,28700,127.51
2015-07-09,129.00,130.00,127.00,127.60,14700,124.20
2015-07-08,126.00,133.60,124.50,127.00,55100,123.61
2015-07-07,126.00,131.10,125.00,128.10,51500,124.69
2015-07-06,122.50,127.00,121.00,124.10,36300,120.79
2015-07-03,118.00,126.70,112.20,122.10,69100,118.85
2015-07-02,117.90,117.90,113.10,116.40,10500,113.30
2015-07-01,118.00,118.00,113.50,115.00,7900,111.93
2015-06-30,111.70,115.00,111.70,113.70,11100,110.67
2015-06-29,114.00,114.20,109.60,112.10,17000,109.11
2015-06-26,116.90,117.70,114.60,115.50,11700,112.42
2015-06-25,113.60,117.80,113.60,115.40,18900,112.32
2015-06-24,113.40,116.50,112.40,114.30,17600,111.25
2015-06-23,113.00,114.60,111.50,112.70,10100,109.70
2015-06-22,113.20,117.00,111.70,113.20,26800,110.18
2015-06-19,117.00,117.00,110.70,111.80,14200,108.82
2015-06-18,107.00,115.30,106.10,110.50,40600,107.55
2015-06-17,106.50,109.50,104.80,105.50,3100,102.69
2015-06-16,105.00,109.50,105.00,107.90,17800,105.02
2015-06-15,104.00,108.60,103.30,106.00,27400,103.17
2015-06-12,101.60,103.00,101.10,102.40,3100,99.67
2015-06-11,102.20,104.80,101.70,102.60,9000,99.87
2015-06-10,103.50,104.50,101.20,101.90,8300,99.18
2015-06-09,102.00,104.00,101.00,101.60,1300,98.89
2015-06-08,97.30,105.80,97.30,102.20,3400,99.48
2015-06-05,103.80,105.70,103.50,103.50,4900,100.74
2015-06-04,101.70,105.90,100.10,105.20,12600,102.40
2015-06-03,107.30,107.90,97.30,103.20,36100,100.45
2015-06-02,113.30,113.90,107.00,108.20,18300,105.32
2015-06-01,112.00,117.60,111.00,112.20,29200,109.21
2015-05-29,110.95,113.50,109.35,111.90,32300,108.92
2015-05-28,114.90,118.00,109.30,111.30,61000,108.33
2015-05-27,105.00,118.80,105.00,113.50,144600,110.47
2015-05-26,109.00,110.25,104.45,108.05,62100,105.17
2015-05-25,110.00,111.10,104.10,109.90,153400,106.97
2015-05-22,94.00,94.30,91.90,92.60,5200,90.13
2015-05-21,94.00,94.00,92.80,93.50,2200,91.01
2015-05-20,91.35,95.60,91.35,93.35,4100,90.86
2015-05-19,93.00,93.65,92.55,93.65,2000,91.15
2015-05-18,94.25,94.25,91.70,91.90,1000,89.45
2015-05-15,92.90,95.00,92.10,93.40,8900,90.91
2015-05-14,90.90,93.00,90.65,91.75,1800,89.30
2015-05-13,87.20,91.00,86.50,89.80,3300,87.41
2015-05-12,85.60,88.00,85.60,87.10,3400,84.78
2015-05-11,85.00,87.85,83.70,86.75,3300,84.44
2015-05-08,83.20,84.25,83.10,83.35,600,81.13
2015-05-07,83.10,83.80,81.60,82.80,5700,80.59
2015-05-06,88.50,88.50,83.05,83.75,5500,81.52
2015-05-05,87.00,88.05,85.00,86.90,400,84.58
