Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,2.99,2.99,2.99,2.99,000,2.99
2015-07-16,2.92,3.25,2.92,2.99,200,2.99
2015-07-15,3.14,3.15,3.01,3.14,6200,3.14
2015-07-14,3.11,3.18,3.11,3.18,300,3.18
2015-07-13,3.35,3.35,3.13,3.13,3800,3.13
2015-07-10,3.30,3.39,3.30,3.35,1400,3.35
2015-07-09,3.00,3.01,3.00,3.01,4500,3.01
2015-07-08,3.30,3.30,2.87,3.19,2500,3.19
2015-07-07,3.24,3.29,3.24,3.29,1000,3.29
2015-07-06,2.80,2.80,2.76,2.76,1400,2.76
2015-07-03,2.71,2.71,2.60,2.66,200,2.66
2015-07-02,2.99,2.99,2.99,2.99,000,2.99
2015-07-01,2.99,2.99,2.99,2.99,500,2.99
2015-06-30,2.81,2.81,2.81,2.81,200,2.81
2015-06-29,2.81,2.81,2.81,2.81,000,2.81
2015-06-26,2.71,2.97,2.71,2.81,700,2.81
2015-06-25,2.70,2.70,2.70,2.70,000,2.70
2015-06-24,2.70,2.70,2.70,2.70,000,2.70
2015-06-23,2.72,2.98,2.60,2.70,8200,2.70
2015-06-22,2.81,2.99,2.70,2.81,11700,2.81
2015-06-19,2.95,2.95,2.90,2.91,1200,2.91
2015-06-18,3.00,3.37,3.00,3.37,4700,3.37
2015-06-17,3.35,3.35,2.71,2.99,1200,2.99
2015-06-16,2.80,2.80,2.80,2.80,500,2.80
2015-06-15,2.60,2.99,2.60,2.76,11200,2.76
2015-06-12,2.66,2.68,2.66,2.68,500,2.68
2015-06-11,2.76,2.76,2.76,2.76,000,2.76
2015-06-10,2.76,2.76,2.76,2.76,300,2.76
2015-06-09,2.75,2.75,2.75,2.75,200,2.75
2015-06-08,2.95,2.95,2.95,2.95,400,2.95
2015-06-05,3.38,3.38,3.05,3.05,700,3.05
2015-06-04,2.70,3.00,2.70,2.85,17500,2.85
2015-06-03,3.11,3.11,2.62,2.66,1700,2.66
2015-06-02,3.11,3.15,3.02,3.15,300,3.15
2015-06-01,3.38,3.38,3.38,3.38,000,3.38
2015-05-29,3.37,3.37,3.20,3.20,300,3.20
2015-05-28,3.25,3.39,3.25,3.39,1400,3.39
2015-05-27,3.16,3.19,3.10,3.19,4000,3.19
2015-05-26,3.15,3.28,3.15,3.20,2000,3.20
2015-05-25,3.31,3.68,3.15,3.68,8200,3.68
2015-05-22,3.65,3.65,3.16,3.47,3600,3.47
2015-05-21,3.50,3.50,3.13,3.13,100,3.13
2015-05-20,3.12,3.64,3.12,3.24,900,3.24
2015-05-19,3.60,3.60,3.20,3.20,000,3.20
2015-05-18,3.40,3.40,3.40,3.40,000,3.40
2015-05-15,3.40,3.40,3.40,3.40,000,3.40
2015-05-14,3.01,3.40,3.01,3.40,000,3.40
2015-05-13,3.87,3.87,3.50,3.50,1500,3.50
2015-05-12,3.60,3.60,3.60,3.60,000,3.60
2015-05-11,3.07,3.60,3.07,3.60,700,3.60
2015-05-08,3.21,3.70,3.21,3.65,300,3.65
2015-05-07,3.80,3.80,3.80,3.80,500,3.80
2015-05-06,3.60,3.60,3.20,3.31,2400,3.31
2015-05-05,3.23,3.84,3.23,3.31,1200,3.31
2015-05-04,3.21,3.21,3.21,3.21,000,3.21
2015-05-01,3.21,3.21,3.21,3.21,000,3.21
2015-04-30,3.21,3.21,3.21,3.21,300,3.21
2015-04-29,3.50,3.50,3.50,3.50,000,3.50
2015-04-28,3.50,3.50,3.25,3.50,7500,3.50
2015-04-27,3.31,3.31,3.31,3.31,200,3.31
2015-04-24,3.68,3.68,3.60,3.60,4100,3.60
