Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,292.00,294.00,289.70,291.90,39700,291.90
2015-07-16,289.10,294.65,289.10,291.30,35600,291.30
2015-07-15,298.50,298.80,291.00,292.05,63000,292.05
2015-07-14,284.15,296.80,284.15,295.35,81600,295.35
2015-07-13,280.00,287.85,280.00,286.20,53600,286.20
2015-07-10,293.40,293.40,281.00,281.85,55200,281.85
2015-07-09,286.20,291.15,283.90,286.45,33000,286.45
2015-07-08,288.00,292.35,284.85,286.20,111100,286.20
2015-07-07,287.00,291.20,286.20,287.55,58900,287.55
2015-07-06,286.00,288.00,278.85,286.10,774300,286.10
2015-07-03,279.50,286.80,279.00,285.35,78700,285.35
2015-07-02,283.50,283.50,277.00,278.30,46400,278.30
2015-07-01,281.00,284.35,281.00,282.45,129700,282.45
2015-06-30,278.40,281.50,275.40,280.40,81900,280.40
2015-06-29,270.00,278.20,269.00,275.60,76900,275.60
2015-06-26,277.00,279.20,272.45,275.75,75200,275.00
2015-06-25,274.50,280.60,274.00,276.60,813400,275.848
2015-06-24,269.70,275.40,268.30,273.35,64300,272.607
2015-06-23,271.00,271.85,268.60,269.90,126800,269.166
2015-06-22,274.75,274.75,269.50,270.20,25600,269.465
2015-06-19,268.00,272.35,266.90,269.65,78000,268.917
2015-06-18,266.45,268.85,263.50,267.15,57800,266.423
2015-06-17,257.70,275.90,257.15,265.60,182200,264.878
2015-06-16,256.25,260.00,252.70,257.25,28200,256.55
2015-06-15,252.00,258.50,252.00,255.90,43200,255.204
2015-06-12,251.20,253.70,250.00,252.25,26300,251.564
2015-06-11,254.50,257.40,250.15,251.35,61100,250.666
2015-06-10,253.50,256.25,252.10,254.00,81000,253.309
2015-06-09,251.00,255.00,249.25,253.95,20400,253.259
2015-06-08,258.00,258.30,250.35,252.10,20600,251.414
2015-06-05,257.00,260.25,253.60,259.80,39100,259.093
2015-06-04,261.00,261.15,253.70,255.95,59400,255.254
2015-06-03,265.50,265.50,257.10,261.60,43900,260.888
2015-06-02,272.00,273.00,265.40,266.50,48400,265.775
2015-06-01,271.05,272.85,267.90,271.65,43200,270.911
2015-05-29,267.30,275.00,267.30,270.85,59200,270.113
2015-05-28,271.95,271.95,266.15,271.60,37000,270.861
2015-05-27,266.10,270.00,265.70,268.75,35600,268.019
2015-05-26,269.00,272.00,265.65,270.10,88000,269.365
2015-05-25,265.00,268.70,264.25,267.80,40900,267.072
2015-05-22,264.85,265.80,257.75,265.30,45700,264.578
2015-05-21,264.00,264.00,258.65,259.50,27100,258.794
2015-05-20,265.35,266.90,263.10,263.55,24200,262.833
2015-05-19,264.60,265.65,262.80,264.80,21400,264.08
2015-05-18,265.10,265.50,263.40,265.15,25400,264.429
2015-05-15,264.50,266.85,262.95,264.15,45500,263.432
2015-05-14,263.90,265.95,261.05,263.45,45600,262.733
2015-05-13,262.05,263.35,255.75,260.55,53600,259.841
2015-05-12,257.00,262.60,253.65,260.00,88600,259.293
2015-05-11,262.00,262.00,256.00,257.10,38800,256.401
2015-05-08,260.10,263.00,258.50,260.75,45700,260.041
2015-05-07,263.50,263.50,251.30,256.95,116900,256.251
2015-05-06,271.00,272.00,261.35,262.85,178500,262.135
2015-05-05,264.00,266.85,261.50,265.50,129100,264.778
2015-05-04,251.10,263.75,251.10,261.40,66100,260.689
2015-05-01,251.95,251.95,251.95,251.95,000,251.265
2015-04-30,255.00,260.60,250.85,251.95,75100,251.265
2015-04-29,258.10,259.00,252.45,255.20,60200,254.506
2015-04-28,262.20,263.65,254.45,259.20,67400,258.495
2015-04-27,271.65,272.50,261.80,263.00,42500,262.285
2015-04-24,272.00,274.75,267.45,269.45,1057500,268.717
2015-04-23,265.00,271.85,265.00,270.75,62500,270.014
2015-04-22,271.35,273.60,261.30,266.50,58400,265.775
2015-04-21,268.10,271.50,266.55,268.50,39400,267.77
2015-04-20,275.00,275.00,266.45,268.80,44600,268.069
2015-04-17,275.45,276.75,271.00,273.05,35300,272.307
2015-04-16,275.00,278.30,272.70,275.75,273500,275.00
2015-04-15,282.00,282.05,274.50,275.25,57400,274.501
2015-04-14,282.95,282.95,282.95,282.95,000,282.18
2015-04-13,281.80,286.95,281.40,282.95,38400,282.18
2015-04-10,278.00,283.50,277.30,280.10,84100,279.338
2015-04-09,285.50,285.50,278.30,279.10,133100,278.341
2015-04-08,275.70,286.35,274.00,284.60,112200,283.826
2015-04-07,275.00,276.10,271.25,274.25,26800,273.504
2015-04-06,267.65,273.45,267.45,272.45,148100,271.709
2015-04-03,266.75,266.75,266.75,266.75,000,266.024
2015-04-02,266.75,266.75,266.75,266.75,000,266.024
2015-04-01,268.10,268.40,264.40,266.75,39400,266.024
2015-03-31,266.65,269.00,264.60,265.45,36200,264.728
2015-03-30,262.20,270.55,262.20,266.00,176600,265.277
2015-03-27,262.00,270.00,262.00,264.85,74200,264.13
2015-03-26,267.00,268.65,261.45,262.70,74000,261.985
2015-03-25,266.50,269.25,266.00,268.10,58500,267.371
2015-03-24,268.00,272.10,265.55,266.55,70000,265.825
2015-03-23,265.90,272.25,265.90,269.10,72200,268.368
2015-03-20,273.00,274.15,264.75,265.80,88300,265.077
2015-03-19,285.00,286.00,273.10,275.10,87700,274.352
2015-03-18,286.90,286.90,280.70,283.00,150800,282.23
2015-03-17,270.00,283.40,270.00,282.70,137700,281.931
2015-03-16,272.10,274.20,269.65,271.05,51400,270.313
2015-03-13,270.00,275.60,270.00,271.60,83100,270.861
2015-03-12,269.00,273.30,268.65,271.20,112900,270.462
2015-03-11,266.00,270.90,261.20,266.50,180700,265.775
2015-03-10,277.00,278.45,264.65,265.65,121200,264.927
2015-03-09,266.95,276.20,266.50,274.45,131800,273.704
2015-03-06,266.35,266.35,266.35,266.35,000,265.626
2015-03-05,264.55,271.40,263.70,266.35,91300,265.626
2015-03-04,267.00,269.40,263.00,264.05,50800,263.332
2015-03-03,265.00,267.55,263.00,264.55,52000,263.83
2015-03-02,264.10,265.00,260.50,263.10,43400,262.384
2015-02-27,261.30,266.20,260.20,265.05,61300,264.329
2015-02-26,264.45,266.85,260.50,262.85,58300,262.135
2015-02-25,270.40,271.00,263.05,264.35,57100,263.631
2015-02-24,267.00,269.90,264.45,268.20,56900,267.471
