Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,22.95,22.95,20.75,20.95,4100,20.95
2015-07-16,20.75,23.80,20.75,20.95,5600,20.95
2015-07-15,20.40,20.80,20.25,20.80,1600,20.80
2015-07-14,21.40,21.40,21.40,21.40,000,21.40
2015-07-13,22.00,22.00,21.25,21.40,2000,21.40
2015-07-10,23.30,23.35,21.00,21.45,21000,21.45
2015-07-09,23.00,23.00,22.05,22.45,1200,22.45
2015-07-08,23.15,23.15,23.15,23.15,000,23.15
2015-07-07,23.00,24.60,22.50,23.65,25700,23.65
2015-07-06,21.00,21.40,20.50,20.50,1300,20.50
2015-07-03,21.20,21.20,21.20,21.20,000,21.20
2015-07-02,21.95,21.95,20.25,20.50,600,20.50
2015-07-01,20.85,21.95,20.30,21.20,2500,21.20
2015-06-30,20.00,21.00,20.00,20.85,2400,20.85
2015-06-29,20.40,20.40,20.40,20.40,300,20.40
2015-06-26,21.50,21.50,20.40,21.10,16100,21.10
2015-06-25,20.05,20.95,20.05,20.90,1000,20.90
2015-06-24,19.80,21.75,19.80,20.80,6300,20.80
2015-06-23,19.85,20.80,19.85,20.35,2100,20.35
2015-06-22,20.00,20.25,20.00,20.25,1000,20.25
2015-06-19,21.80,21.80,20.05,20.65,6300,20.65
2015-06-18,20.90,21.00,20.70,20.70,9500,20.70
2015-06-17,19.20,21.00,19.20,20.50,15000,20.50
2015-06-16,19.65,20.50,19.65,20.45,3700,20.45
2015-06-15,20.25,20.25,20.25,20.25,000,20.25
2015-06-12,20.15,21.15,19.75,20.30,1700,20.30
2015-06-11,20.25,20.80,19.75,20.65,8600,20.65
2015-06-10,20.55,21.25,20.55,20.80,6200,20.80
2015-06-09,20.00,20.90,19.65,20.50,19100,20.50
2015-06-08,20.75,22.00,20.50,20.60,10600,20.60
2015-06-05,19.50,19.50,19.50,19.50,100,19.50
2015-06-04,19.65,20.30,19.50,20.05,9600,20.05
2015-06-03,19.05,20.00,18.80,19.50,16600,19.50
2015-06-02,19.50,19.50,19.00,19.00,1700,19.00
2015-06-01,19.70,20.00,19.70,20.00,5700,20.00
2015-05-29,20.20,20.20,19.05,20.20,1300,20.20
2015-05-28,18.75,19.90,18.75,19.70,9100,19.70
2015-05-27,19.00,19.85,19.00,19.55,4100,19.55
2015-05-26,20.45,20.45,18.75,19.10,800,19.10
2015-05-25,19.50,20.00,19.20,19.85,2900,19.85
2015-05-22,19.50,19.50,18.20,19.15,1800,19.15
2015-05-21,18.15,19.35,18.15,19.35,400,19.35
2015-05-20,18.60,18.90,18.50,18.85,12300,18.85
2015-05-19,18.55,18.60,17.70,18.50,1900,18.50
2015-05-18,18.10,18.55,17.90,17.95,4200,17.95
2015-05-15,18.00,18.30,17.75,18.00,4300,18.00
2015-05-14,17.50,18.00,17.50,18.00,200,18.00
2015-05-13,17.60,18.45,17.55,18.20,900,18.20
2015-05-12,18.60,18.60,17.30,17.55,12100,17.55
2015-05-11,18.40,18.60,17.90,18.40,1200,18.40
2015-05-08,18.70,18.70,17.45,17.75,1400,17.75
2015-05-07,18.20,18.85,17.65,18.30,2600,18.30
2015-05-06,18.50,19.30,18.50,18.50,1600,18.50
2015-05-05,18.70,18.70,18.55,18.65,600,18.65
2015-05-04,18.30,19.10,18.30,19.00,3000,19.00
2015-05-01,18.55,18.55,18.55,18.55,000,18.55
2015-04-30,18.60,18.60,18.35,18.55,200,18.55
2015-04-29,18.90,19.50,18.80,19.40,3000,19.40
2015-04-28,18.90,18.90,18.90,18.90,000,18.90
