Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,317.00,318.15,313.00,314.75,2300,310.50
2015-07-16,325.00,327.50,306.50,313.25,33600,309.02
2015-07-15,328.05,335.00,318.55,320.00,2900,315.68
2015-07-14,330.00,332.00,320.00,325.20,2600,320.81
2015-07-13,328.20,329.40,326.20,327.95,600,323.52
2015-07-10,334.70,336.30,325.90,329.85,900,325.40
2015-07-09,333.00,335.50,330.80,330.95,1000,326.48
2015-07-08,332.55,339.10,331.00,332.25,1600,327.76
2015-07-07,335.00,341.30,332.05,332.05,900,327.57
2015-07-06,328.00,337.50,326.00,333.15,1300,328.65
2015-07-03,334.90,335.95,328.10,329.35,900,324.90
2015-07-02,336.40,338.00,330.00,331.25,1300,326.78
2015-07-01,339.00,339.00,333.00,334.50,500,329.98
2015-06-30,337.60,340.70,335.00,337.80,300,333.24
2015-06-29,335.00,338.25,331.75,336.20,1100,331.66
2015-06-26,338.15,343.70,336.05,337.85,1600,333.29
2015-06-25,337.00,347.45,333.75,335.15,2600,330.62
2015-06-24,342.65,342.65,336.00,338.10,1000,333.53
2015-06-23,339.00,347.95,338.05,343.00,2200,338.37
2015-06-22,336.00,340.85,334.00,339.95,2300,335.36
2015-06-19,340.00,340.45,334.30,334.60,700,330.08
2015-06-18,338.90,340.00,337.00,338.70,1000,334.13
2015-06-17,335.65,342.00,334.00,339.50,50800,334.92
2015-06-16,332.05,336.50,331.00,334.65,1300,330.13
2015-06-15,337.25,337.60,332.40,335.05,1100,330.53
2015-06-12,336.45,338.90,331.15,334.85,1500,330.33
2015-06-11,338.70,340.70,330.35,336.00,1800,331.46
2015-06-10,338.95,341.30,332.40,336.40,1000,331.86
2015-06-09,334.90,339.90,303.00,337.00,4500,332.45
2015-06-08,339.00,345.00,335.00,338.00,500,333.44
2015-06-05,342.40,350.00,340.00,341.45,701000,336.84
2015-06-04,342.60,342.90,339.70,340.70,500,336.10
2015-06-03,341.65,343.00,327.05,337.50,2400,332.94
2015-06-02,344.90,346.45,332.00,337.45,3400,332.89
2015-06-01,360.00,365.00,340.50,351.85,5000,347.10
2015-05-29,363.00,367.70,357.50,357.50,4400,352.67
2015-05-28,361.00,367.50,359.40,365.00,2200,360.07
2015-05-27,352.45,364.00,351.80,363.05,2000,358.15
2015-05-26,354.60,356.75,354.60,355.00,100,350.21
2015-05-25,352.25,357.00,350.00,355.35,3800,350.55
2015-05-22,353.00,354.00,349.00,352.25,800,347.49
2015-05-21,347.15,352.00,346.05,349.90,1100,345.18
2015-05-20,349.90,351.00,345.00,346.00,600,341.33
2015-05-19,348.35,352.00,344.05,346.20,1900,341.53
2015-05-18,355.00,355.00,345.50,347.60,2100,342.91
2015-05-15,361.00,364.50,347.00,351.00,14000,346.26
2015-05-14,362.40,369.10,348.50,366.90,25600,361.95
2015-05-13,357.90,364.00,356.85,362.80,1800,357.90
2015-05-12,360.00,379.00,353.00,357.20,10000,352.38
2015-05-11,355.25,359.50,350.70,357.70,900,352.87
2015-05-08,349.60,357.95,347.85,355.35,1300,350.55
2015-05-07,350.50,356.55,344.55,347.75,900,343.05
2015-05-06,353.20,357.95,348.00,354.10,1600,349.32
2015-05-05,355.80,357.60,351.00,353.05,1700,348.28
2015-05-04,366.00,366.05,355.95,360.10,1300,355.24
2015-05-01,364.65,364.65,364.65,364.65,000,359.73
2015-04-30,357.00,368.00,357.00,364.65,900,359.73
2015-04-29,354.00,364.00,351.00,362.55,2100,357.65
2015-04-28,350.00,360.00,345.60,357.05,1900,352.23
2015-04-27,357.70,359.95,348.10,351.05,900,346.31
2015-04-24,367.70,367.70,355.95,356.60,2200,351.78
2015-04-23,367.20,369.75,362.00,366.20,1200,361.26
2015-04-22,357.05,367.95,355.10,364.35,3000,359.43
2015-04-21,361.00,362.05,350.00,353.25,1300,348.48
2015-04-20,365.70,365.70,358.75,360.00,2200,355.14
2015-04-17,373.00,378.15,366.05,369.00,2700,364.02
2015-04-16,383.50,383.50,372.10,376.55,6300,371.47
2015-04-15,386.75,388.95,379.00,381.85,1300,376.69
2015-04-14,386.10,386.10,386.10,386.10,000,380.89
2015-04-13,383.70,393.35,380.05,386.10,3300,380.89
2015-04-10,386.85,392.95,383.00,386.35,4200,381.13
2015-04-09,379.10,394.35,376.25,385.45,2300,380.25
2015-04-08,375.00,378.00,371.10,376.55,2000,371.47
2015-04-07,372.35,374.65,365.55,368.45,700,363.47
2015-04-06,373.00,377.90,369.05,370.95,300,365.94
2015-04-03,369.45,369.45,369.45,369.45,000,364.46
2015-04-02,369.45,369.45,369.45,369.45,000,364.46
2015-04-01,371.00,374.25,366.25,369.45,27000,364.46
2015-03-31,375.00,383.00,363.00,370.00,172400,365.00
2015-03-30,361.00,370.50,361.00,369.10,2100,364.12
2015-03-27,351.15,363.10,351.15,358.10,1500,353.26
2015-03-26,343.90,351.45,333.30,349.90,6800,345.18
2015-03-25,357.10,358.00,343.05,347.95,2400,343.25
2015-03-24,360.15,363.20,355.00,357.10,600,352.28
2015-03-23,363.45,367.60,357.10,359.85,108000,354.99
2015-03-20,368.35,368.35,354.45,358.30,2600,353.46
2015-03-19,370.90,374.00,364.45,369.05,2700,364.07
2015-03-18,378.00,381.40,367.25,368.40,2000,363.43
2015-03-17,367.00,390.00,367.00,381.60,5300,376.45
2015-03-16,370.00,372.65,362.40,364.55,1900,359.63
2015-03-13,375.45,375.45,368.25,369.40,900,364.41
2015-03-12,365.50,377.00,363.00,375.45,4900,370.38
2015-03-11,378.00,378.00,360.55,363.85,6300,358.94
2015-03-10,375.00,380.50,368.00,371.40,1900,366.39
2015-03-09,398.00,400.00,371.00,374.20,8200,369.15
2015-03-06,391.95,391.95,391.95,391.95,000,386.66
2015-03-05,400.00,406.00,390.10,391.95,53500,386.66
2015-03-04,401.00,409.00,396.15,398.95,1900,393.56
2015-03-03,393.00,413.50,392.15,399.55,13400,394.15
2015-03-02,392.05,393.90,387.65,388.50,1800,383.25
2015-02-27,393.00,393.00,388.05,390.20,1700,384.93
2015-02-26,393.00,394.85,391.30,393.85,2600,388.53
2015-02-25,392.00,397.85,386.15,395.95,3500,390.60
2015-02-24,391.60,398.80,385.00,394.40,4700,389.07
2015-02-23,383.05,399.80,383.05,395.05,3200,389.72
