Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,103.40,105.60,101.45,102.25,13700,100.75
2015-07-16,104.60,105.50,102.00,102.80,5700,101.29
2015-07-15,105.40,106.40,103.05,104.00,12400,102.47
2015-07-14,105.60,109.50,103.85,104.75,50800,103.21
2015-07-13,97.20,107.90,97.20,104.90,136200,103.36
2015-07-10,99.15,101.50,96.00,97.35,10800,95.92
2015-07-09,99.00,102.00,98.50,99.00,7300,97.55
2015-07-08,97.10,102.00,94.35,98.60,16900,97.15
2015-07-07,96.20,104.50,96.20,99.40,25900,97.94
2015-07-06,95.95,99.00,95.00,98.30,9200,96.86
2015-07-03,97.80,98.80,95.00,95.55,4500,94.15
2015-07-02,94.00,99.00,94.00,96.40,14800,94.99
2015-07-01,94.85,96.35,93.75,94.15,13000,92.77
2015-06-30,89.50,95.40,89.50,93.55,25600,92.18
2015-06-29,85.00,92.00,85.00,89.70,13400,88.38
2015-06-26,85.45,87.25,85.00,86.95,9600,85.67
2015-06-25,87.00,88.00,86.00,86.20,1400,84.94
2015-06-24,89.45,90.35,87.00,87.20,2500,85.92
2015-06-23,89.45,90.70,88.10,89.45,9900,88.14
2015-06-22,88.80,90.00,88.15,88.75,2700,87.45
2015-06-19,88.15,89.80,87.25,88.50,1000,87.20
2015-06-18,89.90,89.90,87.35,88.50,1600,87.20
2015-06-17,87.00,89.60,86.65,87.70,4900,86.41
2015-06-16,88.40,88.60,85.00,87.20,3500,85.92
2015-06-15,88.45,89.00,86.50,87.75,2000,86.46
2015-06-12,90.00,90.10,86.30,88.35,1200,87.05
2015-06-11,91.85,91.85,88.05,90.05,5100,88.73
2015-06-10,89.50,93.00,89.50,90.05,1800,88.73
2015-06-09,88.60,89.75,88.00,89.00,800,87.69
2015-06-08,88.75,91.95,85.00,88.50,5900,87.20
2015-06-05,90.80,92.50,88.05,88.95,6400,87.65
2015-06-04,89.70,92.50,88.10,92.10,5400,90.75
2015-06-03,92.00,92.00,89.50,90.75,7100,89.42
2015-06-02,91.90,94.95,91.90,92.30,7800,90.95
2015-06-01,98.50,101.10,93.00,93.95,22800,92.57
2015-05-29,94.00,102.00,93.10,96.00,76400,94.59
2015-05-28,88.85,90.55,88.25,88.55,1900,87.25
2015-05-27,90.20,91.50,89.35,89.80,11900,88.48
2015-05-26,89.15,92.40,89.10,91.00,7700,89.67
2015-05-25,89.65,91.65,89.60,91.00,1300,89.67
2015-05-22,90.10,92.80,90.05,91.40,3000,90.06
2015-05-21,92.00,92.60,90.00,90.75,700,89.42
2015-05-20,94.80,94.80,93.10,93.10,1300,91.73
2015-05-19,95.25,95.80,93.05,94.00,7200,92.62
2015-05-18,92.25,96.90,92.25,94.65,17400,93.26
2015-05-15,93.90,93.90,92.15,92.15,1100,90.80
2015-05-14,93.90,93.90,91.50,92.50,700,91.14
2015-05-13,91.70,95.70,90.20,91.70,5000,90.35
2015-05-12,94.20,94.55,92.00,92.10,900,90.75
2015-05-11,94.80,97.50,92.50,94.95,6900,93.56
2015-05-08,93.60,96.40,93.20,93.35,12900,91.98
2015-05-07,93.50,94.85,92.00,92.65,1700,91.29
2015-05-06,91.15,95.50,91.10,93.40,10400,92.03
2015-05-05,91.80,93.90,91.80,93.05,3400,91.68
2015-05-04,93.00,95.00,91.25,92.15,5100,90.80
2015-05-01,92.10,92.10,92.10,92.10,000,90.75
2015-04-30,92.00,94.80,90.35,92.10,3500,90.75
2015-04-29,91.75,92.45,89.20,90.10,300,88.78
2015-04-28,92.15,92.50,88.25,91.00,3300,89.67
2015-04-27,91.75,93.35,90.00,90.70,6000,89.37
2015-04-24,94.00,94.10,90.00,91.25,700,89.91
2015-04-23,95.40,96.50,93.05,94.30,9100,92.92
2015-04-22,93.30,96.90,93.00,93.35,3000,91.98
2015-04-21,95.50,97.40,93.85,94.05,9300,92.67
2015-04-20,101.80,101.90,94.95,95.20,2800,93.80
2015-04-17,99.35,102.30,98.05,100.25,83100,98.78
2015-04-16,99.15,101.45,95.80,97.50,4900,96.07
2015-04-15,99.80,101.00,98.00,99.00,14500,97.55
2015-04-14,97.20,97.20,97.20,97.20,000,95.77
2015-04-13,97.00,99.60,97.00,97.20,13600,95.77
2015-04-10,95.00,98.15,94.80,96.15,21100,94.74
2015-04-09,95.00,96.80,94.50,95.50,6500,94.10
2015-04-08,91.30,95.50,91.30,94.70,24400,93.31
2015-04-07,88.70,92.00,88.70,89.35,12500,88.04
2015-04-06,90.00,90.40,87.30,89.35,9300,88.04
2015-04-03,85.70,85.70,85.70,85.70,000,84.44
2015-04-02,85.70,85.70,85.70,85.70,000,84.44
2015-04-01,86.00,88.50,85.30,85.70,7700,84.44
2015-03-31,78.95,86.00,78.70,83.15,2900,81.93
2015-03-30,80.00,80.60,76.65,80.10,14800,78.92
2015-03-27,75.95,79.50,75.60,79.25,26900,78.09
2015-03-26,79.90,79.90,75.40,78.90,8900,77.74
2015-03-25,80.70,80.80,79.00,79.90,4300,78.73
2015-03-24,82.95,83.95,80.65,81.20,10600,80.01
2015-03-23,81.65,82.25,78.00,78.90,8100,77.74
2015-03-20,86.80,87.90,81.50,82.30,6800,81.09
2015-03-19,85.40,86.80,83.40,84.20,3700,82.96
2015-03-18,84.35,85.90,83.20,84.35,14600,83.11
2015-03-17,84.15,87.00,83.75,84.25,5600,83.01
2015-03-16,83.85,85.80,83.60,84.15,2400,82.92
2015-03-13,87.00,92.90,85.10,85.90,36200,84.64
2015-03-12,84.00,87.80,83.40,84.75,4300,83.51
2015-03-11,87.00,87.00,85.05,85.10,1600,83.85
2015-03-10,87.55,87.55,87.00,87.00,2600,85.72
2015-03-09,91.70,91.70,87.00,87.10,5900,85.82
2015-03-06,89.05,89.05,89.05,89.05,000,87.74
2015-03-05,95.45,95.45,89.00,89.05,28600,87.74
2015-03-04,93.65,93.65,89.00,89.80,5300,88.48
2015-03-03,94.70,94.75,91.00,91.20,4900,89.86
2015-03-02,88.00,95.00,86.30,93.15,39700,91.78
2015-02-27,90.65,91.25,87.25,87.70,1800,86.41
2015-02-26,93.80,93.80,88.00,90.05,1800,88.73
2015-02-25,93.25,93.25,91.70,92.95,700,91.59
2015-02-24,94.40,95.25,92.15,93.25,5600,91.88
2015-02-23,93.00,95.20,92.15,92.45,1400,91.09
2015-02-20,94.00,94.70,92.00,93.00,5400,91.64
2015-02-19,96.00,96.40,93.00,94.20,2400,92.82
2015-02-18,93.55,96.95,92.70,95.15,4500,93.75
2015-02-17,93.95,93.95,93.95,93.95,000,92.57
2015-02-16,93.00,95.00,92.50,93.95,1900,92.57
2015-02-13,93.00,95.50,92.15,92.50,5400,91.14
2015-02-12,93.60,93.60,92.00,92.45,4300,91.09
2015-02-11,93.95,95.00,92.25,93.15,1800,91.78
2015-02-10,92.40,95.00,91.15,92.10,1800,90.75
2015-02-09,93.25,98.00,91.30,92.15,4000,90.80
2015-02-06,98.30,98.40,94.00,94.10,4600,92.72
2015-02-05,98.40,100.70,95.15,98.00,16200,96.56
2015-02-04,94.90,101.90,93.90,97.25,62500,95.82
2015-02-03,93.25,94.20,92.30,93.15,4100,91.78
2015-02-02,92.00,95.20,90.20,92.35,6600,91.00
2015-01-30,93.00,94.90,92.00,92.35,2500,91.00
2015-01-29,94.20,94.70,92.45,93.20,1400,91.83
2015-01-28,97.50,97.50,93.80,93.90,7500,92.52
2015-01-27,99.00,99.00,96.00,96.20,8600,94.79
2015-01-26,99.20,99.20,99.20,99.20,000,97.74
2015-01-23,103.45,103.50,98.00,99.20,4100,97.74
2015-01-22,100.40,101.60,99.60,100.40,12600,98.93
2015-01-21,100.50,102.00,99.05,100.35,46600,98.88
2015-01-20,98.90,103.40,98.90,100.80,55700,99.32
2015-01-19,97.45,100.00,82.00,96.70,41600,95.28
2015-01-16,97.00,98.90,95.60,96.25,10900,94.84
2015-01-15,97.70,98.60,96.40,96.55,9700,95.13
2015-01-14,97.70,101.00,96.20,97.90,27700,96.46
2015-01-13,99.95,101.00,96.20,96.80,11300,95.38
2015-01-12,97.40,100.50,96.65,99.30,17300,97.84
2015-01-09,98.00,101.15,97.70,97.75,20900,96.32
2015-01-08,96.00,97.80,94.30,95.65,13100,94.25
2015-01-07,94.00,96.45,93.00,95.30,10500,93.90
2015-01-06,97.90,99.55,92.50,92.50,27400,91.14
2015-01-05,102.00,103.00,98.60,98.85,6600,97.40
2015-01-02,98.75,103.00,98.75,100.35,18700,98.88
2015-01-01,99.95,100.30,98.30,98.95,7600,97.50
2014-12-31,98.30,102.00,98.05,99.85,32200,98.39
2014-12-30,100.45,100.95,97.75,98.60,21500,97.15
2014-12-29,104.00,104.65,98.25,100.25,53900,98.78
2014-12-26,99.00,106.00,96.90,102.70,57100,101.19
2014-12-25,98.35,98.35,98.35,98.35,000,96.91
2014-12-24,100.00,102.50,98.00,98.35,18000,96.91
2014-12-23,100.50,102.90,99.00,99.75,42700,98.29
2014-12-22,100.50,104.00,99.00,101.70,110700,100.21
2014-12-19,94.95,101.00,89.45,98.50,103600,97.06
2014-12-18,95.00,99.00,92.85,93.25,156000,91.88
2014-12-17,76.00,92.40,72.40,92.40,185500,91.04
2014-12-16,80.00,81.40,76.65,77.00,4100,75.87
2014-12-15,80.20,80.95,78.10,79.85,3600,78.68
2014-12-12,82.80,83.65,78.00,79.55,10500,78.38
2014-12-11,82.00,84.10,80.45,82.80,16600,81.59
2014-12-10,80.50,82.70,79.00,82.40,7800,81.19
2014-12-09,77.00,84.80,77.00,80.00,44400,78.83
2014-12-08,78.90,78.90,76.00,76.30,2000,75.18
2014-12-05,78.00,79.40,76.50,76.80,5700,75.67
2014-12-04,78.10,79.90,78.00,78.15,2000,77.00
2014-12-03,76.70,80.00,76.00,78.90,10800,77.74
2014-12-02,79.10,79.10,77.00,77.45,2900,76.31
2014-12-01,80.55,80.70,78.00,78.35,3700,77.20
2014-11-28,80.25,80.25,79.25,79.95,4800,78.78
2014-11-27,80.25,81.00,79.05,79.20,3500,78.04
2014-11-26,79.05,81.00,79.05,80.05,12400,78.88
2014-11-25,81.45,81.45,78.75,79.75,8900,77.10
2014-11-24,79.70,81.90,79.35,80.95,3900,78.26
2014-11-21,81.00,85.00,79.80,80.25,2600,77.59
2014-11-20,79.50,80.30,79.50,80.00,4000,77.34
2014-11-19,82.00,84.00,79.90,80.00,9300,77.34
2014-11-18,79.10,82.40,79.10,81.05,33700,78.36
2014-11-17,80.10,80.50,77.50,78.30,10200,75.70
2014-11-14,83.55,83.70,81.00,82.15,5400,79.42
