Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,19.85,20.85,19.80,20.00,381900,20.00
2015-07-16,20.70,20.90,20.05,20.30,455200,20.30
2015-07-15,21.55,21.65,19.40,19.90,734800,19.90
2015-07-14,19.50,21.75,19.45,21.50,943400,21.50
2015-07-13,19.70,19.70,19.30,19.50,104400,19.50
2015-07-10,19.00,20.15,18.50,19.60,494400,19.60
2015-07-09,19.10,19.75,18.65,18.90,264600,18.90
2015-07-08,19.75,20.00,18.60,18.95,619700,18.95
2015-07-07,18.15,20.05,18.15,20.05,969400,20.05
2015-07-06,17.35,18.20,17.35,18.05,179700,18.05
2015-07-03,17.70,18.55,17.50,17.80,260100,17.80
2015-07-02,17.30,17.80,17.30,17.45,69100,17.45
2015-07-01,17.15,17.80,17.15,17.45,93100,17.45
2015-06-30,16.95,17.45,16.95,17.25,65700,17.25
2015-06-29,16.90,17.00,16.55,16.85,69100,16.85
2015-06-26,17.35,17.95,17.15,17.30,126600,17.30
2015-06-25,17.40,17.60,17.25,17.35,103000,17.35
2015-06-24,17.85,18.50,17.45,17.60,208000,17.60
2015-06-23,17.00,18.00,16.90,17.70,215700,17.70
2015-06-22,16.80,17.30,16.75,17.10,74400,17.10
2015-06-19,16.75,17.20,16.35,16.85,117800,16.85
2015-06-18,15.70,17.45,0.01,16.65,308200,16.65
2015-06-17,15.70,15.85,15.50,15.65,56600,15.65
2015-06-16,15.55,15.55,15.20,15.50,136800,15.50
2015-06-15,15.30,15.65,15.30,15.55,56900,15.55
2015-06-12,15.75,15.85,15.00,15.25,108700,15.25
2015-06-11,16.15,16.15,15.65,15.75,105800,15.75
2015-06-10,16.10,16.20,16.00,16.10,46300,16.10
2015-06-09,16.05,16.20,15.85,15.90,67900,15.90
2015-06-08,16.30,16.30,16.00,16.10,59800,16.10
2015-06-05,16.30,16.65,16.10,16.30,114900,16.30
2015-06-04,16.45,16.60,16.25,16.35,84300,16.35
2015-06-03,17.20,17.20,16.10,16.40,157100,16.40
2015-06-02,17.35,17.45,17.05,17.20,51300,17.20
2015-06-01,17.80,18.05,17.20,17.25,114300,17.25
2015-05-29,17.90,18.15,17.55,17.65,65800,17.65
2015-05-28,17.90,18.00,17.65,17.85,36900,17.85
2015-05-27,18.40,18.45,17.80,17.95,130800,17.95
2015-05-26,18.60,18.95,18.30,18.50,128300,18.50
2015-05-25,18.60,19.40,18.40,18.60,545400,18.60
2015-05-22,17.85,18.00,17.50,17.60,47500,17.60
2015-05-21,18.25,18.30,17.75,17.85,115000,17.85
2015-05-20,17.90,18.20,17.90,18.00,84600,18.00
