Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,175.40,201.70,174.10,193.10,45300,193.10
2015-07-16,172.90,176.00,172.00,174.20,1400,174.20
2015-07-15,174.00,176.60,171.50,174.40,3300,174.40
2015-07-14,176.00,180.00,173.00,176.10,2700,176.10
2015-07-13,178.90,179.80,173.90,177.80,2300,177.80
2015-07-10,174.10,176.80,171.10,172.00,2700,172.00
2015-07-09,174.80,183.90,165.10,171.50,10300,171.50
2015-07-08,177.00,177.00,172.50,174.60,6000,174.60
2015-07-07,183.00,187.70,177.00,178.10,14900,178.10
2015-07-06,165.80,181.00,165.00,178.20,32000,178.20
2015-07-03,150.50,174.00,150.50,166.40,39500,166.40
2015-07-02,146.50,152.00,146.50,151.00,1400,151.00
2015-07-01,147.80,149.90,147.50,147.90,900,147.90
2015-06-30,148.00,151.00,145.20,148.00,500,148.00
2015-06-29,140.10,152.00,140.00,149.40,5200,149.40
2015-06-26,140.40,145.10,140.00,143.60,400,143.60
2015-06-25,158.00,158.00,140.20,143.00,1700,143.00
2015-06-24,146.50,146.50,141.30,142.10,2200,142.10
2015-06-23,140.50,144.50,138.20,143.60,2200,143.60
2015-06-22,142.20,148.90,138.00,140.20,2500,140.20
2015-06-19,138.80,146.00,138.10,144.40,2500,144.40
2015-06-18,133.70,139.30,133.70,136.60,500,136.60
2015-06-17,134.10,135.00,132.10,133.60,900,132.10
2015-06-16,132.10,139.80,132.10,134.90,600,133.39
2015-06-15,132.00,135.60,132.00,133.00,700,131.51
2015-06-12,135.00,135.00,130.50,130.80,400,129.33
2015-06-11,133.10,136.50,130.00,131.30,2500,129.83
2015-06-10,134.40,135.00,134.40,135.00,000,133.48
2015-06-09,134.90,134.90,134.90,134.90,000,133.39
2015-06-08,135.00,135.00,131.30,134.90,100,133.39
2015-06-05,134.30,138.00,134.00,136.00,500,134.47
2015-06-04,133.40,139.90,133.40,138.50,600,136.94
2015-06-03,141.50,142.00,130.00,137.80,6600,136.25
2015-06-02,148.90,149.00,144.70,144.80,1200,143.17
2015-06-01,148.00,149.90,147.20,149.80,300,148.12
2015-05-29,147.90,148.00,144.00,147.90,1700,146.24
2015-05-28,148.00,149.80,145.60,145.60,400,143.97
2015-05-27,144.30,148.00,144.00,147.00,900,145.35
2015-05-26,144.10,147.70,141.60,146.90,400,145.25
2015-05-25,146.80,148.60,144.30,144.40,300,142.78
2015-05-22,150.90,151.00,143.10,147.40,2600,145.75
2015-05-21,149.90,150.50,145.10,149.30,2100,147.62
2015-05-20,147.30,150.00,147.10,147.30,2800,145.65
2015-05-19,148.00,151.70,146.50,148.70,5600,147.03
2015-05-18,140.00,152.00,140.00,149.50,5200,147.82
2015-05-15,142.00,142.00,138.80,139.00,1600,137.44
2015-05-14,140.50,141.00,138.00,141.00,300,139.42
2015-05-13,136.60,140.40,136.00,139.70,900,138.13
2015-05-12,144.00,144.00,135.30,138.10,4600,136.55
2015-05-11,144.90,144.90,141.60,144.80,400,143.17
2015-05-08,135.00,145.00,135.00,142.10,2400,140.50
2015-05-07,139.40,139.40,132.00,132.40,3600,130.91
2015-05-06,141.00,141.00,137.00,137.70,1900,136.15
2015-05-05,152.50,153.00,142.00,143.60,4100,141.99
