Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,43.80,43.80,42.00,42.50,21100,42.50
2015-07-16,43.50,44.50,42.70,43.70,35100,43.70
2015-07-15,43.75,44.60,42.60,42.90,33200,42.90
2015-07-14,44.45,45.65,43.60,43.95,31400,43.95
2015-07-13,46.30,47.00,44.00,44.45,74500,44.45
2015-07-10,41.75,45.70,40.85,44.45,222900,44.45
2015-07-09,42.55,42.85,41.50,41.55,10600,41.55
2015-07-08,42.50,43.70,41.50,41.95,17900,41.95
2015-07-07,42.35,44.30,42.30,42.70,22300,42.70
2015-07-06,42.15,42.90,41.60,42.25,22500,42.25
2015-07-03,42.90,44.70,42.70,43.00,23400,43.00
2015-07-02,45.95,45.95,42.00,42.40,33900,42.40
2015-07-01,42.85,44.15,42.60,44.15,10300,44.15
2015-06-30,42.55,42.85,41.80,42.05,10100,42.05
2015-06-29,44.80,44.80,41.85,42.05,21600,42.05
2015-06-26,43.15,44.30,42.60,43.90,16300,43.90
2015-06-25,44.45,44.65,43.00,43.25,17900,43.25
2015-06-24,46.00,46.90,44.00,44.55,27200,44.55
2015-06-23,43.95,46.40,43.50,45.70,51800,45.70
2015-06-22,44.10,45.80,43.10,44.20,29900,44.20
2015-06-19,43.70,45.20,41.50,44.85,99100,44.85
2015-06-18,40.50,43.05,0.01,43.05,19600,43.05
2015-06-17,40.90,41.50,39.80,41.00,27700,41.00
2015-06-16,41.00,41.00,38.00,40.10,20200,40.10
2015-06-15,41.05,41.05,39.30,39.65,14000,39.65
2015-06-12,41.65,42.45,41.10,41.25,14100,41.25
2015-06-11,45.10,45.20,43.10,43.15,19900,43.15
2015-06-10,45.00,47.65,43.60,45.35,61300,45.35
2015-06-09,44.90,45.75,44.15,45.75,62600,45.75
2015-06-08,42.75,43.60,41.00,43.60,87400,43.60
2015-06-05,40.00,41.55,39.60,41.55,11800,41.55
2015-06-04,39.00,39.60,37.90,39.60,45500,39.60
2015-06-03,36.30,40.50,36.30,37.75,129900,37.75
2015-06-02,42.15,42.15,40.30,40.30,41400,40.30
2015-06-01,47.50,47.50,44.75,44.75,127400,44.75
2015-05-29,48.65,51.00,47.90,49.70,24400,49.70
2015-05-28,49.80,49.80,47.35,47.60,4300,47.60
