Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,514.00,515.00,500.00,507.80,3300,507.80
2015-07-16,504.20,508.90,499.80,507.30,1500,507.30
2015-07-15,500.00,501.00,489.30,498.10,1900,498.10
2015-07-14,500.00,501.00,490.00,498.50,1400,498.50
2015-07-13,492.70,501.00,492.70,497.30,800,497.30
2015-07-10,496.00,503.00,493.00,500.80,300,500.80
2015-07-09,501.40,501.40,488.00,496.80,000,496.80
2015-07-08,501.80,508.00,490.00,498.90,1400,498.90
2015-07-07,500.00,511.00,499.00,507.00,1900,507.00
2015-07-06,480.00,498.00,480.00,495.00,300,495.00
2015-07-03,499.00,499.00,485.20,489.60,600,489.60
2015-07-02,485.00,504.50,485.00,500.10,2100,500.10
2015-07-01,475.00,495.00,470.00,482.60,2100,482.60
2015-06-30,454.50,483.50,447.10,472.70,2800,472.70
2015-06-29,460.80,460.90,448.10,450.00,700,450.00
2015-06-26,470.00,474.50,457.10,462.10,800,462.10
2015-06-25,461.00,473.00,450.00,469.50,500,469.50
2015-06-24,463.00,468.90,461.00,462.70,600,462.70
2015-06-23,465.00,468.00,460.00,463.90,600,463.90
2015-06-22,452.00,464.00,452.00,461.30,1400,461.30
2015-06-19,458.00,463.90,451.70,455.00,500,455.00
2015-06-18,449.80,458.80,0.01,450.90,1800,450.90
2015-06-17,443.50,454.80,438.40,446.50,2900,446.50
2015-06-16,444.30,452.30,436.00,436.60,1000,436.60
2015-06-15,435.00,452.60,431.00,451.90,1300,451.90
2015-06-12,430.40,432.00,420.00,429.90,700,429.90
2015-06-11,439.50,439.50,427.00,431.10,200,431.10
2015-06-10,434.50,446.90,430.00,432.80,500,432.80
2015-06-09,445.00,445.00,420.00,430.50,500,430.50
2015-06-08,430.00,440.00,422.50,440.00,000,440.00
2015-06-05,432.10,439.00,427.50,437.00,800,437.00
2015-06-04,436.00,445.00,418.60,430.90,3200,430.90
2015-06-03,455.00,455.00,401.00,429.60,4100,429.60
2015-06-02,459.50,459.50,446.30,450.10,300,450.10
2015-06-01,463.00,463.00,452.70,454.70,200,454.70
2015-05-29,455.00,461.70,455.00,459.00,600,459.00
2015-05-28,465.00,469.80,452.00,457.40,400,457.40
2015-05-27,455.00,463.00,453.00,460.40,200,460.40
2015-05-26,470.00,470.00,456.00,457.50,500,457.50
2015-05-25,465.20,468.00,456.00,460.00,1400,460.00
2015-05-22,471.00,475.00,465.00,467.80,600,467.80
2015-05-21,472.00,478.00,469.00,469.40,2100,469.40
2015-05-20,450.00,475.00,448.00,471.00,5100,471.00
2015-05-19,450.00,455.00,437.10,446.00,2300,446.00
2015-05-18,449.10,453.00,445.00,448.00,800,448.00
2015-05-15,444.00,451.00,440.10,441.90,2100,441.90
2015-05-14,422.60,461.00,422.60,442.60,6800,442.60
2015-05-13,425.00,428.60,417.00,426.50,1500,426.50
2015-05-12,432.00,432.00,423.00,425.20,2300,425.20
2015-05-11,419.00,431.90,410.30,430.20,6500,430.20
2015-05-08,399.90,403.90,396.00,396.00,100,396.00
