Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,170.90,177.80,170.90,174.65,211400,174.65
2015-07-16,168.00,171.00,167.00,169.40,82400,169.40
2015-07-15,169.40,170.60,164.45,166.90,79300,166.90
2015-07-14,171.60,172.90,166.30,167.90,94600,167.90
2015-07-13,167.00,171.95,166.80,170.50,123700,170.50
2015-07-10,163.20,167.75,163.20,166.70,92200,166.70
2015-07-09,160.10,164.70,160.00,161.70,97000,161.70
2015-07-08,164.40,167.85,159.25,160.50,94100,160.50
2015-07-07,173.00,173.00,165.50,166.15,110800,166.15
2015-07-06,159.45,173.00,159.45,171.75,259500,171.75
2015-07-03,166.00,166.10,160.60,162.95,159700,162.95
2015-07-02,166.10,168.25,164.25,165.60,172000,165.60
2015-07-01,158.70,165.90,158.50,164.60,184200,164.60
2015-06-30,157.10,159.40,154.00,157.95,102700,157.95
2015-06-29,150.00,157.40,147.75,155.95,109900,155.95
2015-06-26,163.10,163.25,156.10,157.35,144200,157.35
2015-06-25,161.95,168.00,160.80,164.20,560400,164.20
2015-06-24,154.70,161.20,151.15,159.65,361800,159.65
2015-06-23,149.00,154.00,149.00,152.75,84700,152.75
2015-06-22,148.00,149.20,143.60,148.55,91300,148.55
2015-06-19,145.90,146.05,141.75,143.25,61400,143.25
2015-06-18,145.00,147.10,144.00,144.70,66400,144.70
2015-06-17,142.90,145.85,142.00,144.40,86300,144.40
2015-06-16,139.10,145.00,138.80,141.10,94700,141.10
2015-06-15,139.80,141.15,137.90,139.60,56400,139.60
2015-06-12,138.00,140.60,135.85,139.45,57400,139.45
2015-06-11,138.10,142.30,138.05,139.10,126100,139.10
2015-06-10,138.00,139.50,135.60,138.00,64700,138.00
2015-06-09,133.00,136.90,133.00,135.10,55900,135.10
2015-06-08,136.00,136.00,131.80,134.90,66700,134.90
2015-06-05,130.70,133.90,129.65,131.40,83000,131.40
2015-06-04,129.50,132.35,128.50,131.05,113600,131.05
2015-06-03,141.00,141.05,126.05,129.65,224500,129.65
2015-06-02,141.80,144.45,140.35,140.85,83200,140.85
2015-06-01,146.50,147.65,140.50,141.35,133000,141.35
2015-05-29,154.00,155.40,144.35,146.05,274500,146.05
2015-05-28,156.85,157.40,147.00,147.30,139100,147.30
2015-05-27,149.10,156.90,149.10,155.35,103800,155.35
2015-05-26,154.05,156.05,151.25,152.90,68400,152.90
2015-05-25,157.85,159.00,152.00,154.90,143100,154.90
2015-05-22,153.00,158.45,152.10,157.30,130900,157.30
2015-05-21,152.30,153.50,149.30,152.15,73300,152.15
2015-05-20,153.05,153.90,150.00,151.55,65200,151.55
2015-05-19,149.00,154.60,148.00,151.45,124100,151.45
2015-05-18,149.00,151.00,148.20,149.90,70900,149.90
2015-05-15,147.50,151.20,145.70,147.20,82300,147.20
2015-05-14,146.00,149.00,144.85,147.10,63700,147.10
2015-05-13,147.50,149.30,143.45,146.80,65700,146.80
2015-05-12,151.05,151.10,145.00,146.55,59500,146.55
2015-05-11,146.10,151.00,145.50,150.00,89400,150.00
2015-05-08,144.00,146.60,143.25,144.55,62200,144.55
2015-05-07,148.40,148.40,139.35,140.90,106300,140.90
2015-05-06,158.45,158.55,147.00,148.35,114300,148.35
2015-05-05,157.50,162.30,157.00,159.95,92800,159.95
2015-05-04,155.50,161.00,155.50,159.05,112400,159.05
2015-05-01,155.90,155.90,155.90,155.90,000,155.90
2015-04-30,148.30,157.85,148.30,155.90,109900,155.90
2015-04-29,148.50,153.85,147.50,151.30,95100,151.30
2015-04-28,142.10,148.45,140.00,147.20,115900,147.20
2015-04-27,155.15,155.15,144.00,144.85,127300,144.85
2015-04-24,159.50,159.90,152.70,154.50,81500,154.50
2015-04-23,162.50,165.65,157.70,159.30,88200,159.30
2015-04-22,165.00,169.70,160.70,162.10,137600,162.10
2015-04-21,163.55,171.45,161.15,163.60,96400,163.60
2015-04-20,171.45,171.45,164.00,165.65,84400,165.65
2015-04-17,172.60,174.70,169.80,170.85,75800,170.85
2015-04-16,177.95,178.75,172.15,173.90,69900,173.90
2015-04-15,176.30,182.60,176.30,177.95,180300,177.95
2015-04-14,175.70,175.70,175.70,175.70,000,175.70
2015-04-13,176.20,179.30,174.10,175.70,116900,175.70
2015-04-10,177.20,179.40,174.80,176.20,119000,176.20
2015-04-09,185.50,186.15,176.00,177.50,201700,177.50
2015-04-08,176.90,190.00,176.90,184.00,391500,184.00
2015-04-07,176.10,177.95,173.30,175.95,122800,175.95
2015-04-06,170.10,178.05,170.10,175.05,206400,175.05
2015-04-03,171.40,171.40,171.40,171.40,000,171.40
2015-04-02,171.40,171.40,171.40,171.40,000,171.40
2015-04-01,163.05,172.50,163.05,171.40,182300,171.40
2015-03-31,166.45,169.70,165.05,166.95,133700,166.95
2015-03-30,161.00,166.50,161.00,165.05,85100,165.05
2015-03-27,162.00,165.00,156.30,160.75,146200,160.75
2015-03-26,168.00,168.30,160.00,160.95,111100,160.95
2015-03-25,168.00,171.95,166.65,169.15,129100,169.15
2015-03-24,172.55,175.95,165.30,166.95,196300,166.95
2015-03-23,163.80,172.45,163.35,170.85,265700,170.85
2015-03-20,170.00,173.45,162.00,163.00,242800,163.00
2015-03-19,176.50,179.90,171.50,172.80,157600,172.80
2015-03-18,182.40,182.40,174.00,175.05,299100,175.05
2015-03-17,184.50,191.95,180.10,182.20,758300,182.20
2015-03-16,173.00,183.90,170.40,182.15,552800,182.15
2015-03-13,175.95,180.90,170.10,171.45,509000,171.45
2015-03-12,164.40,176.05,164.40,174.25,580800,174.25
2015-03-11,165.70,168.00,163.80,164.75,149700,164.75
2015-03-10,165.20,169.30,162.20,165.40,285100,165.40
2015-03-09,159.80,172.00,157.65,164.20,542400,164.20
2015-03-06,159.65,159.65,159.65,159.65,000,159.65
2015-03-05,159.65,162.00,155.90,159.65,154500,159.65
2015-03-04,161.15,163.85,157.55,158.45,163400,158.45
2015-03-03,155.25,163.50,154.65,161.65,181300,161.65
2015-03-02,152.60,155.60,152.05,154.20,66300,154.20
2015-02-27,154.20,156.70,152.30,154.80,129600,154.80
2015-02-26,154.90,155.05,152.00,153.15,83100,153.15
2015-02-25,159.70,161.85,153.00,153.85,130500,153.85
2015-02-24,161.75,163.35,158.00,159.15,84100,159.15
2015-02-23,164.40,167.05,160.80,161.35,147600,161.35
2015-02-20,160.60,167.00,159.50,162.95,170900,162.95
2015-02-19,165.00,165.05,159.30,161.35,105700,161.35
2015-02-18,164.10,168.30,163.25,163.85,157100,163.85
2015-02-17,163.65,163.65,163.65,163.65,000,163.65
2015-02-16,165.50,168.70,162.80,163.65,288900,163.65
2015-02-13,162.50,172.60,159.95,164.80,982000,164.80
2015-02-12,161.50,163.75,158.10,161.25,159300,161.25
2015-02-11,160.05,161.70,158.25,160.25,110000,160.25
2015-02-10,162.00,164.50,155.25,158.95,232300,158.95
2015-02-09,160.00,166.80,155.10,161.60,248500,161.60
2015-02-06,169.00,172.00,158.00,160.10,304900,160.10
2015-02-05,156.75,174.70,156.75,166.25,1152900,166.25
2015-02-04,156.20,162.00,155.00,155.85,245000,155.85
2015-02-03,160.70,160.70,153.90,155.05,190800,155.05
2015-02-02,153.40,164.50,149.35,159.75,606200,159.75
2015-01-30,154.00,160.00,150.70,153.35,501300,153.35
2015-01-29,161.00,161.00,152.05,153.00,484800,153.00
2015-01-28,138.50,163.90,138.00,160.40,1578900,160.40
2015-01-27,138.00,139.00,137.00,138.10,113500,138.10
2015-01-26,136.65,136.65,136.65,136.65,000,136.65
2015-01-23,137.00,139.45,135.70,136.65,394400,136.65
2015-01-22,128.70,135.00,128.25,133.10,267400,133.10
2015-01-21,132.90,132.90,127.50,128.55,68500,128.55
2015-01-20,128.50,131.85,127.80,129.60,183200,129.60
2015-01-19,132.00,133.15,125.65,126.65,220100,126.65
2015-01-16,136.80,136.80,131.40,131.95,61700,131.95
2015-01-15,136.60,138.25,135.00,135.60,51000,135.60
2015-01-14,138.00,138.00,133.80,135.75,60300,135.75
2015-01-13,140.00,140.60,136.05,137.15,73900,137.15
2015-01-12,138.00,141.30,135.60,139.45,97000,139.45
2015-01-09,140.50,141.75,136.55,137.70,95800,137.70
2015-01-08,131.55,139.70,131.55,138.05,157600,138.05
2015-01-07,133.00,133.35,128.10,131.35,116800,131.35
2015-01-06,138.20,138.25,133.65,134.35,134300,134.35
2015-01-05,144.00,144.00,138.40,140.70,131800,140.70
2015-01-02,140.00,145.00,139.20,143.10,326800,143.10
2015-01-01,130.50,140.25,128.50,137.95,472600,137.95
2014-12-31,121.50,133.00,121.35,130.80,305000,130.80
2014-12-30,123.00,123.00,120.55,121.35,54900,121.35
2014-12-29,121.00,124.40,121.00,121.30,96200,121.30
2014-12-26,122.00,123.70,120.70,121.45,111200,121.45
2014-12-25,123.20,123.20,123.20,123.20,000,123.20
2014-12-24,122.30,124.60,121.75,123.20,71200,123.20
2014-12-23,124.30,124.45,120.50,121.75,51600,121.75
2014-12-22,123.30,125.00,122.25,123.95,73800,123.95
2014-12-19,126.65,129.00,121.20,122.20,94400,122.20
2014-12-18,126.90,127.70,123.60,126.80,120600,126.80
2014-12-17,116.20,123.30,102.80,121.15,468000,121.15
2014-12-16,122.60,123.40,115.90,117.50,173800,117.50
2014-12-15,126.50,126.85,123.00,123.65,95500,123.65
2014-12-12,131.70,132.60,127.35,127.80,100700,127.80
2014-12-11,128.80,131.60,126.00,130.50,134300,130.50
2014-12-10,127.70,129.75,127.70,128.35,106800,128.35
2014-12-09,133.85,134.90,128.55,128.95,135700,128.95
2014-12-08,133.10,135.50,132.35,134.10,119600,134.10
2014-12-05,134.10,137.60,132.30,132.95,159500,132.95
2014-12-04,138.40,139.00,134.55,135.00,141300,135.00
2014-12-03,139.20,141.60,136.30,137.25,161700,137.25
2014-12-02,136.00,140.60,136.00,138.05,114000,138.05
2014-12-01,137.10,159.80,133.80,135.75,103900,135.75
2014-11-28,142.10,143.50,137.90,138.45,139500,138.45
2014-11-27,141.15,147.35,140.55,143.10,212700,143.10
2014-11-26,139.50,143.30,139.30,141.45,135900,141.45
2014-11-25,139.20,141.30,137.10,139.15,90900,139.15
2014-11-24,137.80,141.90,137.75,140.30,121900,140.30
2014-11-21,141.50,143.50,137.50,138.25,168200,138.25
2014-11-20,141.65,143.95,141.00,142.30,104800,142.30
2014-11-19,142.65,145.70,142.00,142.55,186800,142.55
2014-11-18,142.95,144.45,141.50,142.30,122500,142.30
2014-11-17,140.00,144.50,140.00,141.90,185100,141.90
2014-11-14,140.00,145.60,136.60,139.05,349700,139.05
2014-11-13,158.50,159.30,137.70,138.75,666300,138.75
2014-11-12,163.70,163.80,156.75,157.70,202100,157.70
2014-11-11,163.85,163.90,161.70,162.80,78800,162.80
2014-11-10,161.00,166.05,160.70,163.45,183600,163.45
2014-11-07,163.50,164.55,159.45,160.90,109800,160.90
2014-11-06,164.30,164.30,164.30,164.30,000,164.30
2014-11-05,167.25,169.50,163.20,164.30,191300,164.30
2014-11-04,166.05,166.05,166.05,166.05,000,166.05
2014-11-03,158.35,166.90,157.15,166.05,241100,166.05
2014-10-31,159.55,160.35,156.85,157.30,69500,157.30
2014-10-30,160.05,160.50,157.55,158.30,47000,158.30
2014-10-29,160.10,163.10,158.20,159.60,146500,159.60
2014-10-28,160.60,162.50,157.90,158.75,99200,158.75
2014-10-27,159.00,162.15,155.85,159.90,176800,159.90
2014-10-24,153.75,153.75,153.75,153.75,000,153.75
2014-10-23,153.75,153.75,153.75,153.75,000,153.75
2014-10-22,154.50,156.50,152.65,153.75,119800,153.75
2014-10-21,154.25,155.35,151.10,152.65,118800,152.65
2014-10-20,154.30,159.50,152.00,152.95,106200,152.95
2014-10-17,152.50,159.20,150.20,152.80,126900,152.80
2014-10-16,165.10,165.20,156.50,157.35,177400,157.35
2014-10-15,166.90,166.90,166.90,166.90,000,166.90
2014-10-14,166.00,171.65,166.00,166.90,91900,166.90
2014-10-13,170.00,172.30,166.50,168.15,106200,168.15
2014-10-10,168.00,174.25,165.05,171.55,228400,171.55
2014-10-09,163.00,171.75,163.00,170.25,154200,170.25
2014-10-08,170.70,172.80,160.60,162.00,175100,162.00
2014-10-07,175.00,178.20,169.75,170.85,136700,170.85
2014-10-06,176.30,176.30,176.30,176.30,000,176.30
2014-10-03,176.30,176.30,176.30,176.30,000,176.30
2014-10-02,176.30,176.30,176.30,176.30,000,176.30
2014-10-01,180.90,183.20,175.50,176.30,108300,176.30
2014-09-30,181.00,184.50,177.30,182.50,257400,182.50
2014-09-29,176.45,183.50,171.00,180.75,209200,180.75
2014-09-26,180.00,182.50,173.05,175.20,255700,175.20
2014-09-25,174.95,187.00,174.00,179.95,477900,179.95
2014-09-24,180.05,180.20,168.20,173.40,170300,173.40
2014-09-23,189.35,190.15,177.40,179.00,216200,179.00
2014-09-22,191.20,197.00,186.70,188.15,394100,188.15
2014-09-19,173.00,193.00,172.15,189.25,725500,189.25
2014-09-18,167.90,175.95,165.00,172.70,343600,172.70
2014-09-17,165.55,169.80,163.15,167.55,185700,167.55
2014-09-16,177.00,178.15,160.15,163.30,215900,163.30
2014-09-15,169.50,179.10,169.50,176.60,462300,176.60
2014-09-12,174.20,174.20,169.60,170.35,186500,170.35
2014-09-11,170.40,174.80,169.50,172.90,212700,172.90
2014-09-10,170.70,172.45,168.00,169.20,158800,169.20
2014-09-09,173.45,174.40,169.70,171.25,197900,171.25
2014-09-08,171.60,176.30,167.90,172.75,454500,172.75
2014-09-05,165.90,171.50,161.20,170.35,541200,170.35
2014-09-04,163.70,167.90,162.90,165.30,543800,165.30
2014-09-03,157.40,164.10,156.55,162.20,396900,162.20
2014-09-02,156.05,161.90,155.60,156.35,237500,156.35
2014-09-01,152.00,157.80,150.10,155.85,245200,155.85
2014-08-29,151.50,151.50,151.50,151.50,000,151.50
2014-08-28,155.90,157.30,150.60,151.50,205600,151.50
2014-08-27,161.05,161.45,155.10,156.45,218700,156.45
2014-08-26,155.90,162.15,154.05,159.55,632500,159.55
2014-08-25,145.70,157.35,145.70,154.80,916400,154.80
2014-08-22,146.95,149.50,145.00,145.90,205500,145.90
2014-08-21,142.45,147.90,142.45,146.10,368200,146.10
2014-08-20,139.80,145.70,139.00,142.20,387200,141.00
2014-08-19,139.30,141.20,138.15,139.00,173000,136.64
2014-08-18,129.70,139.00,129.50,137.95,297000,135.60
2014-08-15,129.00,129.00,129.00,129.00,000,126.81
2014-08-14,129.00,132.60,128.05,129.00,220600,126.81
2014-08-13,146.40,148.55,126.00,128.25,525400,126.07
2014-08-12,147.45,148.25,145.45,146.75,152900,144.26
2014-08-11,141.75,147.15,141.75,145.80,228300,143.32
2014-08-08,141.10,142.90,139.20,140.15,145000,137.77
2014-08-07,147.00,148.55,142.50,142.90,146400,140.47
2014-08-06,142.00,149.70,142.00,146.50,341700,144.01
2014-08-05,142.80,146.50,140.00,141.95,164200,139.54
2014-08-04,140.10,145.30,140.10,142.00,154400,139.59
2014-08-01,142.40,145.50,140.20,141.05,186700,138.65
2014-07-31,145.05,149.90,143.30,144.35,224400,141.90
2014-07-30,151.15,151.75,146.00,146.60,155400,144.11
2014-07-29,151.15,151.15,151.15,151.15,000,148.58
2014-07-28,151.35,154.40,150.00,151.15,277300,148.58
2014-07-25,150.40,154.55,146.35,150.75,614800,148.19
2014-07-24,147.65,152.40,145.35,149.65,285500,147.11
2014-07-23,152.55,152.55,144.50,146.80,264100,144.30
2014-07-22,151.80,159.80,149.10,151.70,699000,149.12
2014-07-21,140.00,153.35,140.00,150.05,782000,147.50
2014-07-18,137.25,140.00,134.25,138.65,188800,136.29
