Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,247.60,251.00,231.60,233.00,121800,232.30
2015-07-16,232.20,244.50,230.60,242.90,98800,242.17
2015-07-15,233.40,243.50,215.00,229.20,35200,228.51
2015-07-14,238.60,240.80,229.80,232.10,18200,231.40
2015-07-13,245.00,247.70,235.00,237.40,33100,236.69
2015-07-10,232.00,251.00,227.80,245.30,85800,244.56
2015-07-09,224.10,236.00,224.10,230.30,31100,229.61
2015-07-08,230.00,241.80,222.20,226.20,59700,225.52
2015-07-07,235.00,251.40,229.50,234.90,100800,234.19
2015-07-06,203.00,243.00,195.30,236.50,197600,235.79
2015-07-03,196.60,217.80,196.60,206.10,106300,205.48
2015-07-02,200.20,201.40,195.10,196.60,18800,196.01
2015-07-01,197.10,202.80,197.10,198.00,44200,197.41
2015-06-30,193.40,196.00,186.90,195.20,21300,194.61
2015-06-29,184.10,190.80,179.50,188.00,13700,187.44
2015-06-26,189.00,192.00,187.50,189.50,3700,188.93
2015-06-25,190.00,195.00,187.70,189.10,13600,188.53
2015-06-24,195.90,197.00,187.60,192.70,4500,192.12
2015-06-23,195.70,197.80,193.00,194.20,8600,193.62
2015-06-22,192.80,199.90,192.80,194.00,18400,193.42
2015-06-19,195.50,202.40,191.20,192.20,11000,191.62
2015-06-18,196.50,202.00,194.00,197.10,24200,196.51
2015-06-17,182.00,198.00,178.10,193.40,60900,192.82
2015-06-16,181.90,183.60,178.70,182.90,5900,182.35
2015-06-15,178.90,185.10,175.90,182.40,33000,181.85
2015-06-12,168.40,187.50,167.00,180.80,28300,180.26
2015-06-11,173.00,174.10,168.00,169.60,3300,169.09
2015-06-10,171.00,174.00,170.80,173.20,2700,172.68
2015-06-09,174.00,183.00,170.00,170.40,3800,169.89
2015-06-08,173.30,177.60,171.20,173.80,15500,173.28
2015-06-05,167.20,172.70,166.10,169.00,4800,168.49
2015-06-04,168.40,171.90,166.70,169.10,11700,168.59
2015-06-03,175.00,175.00,166.50,170.30,19700,169.79
2015-06-02,178.40,178.50,172.00,174.10,6900,173.58
2015-06-01,180.00,183.50,176.70,177.50,14200,176.97
2015-05-29,177.00,185.00,177.00,179.70,14800,179.16
