Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1486.00,1512.00,1460.05,1473.35,1300,1473.35
2015-07-16,1487.00,1487.00,1461.00,1471.55,800,1471.55
2015-07-15,1486.00,1500.00,1454.00,1485.55,1400,1485.55
2015-07-14,1471.00,1505.00,1469.55,1492.20,3000,1492.20
2015-07-13,1482.00,1494.00,1461.85,1471.10,900,1471.10
2015-07-10,1480.25,1493.95,1460.05,1471.70,500,1471.70
2015-07-09,1479.70,1502.80,1473.00,1484.75,1400,1484.75
2015-07-08,1528.70,1528.70,1488.15,1497.45,1700,1497.45
2015-07-07,1520.05,1538.70,1520.05,1526.00,500,1526.00
2015-07-06,1510.00,1525.40,1505.00,1518.15,1700,1518.15
2015-07-03,1533.90,1544.00,1519.00,1520.65,500,1520.65
2015-07-02,1548.45,1557.90,1516.40,1522.10,2600,1522.10
2015-07-01,1500.00,1550.00,1500.00,1538.30,3500,1538.30
2015-06-30,1545.00,1552.20,1477.00,1488.50,4600,1488.50
2015-06-29,1553.00,1555.70,1526.65,1533.90,2100,1533.90
2015-06-26,1566.00,1566.00,1540.05,1553.95,3100,1553.95
2015-06-25,1565.00,1575.00,1535.00,1554.20,2900,1554.20
2015-06-24,1578.00,1578.00,1556.45,1559.50,900,1559.50
2015-06-23,1578.65,1584.00,1550.00,1564.30,1900,1564.30
2015-06-22,1572.15,1576.40,1551.05,1561.10,200,1561.10
2015-06-19,1575.00,1581.80,1554.10,1571.90,200,1571.90
2015-06-18,1580.00,1584.95,1558.05,1571.10,600,1571.10
2015-06-17,1575.00,1585.70,1565.05,1576.60,100,1576.60
2015-06-16,1570.00,1584.00,1552.00,1564.00,300,1564.00
2015-06-15,1560.00,1580.00,1553.00,1576.30,300,1576.30
2015-06-12,1561.65,1580.00,1526.00,1534.85,900,1534.85
2015-06-11,1590.80,1590.80,1531.05,1547.85,400,1547.85
2015-06-10,1577.45,1600.00,1575.55,1586.05,400,1586.05
2015-06-09,1580.00,1605.45,1568.00,1571.45,400,1571.45
2015-06-08,1595.00,1615.25,1582.20,1605.50,600,1605.50
2015-06-05,1583.00,1619.50,1583.00,1603.60,1700,1603.60
2015-06-04,1490.00,1592.00,1490.00,1570.25,2300,1570.25
2015-06-03,1530.00,1533.40,1485.00,1504.95,3200,1504.95
2015-06-02,1565.05,1565.05,1526.80,1537.85,600,1537.85
2015-06-01,1572.00,1580.45,1565.00,1569.90,1100,1569.90
2015-05-29,1585.20,1594.75,1568.95,1582.50,1500,1582.50
2015-05-28,1592.60,1592.60,1540.00,1582.75,2200,1582.75
2015-05-27,1584.70,1595.35,1560.00,1585.10,1200,1585.10
2015-05-26,1525.00,1628.70,1523.95,1614.70,5300,1614.70
2015-05-25,1597.45,1609.00,1500.00,1538.10,3700,1538.10
2015-05-22,1605.00,1610.00,1580.05,1593.35,1400,1593.35
2015-05-21,1570.00,1606.95,1567.55,1599.10,2300,1599.10
2015-05-20,1600.00,1602.95,1571.10,1572.35,500,1572.35
2015-05-19,1610.00,1617.60,1576.00,1588.15,2200,1588.15
2015-05-18,1620.00,1634.25,1618.85,1623.10,800,1623.10
2015-05-15,1595.30,1625.00,1595.00,1606.40,2200,1606.40
2015-05-14,1575.00,1612.00,1568.05,1597.25,2300,1597.25
2015-05-13,1586.10,1617.50,1560.00,1577.05,2200,1577.05
2015-05-12,1580.00,1626.20,1570.00,1587.05,2500,1587.05
2015-05-11,1580.00,1595.00,1570.00,1580.45,700,1580.45
2015-05-08,1583.00,1585.35,1550.00,1568.25,500,1568.25
2015-05-07,1580.00,1595.00,1545.00,1569.25,1100,1569.25
2015-05-06,1583.85,1597.95,1526.90,1546.80,3200,1546.80
2015-05-05,1583.35,1602.00,1575.00,1585.00,1500,1585.00
2015-05-04,1605.00,1632.30,1580.00,1589.30,2900,1589.30
2015-05-01,1588.05,1588.05,1588.05,1588.05,000,1588.05
2015-04-30,1585.10,1614.10,1561.50,1588.05,2900,1588.05
2015-04-29,1550.00,1616.00,1550.00,1600.10,5600,1600.10
2015-04-28,1550.00,1593.45,1509.10,1566.90,2700,1566.90
2015-04-27,1584.00,1584.00,1466.50,1571.75,4500,1571.75
2015-04-24,1570.00,1598.00,1542.35,1584.55,4900,1584.55
2015-04-23,1568.45,1593.75,1536.00,1582.20,1400,1582.20
2015-04-22,1580.00,1599.00,1515.55,1554.75,6900,1554.75
2015-04-21,1542.90,1585.30,1514.00,1572.50,4600,1572.50
2015-04-20,1580.00,1580.00,1491.10,1504.80,2600,1504.80
2015-04-17,1570.00,1599.00,1547.40,1577.85,2500,1577.85
2015-04-16,1543.50,1619.00,1523.80,1577.55,6000,1577.55
2015-04-15,1578.85,1581.80,1515.05,1525.80,2400,1525.80
2015-04-14,1570.65,1570.65,1570.65,1570.65,000,1570.65
2015-04-13,1571.10,1596.80,1565.00,1570.65,700,1570.65
2015-04-10,1600.00,1600.00,1571.05,1579.30,700,1579.30
2015-04-09,1603.00,1616.10,1581.10,1587.25,1800,1587.25
2015-04-08,1580.00,1625.00,1565.20,1609.60,3200,1609.60
2015-04-07,1593.00,1608.50,1560.00,1579.00,3600,1579.00
2015-04-06,1628.95,1640.00,1573.00,1602.15,5800,1602.15
2015-04-03,1616.40,1616.40,1616.40,1616.40,000,1616.40
2015-04-02,1616.40,1616.40,1616.40,1616.40,000,1616.40
2015-04-01,1610.00,1700.00,1608.00,1616.40,18500,1616.40
2015-03-31,1605.00,1640.00,1583.00,1589.75,2600,1589.75
2015-03-30,1592.20,1719.35,1584.00,1611.25,6900,1611.25
2015-03-27,1579.95,1590.00,1554.95,1575.20,1200,1575.20
2015-03-26,1551.25,1601.55,1549.00,1564.25,7300,1564.25
2015-03-25,1530.00,1607.35,1528.55,1575.20,5800,1575.20
2015-03-24,1550.00,1550.00,1515.90,1528.55,1100,1528.55
2015-03-23,1579.80,1582.00,1496.05,1541.25,5700,1541.25
2015-03-20,1435.00,1619.00,1435.00,1582.70,22400,1582.70
2015-03-19,1455.00,1469.80,1432.00,1452.80,1800,1452.80
2015-03-18,1435.50,1500.00,1424.70,1434.70,91800,1434.70
2015-03-17,1470.00,1477.70,1395.90,1428.30,3300,1428.30
2015-03-16,1508.55,1514.85,1467.00,1472.65,2600,1472.65
2015-03-13,1550.05,1570.40,1502.00,1513.95,1900,1513.95
2015-03-12,1566.00,1593.25,1532.55,1559.35,2300,1559.35
