Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,14.31,15.35,13.27,14.74,1973700,14.74
2015-07-16,14.75,15.45,13.85,14.31,2420400,14.31
2015-07-15,12.45,14.28,12.20,14.27,6430900,14.27
2015-07-14,11.24,12.13,11.01,11.90,776500,11.90
2015-07-13,11.05,11.40,10.93,11.17,258000,11.17
2015-07-10,11.20,11.60,10.92,11.01,300800,11.01
2015-07-09,10.52,11.60,10.36,11.17,888200,11.17
2015-07-08,9.96,10.80,9.91,10.47,491700,10.47
2015-07-07,10.23,10.38,10.01,10.25,218700,10.25
2015-07-06,9.90,10.25,9.50,10.08,298500,10.08
2015-07-03,9.92,10.12,9.92,9.99,142100,9.99
2015-07-02,10.21,10.49,9.91,9.97,260400,9.97
2015-07-01,10.13,10.50,10.05,10.11,366200,10.11
2015-06-30,10.10,10.25,9.92,10.00,304000,10.00
2015-06-29,10.80,10.80,9.95,10.03,561700,10.03
2015-06-26,11.25,11.70,10.71,10.82,1284200,10.82
2015-06-25,10.89,11.19,10.84,11.02,227100,11.02
2015-06-24,10.91,11.80,10.71,11.03,849800,11.03
2015-06-23,11.24,11.30,10.70,10.97,165100,10.97
2015-06-22,10.60,11.58,10.60,11.13,340400,11.13
2015-06-19,10.53,11.00,10.47,10.57,135600,10.57
2015-06-18,10.65,10.76,10.38,10.43,127700,10.43
2015-06-17,10.55,10.70,10.30,10.55,140600,10.55
2015-06-16,10.70,10.90,10.25,10.42,196600,10.42
2015-06-15,10.20,11.23,10.00,10.72,417500,10.72
2015-06-12,10.59,10.60,9.91,10.04,199700,10.04
2015-06-11,11.15,11.23,10.58,10.64,103200,10.64
2015-06-10,11.14,11.50,11.00,11.13,127900,11.13
2015-06-09,11.00,11.17,10.91,10.97,104500,10.97
2015-06-08,11.60,11.74,10.62,11.09,130000,11.09
2015-06-05,11.79,11.93,11.30,11.44,190900,11.44
2015-06-04,11.70,12.25,11.32,11.53,244100,11.53
2015-06-03,12.81,12.81,11.52,11.56,291000,11.56
2015-06-02,13.25,13.25,12.66,12.80,115300,12.80
2015-06-01,13.15,13.48,13.05,13.18,78600,13.18
2015-05-29,13.16,13.60,13.10,13.15,172400,13.15
2015-05-28,13.44,13.60,13.31,13.33,66300,13.33
2015-05-27,13.70,13.70,13.45,13.50,91800,13.50
2015-05-26,14.00,14.10,13.65,13.73,178300,13.73
2015-05-25,14.59,14.60,14.07,14.12,259900,14.12
2015-05-22,13.80,14.05,13.20,13.82,295600,13.82
2015-05-21,14.10,14.20,13.55,13.71,96400,13.71
2015-05-20,14.03,14.29,14.01,14.06,64800,14.06
2015-05-19,14.00,14.44,13.92,14.03,92000,14.03
2015-05-18,14.15,14.28,13.96,14.17,118300,14.17
2015-05-15,14.45,14.85,14.02,14.10,230000,14.10
2015-05-14,14.39,14.81,13.90,14.38,110300,14.38
2015-05-13,14.57,14.71,14.11,14.31,103300,14.31
2015-05-12,15.29,15.30,14.20,14.26,128200,14.26
2015-05-11,15.50,15.85,14.90,15.12,125000,15.12
2015-05-08,15.35,15.70,15.25,15.38,135700,15.38
2015-05-07,15.10,15.35,14.64,14.85,207600,14.85
2015-05-06,16.68,16.94,15.23,15.41,391000,15.41
2015-05-05,16.12,17.24,15.95,16.86,434100,16.86
2015-05-04,14.80,15.91,14.80,15.91,337400,15.91
